title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
我不是教你诈,2012-12-01 00:00:00,个人成长-人在职场,"在本书中，作者用多年来亲身的感悟，通过一个个精彩的小故事，为读者呈现多维的处世智慧：如何谅解别人？如何利用矛盾？哪些事不必说？哪些话不去问？为什么得饶人时且饶人？为什么有错时先认错？怎样做个不被冤枉的好人？怎样理解一人赢不如大家赢……在这些刘墉先生开列出来的人生处方中，平实温厚的笔触令人视野大开，它帮助我们在看清“诈”的真实面目时，乐观包容、从容应对世事人生，完美解决生活中职场中的困惑与沮丧，开放身心，让人生从“应对”一变而为“赢得”。
写作是心的交流，阅读是心的发现。在这本书的八十多个故事中，人生万象帮助我们洞悉处世的真相。",17,891,0,12.99,https://weread-1258476243.file.myqcloud.com/weread/cover/79/3300018079/s_3300018079.jpg
好好学习：个人知识管理精进指南,2017-02-01 00:00:00,个人成长-人在职场,学海真的无涯吗？到底什么样的“知识”值得我们花精力去学？知识无穷无尽，但掌控这个世界运行的底层规律是有限的。你需要的是从海量知识中辨别出其中的“王炸”，一通百通！学海非无涯，知识有主次。为什么学习“学习的方法”，比学习本身更重要？世界这么大，而我们的智慧有限。只有掌握了更有效的学习方法，才能在极为有限的时间里，把自己的认知水平比别人多往前推进一厘米。,10,740,0,25.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/828/906828/s_906828.jpg
自洽：在不确定的日子里向内看,2021-11-01 00:00:00,个人成长-人在职场,现代人的精神危机大都来源于无法正确认识自己，给自己定的目标都是别人说的，想做的事都是别人期望他做的。认识自己是我们走向成熟的开始，而对自己认识的完成，体现在对自我的接受上。“自洽”是“三观”中涉及“自我”这一部分的解读，是心理活动的基石。这本书探讨的正是年轻人面对选择、处理自我与外部关系时积极向内探求的思考路径，为读者提供一个与众不同的看待世界的视角，告诉读者如何做到与内心的冲突和谐相处。,10,810,0,41.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/366/41439366/s_41439366.jpg
可复制的领导力：樊登的9堂商业课,2018-01-01 00:00:00,个人成长-人在职场,互联网时代，每一位知识工作者，都是管理者。领导力已不再是某些人的专属能力，而成为每一个人生存、发展所需的硬技能。领导力不是天生的基因带来的能力，而是一系列可操作、可模仿、可践行的工具：沟通视窗、目标管理、倾听反馈……如果你想在这个时代抢占先机，活得体面而富有尊严，那么：领导力便是你的人生必修课！,14,807,0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/79/921079/s_921079.jpg
秘书工作手记：办公室老江湖的职场心法,2017-04-01 00:00:00,个人成长-人在职场,本书凝聚了一个从业多年、仍战斗在办公室工作一线的小秘书的实践经验总结和理论思考成果。它不是以往或粗制滥造、或板着面孔、或不说真话的职场书，而是敢于揭露职场真相的真实手记。它说真话，告诉你职场到底有什么规矩：你不经常找领导汇报，领导就是不高兴；你写文章不懂得研究借鉴，就是写不好；你老在微信上问“在吗”，别人就是讨厌你。职场规矩就是这样，你看清楚了，就能绕开雷区。它说人话，用口语化的、轻快活泼的字句来组织文章。坚决杜绝四六句、对仗句，坚决抛弃“一要二要三要”的俗套，怎么想的就怎么写，怎么做的就怎么写，怎么直观好懂生动就怎么写。它想真切而直白地告诉你，身在职场，如何得到领导和同事的认可？如何培养办公室工作人员素养？如何在办公室搞好沟通？如何写好公文？如何安排好宴请？如何组织好会议？如何高效办公？它是新潮、好用、深度的办公室实操宝典，讲的是做人、办事的办公室故事。,15,826,0,35.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/706/920706/s_920706.jpg
精力管理,2015-07-01 00:00:00,个人成长-人在职场,不是时间不够用，而是精力没管好！我们期待改变的发生，却往往发现自己在原地挣扎。每一天的时间量是固定不变的，但是我们可用的精力的储备和质量却可以改变。认识到这一事实就会让你拥有颠覆生活方式的力量。吉姆洛尔和托尼施瓦茨的全情投入精力训练系统曾帮助他们在高压竞争的环境下取得上佳表现。随后他们又将这一系统成功应用到普通人的精力管理培训中，遵循书中的理念和步骤，你的生活会出现如下变化：轻松调动四种精力源：体能、情感、思维、意志驾驭劳逸结合的生命脉动节奏和精英运动员一样系统发展自己的能力建立起高度精确、积极的精力管理习惯。,5,734,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/654/33091654/s_33091654.jpg
秘书工作手记2：怎样写出好公文,2019-05-01 00:00:00,个人成长-人在职场,之前从没有出现过这样一本公文写作书。它是第一本真正教你“怎样写”的公文写作书，不是罗列“优美、简洁、严谨”这类标准，而是手把手教你一步步写；它是第一本不唱高调的公文写作书，不谈远大理想，而是实事求是告诉你工作中什么样的文章才能过关；它是第一本把互联网思维放在极端重要位置的公文写作书，不回避网络，而是坚信现在写稿子写得好的人，就是搜索引擎用得好的人；它是第一本举例完全贴近实践的公文写作书，完全放弃华而不实的诗词歌赋，例子都是最近最新的公文素材和范例；它是第一本特别不待见堆积范文的公文写作书，没有一篇完整的范文，但教给你精准找寻范文、充分利用范文、深刻改造范文的神奇法门；它是第一本文风清奇的公文写作书，说好话讲公文，直接把干货晾出来，你拿走就是。同时它也是第一本关心笔杆子成长发展的公文写作书，在这里，写公文不是目的，写是为了成长，是为了发展；写是铺路石，是垫脚砖。在这本书里，写文章不是什么“经国之大业，不朽之盛事”，只是一项与我们须臾不离的工作内容。这本书可以帮助你更轻松、更快捷、更精美地写出让领导满意的公文。希望你看完这本书，不但能写出合格的稿子，或许还能有时间陪陪孩子、看看闲书，拥有自己更丰富的业余生活和精神世界。,15,886,0,34.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/716/26125716/s_26125716.jpg
职场晋升101,2022-04-01 00:00:00,个人成长-人在职场,"职场没有白走的路，但确实存在很多的弯路。不是每一个坑你都必须亲自去踩，提前练好职场基本功，就可以让你把工作做得更漂亮。
       15年时间，她从焦头烂额的实习生，到年轻的上市公司COO，再到投资合伙人、公司创始人，崔璀将这一路“打怪升级”的经验，沉淀为了101个职场难题的答案。全书分为管理自己、管理团队、管理老板三个部分，从职场人各种长期痛点和“季节性提问”入手，教你如何从思维到行为，从心术到话术上一步步做成事！无论是刚毕业的大学生，还是工作十年的团队主管，都能从书中找到“恍然大悟”的职场心法。
       翻开本书，学会一小半，骑着火箭往上蹿！",10,790,0,49,https://weread-1258476243.file.myqcloud.com/weread/cover/75/3300014275/s_3300014275.jpg
用一年时间重生：如何从0到1开启个人事业,2019-06-01 00:00:00,个人成长-人在职场,一份工作做一辈子的年代已经过去了，越来越多的85后、90后开始探索多重职业的工作生活方式。特别是家庭女性，希望工作时间可以灵活调配，便于照顾家庭。有没有一种工作，既是你喜欢的，又能有不错的收入，还可以自由安排时间？在互联网时代，这完全可以！作为一名专注于打造女性个人事业的职业规划咨询师，本书作者指导、孵化了语言类、视觉设计类、家居类、形象类、心理咨询类等多个女性个人事业品牌。《用一年时间重生：如何从0到1开启个人事业》就是一本手把手教你开启个人事业的书，无论是想做自由职业的年轻人，还是想做个人事业的家庭女性，或者是想要发展副业的白领，都可以在这本书中明确你的方向和优势，找到你的个人事业路径。,7,688,0,15,https://wfqqreader-1252317822.image.myqcloud.com/cover/59/27326059/s_27326059.jpg
深度工作：如何有效使用每一点脑力,2017-07-01 00:00:00,个人成长-人在职场,    本书作者尖锐地道破了信息经济时代的惊人真相——知识工作者60%以上的工作时间都花费在处理此类浮浅事务上，而这些工作不仅产出的价值有限，还会永久性地损害人们深度工作的能力！作者创立的“深度工作”概念，其含义为在无干扰的状态下进行专注的职业活动，使个人的认知能力达到极限。而正因为当前社会深度工作能力的日益稀缺，其与经济成功的关系也变得日渐紧密起来。本书的所有讨论也围绕“深度工作”而展开，作者还强调，深度工作不是一项过时的技能，而是将人们从技术垄断导致的精神异化状态中解救出来的良药。在当前这个以网络为中心的浮浅信息时代，倡导深度工作无异于呼唤一种匠人精神的回归。,13,688,0,27,https://wfqqreader-1252317822.image.myqcloud.com/cover/893/909893/s_909893.jpg
