title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
穷查理宝典：查理·芒格智慧箴言录（全新增订本）,2021-07-01 00:00:00,个人成长-励志成长,他是巴菲特的导师与人生合伙人，他是当今最伟大的投资思想家，他是伯克希尔·哈撒韦51年间19.2%年复合增长率的奇迹缔造者。理解商业社会和投资本质，必读这本书！本书全面收录了查理·芒格的个人传记与投资哲学，以及过去20年来芒格主要的公开演讲和媒体访谈，是每一个投资者不可不读的必备工具书。查理·芒格在商业社会取得了巨大的成功，他的独特思维方式，他对商业伦理的“洁癖”，他对终身学习的强调，可以给我们每一个普通人带来启迪。,16,851,0,131.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/932/837932/s_837932.jpg
极简学习法,2022-05-01 00:00:00,个人成长-励志成长,"在深度采访了上百位清华北大学霸后，作者发现，除了极少数的天才以外，大多数考入清北的学生的智商和普通人没有太大差别，他们之所以能够考上清华北大，是因为他们找到了对的学习方法。
在这本书中，作者抽丝剥茧，总结出一套适用于大多数人学习知识和技能的学习方法。在作者看来，任何学习都可以分为三个阶段：精准输入、深度消化、多元输出。首先是知识的输入，就是先把新的知识摄入进来；然后是知识的消化，将输入进来的知识搞懂；最后是把学到的这些知识用起来。希望这本书能让每个在学习中感到困惑或者不知道如何学习新技能的人从中受益。",7,828,0,35.99,https://weread-1258476243.file.myqcloud.com/weread/cover/92/3300015092/s_3300015092.jpg
洛克菲勒留给儿子的38封信,2014-10-01 00:00:00,个人成长-励志成长,"    在洛克菲勒写给儿子的信中，读者不仅可以看到洛克菲勒优良的品德、卓越的经商才能，还可窥见这位商业巨擘创造财富的谋略与秘密。我们译取了洛克菲勒留给儿子的38封信，并将书信中的内容进行适当的延展，让读者深刻了解书信里的精华。
",8,860,0,2.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/397/698397/s_698397.jpg
优秀的绵羊,2016-05-01 00:00:00,个人成长-励志成长,"    2008年，在常春藤盟校待了24年之后，耶鲁大学教授威廉·德雷谢维奇决定辞去自己的终身教职，离开这所常春藤名校。之所以这么做，是因为他感觉当前的美国精英教育已经陷入了误区，这套系统下培养出来的学生大都聪明，有天分，斗志昂扬，但同时又充满焦虑、胆小怕事，对未来一片茫然，极度缺乏目标感：他们被包裹在一个巨大的特权泡泡里，所有人都在老实巴交地向着同一个方向前进。他们非常擅于解决手头的问题，却不知道为什么要解决这些问题。在即将辞去耶鲁教职之际，他发表了一篇文章《精英教育的劣势》来讨论这些问题。让他万万没想到的是，几周之内，它的阅读量就超过了10万次（后来的累计阅读量超过了100万次）。
",4,748,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/717/838717/s_838717.jpg
聪明人的个人成长,2022-05-01 00:00:00,个人成长-励志成长,本书作者史蒂夫是全球个人成长领域的知名导师，在全球150多个国家及地区拥有读者。本书第一部分介绍个人成长的七个原则，分别是：真实、爱、能量、一体、主导、勇气、清醒自主。在本书第二部分，介绍如何将这七个原则运用在生活中的各个方面，包括习惯、职业、金钱、健康、关系以及心灵。本书不仅让你拥有成长的系统理论，还带你切实解决人生遇到的很多重大问题。,7,872,0,41.4,https://weread-1258476243.file.myqcloud.com/weread/cover/98/3300022098/s_3300022098.jpg
基层女性,2021-06-01 00:00:00,个人成长-励志成长,因为一条讲述基层女性婚姻困境的短视频，作者从此常驻新浪热搜。在视频中，她用开公司的比喻，讲述了在当下的生育福利制度下，女性应该如何更好地保护自己。王慧玲制作了一系列视频，阐述自己的婚恋观点，内容涉及原生家庭、恋爱生育、强弱势关系，以及约会文化、穿衣自由等等，几乎每一条视频内容都引发了热烈的关注和讨论。本书脱胎于这一系列短视频，紧紧围绕当下性别权益的热门议题展开，通过原生家庭、自我成长、两性关系三个主题，论述女性要如何摆脱环境与观念的束缚，正确对待恋爱与婚姻，成为一个精神、物质双独立的女性。,3,760,0,34.86,https://wfqqreader-1252317822.image.myqcloud.com/cover/507/40133507/s_40133507.jpg
在绝望中寻找希望：俞敏洪写给迷茫不安的年轻人,2014-05-01 00:00:00,个人成长-励志成长,"本书就是这些记录文字的呈现。全书精选了104篇文章，针对当下年轻人面临的一系列困扰，按青春、理想、心态、亲情、友情、人生、教育等主题,呈现出他对世界的看法和态度。在这个充斥着不安感的浮躁社会，给年轻人内心坚强的力量，让每个人思考应该怎样更积极地度过人生。",2,805,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/620/522620/s_522620.jpg
人性的弱点（大全集）,2010-11-01 00:00:00,个人成长-励志成长,美国“成人教育之父”戴尔·卡耐基所著的《人性的弱点大全集》，汇集了卡耐基的思想精华和最激动人心的内容，是作者最成功的励志经典，书的唯一目的就是帮助解决所面临的最大问题：如何在日常生活、商务活动与社会交往中与人打交道，并有效地影响他人；如何击败人类的生存之敌——忧虑，以创造一种幸福美好的人生。,3,855,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/675/316675/s_316675.jpg
一夜长大【主持人尼格买提个人随笔集】,2020-08-01 00:00:00,个人成长-励志成长,《一夜长大【主持人尼格买提个人随笔集】》是著名央视主持人尼格买提?热合曼个人随笔集。全书20余万字，筹备3年，重磅推出。 父亲是新疆人民出版社主编、著名翻译，母亲是新疆电视台配音演员，他们的小儿子尼格买提在他们全力栽培下，从小在新疆被誉为神童。在全国青少年主持人大赛中屡获佳绩，免艺考进入中国传媒大学。毕业后参加《魅力新搭档》选拔赛成为《开心辞典》主持人王小丫搭档，后独立主持《开门大吉》，和朱迅一起主持《星光大道》，还连续6次成为《春节联欢晚会》主持人，成为央视*炙手可热的男主持人之一。 尼格买提的人生之路看似平步青云，其实在他每一次“跃迁”的前后，都聚合了外在机遇、个人努力和贵人助力三重力量。真实的他，从小内向羞涩，从不毛遂自荐，至今从未在公开场合主动发言。每每取得成绩，他就做好*坏准备，想象失去一切时情景。他认为自己行至今日依靠了许多“幸运”，而“幸运”并非全然不可控，这二字背后隐藏着不为人知的规律。 尼格买提用极为细腻的笔触描绘了自己的成长，其文采斐然，令人意外惊叹。他借自己的人生经历，与读者分享一个内向性格的人的成功之道。他的分享实在诚恳，于正在寻找自己在世界上位置的当代青年很有借鉴意义。,12,907,0,47.6,https://rescdn.qqmail.com/weread/cover/579/3300007579/s_3300007579.jpg
羊皮卷,2014-06-01 00:00:00,个人成长-励志成长,《羊皮卷》是从世界上最伟大的文献中摘选并梳理出来的一本经典巨著。它包括了《最伟大的力量》、《积极思考》、《向你挑战》、《投资自我》、《人性的弱点》、《秘密法则》及《思考的人》等一系列伟大的著作。它涵盖了成功学的各个方面，用独特的眼光、犀利的笔锋以及极富感染力的语言，通过大量成功人士的经典案例，告诉那些正在为理想而不懈努力和奋斗的人们怎样取得成功、怎样探寻生活的真谛，从而获得财富和荣耀的快乐与享受。,23,825,0,1.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/661/567661/s_567661.jpg
