title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
曾国藩传,2018-12-01 00:00:00,人物传记-历史人物,曾国藩，没有显赫的家世，天赋堪称晚清同时代大人物当中最差，却官至两江总督、直隶总督、武英殿大学士，在复杂的时代变局中超越众人，成就最大，被誉为大清“中兴第一名臣”，且最后全身而退。他的人生经历，无论是过去还是现在都给人以特别的启示。,7,876,0,34,https://wfqqreader-1252317822.image.myqcloud.com/cover/475/23774475/s_23774475.jpg
苏东坡新传,2020-05-01 00:00:00,人物传记-历史人物,苏东坡，天赋异禀的大文豪，无可救药的乐天派……他的标签很多，却难以被标签定义。居高处为翰林学士，落低谷为狱中囚犯，一生波澜曲折都在诗里见。本书即以东坡诗词为主线，兼及东坡文集、后人笔记等百余种资料，以坚实的考订和热情的笔触，呈现出一个立体的东坡形象。全新增订版特别收录《寻找李一冰》和《缥缈孤鸿影──父亲与〈苏东坡新传〉》，追寻谜样作者和出版缘由，附录《苏轼及宋朝大事年表》。,18,926,0,100.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/775/33638775/s_33638775.jpg
曾国藩：唐浩明修订版（全集）,2014-11-15 00:00:00,人物传记-历史人物,修订老版讹误106处！一字未删，原貌呈现手稿！唐浩明独家作序认可版本！阅读收藏最佳版本！政商必读！最受中央国家机关干部欢迎的10本书之一，中纪委“读书推荐”栏目推荐学习。柳传志、宗庆后、白岩松鼎力推荐！历史小说巅峰之作，关于曾国藩最权威、最好看、最畅销的读本。了解千古名臣曾国藩的唯一经典，读懂国人处世智慧的殿堂之作。依据人民文学出版社三卷本《曾国藩》编校而成，全新修订原貌呈现。,39,889,0,19.98,https://wfqqreader-1252317822.image.myqcloud.com/cover/288/534288/s_534288.jpg
武则天,2021-07-01 00:00:00,人物传记-历史人物,她是怎样从唐太宗的才人，变成唐高宗的皇后？她为什么要突破人伦的底线，杀死自己的亲生儿女？她怎么能够在一个千百年来都由男人统治的世界里，成为一代女皇？她的大周王朝如日中天，怎么又会及身而止，不能传之后世？她推翻了李唐王朝，建立了武周王朝，为什么李唐的子孙又始终对她尊奉有加，把她当作自己的皇帝？武则天的智慧和韬略，令男权社会的须眉俯首称臣。1300年来，武则天是历史，也是传奇，她的历史功过，犹如那块“无字碑”，任由后人评说。蒙曼老师抽丝剥茧、引经据典，解读空前绝后的一代女皇武则天。豆瓣读者评分达8.2分。,19,898,0,27.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/881/39421881/s_39421881.jpg
胡雪岩：红顶商人胡雪岩（全集）,2018-05-01 00:00:00,人物传记-历史人物,讲透一代商圣胡雪岩的天才与宿命，影响中国一代企业家的经典！马云读了两遍！胡雪岩传记小说至高经典，其他版本大多是这套书的删减版或改编版。高阳版《胡雪岩全传》出版40年来无可逾越，是商人必备的生存手册。胡雪岩从店伙计到大清巨富花了30年，倾家荡产只花了9天！“有井水处有金庸，有村镇处有高阳。”武侠小说有金庸，历史小说有高阳！高阳的历史小说，注重历史的真实性，又擅长讲故事，读起来轻松畅快，有读者评为“华语历史小说不可逾越的高峰”。翻开本书，看当代历史小说巨匠高阳，重现一代商圣胡雪岩的辉煌与宿命。,64,825,0,63.82,https://wfqqreader-1252317822.image.myqcloud.com/cover/973/612973/s_612973.jpg
知行合一王阳明,2014-07-01 00:00:00,人物传记-历史人物,"    在蛮荒的龙场，王阳明悟出了“圣人之道，吾性自足”，即人人皆有良知。而在血腥的沙场和险恶的朝堂，让龙场悟道实际发挥作用的，是“知行合一”，即遵循内心的良知，便能达到宁静于内、无敌于外的境界。如果心学是圣贤功夫，那么知行合一则是俗世智慧。知行合一并非得自顿悟，而是在磨难中不断反思、修练，最终砥砺出的生命境界。在经历了当众廷杖的奇耻、下狱待死的恐惧；流放南蛮的绝望、瘟疫肆虐的危险；荒山野岭的孤寂、无人问津的落寞，直至悟道的狂喜、得道的平静后，王阳明不但求得了内心的安宁，而且逐渐通过“知行合一”拥有了足以改变世界的力量。
",3,784,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/509/413509/s_413509.jpg
人心至上：杜月笙传,2017-02-01 00:00:00,人物传记-历史人物,本书以杜月笙为人处世原则及智慧为切入点，以其生平为线索，通过对其一生历程的娓娓道来，涵盖了发生在其人生每一阶段的大事要事，以及其应对这些事的技巧、心态、解决方法等，展示了杜月笙高超的为人处世智慧，亦体现了其性格、心理，以及其在特殊境遇下表现出的爱国主义精神、救世情怀，堪称迄今为止杜月笙传记的上佳之选。,7,771,0,18.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/416/23708416/s_23708416.jpg
人类群星闪耀时,2019-06-01 00:00:00,人物传记-历史人物,《人类群星闪耀时》的内容正如它的副标题——十四篇历史特写（Vierzehn historische Miniaturen）。作者茨威格以诗人和艺术家的笔触，尊崇历史的真相，以其完全个人的独特视野创作而成。十四个故事，横跨不同时代和地域，虽然篇幅精短，但内容丰富完整，既保留了事件发生时的种种细节，也凭借茨威格深厚纯熟的笔力，展现了以旁观者视角面对这些关键时刻的复杂情绪：对悲剧英雄命运的关注、共情、怜惜，对造物主的敬畏，对人在有限生命中具备的神性，迸发的创造力的肯定以及对人间正义价值的遵照和捍卫。遥远如古罗马政治家、演说家西塞罗在面对恺撒遇刺、局势混乱时的犹豫不决；又如极富戏剧性的瞬间，格鲁希墨守成规而造成拿破仑滑铁卢的失败以致影响了之后的整个欧洲历史……十四个生死攸关、超越时代的故事，如群星般璀璨而不渝地照耀着暂时的黑夜。,13,787,0,28,https://wfqqreader-1252317822.image.myqcloud.com/cover/978/25848978/s_25848978.jpg
毛泽东点评历史人物（上册）,2017-08-01 00:00:00,人物传记-历史人物,"    毛泽东具有深沉的历史情怀和浓烈的历史人物情结。本书对目前出版的浩如烟海的与毛泽东相关的图书和论文，钩沉索引，广泛搜罗，将毛泽东对历史人物的品评集中化、系统化：将毛泽东对同一历史人物跨度几年、十几年，甚至几十年的不同评论，集中于同一章节；对毛泽东重点品评过的历史人物，按照开国帝王、中兴英主、庸主昏君、亡国之君、起义领袖、谋士说客、历代名将、济世能臣、误国奸佞、思想巨擘、文学大家、隐逸高士，进行了科学分类，从而构成了全书严密的逻辑体系。
",8,773,0,7.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/231/913231/s_913231.jpg
知行合一：王阳明传,2016-07-01 00:00:00,人物传记-历史人物,"五百年前，在中国的明朝，出现了一位传奇人物王阳明。母亲怀胎十四个月才降生，五岁还不会说话，十二岁就口吐狂言欲做圣人，十五岁离家出走考察三关，新婚之夜与老道士彻夜长谈……步入仕途后，他的人生更是起伏跌宕，因仗义执言遭廷杖入狱，贬谪赴任的路上死里逃生，在龙场这个蛮荒之地，他经历了一系列的生活困境和生死考验，最终悟出了一直苦苦寻求的圣人之道。龙场悟道，不仅让王阳明获得了内心的丰富与安静，还获得了一种觉醒的力量——知行合一。临终时只遗“吾心光明，亦复何言”八字，背后隐藏着怎样的深意？本书作者查阅大量史料，补充了一些极为罕见的细节，完整而深入地讲述了王阳明的传奇一生，带您领悟知行合一的心学精髓。
",5,791,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/229/839229/s_839229.jpg
