title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
我们仨,2012-09-01 00:00:00,人物传记-文学家,"    1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨绛用心记述了他们这个特殊家庭63年的风风雨雨、点点滴滴，结成回忆录《我们仨》。
",5,906,0,13.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/626/858626/s_858626.jpg
苏轼传,2019-06-18 00:00:00,人物传记-文学家,苏轼，字子瞻，号东坡居士。他是宋代著名的文学家、政治家，是艺术上的全才和天才。苏轼的一生，起起伏伏，充满波折，但其为人豪迈，思想通达，人格独具魅力，倍受后人景仰。本书以苏轼诗词为基础，将其政治作为、文学创作和人生志趣融为一炉，细腻而生动地展现了苏轼丰富多彩的生命历程。,48,903,0,36,https://wfqqreader-1252317822.image.myqcloud.com/cover/269/26278269/s_26278269.jpg
昨日的世界,2018-06-01 00:00:00,人物传记-文学家,"《昨日的世界》是奥地利作家斯特凡·茨威格创作的自传体文学作品,写于1939年至1941年间，是茨威格在临终前被迫流亡的日子里完成的。在茨威格离世以后，于1942年在斯德哥尔摩出版。在这部作品里，茨威格把个人命运与时代融为一体，通过自己所经历的人与事，展示了他生活过的城市和国家的文化生活风貌，记录了从第一次世界大战前夜到第二次世界大战时动荡的欧洲社会，描述了他与一些世界闻名的诗人、作家、雕塑家、音乐家交往的情景，批露了世界文化名人鲜为人知的生活轶事，同时穿插了作者各种细腻的心迹。茨威格从出生的城市维也纳和自己的犹太家庭写起，一直写到1939年9月已满60岁的时候，时值第二次世界大战爆发，他认为，这是“我们这些六十岁人的时代彻底结束”。",6,896,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/324/23796324/s_23796324.jpg
张爱玲：最是清醒落寞人（珍藏版）,2015-05-01 00:00:00,人物传记-文学家,"    她用亲身经历写《不幸的她》，用一本正经的“孩子气的认真”写《论卡通画之前途》，用无拘无束的幻想写《天才梦》，用细腻的观察记录写《沉香屑》，用精致瑰丽的才情写《倾城之恋》，用对文字的虔诚写《自己的文章》……就这样，她从1932年的处女作《不幸的她》一直写到1994年的最后一本《对照记》。她也爱过，爱得很是轰烈，虽然她对胡兰成不敢信任，对桑弧不够勇敢，但不论怎样，她的爱是真的，没有分厘的利益计较，也没有丝毫的怨尤悔恨。而本书讲的，便是她如此传奇的一生。当我们陪她欢笑哭泣，陪她高歌沉默，陪她爱恨，陪她释然之后，我们就会更加了解这个传奇女子——张爱玲。
",7,788,0,2,https://wfqqreader-1252317822.image.myqcloud.com/cover/785/832785/s_832785.jpg
情到深处人孤独：纳兰容若词传,2019-06-01 00:00:00,人物传记-文学家,慧极必伤，一言道不尽纳兰心思；情深不寿，一生品不完容若才情。纳兰容若去世已经三百年了，对于诗词爱好者来说，纳兰词就像是人们诗词路上邂逅的“初恋”，凄婉动人，缠绵婉转，让人为之叹息，为之心碎，而又为之着迷。我们读的不仅是纳兰容词的至美至哀，更从中读懂了自己的心事，自己的故事。他淡泊名利却生于富贵之家，他一腔热血却壮志未酬，他一生多情却情路坎坷，他用凄婉的笔触写尽了情深与忧伤。纳兰容若是王国维、梁启超、徐志摩盛赞的词人。国学大师王国维更是赞誉他：北宋以来，一人而已……,3,857,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/838/25848838/s_25848838.jpg
品中国文人（1）,2008-05-01 00:00:00,人物传记-文学家,"    中国历史漫长而丰富。中国很早就有记载自己民族历史的优秀传统。本书尝试着从中国历代大文人的角度来勾画历史与文化的脉动，以这些与中国历史和文化相关联的单个生命的演进，还原历史与文化发展的真况。所有文章融文史哲于一炉，同时也注入了作者作为一个牛活在当今时代的文化人的见解和情感。本书的作者原为小说家，存对这些文人和历史的讲述中也融入了文学的笔法，展现出作家雄厚的笔力、丰富的艺术再现力和广博的人生阅历。
",17,873,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/415/29077415/s_29077415.jpg
李白传,2019-02-01 00:00:00,人物传记-文学家,关于李白的那些事儿，读这一本就够了！“清华四剑客”之一李长之倾情讲述李白的传奇人生，献给每一个渴望诗和远方的人。李白是中国人家喻户晓的“诗仙”，人人都会背他的“床前明月光”。他的诗歌如“清水出芙蓉，天然去雕饰”，是中国文学史上不可逾越的一座高峰；他的一生步履不停，浪迹在庙堂与江湖之间，至今依然是无数人向往的一种生活方式。他不是“成功学”的典范，但他的失败与伟大却帮助一代又一代人，寻回精神上的明月与故乡。,9,676,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/636/24907636/s_24907636.jpg
从文自传,2020-11-01 00:00:00,人物传记-文学家,本书是沈从文的自传，记录了作者在湘西的成长岁月。作者回望从乡野童年到投身行伍的种种经历，真实描绘了故乡的生活，表达了对亲人的怀念，文字中充满了生命的炽烈和真诚。这本自传，是《边城》等一切朴野湘西文学的源头。,7,906,0,15.36,https://wfqqreader-1252317822.image.myqcloud.com/cover/791/36059791/s_36059791.jpg
鲁迅传,2013-01-01 00:00:00,人物传记-文学家,　　采用迄今为止鲁迅生平创作研究的全部成果，对伟大的文学家、思想家鲁迅一生生活经历、思想变化和创作历程，进行了力求的准确的叙述和尽量客观的评价。,8,860,0,11.7,https://wfqqreader-1252317822.image.myqcloud.com/cover/954/31283954/s_31283954.jpg
美玉生烟：叶嘉莹细讲李商隐,2018-09-01 00:00:00,人物传记-文学家,他被誉为李白、杜甫之后别开生面、能够自成一家的诗人；他的诗拥有华丽的语言、美好的意象、铿锵的音调，受到无数人的喜爱，然而千载之下，众说纷纭，像谜一样存在——他就是李商隐。《美玉生烟——叶嘉莹细讲李商隐》为叶嘉莹2013年在温哥华李商隐讲座的整理稿，共六讲。叶嘉莹女士从自己在不同年龄阶段读李商隐诗歌的感受出发，结合李商隐坎坷的人生故事，为读者细细讲述李商隐诗歌深微幽窈的心灵境界以及无处不在的浓郁的悲哀。,4,827,0,54.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/287/26832287/s_26832287.jpg
天才的编辑：麦克斯·珀金斯与一个文学时代,2015-06-01 00:00:00,人物传记-文学家,"    知名传记作家、普利策奖得主A.司各特·伯格凭借大量一手资料，引人入胜地再现了珀金斯非凡的一生。20世纪上半叶美国文学出版炽热的中心和现场，编辑人与重要作家交往合作的细节内幕，《了不起的盖茨比》《太阳照常升起》《天使，望故乡》等等文学杰作诞生的始末，在伯格生动精彩、充满悬念的讲述中一页页得以还原。本书是一位编辑大师扣人心弦的文学传记，也是一个时代的肖像，“一部叹为观止的文化史力作”（《纽约时报书评周刊》）。2016年，改编影片《天才》上映，由科林·费斯、裘德·洛、妮可·基德曼等主演，入选柏林电影节。中文版封面使用精美剧照，获电影片方正式授权。
",8,879,0,52.35,https://wfqqreader-1252317822.image.myqcloud.com/cover/614/29348614/s_29348614.jpg
杜甫：中国最伟大的诗人,2020-05-31 00:00:00,人物传记-文学家,“诗圣”杜甫何以荣膺“中国最伟大的诗人”之称号？著名史学家洪业身处日寇囹圄，欲以杜甫诗晨祷夕诵；自述平生以杜诗慰其大悲大喜。后寓居大洋彼岸，用英文写就《TuFu：China&apos；sGreatestPoet》，这部由哈佛大学出版社于1952年出版的杜甫传记，迄今为止仍是海外汉学领域有关杜甫研究的最重要的著述。洪业的传记书写寄寓个人感情，全书译引杜诗达374首，融合史事，逐一析释，考实诗人生平踪迹。译者曾祥波专研杜诗，研译相得，译笔生动流畅。此次出版除订正疏误外，全面优化版式，书后附原书索引、洪业自述杜甫相关文章二篇；另选录洪业英译杜甫巅峰之作七律《秋兴八首》，中英对照，可资赏鉴。谨此纪念诗人杜甫逝世1250周年暨洪业先生逝世40周年。,6,829,0,68.02,https://wfqqreader-1252317822.image.myqcloud.com/cover/645/33064645/s_33064645.jpg
苏轼评传,2019-12-01 00:00:00,人物传记-文学家,苏轼在诗词、散文、书画等各文艺领域都达到一流水准，在哲学、美学、史学、政治以及人生修养诸方面也曾发表许多精辟之见，自成一家之学，他穷尽了中国士大夫的一切可能性。本书以文化、文学、哲学、史学、美学、政治学等七个维度串联苏轼的生命历程，并将苏轼置于历史和文化的洪流中上下观照，展现其大起大落的一生和丰富立体的精神世界。从中我们可以看见为文人的苏轼、为思想家的苏轼、为生活美学家的苏轼。全书立论严谨精辟，妙悟新见迭出，处处闪耀着思想的光芒和智慧的火花，是“苏轼传记”中不可多得的精品之作。,11,870,0,21.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/284/37100284/s_37100284.jpg
毛姆传,2021-05-01 00:00:00,人物传记-文学家,他是才华横溢的故事家，也是有史以来极负盛名、在世界范围内拥有众多读者的作家，然而，在赛琳娜·黑斯廷斯这部里程碑式的传记问世之前，萨默塞特·毛姆（1874—1965）的真实人生从未被完整讲述过。凭借前所未有的大量私家档案、扎实研究和强健的笔力，黑斯廷斯在本书中揭开了毛姆的神秘面纱，其生平交往与文学创作令人着迷的复杂真相也得以水落石出。《毛姆传》是一部史诗般“难以超越的文学传记”（《观察家》），一段炽热的情感史，是对萨默塞特·毛姆非凡一生的权威记述。本书为首部中文全译本。,8,915,0,89.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/405/39273405/s_39273405.jpg
无法直面的人生：鲁迅传（修订本）,2021-01-01 00:00:00,人物传记-文学家,一部影响深远的鲁迅思想传记，代表了20世纪八九十年代知识界努力冲破启蒙话语，力图回到“鲁迅本身”，从个体生存的心理结构和思想困境的角度去重新解读鲁迅的重要尝试。作者以鲁迅的人生历程和思想发展为经纬，以其三次努力抵抗自己的“鬼气”和“绝望”为主轴，把鲁迅思想气质中的怀疑、矛盾、阴郁乃至黑暗刻画得深入骨髓，无论是作者还是读者，都会在情感和心理的共鸣中，感受到作为一个人的鲁迅那巨大的精神痛苦和思想悲剧。作者曾解释如此理解鲁迅的原因，是“想要打破那一味将鲁迅往云端里抬的风气，想要表达对鲁迅的多样的情感，不仅仅是敬仰，是热爱，还有理解，有共鸣，甚至有同情，有悲哀；我更想要向读者显示生活的复杂和艰难，不仅仅是鲁迅，也是我们自己，不仅仅是过去，也是现在和将来”。,9,916,0,47.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/166/41151166/s_41151166.jpg
