title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
我的世界观,2018-11-01 00:00:00,人物传记-科学家,【第十四届“文津图书奖”获奖作品】爱因斯坦不仅是天才和伟大的科学家，还是思想家和人道主义者、和平主义者。他不受羁绊的独立人格，以及看待问题和处理问题的独特方式使他思想深刻、见解独到。除了科学论文外，爱因斯坦发表了大量有关世界观、人生观和科学观方面的文章，涉及政治、经济、文化、教育、友谊、犹太人、纳粹德国等诸多方面。本书以影响较大的1953年德文版《我的世界观》为底本，收录了《观念与见解》《爱因斯坦晚年文集》里的及散落别处的相关文章，编译出一个独有的《我的世界观》中文版。其中有20多篇珍贵文章此前从未翻译成中文出版过。爱因斯坦表达了自己对哥白尼、伽利略，牛顿等具有划时代意义科学家的看法。读者通过爱因斯坦的双眼，回到他生活的那个年代，回溯20世纪初科学发展进程。居里夫人、洛伦兹、玻尔、朗之万……这些科学家在当时环境下面临的压力，他们的抗争与奋斗；看到爱因斯坦讲述自己的成长和奋斗，他作为一个犹太人的责任与思考，观点与态度；以及爱因斯坦的科学研究之路。通过《我的世界观》我们将走近伟大的灵魂，认识一位诙谐幽默，充满个性的爱因斯坦。,17,791,0,34.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/583/23514583/s_23514583.jpg
蚕丝：钱学森传,2011-04-01 00:00:00,人物传记-科学家,《蚕丝：钱学森传》讲述了钱学森旅美二十年、曲折归国以及为中国航天事业殚精竭虑的传奇一生。钱学森是如何从一个清末杭州西子湖畔出生的钱王后裔一跃成为美国航天业界最杰出的火箭动力专家，以及如何成为麦卡锡主义的牺牲品而离开美国，从而摇身变为新中国航天事业的奠基人，成为中国的“导弹之父”？这本书都做了解答。,5,876,0,25.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/549/914549/s_914549.jpg
在时光中盛开的女子：林徽因传,2018-01-01 00:00:00,人物传记-科学家,她的人生不算长，可是经历了繁华与优渥，也历尽了贫困与疾病；收获了亲情、友情与爱情，也获得了圆满的婚姻。也正是因为这样，为林徽因立传，实在是一件美好的事。《在时光中盛开的女子：林徽因传》将要叙述的，是她的才华，她的性格，她的信仰，她的苦难，她的事业，美丽之外的坎坎坷坷、灿烂与辉煌……让你邂逅一位真实的林徽因。,16,924,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/38/26188038/s_26188038.jpg
富兰克林传,2015-04-13 00:00:00,人物传记-科学家,本杰明·富兰克林(Beniamin Frarlklin)(1706-790年)是18世纪美国的实业家、科学家、社会活动家、思想家和外交家。 　他是美国历史上第一位享有国际声誉的科学家、发明家和音乐家。为了对电进行探索曾经做过著名的“风筝实验”，在电学上成就显著。为了深入探讨电运动的规律，创造的许多专用名词如正电、负电、导电体、电池、充电、放电等成为世界通用的词汇。他借用了数学上正负的概念，第一个科学地用正电、负电概念表示电荷性质。并提出了电荷不能创生、也不能消灭的思想，后人在此基础上发现了电荷守恒定律。他最先提出了避雷针的设想，由此而制造的避雷针，避免了雷击灾难，破除了迷信。他是一位优秀的政治家。是美国独立战争的老战士。他参加起草了《独立宣言》和美国宪法。积极主张废除奴隶制度，深受美国人民的崇敬，在世界上也享有较高的声誉。,10,789,0,35.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/591/833591/s_833591.jpg
牛顿传（修订版）,2020-01-01 00:00:00,人物传记-科学家,按照一份在历史上知名的影响力人物名单——“100 个伟人”所列，艾萨克· 牛顿排名第二。牛顿从大学新生到升任剑桥大学教授只用了8年时间，他所创建的诸多原理，帮助我们塑造了现代世界的模型。他是世人景仰的天才，更是破界创新者。 然而，牛顿并非如历史一向记述的那样是个人格无瑕的人。过去的传记作家往往为了神话牛顿的“科学伟人”形象，故意避而不谈他从事炼金术和个人信仰。这本书的作者迈克尔·怀特则以特有的科学视角，求证于牛顿留下的50多万字的炼金术手稿和100多万字的神学手稿，提出了牛顿痴迷炼金术、神学研究和他奠立近代科学基础之间的重大关联。 书中，我们看到的是一个性格曲折难解、穷尽一生追求知识的天才，他同时还是个为学术界所不容的炼金术士。在孤独的少年时代，他对传统的教育不满，难以觅得他人的友情，于是他将自己隔离，超越成长环境的限制，去探索更为广阔的科学世界。尽管他是历史上大受尊敬的一位科学家，也是一位创立科学方法的楷模，但他一生花费在炼金术上的精力，远远超过探究纯科学的心力。终其一生，他都想要了解他所碰到的事物。这种对新知渴求致使他达到近乎疯狂的状态，与此同时，他也改变了我们生存的这个世界。,27,855,0,41.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/783/32763783/s_32763783.jpg
走近费曼丛书：别逗了，费曼先生！,2019-07-01 00:00:00,人物传记-科学家,理查德·费曼，美国著名物理学家，1965年诺贝尔物理奖得主，对原子弹发展贡献卓绝。《别逗了，费曼先生》为费曼自传，书中的这些故事，是科学怪才理查德·费曼和拉尔夫·莱顿高高兴兴打鼓的七年之间，零散而随意地积累起来的。一个人的一辈子，竟然能发生这么多奇妙而发疯的事情：在大学宿舍里愚弄同学、观察蚂蚁、模仿猎犬嗅气味、不可思议的计算能力、撬开了装着原子弹保密文件的九个保险柜、在酒吧的厕所里跟人打架、看裸体舞表演、在巴西打桑巴鼓、学日语的尴尬、画儿画得相当不错、愚弄精神病医生、破译玛雅天文学古本，等等。这些令人发笑的故事，表现的是费曼坦率诚实的品格、自由的精神和创造性的思维。作为他生活轴心的物理学研究，其实是这个大玩家用全部的好奇心和热情来玩的一个玩具。,15,812,0,34.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/915/26062915/s_26062915.jpg
爱因斯坦传（全2册）,2019-08-08 00:00:00,人物传记-科学家,《爱因斯坦传》（Einstein：His Life and Universe）是一本爱因斯坦的生活传记，也是爱因斯坦的所有文稿于2006年公开后出版的第一本传记。2007年初版后好评如潮，被评为是一部“赏心悦目的传记”，“迄今为止可读性最强的爱因斯坦传记”。本书首版印数高达50万册，荣登《纽约时报》畅销书榜，2008年又荣获美国国家科学总院2008年度科学传播最佳图书奖。作者沃尔特·艾萨克森曾任美国有线新闻电视网（CNN）主席和《时代》（Time）周刊总编。其《史蒂夫·乔布斯传》、《基辛格传》和《富兰克林传》都是超级畅销书。艾萨克森以高超的叙事技巧和驾驭材料的能力，将浩如烟海的材料相当巧妙地糅合在一起，既讨论了爱因斯坦作为人的方面，又阐述了他在物理学上的深刻思想，完整而生动地揭示了爱因斯坦的性格特征和思想贡献，使这位大物理学家的生动形象跃然纸上。,10,869,0,49.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/332/26435332/s_26435332.jpg
钟南山：生命的卫士,2020-04-01 00:00:00,人物传记-科学家,一个沉醉于冒险的顽童，怎样种下毕生追寻的理想？一个叱咤田径场的少年，如何成为妙手仁心的医者？一个久别医坛的中年人，历经哪些磨难涅槃为业界泰斗？一位历尽坎坷的老人，凭什么两次在病毒肆虐时力挽狂澜？……钟南山，中国工程院院士、呼吸病学专家。他以诚信做骨架，以大爱为经纬，为天地立心，为生民立命，完美诠释了院士的职责，战士的勇猛，国士的担当。,10,892,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/321/28368321/s_28368321.jpg
不离不弃，且行且珍惜：林徽因传,2017-06-01 00:00:00,人物传记-科学家,她不仅有美丽的外貌，还有机智幽默的谈吐，优雅迷人的气质；她是一个才情横溢的诗人，一个入木三分的评论家，也是一个卓有成就的建筑学家；她是一个让人神魂颠倒的情人，一个让人如沐春风的朋友，也是一个可以患难与共的妻子；她对任何美的景、美的入、美的事都会兴奋；她标志着一个时代的颜色，温婉清逸，遗世独立……她，就是中国近百年的文化“才貌双全”的，集佳话、传奇、才艺、品学、美貌于一身的林徽因。从北总布胡同的“太太客厅”，到西南联大与丈夫梁思成一起脱坯和泥筑建的屋宅，再到患病时煎熬五年困苦闭封却依旧未曾懈怠建筑研究片刻的李庄生涯。林徽因，一步一步，走得铿锵、热烈，又哀艳、笃定，寸寸皆是庄严并令人钦佩。姜雯漪著的《不离不弃且行且珍惜（林徽因传）》用清澈的文字、诗意的笔法、翔实的资料，生动地展现了林徽因的传奇一生。,21,805,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/626/26188626/s_26188626.jpg
邓稼先传（共和国科学拓荒者传记系列）,2015-02-01 00:00:00,人物传记-科学家,"    在家人的眼里，他，一个忠厚朴实却又聪明绝顶之人，毅然决然地参与了我国核研究工作；他，一个默默无闻却又是绝佳的科研领军之人，戈壁的风沙吹散了他的姓与名；他是党最忠心的儿子，他是中华民族的骄傲。国难当前，方显英雄本色！为了一个坚定的信念，他面对重重困难，无所畏惧，勇往直前。站在选择面前，他毫不犹豫，用他的话说：“我的生命就献给未来的工作了。做好了这件事,我这一生就过得很有意义,就是为它死了也值得。”
",7,860,0,5,https://wfqqreader-1252317822.image.myqcloud.com/cover/584/612584/s_612584.jpg
