title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
梵高传,2015-10-01 00:00:00,人物传记-艺术家,这是一幅关于梵高的巨细靡遗、令人心碎的肖像画。全书以令人震惊的精确性，照亮了梵高困顿不安的心灵历程，对这位伟大艺术家过于浪漫的神话做出了重大的再认识：他早期为赢得容身之地所作的斗争，他与弟弟提奥极其深密却紧张的关系的，他丰厚广博的文学艺术修养，他恣意又狂乱的私生活，他炽热而旺盛的创造力，他遗传自家族的精神疾病，他“自杀”案件中的重重疑云……,13,852,0,63.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/78/853078/s_853078.jpg
列奥纳多·达·芬奇传,2018-08-01 00:00:00,人物传记-艺术家,列奥纳多·达·芬奇是文艺复兴时期伟大的艺术家和科学家，是影响了世界500多年的“网红”。达·芬奇能将艺术、科学、技术和想象力融为一体，同时，他能对自己稍显异类的状态泰然处之：私生子、同性恋、素食者、左撇子、容易分心。带着顽皮而执着的热情，达·芬奇孜孜不倦地投入对众多领域的创新与探索，包括解剖学、化石、鸟类、飞行器、光学、植物学、地质学、水流，以及军事装置。他的笔记不仅是有史以来对好奇心难以超越的纪录，而且是激动人心的指南，跨学科的才华跃然纸上，带领我们去了解这个好奇心旺盛的人。,13,837,0,59.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/882/22902882/s_22902882.jpg
故事的开始,2018-10-01 00:00:00,人物传记-艺术家,从1998年出版《森林里的秘密》和《微笑的鱼》开始到这本书的诞生，幾米耕耘了十年。十年间，他以惊人的创作能量，推出各种不同面貌的作品，红遍海内外。但他鲜少谈论自己的创作过程。在幾米的脑袋和作品之间那个神秘的世界，始终是读者难以企及的好奇。“我还不够分量谈这些。”他总是腼腆地说。在这本书中，幾米首次完整地详述每个创作背后的故事，从一个画面的完成，到角色、主题的灵感诞生，“创作”背后神秘的帘幕随着幾米的回溯一一揭开。书中并收录王文华、陈绮贞、黎焕雄、陆蓉之、柯倩华等人对幾米作品的看法。“幾米为什么是幾米？”这本书提供了直接的答案。,9,770,0,24,https://wfqqreader-1252317822.image.myqcloud.com/cover/283/23199283/s_23199283.jpg
人生AB面,2013-10-01 00:00:00,人物传记-艺术家,《人生AB面》是著名主持人曹可凡第一本真正意义上的个人传记，首次以文字形式，讲述了他的童年、求学、高考失利、选择学医、兼职主持、留校任教又最终成为资深传媒人的全过程。从主持《诗与画》到《快乐大转盘》到以制作人身份开辟《可凡倾听》再到开拓《加油好男儿》《舞林大会》《顶级厨师》等真人秀主持疆场甚至走上电影大荧幕的非凡经历，全面展现了一个性格爽朗、学识渊博、主持风格沉稳大气的沪上名嘴的人生点滴。本书伴随着曹可凡的成长与成熟，也谱写了中国电视节目发展、改革和腾飞的三十年风雨兼程。而对于这一代的年轻人，这本书能够成为一本具有人生参考意义的指导书，从曹可凡的经历中，我们看到一个人从小的所思、所想、所做，真的会点滴展现在今后的人生蓝图上，而没有人可以靠幸运成就非凡，即便是命运的不经意，也都是你在无意识时种下的良苦用心。,38,842,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/818/27325818/s_27325818.jpg
梵高（名人传记丛书）,2013-02-01 00:00:00,人物传记-艺术家,"    梵高自幼性格孤僻，年轻时做过画廊职员、教师、牧师、直到而立之年才决定踏上绘画之路。他被誉为19世纪最伟大的画家之一，并深深影响了20世纪的艺术。本书讲述了荷兰画家梵高独特的生命历程，以及他为艺术不懈追求和探索的一生，有助于读者更好地了解梵高及其作品的价值。
",2,739,0,1.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/51/651051/s_651051.jpg
毕加索（名人传记丛书）,2013-01-01 00:00:00,人物传记-艺术家,毕加索出生在西班牙一个小城，自幼便具有非凡的艺术才能。本书客观讲述了毕加索从出生、成长到成为一代大师的生命轨迹，展现了他不平凡的一生。,2,640,0,1.86,https://wfqqreader-1252317822.image.myqcloud.com/cover/3/649003/s_649003.jpg
杜尚传（修订版）,2017-09-01 00:00:00,人物传记-艺术家,本书是首部以中文写就的杜尚传记，洋洋三十万言，追索这位传奇人物的艺术历程和精神世界，同时描绘了一幅20世纪西方现代艺术变迁的画卷。杜尚以一人之力扭转当代艺术的走向，却始终韬晦自隐，但开风气不为师；他的生存态度，他的艺术观点，他的超然、无我，让他躲开种种羁绊，站到了艺术之上。理解杜尚，我们可以把整个现当代艺术的得是成败看得透透彻彻；通过杜尚，我们将把一个人的生命价值看得清清楚楚。,7,782,0,50.7,https://wfqqreader-1252317822.image.myqcloud.com/cover/741/921741/s_921741.jpg
达·芬奇传：自由的心灵,2020-09-01 00:00:00,人物传记-艺术家,列奥纳多·达·芬奇是所有伟大艺术家中最神秘的一位，这位文艺复兴时期重要的艺术家、科学家、发明家和天才，在其逝世后的几个世纪里一直激发着人们的灵感和兴趣。这位文艺复兴巨匠背后的真实人生是怎样的？在他的传世作品和手稿中有着怎样的故事？查尔斯·尼科尔翻译了许多手稿、笔记和最新发现的文字记录，深入研究达·芬奇的各种鲜为人知的生活细节，为读者描绘了一位生活在复杂世界中的伟大而平凡的人物，重建了列奥纳多·达·芬奇的人生经历和他身处的时代，并提出了一些新的观点和见地。这是一部优秀而严谨的学术之作，也是一部通俗易懂、可读性极强、极富感染力的作品。,30,864,0,69.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/270/41868270/s_41868270.jpg
我负丹青：吴冠中自传：珍藏纪念版,2021-10-28 00:00:00,人物传记-艺术家,本书为艺术家吴冠中的自述，书分三部分，d一部分叙“生命之流”，即随着岁月的流逝和生活的经历，记自己思想感情的成长、发展、转变与衰落。这生命之流如绘了一幅《清明上河图》，着力于长河的全貌与主要转折，而许多局部细节须用放大镜观察。第二部分“此情此景”，便全是局部放大图，包括有关生活的、文艺观的，其中不少文章都是当年针对现实而发，并引起过强烈反响和争议，今一字不改呈奉于新读者前，读者有蕞大的自由选择自己有兴趣的篇章。第三部分是年表，那是生命支付的账单，备查支付的误差。,8,0,0,81,https://weread-1258476243.file.myqcloud.com/weread/cover/44/3300010444/s_3300010444.jpg
寻访千利休,2016-12-01 00:00:00,人物传记-艺术家,他被日本人奉为“茶圣”，获封“天下第一茶人”，得天皇赐名“利休”。六十岁时，他侍奉关白丰臣秀吉，盛名如花，从者如云；七十岁时，他与后者决裂，被勒令切腹。秀吉曾言，只要他肯低头妥协，便可免于一死，可是，千利休没有丝毫妥协的道理，只因为，这是一场与“美”有关的论战，而他发誓要让天下人见识到“至美”的深渊：美，与权力无关，美，与生死无关。在人生最后的茶席上，他阖上眼帘，黑暗中浮现出一张女人的脸庞。很久以前的某一天，他让女人喝了茶。也是从那一天起，千利休的茶之道，开启迈向“寂”的异世界……,9,800,0,18.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/694/23493694/s_23493694.jpg
