title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
女性养生三步走：疏肝、养血、心要修,2019-01-01 00:00:00,医学健康-两性,女性养生可以分为三步：第一步疏肝气女性绝大多数疾病都是肝气郁结造成的，原因是压力大，爱生气，总憋屈，时间一长自然就憋出了病。肝气郁结，会由内而外、全面地损害女性的健康，所以，女性养生，疏肝气是头等大事。第二步养阴血女性是靠血来滋养的，血液一亏，百病丛生。由于月经、流产和分娩等很容易耗伤阴血，所以女性血虚和瘀血的情况非常普遍，这是造成许多妇科疾病的另一大原因。遇到这种情况，就可以通过补血和活血化瘀来治疗。第三步修心性很多女性患病并不是因为身体，而是因为心性。其实，肝气郁结很大一部分原因就在于心性不够宽广，遇事想不开，爱钻牛角尖。古人说：“祸福无门，唯人自召。”疾病也是一样，如果您心性好，站得高，看得远，想得开，活得透，肝气调和畅达，正气内存，疾病就不会找上您。,9,907,0,20.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/854/33800854/s_33800854.jpg
身体由我：关于了不起的女性身体的一切,2021-11-08 00:00:00,医学健康-两性,"这是一部女性健康科普著作，图书出版后在德国医学界和科普界收获了一致盛赞，长踞《明镜》周刊畅销榜，领衔各大健康百科及女性健康图书榜单。
许多女性对自己身体所持的态度是不确定的，其实，子宫、乳房、卵巢、生理期，它们存在于世界上半数人的体内，它们与生命密切相连，它们的健康直接决定了女性的生命质量，因此，它们是应当“被看见”、“被了解”的。在认知身体的旅途中，女性将意识到，很多心理的变化和情绪的起伏，都由体内的荷尔蒙所掌控。对荷尔蒙系统的深入认知，能够帮助我们理解抵御衰老和守护健康的准则。而所有的知识储备升级，都将带领我们，找到更加广阔的那个自己。",7,910,0,48.3,https://weread-1258476243.file.myqcloud.com/weread/cover/93/3300018093/s_3300018093.jpg
女生呵护指南,2019-08-01 00:00:00,医学健康-两性,医学硕士，妇产科医生，女性健康领域知乎大V、女性健康自媒体“第十一诊室”创始人六层楼的暖心之作。一定要知道的关于女生的那些事儿：女性生理、妇科疾病、安全防护……这本书既是女生的私密宝典，也是了解和关爱女生的大百科，让你懂得如何呵护女生。轻松、幽默、贴心而又科学、严谨的内容会陪女生度过痛苦和迷茫的时刻，给予女生温暖的呵护。,23,845,0,56,https://wfqqreader-1252317822.image.myqcloud.com/cover/714/26087714/s_26087714.jpg
你的身体，是一切美好的开始,2015-03-01 00:00:00,医学健康-两性,卡梅隆˙迪亚茨将她在20年来的健康之旅中得到的建议、提示、技巧和有用的科学，与女性朋友们分享。她想让女士们明白，变健康永远比变瘦更重要。我们的身体永远是我们所能拥有的最好也是最重要的有形之物，只有了解她、接受她、呵护她，才能真正拥有自信、遇见美好。最好的东西都是不可能速成的，那种能让你一夜之间变得健健康康、快快乐乐的速效良方、魔力药丸，是根本不存在的。本书的目标是你未来的永远。你将得到的不是减掉几斤体重、缩小几寸腰围，而是全方位的身心健康。今天、明天，直到20年后，营养、运动、自律都是最值得你花时间去关注的问题，因为这些就是健康，而健康就是一切。,10,735,0,79.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/444/917444/s_917444.jpg
夫妻性生活1000问,2012-01-02 00:00:00,医学健康-两性,全书以男人与性、女人与性、夫妻性生活、其他性问题等篇章分门别类地详细揭秘“性”，并在每个问题的后面附上“贴心小叮咛”，给读者一个心理按摩。,171,684,0,10.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/410/679410/s_679410.jpg
脾虚的女人老得快：女中医师亲授新妇科公开课,2013-11-01 00:00:00,医学健康-两性,"    作者佟彤汇集了协和、中日友好、北京大学第一医院等三甲医院博导级妇科医师的最新临床精粹，围绕“脾虚的女人老得快”这样一个观点，细说了痛经、乳腺增生、卵巢囊肿等高发、频发的女人病，及黄褐斑、黑眼圈、游泳圈等女性常见的早衰烦恼，并从专业角度颠覆众了多健康养颜谬误、揭露广告背后的陷阱，全面呵护女性健康。《脾虚的女人老得快》全书权威、实用、易操作。
",2,782,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/296/714296/s_714296.jpg
让孩子不发烧、不咳嗽、不积食（全新修订升级版）,2018-04-01 00:00:00,医学健康-两性,这是一本专门教父母用食疗和心理学方法对症调理孩子常见病的书。孩子生病了，什么时候该自己调理，用什么简单、安全的方法调理，什么时候该送医院？如何让孩子疾病不再复发？这本书里讲得清清楚楚，即便是一点儿医学知识都没有的家长，也能照方调理或举一反三。本书针对性强，能够帮助家长解决0~10岁孩子发烧、咳嗽、积食的常见病症。书中把孩子发烧、咳嗽、积食各个阶段的病因和症状讲得通俗、清晰，可以让任何家长都能及时发现孩子身体状况的变化，防患于未然。介绍的调理方法简单、安全，多为食疗及外治法，能提供给家长一系列可操作的解决方案。您知道孩子的大部分疾病都是源自脾虚吗？您知道家庭气氛不好，家长情绪不好是会造成孩子身体健康出现问题吗？您知道孩子舌苔脱落是因为脾胃受伤导致的吗？您知道孩子不长个、不长肉是因为脾虚吗？您知道孩子胃口差应该如何调理吗？您知道肥胖对孩子有多大的害处吗？您知道家长养心对孩子有多大的影响吗？如果您不知道孩子生病的根源，您只能茫然地面对孩子一次又一次的疾病，只能把孩子的健康寄希望于医院和药物。畅销育儿保健书《让孩子不发烧、不咳嗽、不积食》前传，告诉家长如何从根源上保护孩子不生病！,35,882,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/321/25960321/s_25960321.jpg
沈氏女科600年：女人会养不会老,2017-01-01 00:00:00,医学健康-两性,不管是美丽的容颜还是健康的身体，都要靠养。而且“养”又分为“内养”和“外养”。只可惜，太多女人只肯花时间在“外养”上，犯了舍本逐末的错误。比如：女人对待皮肤松弛如临大敌，重金做美容取得的效果也只是暂时的。因为内养才是根本。想让自己的线条紧致、气色红润，你得保持脾气强健，从内部调养才是女性延缓衰老的根本办法。不管是脸色黯淡无光、长暗疮、色素沉着、皮肤差、气色差，还是长皱纹、腰酸背痛、骨质疏松以及各种疾病，预防它们的方法就在你自己的手中。只看你是否能够用心经营。从头到脚、由内而外、从体形到肤色，你都可以通过饮食调理、日常保健、情志调节来保持年轻美丽。,15,751,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/578/30151578/s_30151578.jpg
只有医生知道！2,2013-11-01 00:00:00,医学健康-两性,协和张羽医生应广大读者要求，诚意奉上该系列第二本，生动讲述只有医生才知道的医学科普知识、求医问药之道。《只有医生知道！2》，精彩讲故事，明白说科普。教大家识别市面上几种妇产科最常见的过度医疗陷阱，告诉大家更多高效备孕、封山育林的妙方好招，用案例阐述不采取避孕措施的危险后果，最生动直观、效果极佳的性教育知识……更多读者最想知道的、普通女性都需要知道的健康知识，尽在《只有医生知道！2》。@协和张羽发给天下女性的又一封关爱私信。,2,876,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/748/449748/s_449748.jpg
只有医生知道！3,2015-12-01 00:00:00,医学健康-两性,资深妇产科专家协和张羽继畅销百万册的《只有医生知道1》《只有医生知道2》后，暌违2年，系列第三本诚意回归！针对广大女性关注的孕育及健康问题进行深入阐述，以细腻真实的笔触，首次披露自身经历的剖宫产“倒霉遭遇”，再度挖掘鲜为人知的产房故事，特别针对漏尿、乙肝病人哺乳、外阴整形、二胎生育等热点问题进行详细解读。全书语言通俗易懂，极具亲和力和实用性，庞大的新鲜医学知识让你醍醐灌顶，澳门行医经历更让人大开眼界。,15,874,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/61/790061/s_790061.jpg
