title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
只有男科医生知道,2018-12-01 00:00:00,医学健康-健康,本文作者网络大V、著名的段子手、逗逼、资深网红医生@成都下水道  二十多年的从医临床经验，使得他比男人更了解男人，被誉为“中国最有影响力的男科医生”，他用手术刀治疗的是男人肉体的疾病，用文字之刀剔除的男人灵魂的瑕疵！这次他在嬉笑怒骂，以幽默风趣的文笔解剖男人遇到的各种“敏感”问题，如：阳痿早泄、包皮、手瘾、提高性高潮、前列腺等等。本来严肃、枯燥的医疗问题，在作者的笔下变得通俗易懂，有趣好玩，可读性更强。使得男士必想拥有，女士想窥视其内容的经典作品。,13,754,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/217/23691217/s_23691217.jpg
曲黎敏精讲《黄帝内经》（套装4册）,2021-04-01 00:00:00,医学健康-健康,本书是《曲黎敏精讲》的合集，作者结合她深厚的文学底蕴和对生活的独到见解，旁征博引，集百家典籍的精髓，逐字逐句对《黄帝内经》进行剖析。融汇《本草纲目》《伤寒论》《神农本草经》《医法圆通》《汤液经》《说文解字》《易经》《诗经》《道德经》等多部典籍精华，真正打破《黄帝内经》文本束缚。从古籍原文本身巧妙阐发，不仅涵盖切实可用的养生秘籍，更包含社会学、心理学、人类学、天文学、哲学等多种跨学科知识。,8,878,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/613/40055613/s_40055613.jpg
你是你吃出来的：吃对少生病，病了这样吃,2017-09-01 00:00:00,医学健康-健康,《你是你吃出来的》是前安贞医院营养科主任夏萌总结自身患病经历和10万+临床病例写成。高血压、高血脂、糖尿病、冠心病等慢病人群都曾陷入同一个误区——误以为低油低脂保健康，其实多是蛋白质缺乏式营养不良；误以为只能终生服药或手术，忽略了饮食等生活方式改变带来的真正康复。作者结合实例提出：要预防疾病，先回到史上人类进化突飞猛进阶段的食谱——{植物类食物65%+动物类食物35%}，一日三餐才是真正的保健品；针对已患慢病人群，提出“四分法”，讲解冠心病、甲状腺结节、胃炎、心悸、便秘、高血压、痛经、抑郁、老年痴呆14种常见慢病饮食治病方法，帮助患者控制疾病和恢复健康。中国人到底怎样吃才健康？一本书重建健康饮食新认知——吃对少生病，病了这样吃。,10,862,0,24.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/661/920661/s_920661.jpg
你是你吃出来的（套装共2册）,2021-07-01 00:00:00,医学健康-健康,本书由《你是你吃出来的：吃对少生病，病了这样吃》《你是你吃出来的2：慢病康复的饮食密码》构成的套装。《你是你吃出来的：吃对少生病，病了这样吃》：高血压、高血脂、糖尿病、冠心病等慢病人群都曾陷入同一个误区——误以为低油低脂保健康，其实多是蛋白质缺乏式营养不良；误以为只能终生服药或手术，忽略了饮食等生活方式改变带来的真正康复。《你是你吃出来的2：慢病康复的饮食密码》：本书是一本针对高血压、高脂血、糖尿病、痛风等慢病患者、亚健康人群从临床医学角度提出营养治病调理思路和方案的临床营养实践类图书。营养专家夏萌老师总结几十年临床经验，从营养学角度辨别诊治多种慢病和亚健康的成因，破除营养认知误区，深入浅出地剖析疾病的饮食根源，带给慢病患者科学的营养指导。,13,918,0,49.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/586/39128586/s_39128586.jpg
黄帝内经说什么（珍藏版套装）,2018-01-01 00:00:00,医学健康-健康,《黄帝内经说什么》系列丛书涵盖书目：《黄帝内经·四气调神》《黄帝内经·上古天真》《黄帝内经·天年》《黄帝内经·异法方宜》《黄帝内经·金匮真言》。本系列丛书采用对话方式，徐文兵、梁冬对话谈笑之间，告诉您活得好，活得长，心想事成的智慧和方法。其中《四气调神》是教我们如何有效吸取四季及身边各种环境中的正能量，让自己活得强大、圆满；《上古天真》是讲男人、女人一生每七年、八年间如何做快乐之人的智慧。告诉我们：天真才是做人成功、快乐的根本；《天年》讲述什么年龄段该做什么事，不该做什么事情，教您顺利度过生老病死难关的各种窍诀。《异法方宜》重新发现了《黄帝内经》中所讲的人与地理环境的相处之道，其内容从未面世，堪称当今独一无二的养生风水学著作；《金匮真言》讲述了气候变化对人的影响，教您借助天时来让人生省力，活得很顺。现在，很多人都觉得自己活得苦，不管有钱没钱，依然挡不住身体生病，精神压抑，不知道从何解决。而只要您读过此套丛书，所有问题自会悄然而解。它告诉我们，原来经典应该这样读，原来身心的健康和舒适应该这样来获取，才可以历久弥新。,26,889,0,95.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/810/25670810/s_25670810.jpg
这书能让你戒烟,2014-03-01 00:00:00,医学健康-健康,《这书能让你戒烟》讲述的是用一本书就可以戒烟？别开玩笑了！如果你读过了，就不会这么说了。“《这书能让你戒烟》能让你戒烟”，这不仅仅是一个或几个烟民的体会，而是1000万成功告别烟瘾的人的共同心声。如果你是一个老烟枪，你完全可以一边点上一支烟，一边细细阅读《这书能让你戒烟》。你会惊讶地发现，烟瘾会在阅读中不知不觉消失。《这书能让你戒烟》的作者亚伦·卡尔，是一个有着33年烟龄、一天100支烟、声称“不抽烟毋宁死”的家伙。正是这位老烟枪发现了轻松戒烟的秘密！亚伦·卡尔指出，只要停止吸烟1小时，人体血液中的尼古丁成分会下降到1/4；停止吸烟72小时，尼古丁在人体内的反应就会完全消失！,15,860,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/957/758957/s_758957.jpg
曲黎敏精讲黄帝内经系列（套装1-3册）,2020-07-01 00:00:00,医学健康-健康,《曲黎敏精讲&lt;黄帝内经&gt;一》，《黄帝内经》是中国传统医书四大经典之首。2006年曲黎敏的《黄帝内经·养生智慧》电视讲座创下养生栏目收视奇迹。积淀12年，曲黎敏首次逐字逐句，以全新视角解读这一国医典籍。《曲黎敏精讲&lt;黄帝内经&gt;二》，讲述《黄帝内经》中后两大篇章《生气通天论》《金匮真言论》，进一步延伸前作内容的同时，更落实到作息起居、饮食五味等具体应用上。《曲黎敏精讲&lt;黄帝内经&gt;三》，是曲黎敏精解《黄帝内经》系列的第三卷，内容上主讲《黄帝内经·素问》中《阴阳应象大论》这一篇。曲黎敏结合她深厚的文学底蕴以及对生活的独到见解，逐字逐句展开解读。,9,902,0,75,https://wfqqreader-1252317822.image.myqcloud.com/cover/815/31936815/s_31936815.jpg
肠子的小心思,2016-01-01 00:00:00,医学健康-健康,《肠子的小心思》是德国图书界的黑马，口嫌体正直的德国人，一面对粑粑说着“不要不要”，一面看得好污好欢乐。原来，德国人觉得理所当然的马桶竟是痔疮的罪魁祸首；如此现代化的今天，蹲坑这种看似原始的行为竟然还在全世界一半以上的地区保留着，而且这才是大便的正确解锁方式；跟肠子相关的事，不仅有趣，还密切关系到人体的健康状况，一个感觉不好的肠道会让我们感到沮丧，而一个健康的、营养良好的肠道会大大地改善我们的情绪……谁能想到这些奇葩欢乐的内容，竟是一位软萌妹子所写，还一举俘获36个国家和地区读者的心。让我们跟着这本新鲜出炉带着屎味的书，一起开启神奇的消化道之旅吧。,10,875,0,26.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/976/853976/s_853976.jpg
戒糖：改变一生的科学饮食法,2020-10-01 00:00:00,医学健康-健康,“戒糖”是不是不吃糖？代糖不含糖，可不可以随便吃？“戒糖”就能让人变瘦、皮肤变好吗？……关于“戒糖”这一热门话题，人们有很多困惑与问题。由于大量对“糖”危害的解读以及“戒糖”前后对比案例的出现，在理解原理之前，很多人就已经热情加入了“戒糖打卡”的行列……可是为什么吃糖会让我们感到愉悦并且一吃就停不下来，有没有理性与糖相处的健康饮食法呢？你困惑的问题，在本书中都将得到解答。作者综合多年营养学研究、从业经验，以“戒糖”为核心，从科学理解糖在体内的代谢原理，到淀粉、主食、碳水化合物之间的关系，再到糖的形式和来源，全面梳理戒糖的底层逻辑与背后原理，为你积累“戒糖”基础知识。此外，还将为你提供食品标签怎么看、4种不同热量需求的美食食谱、喝了不发胖的甜蜜饮料、正确的买菜顺序等实用科学饮食解决方案。本书将助你找到饮食与身体的节律，学会用一种审慎的态度看待糖，逐渐养成受用一生的健康饮食习惯。,10,811,0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/29/36968029/s_36968029.jpg
图解舌诊：伸伸舌头百病消,2015-06-01 00:00:00,医学健康-健康,《图解舌诊：伸伸舌头百病消（附7种体质人群常见病调理速查全彩拉页）》如果说有一本书能帮助您避免医院的过度检查以及过度医疗，同时还能在时间准确发现疾病的萌芽，并给出不伤害体质的有效调理方法，您是否有兴趣读一读呢？您是否愿意为有病就只知道求助于医院的年迈父母送上一本这样的身体自助手册呢？让父母不再担心自己的身体，把防治疾病的极简单有效方法踏踏实实交到他们手上，真的是善莫大焉！愿这本由著名中医专家，中医诊断学博士罗大伦集数年心血铸就的生命健康学新作助您一臂之力。,15,889,0,11.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/256/851256/s_851256.jpg
