title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
人类简史：从动物到上帝,2017-02-23 00:00:00,历史-世界史,10万年前，地球上至少有6个不同的人类物种，但今天只剩下1个，就是我们智人。究竟发生了什么，让其他人类物种都消失了？我们智人又将会怎样？ 以色列著名历史学家尤瓦尔·赫拉利开创性地将历史和科学结合起来，讲述了从宇宙大爆炸至今智人历史的完整故事。尤瓦尔·赫拉利教授认为，在智人从一种不起眼的动物到地球主宰者的漫长演化史上，发生了三次关键性的革命：认知革命、农业革命和科学革命。认知革命让智人拥有了创造想象秩序和虚构故事的能力，彻底超越了其他物种；农业革命让智人从狩猎-采集生活走向定居生活，生活方式和社会组织发生了革命性的转变；科学革命让智人成为神一样的“造物主”，获得整个地球的统治地位。 尤瓦尔·赫拉利教授还提示我们向前看，因为在过去的几十年里，我们已经开始违背自然选择的法则，而自然选择的法则在过去的40亿年里都一直是生命遵循的法则，今天的我们不仅获得了设计周围世界的能力，也获得了设计我们自己的能力，这将引领我们走向何方，我们想成为什么样的人类？是时候重新定义“人类”了。 《人类简史》是一部全球畅销书，摒弃了旧的解释框架，提出了颠覆性的创见，让我们对自身的存在有了全新的认知。,9,876,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/812/855812/s_855812.jpg
人类简史：从动物到上帝,2014-11-26 00:00:00,历史-世界史,引发23个国家版权大战，一部轰动全球的著作！奥巴马、比尔盖茨、扎克伯格等人力荐！由本书改编成的人类简史课程，成为全球诸多知名大学最受欢迎的课程！十万年前，地球上至少有六种不同的人但今日，世界舞台为什么只剩下了我们自己？从只能啃食虎狼吃剩的残骨的猿人，到跃居食物链顶端的智人，从雪维洞穴壁上的原始人手印，到阿姆斯壮踩上月球的脚印，从认知革命、农业革命，到科学革命、生物科技革命，我们如何登上世界舞台成为万物之灵的？从公元前1776年的《汉摩拉比法典》，到1776年的美国独立宣言，从帝国主义、资本主义，到自由主义、消费主义，从兽欲，到物欲，从兽性、人性，到神性，我们了解自己吗？我们过得更快乐吗？我们究竟希望自己得到什么、变成什么？希伯来大学历史系教授，青年怪才尤瓦尔赫拉利，从十万年前有生命迹象，写到21世纪资本、科技交织的人类发展史。不到五百页，就能让你厘清人类历史重大脉络，这是仅有的一部！,10,889,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/800/635800/s_635800.jpg
罗马人的故事（15册全）,2015-04-01 00:00:00,历史-世界史,"风靡日韩的商界精英、政要必读书、教养必读书！王石、王巍作序，吴晓波、秦朔、吴伯凡联袂推荐。一个不朽帝国行将末路，帝政时期即将走向尾声，走出三世纪危机的迷雾，罗马该何去何从？直到君士坦丁胜出，成为罗马唯一的皇帝。罗马帝国进入一个关键时刻，延续帝国必须创造权威，权力从人类转向上帝。面对基督教，罗马人该消灭它或是接受它？这是否是罗马帝国延续国运的最后一搏？
",65,875,0,360,https://wfqqreader-1252317822.image.myqcloud.com/cover/244/813244/s_813244.jpg
美国的故事（七册套装）,2018-01-01 00:00:00,历史-世界史,"让我们一起来读美国历史，读懂它的随意与平和，读懂它的苦涩和幽默。旅美华人毕蓝老师，在繁忙的工作之余，遍查资料，7年时间，笔耕不辍，足见其毅力以及对历史的热爱。一般历史书都只谈及美国二百来年的历史，本书却可追溯到1517年欧洲的宗教改革，弥补了美国建国前史料的空白，使我们全面了解到美国的前世今生。本书聚焦于美国建国前后的激情岁月。从北美殖民地的建立，到独立战争的打响，再到美国前几任总统的执政状况，作者洋洋洒洒地写了近百万字，可见她笔下的美国历史多么细致而生动。一个个历史事件，如过电影般，立体地呈现在我们面前，它们不再是枯燥的文字，而成了鲜活的故事。
",18,912,0,149,https://wfqqreader-1252317822.image.myqcloud.com/cover/283/926283/s_926283.jpg
耶路撒冷三千年,2017-04-01 00:00:00,历史-世界史,读《耶路撒冷三千年》，了解真实的耶路撒冷，就会明白世界为何演变成今天的模样。耶路撒冷曾被视为世界的中心，是基督教、犹太教和伊斯兰教三大宗教的圣地，是文明冲突的战略要冲，是让世人魂牵梦绕的去处，是惑人的阴谋、虚构的网络传说和二十四小时新闻发生的地方。西蒙·蒙蒂菲奥里依年代顺序，以三大宗教围绕“圣城”的角逐，以几大家族的兴衰更迭为主线，生动讲述了耶路撒冷的前世今生；作者通过大量的田野调查和文献考据，以客观、中立的角度，透过士兵与先知、诗人与国王、农民与音乐家的生活，以及创造耶路撒冷的家族来呈现这座城市的三千年瑰丽历史，还原真实的耶路撒冷……,21,724,0,22.19,https://wfqqreader-1252317822.image.myqcloud.com/cover/336/907336/s_907336.jpg
制造消费者：消费主义全球史,2022-06-10 00:00:00,历史-世界史,"短短两个世纪，世界就从农业社会彻底转变为商业社会，在这个极度便利、高速发展的消费时代，社会心理和社会文化经历了深刻的变化。市场力量的崛起，也催生了全球社会与政治的多重变革。品牌、大型百货公司、公关和广告的繁荣，商品价值的过度包装，无不影响着人类自我认知、自我实现的方式，使我们从自给自足的生产者“进化”成了“买卖机器”。
本书从18、19世纪商品经济发轫的欧洲入手，展现了消费主义、商业文化诞生和发展，并成为现代生活中心的过程，揭示了世界向消费社会的转变和商人权力的急剧上升，是如何将我们制造成“消费者”的。",9,851,0,20.4,https://weread-1258476243.file.myqcloud.com/weread/cover/36/3300019336/s_3300019336.jpg
全球通史,2017-10-01 00:00:00,历史-世界史,"    由英国历史学家乔治·威尔斯和美国历史学家卡尔顿·海斯联合撰写的《全球通史》是享誉全球的经典之作，被称为世界通史领域的开山大作。自出版以来，在多个国家被翻译成十几种文字，受到世界各国读者的一致赞誉。此书中文版由知名翻译家李云哲参考多种资料，历时五年，逐字逐句，精益求精，翻译而成，文字清新隽永，有趣深刻，结构宏大，原汁原味地展现《全球通史》的本来风貌，堪称译著的经典范本。全书从人类的起源和史前文明——旧石器时代的诞生着笔，纵贯数千年，剖析五大洲，一直写到第二次世界大战的结束和冷战的开启。全书分为二十个章节，以人类的文明尤其是四大文明的演变发展为经线，以世界区域的繁荣、衰落、流变为纬线，纵横捭阖，洋洋洒洒五十万余字，透视全球的文明兴衰和历史进程。读完这本书，你将不仅对世界自古至今的演绎图景了然于胸，也对全球的趋势与未来有着深邃乃至哲学高度的认识和理解。乔治·威尔斯和卡尔顿·海斯都是世界史学界的巨擘，他们所著的《全球通史》有别于其他作者的通史版本，不仅内容更为翔实丰富、涉猎更为深广，文字也更简明通俗，适合各个年龄段和学识水平的读者，是了解全球历史不可不读之作。
",38,765,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/221/850221/s_850221.jpg
图解王阳明心学：知行合一的智慧,2017-07-01 00:00:00,历史-世界史,本书共分两个部分。上篇选取了一百多条箴言，并加以解析，从“持纯粹心，做至诚人”“立志由心，量力而行”“静察己过，不论他人是非”“入世心做事，出世心做人”等十九个方面阐释了在立志、修心、仁爱、至诚等方面修身处世的人生智慧。下篇《传习录》，在原文的基础上加了注释和译文，以期帮助读者正确地理解的言论及其最基本宗旨。,47,823,0,13.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/680/26187680/s_26187680.jpg
光荣与梦想（全四册）,2015-03-01 00:00:00,历史-世界史,王石、何怀宏、何帆、俞敏洪激荡推荐。这不是一本书，这是一个时代。自1974年问世以来，《光荣与梦想》一直为无数人念念不忘。这部伟大的作品巧妙地浓缩了美国从1932-1972年的40年丰富历史。著名通俗历史作家威廉曼彻斯特以数任美国总统的执政与竞选为明线，从让胡佛颜面尽失的“胡佛村”“胡佛车”等、罗斯福史无前例的四次当选，一路说尽杜鲁门、艾森豪威尔、肯尼迪，直至让尼克松下台的水门事件，同时不动声色地细致描画美国1932-1972年的40年社会发展历程，内容涵盖“补偿金大军”风潮、经济大萧条、人权运动、麦卡锡主义、种族隔离制度、两次世界大战、原子弹研发、空间竞赛到冷战、朝鲜战争、越南战争等。曼彻斯特将美国这40年间的政治、经济、军事、社会、艺术、科学、时尚、音乐、娱乐，甚至生活热点、妇女的服装潮流、口头语的变化、性观念的更迭全景式重现。曼彻斯特更将美国社会放在全球背景下描述，如此强烈的对比，勾起读者的强烈兴趣。,10,823,0,132,https://wfqqreader-1252317822.image.myqcloud.com/cover/887/635887/s_635887.jpg
丝绸之路：一部全新的世界史,2016-09-01 00:00:00,历史-世界史,轰动世界的现象级畅销书，牛津大学资深历史学家从世界史视角，理清“一带一路”的前世今生！荣登英、美、德、土耳其、印度等20多个国家的非虚构类畅销榜首，获中外学界、政界、商界名人一致好评，《人民日报》破天荒两度推荐。从建立伊始，丝绸之路就始终主宰着人类文明的进程。丝绸之路让中国的丝绸和文明风靡全球；罗马和波斯在路边缔造了各自的帝国；佛教、基督教和伊斯兰教沿着丝绸之路迅速崛起并传遍世界，融汇出耶路撒冷三千年的历史；成吉思汗的蒙古铁蹄一路向西，在带来杀戮的同时促进了东西方文明的交融；大英帝国通过搜刮丝绸之路上的财富，铸就了日不落的辉煌；希特勒为了丝绸之路上的资源，将世界推入了战争和屠杀的深渊。时至今日，丝绸之路上的难民与恐怖主义ISIS，依然是欧洲与美国挥之不去的梦魇。从张蹇通西域到“一带一路”，翻开这部包罗万象的史诗巨著，您将发现，丝绸之路不仅塑造了人类的过去，更将主宰世界的未来。,12,832,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/950/840950/s_840950.jpg
