title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
南京大屠杀,2013-01-01 00:00:00,历史-中国史,1937年12月，日军攻入中国古都南京。几周之内，30多万中国平民和士兵遭到有计划地强暴、折磨和屠杀——死亡人数超过广岛和长崎原子弹爆炸遇难人数的总和。 张纯如不仅在书中详述了日军疯狂暴行的细节，而且分析了在军国主义文化背景下成长起来的日本士兵对人类生命的漠视。张纯如对南京大屠杀的幸存者进行了大量采访，并首次发掘了许多重要文献。全书先是从日本士兵、军官为什么完全脱离了人类基本的行为规范，日本学校和教科书从心理层面向学生灌输对中国人民的仇恨和蔑视，以及高度军事化的教育体制等多个方面阐述了南京大屠杀发生的根源性原因。,8,966,0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/151/718151/s_718151.jpg
舍不得看完的中国史,2020-09-01 00:00:00,历史-中国史,在我们的记忆里，所有对历史的记忆，归根结底都是战争。所有的兴衰、偶然、动机、谋略、经济、天灾，在万事俱备下导演出了这一场场改变历史的战争；也是这一场场的战争，将我们对于历史的所有看法、印象、调侃、想象，全部浓缩，作者通过这些描写，串联起中国古代历史的脉络。《舍不得看完的中国史：秦并天下》以三家分晋到秦朝统一天下的历史兴衰为纲，通过十二场著名战役来讲述历史。读到最后，我们发现，历史中有太多的不得已。亡国之君不一定都混蛋，奸佞当道不见得就那么可恨，忠臣孝子也都得扒开来看。当初他们在做选择时，做那些决定家国兴衰黎民生死的事情时，有很多的不得已，没有一个重大选择是轻松的。读到最后，我们难免会设身处地地想，如果未来你面对这种情况时，你会怎么选，以及选完后的结局走向。,18,910,0,21.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/846/34560846/s_34560846.jpg
叫魂：1768年中国妖术大恐慌,,历史-中国史,"《叫魂》所讲述的是一个关于“盛世妖术”的故事。在中国的千年帝制时代，乾隆皇帝可谓是前没有古人 后没有来者的一人。他建立并巩固起来的大清帝国达到了权力与威望的巅峰。然而整个大清的政治与社会生活却被一股名为“叫魂”的妖术之天错地暗。在1768年由春天到秋天的那几个月里，这股妖风竟然冲击了半个中国，百性为之惶恐，官员为之奔命，连乾隆也为之寝食难安。作者细致入微的描写令人颤栗，他生动地再现了各省的恐慌是如何演变成一场全国性的除妖运动。
本书也表现出了一种更为宏大的学术视野，在构建以“叫魂”案为中心的“大叙事”的过程中，在方法论的层次上将社会史、文化史、政治史、经济史、区域分析、官僚科层制度分析以及心理分析等研究方法结合在一起。本书可作为学生必读参考书。",11,922,0,48,https://weread-1258476243.file.myqcloud.com/weread/cover/89/3300024289/s_3300024289.jpg
万历十五年（精装版）,2015-08-01 00:00:00,历史-中国史,热播反腐剧《人民的名义》多次提到《万历十五年》，为什么这么多人研究这本书呢？此书是美籍华裔历史学家黄仁宇先生的成名之作，也是他的代表作之一，融会黄先生数十年人生经验与治学体会与一体，首次以“大历史观”分析明代社会之症结，观察现代中国之来路，发人深思。书名虽为万历十五年，然而其内容却俯瞰了整个明朝的兴衰，并且告诉我们与以往历史书中不同的海瑞、张居正……读黄仁宇的书，你会深刻体会“历史给人以智慧”。这是一部打开中国人视野的经典之作，被誉为“像一道匕首，撕开了由意识形态统治历史写作的铁幕”。史景迁、牟复礼、杨联陞、刘志琴、陈学霖、赵世瑜、朱学勤、杨念群、江晓原、萧功秦、商传、樊树志、毛佩琦、厄普代克、王小波、王朔、谢冕、易中天、吴思等国内外众多名家一致推荐！,5,830,0,19.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/995/840995/s_840995.jpg
大唐兴亡三百年（全集）,2018-10-01 00:00:00,历史-中国史,畅销书《血腥的盛唐》全新改版！读一页就上瘾！比《唐书》有趣，比《资治通鉴》通俗，比《隋唐演义》靠谱，一部令人上瘾的300年大唐全史。知名读书节目《罗辑思维》推荐书目！了解唐朝历史，读这套就够了！《血腥的盛唐》《王阳明心学》畅销历史作家王觉仁唐史经典之作，中国断代史畅销读本！ 翻开本书，领略让你全程上瘾的300年大唐全史。,14,802,0,59.48,https://wfqqreader-1252317822.image.myqcloud.com/cover/650/23562650/s_23562650.jpg
南渡北归（增订版）（全集）,2015-09-01 00:00:00,历史-中国史,莫言、杨振宁、柳传志、俞敏洪、茅于轼、张鸣、张颐武、何亮亮等人力荐！荣获《亚洲周刊》2011年度华文十大好书之冠，以及诸多大奖，好评如潮。这是一部全景展现20世纪中国学术大师命运变迁的史诗巨著，记叙抗战年代学人的艰苦卓绝，再现国难当头大师的风骨典范。所谓“南渡北归”，即上个世纪大批知识分子冒着抗战的炮火由中原迁往西南之地，而后再回归中原的故事。整部作品的时间跨度近一个世纪，所涉人物囊括了二十世纪人文科学领域的大部分大师级人物，如蔡元培、王国维、梁启超、梅贻琦、陈寅恪、钱锺书等。作品对这些知识分子群体命运作了细致的探查与披露，对各种因缘际会和埋藏于历史深处的人事纠葛、爱恨情仇进行了有理有据的释解，读来令人心胸豁然开朗的同时，又不胜唏嘘，扼腕浩叹。书中引用了台湾中研院大量珍贵史料、照片，以及大量亲历者采访资料，如曾氏家族后人、刘文典等大师后人亲述。,9,849,0,70.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/862/825862/s_825862.jpg
易中天中华史：全24卷,2021-12-01 00:00:00,历史-中国史,"全球视野，现代阐释，侦探小说一样好看的中华历史。
学者易中天潜心撰写，历时九年，全部完成，共24卷。
跟随“易中天中华史”远航，我们将开始寻根之旅，发现祖先的足迹，破译诸神的秘密，知道“最早的中国”在哪里；我们将体会夏的质朴、商的瑰丽和周的早熟，感受春秋战国的英雄气质，汲取先秦诸子的卓绝智慧；我们将惊叹两汉两罗马双峰并峙，领略魏晋风度和南北朝风采，看大唐四海一家八方来朝，见两宋超群绝伦一枝独秀，探索元明清何以制度定型又治乱循环。我们将边走边思考：我是谁？我从哪里来？我到哪里去？什么是中华根、中华梦、中华魂？
读完这24卷，愿你若有所思。",24,819,0,999,https://weread-1258476243.file.myqcloud.com/weread/cover/69/3300013169/s_3300013169.jpg
楚汉双雄,2020-11-01 00:00:00,历史-中国史,灭六国后，嬴政面临着怎样的千古难题？旧制度为什么无法搞定新的欲望问题？鸿门宴上项羽为什么没杀刘邦？刘邦军事崛起的真正秘密是什么？为什么千百年来只有韩信的“背水一战”成功了？楚汉争霸的故事，是中国历史中最璀璨的一颗珍珠。自公元前209年陈胜起义，到公元前202年刘邦一统天下，神州大地上群雄并起，色彩纷呈，高潮迭起。无数英雄豪杰蜂拥而至，奋战过百年之余烈，在秦末的这把大火点燃下，燃烧得热热烈烈、通通透透。自此，刘邦开创的大汉王朝，延续四百多年。这八年时间，可谓中国古代史中最为精彩的八年。,15,920,0,27.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/926/36235926/s_36235926.jpg
血腥的盛唐（全7册）,2013-04-01 00:00:00,历史-中国史,在最鼎盛时期，唐朝经济GDP高达世界总量的六成，领土面积是当今中国的两倍，300多个国家的人们怀着崇敬之心，涌入长安朝圣，2300多名诗人创造了无法逾越的文化盛世；然而事实上，如此繁荣的景象只持续了不到整个朝代一半的时间，大唐王朝的最后近百年间，连年内战，四处硝烟，黄河流域尸横遍野，千里无鸡鸣，万里无狗吠，落日的余辉下，是一望无际的地狱之国。翻开本书，中国历史上最著名的主角们：李渊、李世民、武则天、杨贵妃、唐明皇、李白、安禄山、黄巢……帝王将相，轮番上阵，诗人草寇，粉墨登场，紧锣密鼓，不容喘息，连演数场好戏：一场比一场令人血脉贲张！一场比一场起伏跌宕！一场比一场充满血腥和阴谋！,67,810,0,66.29,https://wfqqreader-1252317822.image.myqcloud.com/cover/970/612970/s_612970.jpg
资治通鉴（最爱读国学系列）,2013-01-01 00:00:00,历史-中国史,"    《最爱读国学系列（第2辑）：资治通鉴》是北宋著名史学家、政治家司马光及其助手刘攽、刘恕、范祖禹、司马康等人历时19年编纂的一部史学巨著。全书按时间先后顺序记叙了从周威烈王二十三年（公元前403年）到后周显德六年（公元959年）为止，即“上起战国，下终五代”共1362年的历史，是我国第一部编年体通史。全书共354卷，约300多万字。其中尤以隋唐五代为重心，占了全书内容的五分之二，是书中最具价值的部分。
",11,840,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/550/233550/s_233550.jpg
明朝那些事儿（增补版)（套装全九册),2017-05-01 00:00:00,历史-中国史,《明朝那些事儿(增补版)(套装共9册)》包括：《明朝那些事儿（第1部）》、《明朝那些事儿（第2部）》、《明朝那些事儿（第3部）》、《明朝那些事儿（第4部）》、《明朝那些事儿（第5部）》、《明朝那些事儿（第6部）》、《明朝那些事儿（第7部）》、《明朝那些事儿（第8部）》、《明朝那些事儿（第9部）》共9册。本书主要讲述的是从1344年到1644年这三百年间关于明朝的一些事情，以史料为基础，以年代和具体人物为主线，并加入了小说的笔法，对明朝十七帝和其他王公权贵和小人物的命运进行全景展示，尤其对官场政治、战争、帝王心术着墨最多，并加入对当时政治经济制度、人伦道德的演义。,115,908,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/158/23192158/s_23192158.jpg
