title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
易经（中华国学经典精粹）,2015-07-01 00:00:00,历史-历史典籍,《易经》被尊为“六经之首”，尊享着无比崇高的地位。而在道家经典中，《易经》也享有与其在儒家经典中相同的地位，被道家奉为“三玄之冠”。真正算得上是“群经之首，大道之源”。《四库全书总目提要》对于《易经》，曾给出了这样的定位：“易道广大，旁及天文、地理、乐律、兵法、韵学、算数，以逮方外之炉火皆可援易以为说。”可算是对《易经》全面而重要的评价，甚至无论从其影响的广度和深度上讲，都是世所罕见的，也从来没有一部著作能够产生它那样的重要影响。,21,843,0,5,https://wfqqreader-1252317822.image.myqcloud.com/cover/395/25445395/s_25445395.jpg
道德经（中华国学经典精粹）,2015-07-01 00:00:00,历史-历史典籍,《道德经》是中华文化的经典著作，历代学者都将研读《道德经》作为必修功课。《道德经》共八十一章，多为韵文，分为“道经”与“德经”两大部分。《道德经》五千言，篇幅不长而论述精辟，其中含义深远，思想广博。其内容从多方面论述宇宙的本体、万物之源、自然规律等等，并将其意义融入到现实自然、社会、国家、民生等众多方面。大致分为：论道、治国、修身、砭时、养生、议兵六大方向。本书《道德经》原文遵照中华书局发行的通行版本，每一章以原文开头，之后有“注释”和“译文”两个板块，对字词的注释简明扼要，对原文的翻译精妙准确，同时融入通俗易懂的解读思想。另外，本书除了常有的字词注释和译文之外，还加入了“河上公”对道德经的注解，希望这位黄老学派的集大成者的见解，能为读者们抛砖引玉，以其为伴为镜，协助自我来更好地阅读并理解《道德经》的主旨思想。,22,904,0,5,https://wfqqreader-1252317822.image.myqcloud.com/cover/341/25445341/s_25445341.jpg
脂砚斋评石头记（全集）,2016-03-21 00:00:00,历史-历史典籍,"    《石头记》是中国古代小说的之作，从传抄面世之初，各个抄本上都保留了大量的朱红色批语，一些重要的传抄版本上题有《脂砚斋重评石头记》的字样，所以后人便称这些早期的《红楼梦》抄本为“脂评本”或“脂批本”。
",25,960,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/416/814416/s_814416.jpg
黄帝内经,2013-09-01 00:00:00,历史-历史典籍,"""本书是中国现存医学文献中最早的一部典籍，它比较全面地论述了中医学的基本理论和学术思想，为中医学的发展奠定了基础。现存《黄帝内经》，包括《素问》和《灵枢》两部分，每部分八十一篇。其所揭示的生命活动规律和思维方式，对当代生命科学的研究也有重要的启示作用。""",13,865,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/539/277539/s_277539.jpg
人间词话,2016-03-21 00:00:00,历史-历史典籍,《人间词话》是王国维的代表作，是中国近代最负盛名的一部词话著作。他用传统的词话形式及传统的概念、术语和思维逻辑，较为自然地融进了一些新的观念和方法，其总结的理论问题又具有相当普遍的意义，这就使它在当时新旧两代的读者中产生了重大反响，在中国近代文学批评史上具有崇高的地位。本书的理论核心是“境界”说，该书观点新颖，立论精辟，自成体系，特别是书中提出的三重境界说一直受到国内外学者的重视。,56,828,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/415/814415/s_814415.jpg
素书（中华国学经典精粹）,2015-07-01 00:00:00,历史-历史典籍,《素书》以道家思想为宗旨，集儒、法、兵的汉族传统思想发挥道的作用及功能，同时以道、德、仁、义、礼为立身治国的根本、揆度宇宙万物自然运化的理数，以此认识事物，对应事物、处理事物的智能之作。相传为秦末黄石公作。传说黄石公三试张良，而后把此书授予张良。张良凭借此书，助刘邦定江山。,5,844,0,5,https://wfqqreader-1252317822.image.myqcloud.com/cover/381/25445381/s_25445381.jpg
笑林广记,2016-09-01 00:00:00,历史-历史典籍,《笑林广记》内容多采自冯梦龙的《笑府》，是一部集大成的古代笑话集。全书分为12卷，每卷都有一个独特的主题，如贪吝、世讳、谬误、闺风等，现世事百态、刺人情冷暖、笑可笑之人。本书的整理者游戏主人，据传并非一人，而是清代的一批文人，他们借由改编、赏玩、补写各类笑话，“激乎其中，聊借玩世”。所以，尽管成书于清代文字狱最为严酷的乾隆年间，它依然保持了凌厉、尖锐的特色。此次出版的《笑林广记》，以清乾隆四十六年金阊书业堂梓行的《新镌笑林广记》为底，辅以乾隆五十六年三德堂刊本校对而成。,10,633,0,7.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/684/840684/s_840684.jpg
史记（公版）,2018-04-01 00:00:00,历史-历史典籍,《史记》是西汉史学家司马迁撰写的纪传体史书，是中国历史上第一部纪传体通史，记载了上至上古传说中的黄帝时代，下至汉武帝太初四年间共3000多年的历史。,13,903,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/631/22297631/s_22297631.jpg
梅花易数,2015-09-01 00:00:00,历史-历史典籍,本书为公版书，为不受著作权法限制的作家、艺术家及其它人士发布的作品，供广大读者阅读交流。汇聚授权电子版权。,4,895,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/432/793432/s_793432.jpg
资治通鉴,2015-09-01 00:00:00,历史-历史典籍,本书为公版书，为不受著作权法限制的作家、艺术家及其它人士发布的作品，供广大读者阅读交流。汇聚授权电子版权。,294,837,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/178/721178/s_721178.jpg
