title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
长安的荔枝,2021-11-26 00:00:00,历史-历史小说,天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，二日香变，三日味变”，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务，可为了家人，李善德决心放手一搏。在胡商等人的帮助下，李善德靠着精密计算和反复试验，确定了保存方法和转运路线，将时长控制在十一天，运鲜荔枝之事终得落实。万事俱备，李善德却没料到，横亘在他面前的一座大山，是官场。 李善德还是运来了鲜荔枝，为此，他失去了朋友，又险些丢掉性命，却始终没有失去为人为官的本心。官场诡谲，而初心未改，反使得他在乱世中得以保全。,3,963,0,26.99,https://rescdn.qqmail.com/weread/cover/224/3300003224/s_3300003224.jpg
大明王朝1566（全集）,2016-07-01 00:00:00,历史-历史小说,豆瓣9.5分高评好剧《大明王朝1566》同名小说，台湾朝野必读，新加坡内阁政治参考书。此书为《雍正王朝》编剧、《北平无战事》作者刘和平成名之作。全书以扳倒大老虎严嵩为线索，讲述大明王朝一场盘根错节、惊心动魄的反腐大戏。揭开中国历史上最另类的皇帝嘉靖数十年不上朝的执政之谜；揭示中国历史上清官海瑞以“智忠”代“愚忠”的为官之道；揭露清修明史列为奸臣之最首辅严嵩权极而衰的真相；揭破明朝特殊的政治机构宦官集团最深层的秘密。时隔十年，该剧于2017年2月13日在优酷上线重播。,4,903,0,25.71,https://wfqqreader-1252317822.image.myqcloud.com/cover/310/847310/s_847310.jpg
大秦帝国（全新插图珍藏版）,2019-05-01 00:00:00,历史-历史小说,全新插图珍藏版《大秦帝国》是作者在2012上海人民出版社版的基础上进行的一次大规模全面修订，参考近十年新的考古和历史学研究成果，汇集各家学说，对当时的国家与家族观念、政治与司法制度、文化生活与时代风尚等各个方面进行反复推敲斟酌，最终确认修订逾百处，以求更加精准地再现战国至秦代的社会风貌。同时，本书邀请著名国画家戴红倩先生为书中的经典场景绘制了三十余幅精美插图，并由国画大师戴敦邦先生题字。戴氏父子共同为《水浒传》《红楼梦》《牡丹亭》《封神演义》等多部古典文学名著绘制插图，画风气魄宏大，笔锋雄健，古意盎然。为了更好地贴合《大秦帝国》的风格气质，戴先生对小说做了精细的研读，最终在每一部中选择了四到六个场景，或为小说的高潮部分与关键转折点，或为大众耳熟能详的经典历史画面，将人物与故事融于场景之中，极具表现力。,19,900,0,299,https://wfqqreader-1252317822.image.myqcloud.com/cover/327/25290327/s_25290327.jpg
大秦帝国（套装版）,2016-10-24 00:00:00,历史-历史小说,央视热播剧《大秦赋》同题材历史小说，十几年来最具影响力的历史小说，让当代中国人为之振奋并受益的战国版“大国崛起”。全书共分《黑色裂变》《国命纵横》《金戈铁马》《阳谋春秋》《铁血文明》《帝国烽烟》六部十七册，外加一册《大秦帝国进阶指南》，将战国后期齐、楚、燕、秦、韩、赵、魏七国群雄并起的历史铺展开来，描绘了近200年的战国风云与帝国生灭。在礼崩乐坏，群雄逐鹿的战国末年，面临亡国之祸的秦国于列强环伺之下，崛起于铁血竞争的群雄列强之林。从秦孝公开始，筚路蓝缕、彻底变革、崇尚法制、统一政令，历一百六十余年六代领袖坚定不移地努力追求，才完成了一场伟大的帝国革命，扫六合而一统天下，建立起一个强大统一的帝国。这部鸿篇巨著还原了巨大的历史落差与戏剧性的帝国命运，再现了一个国家一步步实现自己梦想的悲壮历程。书中每一行每一页都充满着智慧方略、阳谋政治的风骨，奋发惕励、强势生存的精神，充满着来自中国原生文明时代的英雄风骨与本色灵魂。,13,895,0,199,https://wfqqreader-1252317822.image.myqcloud.com/cover/678/675678/s_675678.jpg
张居正(全4册)（茅盾文学奖获奖作品）,2013-05-01 00:00:00,历史-历史小说,中国千古第一奇相大传，全票获得第六届茅盾文学奖、首届姚雪垠长篇历史小说奖、中宣部五个一工程奖，被誉为中国新时期长篇小说的里程碑！已被改编成电视剧《万历首辅张居正》，由唐国强、梅婷、冯远征、智一桐、巫刚等一众老戏骨主演。张居正是一位个性不凡的改革家，是彪炳史册的传奇人物。他登上首辅之位后，理政十年：整顿吏治，刷新颓风；整治教育，延揽济世之才；革新税赋，梳理财政。拯朱明王朝将倾之厦，使万历时期成为大明王朝*为富庶的时代。 在风云际会之中，张居正思想深邃，刚毅深沉，多谋善断，声势显赫，无与伦比。然而，他一朝大权在握，却又独断专行，偏信阿谀奉承，引得附势者趋之若骛。权势欲促使他步入人生高峰，也引发身后祸起萧墙。隆葬归天之际，即是遭人非议之时，结果家产尽抄，爵封皆夺，祸连八旬老母，罪及子孙。作为一名政治家，张居正是中国历史上卓有成效的人；可是作为一个人，他却是一个失败者。“生前显耀，死后悲凉”是对他一生*好的概括。他生前死后毁誉之悬殊，除个人原因之外，也可见政治险恶、世态炎凉。而且，张居正的命运也客观揭示了悲剧产生的历史背景与人物的性格缺陷，为今天的读者反思提供了形象的文学读本。,20,842,0,43.72,https://wfqqreader-1252317822.image.myqcloud.com/cover/403/548403/s_548403.jpg
雍正皇帝（全集）,2009-09-01 00:00:00,历史-历史小说,帝王行止、宫闱秘闻素来为读者关心，本书描写鲜为人知的清廷生活，却又不拘囿于那小小的紫禁城。阿哥党争，杀机隐隐，龙庭易主，雍正险胜。改诏说，弑父说，继位说？一段历史，几多疑云，扑朔迷离，令人难解难分。作者用史笔著文，用文笔立史，庙堂之高，江湖之远，无不尽收笔底。上至典章制度、宫廷建筑、饮食服饰、礼仪乐律，娓娓道来，书卷气浓；下至勾栏瓦舍、寺庙堂肆、市井乡野、客旅古渡，徐徐展开，风情万种。阿哥逐鹿，明争暗斗，字字权谋机诈；女伶歌伎，绕梁余音，句句回肠荡气。其情节铺设，天矫跌宕，人物塑造，浓淡相宜，谋篇均别出心裁；以思想为经，艺术为纬，鸟瞰历史，探究人生，非大家而不可为。,24,829,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/246/843246/s_843246.jpg
曾国藩（全三册）,2018-01-01 00:00:00,历史-历史小说,本书是唐浩明所著长篇历史小说，被香港《亚洲周刊》评为“二十世纪中文小说一百强”，获第一届姚雪银长篇历史小说奖。本版为唐浩明独家作序并逐字逐句修订，是作者强力推荐的权威版本。《曾国藩》在变幻莫测的晚清政治风云中展开，讲述了宗圣曾子七十世孙曾国藩的宦海沉浮。少有壮志的曾国藩，审时度势，在太平天国席卷半壁江山时，创建湘军，欲一展雄才。不曾想屡战屡败，两度投江，数立遗嘱。在困窘不堪中，他信奉“好汉打脱牙和血吞”，以知人善任的见识、坚韧不拔的毅力和圆融活络的策略绝地反击，最终击溃太平军。位极人臣时，却又自请裁军，主办洋务，兴学堂，建工厂，力图中兴，书写了传奇的一生……,30,888,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/231/927231/s_927231.jpg
战国纵横：鬼谷子的局（1—15卷）,2021-06-11 00:00:00,历史-历史小说,东方版“权力的游戏”《鬼谷子的局》是一部长篇历史小说。讲述谋略家、兵法家、纵横家、阴阳家、道家共同的祖师爷——鬼谷子布局天下的辉煌传奇！战国中期，在云梦山的幽谷中隐居一位被尊称为鬼谷子的老人。在他身后的二千多年中，谋略家以他为宗，军事家认他为圣，纵横家奉他为祖，命相家拜他为祖师，仙道家尊他为真人。中国人将他视作智慧的化身，敬作无所不能的神龙。,20,856,0,140.25,https://wfqqreader-1252317822.image.myqcloud.com/cover/520/928520/s_928520.jpg
新宋·大结局（全15册）,2020-02-01 00:00:00,历史-历史小说,架空历史小说必提《新宋》！创作15年！360万字《新宋》正式大结局！马伯庸、罗振宇、韩松倾情推荐！一部关于宋朝的大百科全书！宋朝的风俗、礼节、服饰、建筑、制度等均经过翔实考证！作者为写《新宋》，发奋考取四川大学历史学博士。马伯庸：新宋是我看过的第一本穿宋小说，所以它在我的心目中有着与众不同的地位。罗振宇：被害死，看得一发不可收拾。网友盛赞：“如果穿越类小说也自分一派，那阿越就是穿越类作家中的金庸古龙。”北宋熙宁二年正是中华文明造极的盛世，现代大学生石越回到此时改变历史！熙宁二年，宋神宗赵顼任用王安石开始变法。北宋建立百年来。军政积弊、制度腐化，对西夏和辽国的战役也屡吃败局。这是北宋历史的拐点，也是中华文明的十字路口。王安石变法失败，40年后北宋即宣告灭亡。一个当代的历史系大学生石越穿越到这个时候，开始利用千年的知识积淀，对北宋王朝的方方面面进行各项改革，力求使大宋呈现不同于史书的面貌。石越与那些曾在历史中闪过耀眼光芒的君臣将相，开始了一段激烈的交锋与碰撞，朝堂变幻、横马燕云！历史正在悄然改变……翻开本书，真实再现宋朝风土人物！,19,813,0,162.96,https://wfqqreader-1252317822.image.myqcloud.com/cover/180/27754180/s_27754180.jpg
康熙大帝（全集）,2009-09-01 00:00:00,历史-历史小说,《康熙大帝（合集）》：记帝王人生，展宫廷百态；道清宫秘史，书宦海沉浮。作品结构紧凑，故事异彩纷呈，情节环环相扣，读之欲罢不能。,27,887,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/353/843353/s_843353.jpg
两京十五日（全集）,2020-07-01 00:00:00,历史-历史小说,马伯庸全新长篇历史小说。四个痴人、十五天、两千两百余里路的心灵之旅。千里长河，星夜奔驰，四面楚歌，命悬一线。太子这一场沿着大运河的极速奔跑，跑出了皇权与民意的博弈，跑出了宫闱与官场的心机搏杀，跑出了纠葛数十年的复杂恩怨，也跑出了从崇高到卑贱的幽微人心。这是一个小捕快、一个女医生、一个芝麻官和一个当朝太子的心灵之旅，一幅描绘明代大运河沿岸风情的鲜活画卷。,8,791,0,56,https://wfqqreader-1252317822.image.myqcloud.com/cover/263/34367263/s_34367263.jpg
王阳明（全集）,2016-09-01 00:00:00,历史-历史小说," 明代大智者王阳明的一生，是追求人生大智慧的一生，是成功运用人生大智慧的一生，是学做圣贤的一生，是成就圣贤的一生，是立德、立功、立言的一生。长篇历史传记小说《王阳明》全书约108万字，分《学做圣贤》、《龙场悟道》和《我心良知》三部，从王阳明在浙江余姚出生写起，以其五十八岁在江西大余青龙铺逝世为终。全书依据王阳明亲传弟子钱德洪等人编排的王阳明年谱，依照《王阳明全集》所提供的诗赋、奏疏、文章等资料，参照多种史籍以及各种研究资料，结合作者的儒学和佛学修行实践，以求学人生大智慧和运用人生大智慧为核心，力图描述作为思想家、军事家、政治家和诗人的王阳明的一生。
",30,858,0,26.15,https://wfqqreader-1252317822.image.myqcloud.com/cover/265/847265/s_847265.jpg
李自成（茅盾文学奖获奖作品）,2005-01-01 00:00:00,历史-历史小说,本书以写明末的农民战争为主，兼写中国内部明、清之间和清、顺之间的民族战争，刻画了不同阶级的代表人物和生活画面，以及各阶级、各集团之间的错综复杂的矛盾关系，展开了色彩缤纷的历史画卷。作者以“深入历史与跳出历史”的原则，描写了距今300多年的错综复杂的历史进程和波澜壮阔的农民起义。,85,768,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/457/812457/s_812457.jpg
隋唐三部曲（隋乱、开国功贼、盛唐烟云）,2016-01-01 00:00:00,历史-历史小说,"本书由酒徒的《隋乱》、《开国攻贼》、《盛唐烟云》三部以隋唐为背景的作品构成。
",97,825,0,207.19,https://wfqqreader-1252317822.image.myqcloud.com/cover/12/913012/s_913012.jpg
汉武大帝（全集）（长篇历史小说经典书系）,2016-03-01 00:00:00,历史-历史小说,《汉武大帝》以刘彻的幼年开篇，通过风险继位，掌握大权；用贤变法，尊王攘夷；大战匈奴，出使西域；巫蛊为乱，罪己示民等重大事件，围绕和与战、治与乱、忠与叛、生与死、得与失、情与恨的矛盾，向读者全景式地展现了汉武帝纵横跌宕的一生和那个风云变幻、英雄辈出的时代。,15,860,0,59.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/989/41721989/s_41721989.jpg
