title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
明朝那些事儿（全集）,2011-12-01 00:00:00,历史-历史读物,    《明朝那些事儿》主要讲述的是从1344年到1644年这三百年间关于明朝的一些故事。以史料为基础，以年代和具体人物为主线，并加入了小说的笔法，语言幽默风趣。对明朝十七帝和其他王公权贵和小人物的命运进行全景展示，尤其对官场政治、战争、帝王心术着墨最多，并加入对当时政治经济制度、人伦道德的演义。它以一种网络语言向读者娓娓道出明朝三百多年的历史故事、人物。其中原本在历史中陌生、模糊的历史人物在书中一个个变得鲜活起来。《明朝那些事儿》为我们解读历史中的另一面，让历史变成一部活生生的生活故事。,30,922,0,66.21,https://wfqqreader-1252317822.image.myqcloud.com/cover/995/822995/s_822995.jpg
半小时漫画历史系列（共7册）（中国史1-5+世界史1-2）,2021-05-30 00:00:00,历史-历史读物,其实是严谨的极简中国史+世界史。从春秋战国到宋元明清，从四大文明古国到欧洲、日本、美国……翻开本书，在笑出腹肌的同时通晓历史。《半小时漫画中国史1-5》：春秋战国像个班级；大秦过把瘾就死；楚汉之争八卦多；三国就三大战役；大唐盛世开门红；两宋繁荣特有钱；元朝皇帝换得快；大明皇大多逃不开斗外敌、斗奸臣、平内乱三件事；清朝皇帝非常努力，但挡不住世界改革的浪潮……《半小时漫画世界史1-2》：简到崩溃的极简欧洲史、美国往事三部曲、一口气就能读完的日本史。四大文明古国组团出道，为啥只剩中国屹立不倒？翻开本书，在铺天盖地的段子中，看懂另外三大文明古国的前世今生！,12,935,0,199.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/55/39111055/s_39111055.jpg
显微镜下的大明,2019-01-01 00:00:00,历史-历史读物,本书讲述的，是六个深藏于故纸堆中的明代基层政治事件。作者从明代的一系列罕见民间档案文书里，挖掘出这些尘封已久的故事。这些档案是中国历史中绝无仅有的奇迹，它们着眼于平民的政治生活，而且记录极为详尽。在这里，我们能看到朴实的百姓诉求、狡黠的民间智慧、肮脏的胥吏手段、微妙的官场均衡之术，从无数个真实的细节里，展现出一幅极其鲜活的政治生态图景。这六个事件聚焦于一府一县乃至一村之内，记录的是最底层平民的真实政治生活：当遭遇税收不公时，他们如何愤起抗争；当家族权益受到损害时，他们如何兴起诉讼；当政治利益与商业利益发生矛盾，他们如何与官府周旋博弈；当朝廷要求整顿户籍，他们又是如何从中造假牟利……《学霸必须死——徽州丝绢案始末》：万历年间，一项不公正的税收政策在徽州府引发了旷日持久的混乱。乱民、县官、州府、户部、首辅、皇帝等诸多利益集团的博弈之局。《笔与灰的抉择——婺源龙脉保卫战》：婺源县一场持续了六十四年的经济争端，反映了一个县级官员，是如何在重大议题上平衡一县之利害的。《谁动了我的祖庙——杨干院律政风云》：歙县一桩民间庙产争夺案。诉讼双方在这场绵延八年的官司中各展所长，用尽心思，上演了一场精彩绝伦的嘉靖法律大戏。《天下透明——大明第一档案库的前世今生》：一个坐落于后湖（玄武湖）中的冷门机构——大明黄册库从建立到衰败的全过程。了解明代的基层统治，是如何一步步垮掉的。《胥吏的盛宴——彭县小吏舞弊案》：一件小到不能再小的官司，却引来了无数贪婪蚊虫的叮咬。胥吏之恶，被刻画得淋漓尽致。《正统年间的四条冤魂》：四个无辜的清白老百姓，是如何裹挟入朝廷斗争的。作者力图以冷静克制的零度叙事，替那些生于尘埃、死于无闻的蝼蚁之辈作传，转述他们湮没于宏达历史中的声音。想要读懂大明，想要读懂中国古代政治，不可只注目于朝堂，亦要听到最底层的呐喊。在一个个普通人的遭遇中，才蕴藏着最真实的规律。,6,847,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/813/24129813/s_24129813.jpg
明朝那些事儿·全集（2020版）,2020-06-01 00:00:00,历史-历史读物,　　《明朝那些事儿》主要讲述的是从1344年到1644年这三百年间关于明朝的历史，参考《明实录》《明通鉴》《明史》《明史纪事本末》等二十余种明代史料和笔记杂谈，经明史专家毛佩琦审订推荐，俯瞰三百年明史，看到不一样的大明王朝：明朝，一个让人血性喷薄的朝代，一个光怪陆离的朝代、一个强悍而温情的朝代，一个历经劫难又恢宏大气的朝代。明朝就像中国历史的褶皱，每翻开一篇都有精彩无比的故事蕴含着属于中国人的文化密码、政治逻辑、人性经验。,20,924,0,67.02,https://wfqqreader-1252317822.image.myqcloud.com/cover/467/32006467/s_32006467.jpg
古代人的日常生活,2019-09-01 00:00:00,历史-历史读物,古人夏天怎么驱蚊？怎么擦屁屁？一个月挣多少钱？满足你对古人日常生活的全部好奇！超过400万次点赞、1.3亿次播放的抖音大号“讲历史的王老师”作品。5大类主题，60多个话题，从衣食住行讲到社会文化，带你看清真实的古人。作者翻阅大量参考书，确保每一个脑洞大开的问题背后，都有可靠的史料支撑；同时充分发挥东北人的幽默天赋，把每一个问题都写成一个段子，让你一边捧腹大笑，一边观察真实的古人生活细节。翻开《古代人的日常生活》，满足你对古人日常生活的全部好奇！,23,723,0,49.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/708/26196708/s_26196708.jpg
二十五史简明读本（全15册）,2018-08-01 00:00:00,历史-历史读物,本书篇幅适宜，短小精悍，通俗易懂。它既保持了《二十四史》的精华，又汲取了现代史学研究成果尤其是考古发现的成果，并增加了中国近代的历史——《晚清史》。在这次升级的修订中，不但在内容上增添了史学研究和考古发现的最新成果，还增添了精美的彩图。,105,864,0,340,https://weread-1258476243.file.myqcloud.com/weread/cover/5/26675405/s_26675405.jpg
半小时漫画大套装（套装共16册）,2000-09-30 00:00:00,历史-历史读物,"《半小时漫画历史系列（共6册）》
      看半小时漫画，通五千年历史，用漫画解读历史，开启读史新潮流！
      《半小时漫画中国哲学史》
      明明在看诸子百家的精彩掐架，看完却秒懂了中国哲学的奥妙精华！
      《半小时漫画世界史》
      简到崩溃的极简欧洲史、美国往事三部曲、一口气就能读完的日本史、肌肉猛男斯巴达300勇士、酷炫无比的加勒比海盗……
      《半小时漫画唐诗宋词》系列（全4册）
      看起来都是笑点，实际上全是考点，让你在哈哈大笑中重新爱上唐诗宋词。
      别光笑，有考点！内含29篇初高中必考古诗文的注释+翻译，由原中考命题组组长忍住笑亲自出马撰写！
      《半小时漫画经济学》系列（共4册）
       用特别有趣的方式，讲清楚特别艰深的经济学原理！",24,954,0,899.98,https://weread-1258476243.file.myqcloud.com/weread/cover/90/3300013190/s_3300013190.jpg
增广贤文（国学大书院）,2018-09-01 00:00:00,历史-历史读物,"    《增广贤文》内容广泛，从礼仪道德到典章制度，从天文地理到人生哲学，几乎囊括中国文化的精髓；作为传统的蒙学读物，它长句和短句交错排列，灵活多变，形式多样，读来朗朗上口，让人记忆犹新；它又是一本格言集，融汇了诸子百家、历代文人的名言警句，句句闪耀着中国人思想智慧的光芒！
",34,864,0,5.7,https://wfqqreader-1252317822.image.myqcloud.com/cover/443/26796443/s_26796443.jpg
卑鄙的圣人：曹操（全集）,2014-04-01 00:00:00,历史-历史读物,历史上的大奸大忠都差不多，只有曹操大不同！曹操的计谋，奸诈程度往往将对手整得头昏脑涨、找不着北，卑鄙程度也屡屡突破道德底线，但他却是一个心怀天下、体恤众生的圣人；而且他还是一个柔情万丈、天才横溢的诗人；他还是一个敏感、自卑、内心孤独的普通男人。翻开本书，您将了解中国历史上这个独一无二的家伙，进入曹操尘封了两千年的精彩内心世界。,111,860,0,110.21,https://wfqqreader-1252317822.image.myqcloud.com/cover/600/821600/s_821600.jpg
历史深处的民国（全集）,2015-10-01 00:00:00,历史-历史读物,这是一套关于1840～1945百年正史的彪悍史书。是一套全面解读晚清、共和、抗战的长篇历史力作。从来没有一本关于民国的书籍，能像《历史深处的民国》这样，全面、真实、透彻、有趣地将民国这段历史讲明白说清楚。作者在精研民国史料的基础上，以尊重史实的严谨态度创作，以年代和具体人物为主线，用通俗易懂、幽默风趣的语言风格行笔，全新讲述了1840～1945这百年间的一些我们熟悉的人做过的一些我们并不熟悉的事……,19,895,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/171/35039171/s_35039171.jpg
