title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
李宗仁回忆录（上下册）,2015-02-01 00:00:00,历史-史学著作,李宗仁（1891—1969），中国近代史上一位屈指可数的政治领袖和风云人物，曾为桂系军事首领，国民党中央领导阶层的重要成员。1948年4月任国民政府第一任副总统，1949年1月在蒋介石下野后任代总统，同年12月赴美。1965年叶落归根，并于北京发表声明，决心为祖国统一作出贡献。李宗仁一生戎马，历经护国、护法、北伐、蒋桂、抗日、国共内战等战争无数，直接影响了中国现代政治与历史的走势。李宗仁寓居美国期间，应哥伦比亚大学之邀，在“东亚研究所·中国口述历史学部”襄赞下，于1958年开始亲自口述了他三十余年的戎马生涯及所参与的军国大事，由历史学者唐德刚整理撰写，遂成《李宗仁回忆录》。本书也是唐德刚个人已出版的著作中，用功最深、费力最大、遭遇困难最多的一部有原始性的史书，自动议磋商到付梓面世历时逾二十年。《李宗仁回忆录》是李宗仁不平凡的一生事业的全记录，又是李氏一生各阶段心路历程的最忠实的写照。它完整保存了李宗仁在中国历史上的真面目，并间接披露了许多鲜为人知的政治内幕或军事秘闻。对于了解和研究中国近现代史，具有至为重要参考价值。,27,825,0,76.1,https://wfqqreader-1252317822.image.myqcloud.com/cover/196/22309196/s_22309196.jpg
活着回来的男人：一个普通日本兵的二战及战后生命史,2017-01-01 00:00:00,历史-史学著作,"第一部庶民视角的二战前后日本生活史，再现日本普通民众的生活和精神状态。书中主人公小熊谦二（作者的父亲），出生于1925年，十九岁被征兵送往中国东北，后遭苏联拘留于战俘营，在严酷的西伯利亚劳动了三年。活着返回日本后，谦二在不断更换工作时，染上当时视为绝症的肺结核。从二十五岁到三十岁，人生最失落的光景在疗养所中孤独地度过。失去半边肺叶的谦二，以三十岁“高龄”重归社会，幸而赶上日本经济高速增长的浪潮，得以从“下层的下层”爬到“下层的中层”。升为银发族后，他甚至与身在中国延边的“原朝鲜日本兵”吴雄根共同成为原告，向日本政府发起战后诉讼赔偿。作者以平实的叙事和开阔的视角记录了自己的父亲作为一个普通日本兵的生命轨迹，同时融入同时期的经济、政策、法制等状况，形成了一部“活生生的二十世纪史”。
第一个和中国人一起站上原告席状告日本政府的日本人，讲述“不被记录的多数人”的真实经历。",12,764,0,40.66,https://wfqqreader-1252317822.image.myqcloud.com/cover/774/857774/s_857774.jpg
宋美龄自述,2018-08-01 00:00:00,历史-史学著作,历史上，有这样一个女人。她是一朵钢铁塑成的花，横跨三个世纪，盛放于时代之中。她是丈夫心中抵得上二十个陆军师的女人，她是朋友口中绝顶聪明、有文化教养，如公主一般的女人，她是大众媒体眼中有宝石般的话语和珍珠般的美丽的女人。 这本书围绕着三个问题，由宋美龄本人亲自为我们讲述：她是谁？她是一个什么的人？是什么造就了这样一个具有传奇色彩的女人？ 翻开这本书，如同在时代的海洋中，从这个充满神秘色彩和争议的女性身上学习她的优点，细节里看岁月中沉淀的美人如何对待生活。这既是一部传奇女性的一生，又是一部民国相片集。,9,649,0,22.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/626/23433626/s_23433626.jpg
日本人口述“二战”史,2018-01-01 00:00:00,历史-史学著作,直面黑暗，为真实的历史发声，数百位日本战争亲历者首次袒露心扉，公开血腥残酷的战时经历。在“二战”中，日本对亚太地区造成了深重的灾难，创伤延续至今，然而日本官方从未对战争进行过彻底反思。而与之相反，被拖入战争深渊的日本平民，在数十年后回顾那场战争时，用得更多的词是“难以启齿”“不堪直面”……本书堪称一部开创性的口述史，西方著名历史学家西奥多·库克夫妇通过实地走访数百位日本的战争亲历者，参考众多未曾公开的信件、遗嘱、日记、军用笔记、政府档案等，力图重现战争全貌。本书的受访者众多，从外交官到神风特攻队队员、731部队军医、战俘监管员、战犯、侵华士兵，从核弹受害者到记者、学生、“慰安妇”、在华商贩、画家等，他们都从自己的视角讲述了那场隐秘而绝望的梦魇：731部队在华进行活体实验的真相；在中国进行毒气战的具体细节；南京大屠杀屠城惨剧详情；日韩“慰安妇”所受过的屈辱；神风特攻队队员自杀攻击心路；盟军逼近，当局蛊惑百姓互相残杀的细节。这些活生生的个体经历，直观地展现了以侵华战争为开端的战争冲突，是如何给包括日本平民在内的世界百姓带来深重灾难。这部口述历史也反映出日本官方观点与民间记忆的巨大差异。,27,946,0,34.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/502/37477502/s_37477502.jpg
艰难时代：亲历美国大萧条,2016-12-01 00:00:00,历史-史学著作,"    1929年10月24日，“黑色星期四”，美国股市暴跌。美国和全球经济从此进入了漫长的大萧条。对千百万人而言，生活成了吃、穿、住的挣扎。普遍的不安全感笼罩之下，从贫民到巨富，无人幸免。普利策奖得主斯特兹·特克尔采访了从新政官员、商业巨子到农夫、工人等各个行业、阶层的数百人，以第一手资料反映了经济大萧条怎样影响了人们的生活，当年的苦日子又是如何在今天的咀嚼下回味无穷的。特科尔的作品为美国建立起一部持续、宽广、自下而上的平民史，他本人更成为芝加哥城的标志和美国几代人的集体记忆。
",11,646,0,39,https://wfqqreader-1252317822.image.myqcloud.com/cover/628/914628/s_914628.jpg
我和慈禧太后,2014-12-01 00:00:00,历史-史学著作,"    《我和慈禧太后》是美籍华人德龄以英文撰写的回忆录。书中采用西方文化的视角，以亲历者的口吻，详细讲述了她贴身服侍慈禧太后期间所观察到的清廷生活实情，包括慈禧的饮食起居、服饰装扮、言行举止、乘火车巡游的经历等。所涉人物有光绪皇帝、皇后、李莲英、袁世凯及其他官员，并提及一些重大历史事件的宫廷秘闻。既有文学趣味，又有史料价值。相较于当前流行的后宫小说与后宫影视剧，本书真实全面，内容丰富，可读性强。
",12,520,0,2.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/140/718140/s_718140.jpg
炮楼里的女人：山西日军性奴隶调查实录,2011-05-01 00:00:00,历史-史学著作,"    张双兵，1953年生于山西省盂县。1971年参加工作。1982年任乌河文学社社长，并开始调查日军侵华战争期间在山西烧杀抢掠的罪行，以及战争受害者在战前、战后的生存情况。1992年7月，组织7位受害者向日本政府提出每人10万美元的受害赔偿要求。1995年，组织5位受害者将日本政府推上了被告席。1996年7月，第一次与2位受害者走上日本法庭，控诉日本军国主义的罪行，并取得了一定进展。目前仍坚持走在为战争受害者争取日本政府赔偿的正义之路上。
",3,743,0,8.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/907/640907/s_640907.jpg
井冈山斗争口述史（全2册）,2015-04-01 00:00:00,历史-史学著作,1968年至1982年，井冈山革命博物馆派出了若干采访小组，分赴全国各地，采访了140多位当年参加过井冈山斗争的老红军及相关人员。这些受访者讲述了他们井冈山斗争的亲身经历及其所见所闻。主要内容包括：关于八七会议，关于湘东赣西秋收起义，关于井冈山的斗争，关于红军被服厂、造币厂，关于王佐家世，关于红军三十二团，关于朱德，关于红五军等。采访者将这些口述作了详细的记录，共约120万字。这些记录稿以非常可信的细节，对井冈山时期诸多历史事件作了有血有肉的补充和丰富是这些重大事件的见证，具有极高的史料价值。特别是随着被采访者相继去世，这些资料更加弥足珍贵。,6,816,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/626/812626/s_812626.jpg
大屠杀：一部新的历史,2020-04-01 00:00:00,历史-史学著作,劳伦斯·里斯在二十五年的时间里采访了纳粹德国和大屠杀的幸存者和作恶者，并将亲历者的证言与新近的学术研究成果有机地整合进这段影响广泛的历史之中，揭示了这一人类历史上恶名昭著的犯罪是如何进行的。里斯认为，对犹太人的仇恨无疑是纳粹思想的核心，但如果不把纳粹也计划屠杀数百万非犹太人考虑进去，我们就不能充分理解大屠杀的本质。里斯指出，其实并不存在一个大屠杀的总体蓝图，它是一系列恐怖犯罪的不断升级。毋庸置疑，希特勒要为所发生的一切承担主要的罪责，但里斯也提醒我们，罪孽带有普遍性，而其后果也具有持续性，这也是“令人不安和闪烁其词的核心问题”。,7,852,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/531/31403531/s_31403531.jpg
津巴多口述史,2021-03-01 00:00:00,历史-史学著作,在《津巴多口述史》中，津巴多教授首次直面读者，亲述自己一生的旅程。从他的成长故事中就足见智慧：8岁他便在和同伴的玩乐中总结出了领导者和追随者法则；读书时，他被误认为是西西里黑手党并遭到孤立，他没有因此沮丧，反而开始关注和思考情境的力量；在百老汇打工期间，他不仅积累了很多“让顾客买单”的经验，还学会了如何管理时间，迅速切换多个任务。在本书中，津巴多教授完整追溯了他50年来的教学和研究经历，述说了他的四大贡献——斯坦福监狱实验、将害羞概念化、时间观研究、英雄想象项目的前因后果和灵感来源，读者可以从中看到源于生活的、具有生命力和创造力的科学研究是如何诞生的。此外，你还会读到津巴多成为斯坦福备受欢迎的明星老师、带领上百名学生进行反战抗议、为少数族裔和女性争取就职机会等的种种经历和故事，你会发现他不仅是一位向人性发问的学者，还是一位流着教师血液的天生教育家，一位关注社会弱势群体、热爱和平的行动家，一位心怀天下的伟大思想者。从贫民区的穷小子到人人敬仰的大师，从失控的监狱实验到帮助人们成为更好的自己，《津巴多口述史》将带我们见证一代心理学大师的历练之路，同时让我们更深入地认识自我、环境与人性。,6,763,0,52.43,https://wfqqreader-1252317822.image.myqcloud.com/cover/824/36982824/s_36982824.jpg
抗战老兵口述历史,2017-08-01 00:00:00,历史-史学著作,"本书收录了24名抗战老兵口述当年从军的经历细节。这24名老兵中，有怒江边从死人堆中逃出的余国清，有桂林保卫战中七星岩里逃出的最后一位幸存者黄海潮，有在缅甸为远征军最高指挥官史迪威将军开过车的武彪，有参加过武汉保卫战的战地政工队女兵许良能……通过老兵们的口述，部分还原了桂柳会战、台儿庄战役、老河口大撤退、桂林保卫战以及远征军赴印缅作战的惨烈史实。
",26,794,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/451/915451/s_915451.jpg
权鉴,2006-01-01 00:00:00,历史-史学著作,"    权鉴，鉴前世之兴衰，考权谋之得失，撂放枕边，可以参悟歧途迷津，提首案头，可以明理进退规则。本书搜集了大量的史料，并旁征博引，总结出历史人物求权的几大途征，既揭示出奸臣贼子的丑陋嘴脸，也展现出忠臣义士的良苦用心。
",4,692,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/13/428013/s_428013.jpg
假话全不说，真话不全说,2016-02-01 00:00:00,历史-史学著作,"    为了回顾自己的百年人生，给世人一个最终的交代，季羡林先生邀请蔡德贵教授协助自己进行口述历史的工作，系统的、全面的、客观的、真实的讲述他的人生经历。本书版本几乎原样保持了季羡林先生的谈话，仅对部分重复谈及的内容进行了删减。讲述了家庭生活中与婶母、夫人彭德华相处的细节，留德期间与伊姆加德的交往经过，以及人们非常关注的与前后几位秘书的交往经过。那些你知道的，你不知道的，你想知道的，你没有想到的，都在其中。
",22,0,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/203/847203/s_847203.jpg
台湾“中研院”口述民国历史经典丛书（套装共8册）,2016-01-01 00:00:00,历史-史学著作,《中国远征军：滇印缅参战将士口述全纪录》1942～1944年，为保卫滇缅公路，中国政府先后两次派出近30万部队进入缅甸与日寇作战，在付出了10余万人伤亡的代价后，全歼缅甸日军。此战中，中国远征军反攻胜利，大放异彩，重新打通了国际交通线，使得国际援华物资运入中国；把日军赶出了中国西南大门，揭开了正面战场对日反攻的序幕；钳制和重创了缅北、滇西日军，为盟军收复全缅甸创造了有利条件。本书口述者多为参战将士，他们的口述全面还原了中国远征军历史。“中国远征军”近年来一直是公众舆论关注的话题，从小说到影视剧再到纪录片，以此为主题的作品很多。但是以远征军的亲历者，尤其是普通参战将士的口述为题材的作品目前还比较少。《抗日正面战场：国民党参战将士口述全纪录》作为世界反法西斯战争重要组成部分的中国抗日战争，牵制了日本陆军总兵力的2/3，歼灭日军150余万人，约占日军在二战中伤亡总数的70%。《抗日正面战场：国民党参战将士口述全纪录》选取亲自参与对日作战的国民党高级、中级将领在正面战场中的所做、所为、所想，力图客观地重现那段可歌可泣的历史。其中有令人荡气回肠的会战之血雨腥风，也有对部分国民党军队腐败军风军纪的揭露，更有中国空军、海军面对强大的日本军队的艰难对决，以及抗日义勇军和学生军保家卫国、不怕牺牲的豪迈民族气概的展现。《非常事端：亲历者口述实录》民国时期，“非常事端”非常之多，《非常事端》所选取的口述历史资料涉及日本侵略中国的相关重大事件，从中可以管窥中国现代史的发展线索和主题。在这本书中，董文琦、贺国光、雷法章、李文彬、蒋彝、齐世英、张群、何成、芳泽谦吉、王禹廷、王铁汉、康泽、萧自诚、蔡孟坚、刘斐、周佛海、雷啸岑、陈湄泉等数十人，根据自己的亲身经历，从1928年的济南“五三惨案”开始，讲述了张作霖被炸案、福建事变、两广“六一”事变、西安事变、南京大屠杀、汪精卫投敌、重庆防空洞灾难、长沙大火等事件。《民初纪元：亲历者口述实录》1912年民国始肇，其后十年，中国社会发生了巨大的变化，帝制崩解、社会剧变、新制初成，对中国未来的发展产生了既深且巨的影响。这是中国旧的政治和社会秩序离析和新的社会秩序建立的探索时期，是毁灭与涅槃交替的创启时代。《民初纪元：亲历者口述实录》根据亲历这一历史阶段、参与其发展的民国时期著名人物的叙述和回忆辑录而成，较为真实地反映了当时社会脉动之面貌。《民国经济：亲历者口述实录》中华民国时期，政治上虽然没有建成一个真正的资产阶级民主共和国，经济上却为资本主义的发展提供了一定的有利条件，中国的现代化建设进入启动阶段，出现了所谓的资产阶级“黄金时代”。《民国经济：亲历者口述实录》以产业为架构，以民国时期工业、邮政、交通、通讯等方面的精英人物的亲历实录，再现了当时中华民族艰难困顿的发展历程。《民国外交：亲历者口述实录》汇聚了众多民国时期外交名家的口述史料，勾勒出民国外交发展的基本脉络，资料翔实而珍贵。全书以丰富、鲜活的史料向我们展示了在民穷国弱的历史时代，中国外交官竭尽全力与外国列强进行抗争，捍卫民族尊严，努力维护国家、民族利益的艰辛历程。颠覆了以往读者对于民国期间如外交积贫积弱的印象，展现了民国外交家的风采和他们的业绩。《民国军制：亲历者口述实录》以民国军制建设为主题，以陆、海、空三军从无到有的发展为主线，梳理了三军的组建、发展和壮大的过程，内容包括军校发展、军事教育、军事训练、民国时期主要战役等。全本辑录了数十位民国早期将领的口述史料，他们多接受过国内外正规的军事学校教育，是民国军制的创建者。全书资料翔实，内容具体，对研究民国军队史有重要参考价值。《民国军阀：亲历者口述实录》民国时期战事纷扰，“城头变幻大王旗”，军阀成为时代舞台上的主角。本书辑录了数十位军阀时代当事人的口述史料，他们多为国民党的高级军政要员，以其亲身经历，对民国各大军阀，如张作霖、唐继尧、冯玉祥、阎锡山等作了有关回忆与叙述。全书以崭新的视角和丰富的史料回溯了那一混乱时代的历史。,40,0,0,159.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/320/41077320/s_41077320.jpg
抗日正面战场：国民党参战将士口述全纪录,2016-01-01 00:00:00,历史-史学著作,作为世界反法西斯战争重要组成部分的中国抗日战争，牵制了日本陆军总兵力的三分之二，歼灭日军150余万人，约占日军在二战中伤亡总数的百分之七十。本书选取亲自参与对日作战的国民党高级、中级将领在正面战场中的所做、所为、所想，力图客观地重现那段可歌可泣的历史。其中有令人荡气回肠的会战之血雨腥风，也有对部分国民党军队腐败军风军纪的揭露，更有中国空军、海军面对强大的日本军队的艰难对决，以及抗日义勇军和学生军保家卫国、不怕牺牲的豪迈民族气概的展现。,10,0,0,19.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/576/35092576/s_35092576.jpg
胡适口述自传,2015-02-01 00:00:00,历史-史学著作,《胡适口述自传》，介于自传和他传之间，是了解胡适其人其学的最好入门书。20世纪50年代，胡适应哥伦比亚大学“中国口述历史学部”之请，受唐德刚采访，以英文口述生平，于1958年完成十六次正式录音。本书即是由唐德刚根据录音，对照参考、综合译出，并于1959年经胡适手订而成。这也是唐德刚在哥伦比亚大学与胡适亲身交往、提着录音机完成的一项傲人的“口述史传工程”。在这里，胡适回顾了自己一生学术研究的历程，从投身文学革命、到审视中国哲学史，重新发现禅宗的历史，再到批判性地研究白话小说，忆及文学、史学、哲学等方面主要思想，是一本包罗了胡适学识、思想、生活、家庭背景等各方面的小书。唐德刚将胡适的英文口述译为中文后所作的注释评论，更是不可不读的好文章，一方面，胡适口述中出现的一些记忆误差、难言之隐透过唐注得到复原；另一方面，唐注又拓展和深化了口述的内容和观点，针对正文所提出的问题也阐发了自己对胡适本人及相关人物、事件的评论，使读者得以更清晰地理解胡适和他所在的时代。,17,694,0,30.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/192/22309192/s_22309192.jpg
齐世英口述自传,2011-01-01 00:00:00,历史-史学著作,齐世英，国民党党务专家，主持东北事务。1962年与雷震、李万居等组织中国民主党未果，在《齐世英口述自传》中详细回忆了与郭松龄的忘年之交、与张学良的恩怨过节、与陈立夫的信守不渝、与吉田茂的私人交往等历史详情，提供了关于九一八事变及西安事变等第一手资料。本口述资料经过19次的访问整理而成，文笔流畅，可读性强。,47,0,0,15.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/570/35092570/s_35092570.jpg
纳粹警示录,2020-04-01 00:00:00,历史-史学著作,本书收录一百多位第二次世界大战亲历者的采访实录，其中很多是直接参与纳粹统治的纳粹党成员。作者以其独到的视角翔实地再现了纳粹政权的内部运作方式，以及第二次世界大战中苏德战场的残酷性，从而将纳粹的反人类残暴本质生动地呈现在读者面前。本书是对令人不寒而栗的纳粹心理的深度洞察，打破了以往人们对于纳粹体制的基本认知，那些跃然于纸上的令人难以置信的讲述，彰显了那段邪恶的历史对人类时刻都具有警示性。,6,800,0,34.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/525/31403525/s_31403525.jpg
白银帝国：翻翻明朝的老账,2012-05-01 00:00:00,历史-史学著作,白银帝国：翻翻明朝的老账从明朝的经济政策特别是货币政策入手，讲述明朝的政治、经济、军事、文化。从而，讲述了作为当时世界第一经济、军事、文化强国的明朝为何失败。此书属于填补空白式图书，无论写作内容还是写作方式都独辟蹊径。同类书仅是从政治、军事角度来论述明朝历史，而政治、军事的基础经济则很少触及。本书从经济史角度阐述明朝亡国的历史，显得更本质。本书真正的发扬了历史价值，对今日之中国带来了一定参考价值。,10,650,0,1,https://wfqqreader-1252317822.image.myqcloud.com/cover/599/827599/s_827599.jpg
郭廷以口述自传,2016-01-01 00:00:00,历史-史学著作,郭廷以是一代史学宗师，毕生致力于中国近代史研究，是实证史学的典范。他在本书中，以一个知识分子的经历，记述了上世纪20—50年代复杂多变的社会生活图景，内容细微、生动而完整，是近代史研究者难得的参考资料。,14,0,0,15.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/568/35092568/s_35092568.jpg
白崇禧口述自传,2019-03-01 00:00:00,历史-史学著作,白崇禧是中国现代的重要人物。一生以军事为业，参加过护法战争、北伐战争、抗日战争及历次圈共内战。1924年加入国民党后，始终担任国民革命军、国民党军将领，在民国史的各个阶段，都具有举足轻重的地位。这部口述自传，是他晚年的访问记录，讲述了白崇禧作为新桂系的代表人物一生的复杂经历。,30,0,0,34.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/558/35092558/s_35092558.jpg
