title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
中国哲学简史,2013-01-01 00:00:00,哲学宗教-东方哲学,《中国哲学简史》打通古今中外的相关知识，以宏观开阔的视野对中国哲学进行了深入浅出的、融会贯通的讲解。在有限的篇幅里融入了对中国传统思想、文化、精神、智慧等方面的理解，融会了史与思的智慧结晶，洋溢着人生的智慧与哲人的洞见，寄托着现实的人生关怀。它在世界各地有多种译本，拥有众多的读者，是许多大学中国哲学的通用教材；同样，它也是广大读者学习中国古代文化、借鉴中国传统智慧、启迪现实人生的入门书。它是一部名副其实的可以影响大众一生的文化经典。本书是北京大学出版社独家拥有版权的冯友兰先生亲自指导翻译并认可的唯一版本。,11,881,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/358/651358/s_651358.jpg
了凡四训,2017-07-01 00:00:00,哲学宗教-东方哲学,"    本书由《金刚经修心课》作者费勇教授精心翻译并作序。曾国藩、胡适、稻盛和夫提倡阅读的生活方式手册。明代思想家袁了凡留给子孙的家训，以毕生学识、经历与感悟为根基，谆谆讲授“我命由我不由天”的道理。行善事、得善果——以入世心劝人向善、谋求磊落的生活，堪为一部历久弥新的生活方式手册。
",8,826,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/697/914697/s_914697.jpg
传习录,2017-04-01 00:00:00,哲学宗教-东方哲学,《传习录》是中国明代哲学家、宋明道学中心学一派的代表人物王阳明的语录和论学书信。“传习”出自《论语》中的“传不习乎”一语。本书对《传习录》原典进行了全面而细致的解读，不仅涵盖了原书的理论框架及译文翻译，而且，在剔抉其精义奥妙，探索其学术源流、文化背景的同时，在后面的“解读”中对原文进行了辨析，能让读者在阅读的同时收获更多人生的智慧。,7,905,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/997/853997/s_853997.jpg
图解易经（白话图解速断版）,2013-03-01 00:00:00,哲学宗教-东方哲学,本书上篇用图解手法全面总结前人对《易经》的研究成果，让每个人都能迅速了解其脉络。下篇逐卦逐爻解释原文，并提供速查运势的图表。另外，本书配有500多幅插图，为阅读增加趣味，为查找提供便利。多数人并不想在易学领域达到一定高度，只希望通过学《易经》获得一个认识事物的独特视角，并能用于占筮预测。所以，学习的“性价比”很重要。这正是本书力求做到的。,25,829,0,20.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/550/854550/s_854550.jpg
论语,2016-12-01 00:00:00,哲学宗教-东方哲学,古人半部《论语》治天下，今人半部《论语》修自身。尽管《论语》只是一些简单的对话，但包含了大量为人处世的大原则、大道理。国学大师南怀瑾先生曾形象地把孔子创始的儒家思想比作“粮食店”。可以说，孔子在《论语》中提出的思想，很多都是我们这个民族乃至全人类的“精神食粮”。《论语》与《大学》《中庸》《孟子》合称为“四书”，是儒家经典著作之一。《论语》首创语录之体，记录了孔子及其弟子们的言行，书中用简洁而又含义隽永的语言，讲述了修身、齐家、治国、平天下的至理名言。,6,870,0,7.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/459/851459/s_851459.jpg
厚黑学,2006-09-01 00:00:00,哲学宗教-东方哲学,作为民国第一奇书，而且是台北国立图书馆镇馆之宝，八十年代畅销于台湾、香港和日本。那么此书奇在何处，宝在何处，为何畅销？作者李宗吾以“正话反说”的形式，把中国历代“明君”、“圣人”脸上画的、头上蒙的那些仁义道德撕扯得干干净净，并统一地给他们一个新的定义“厚黑”。厚黑，简单说就是面厚心黑而已。刘邦因为厚黑而得天下，曹刘孙因为厚黑而三分天下，李世民因为厚黑而坐上皇位，由此可见，这些明君们的“发家史”其实就是“厚黑史”。而所谓的“圣人”也是因时势而造，因为汉武帝尊儒，所以孔子所推崇的人连同他自己就都成了圣人，如果汉武帝尊的是道家或法家，那么圣人们就又要换个名单。李宗吾文笔犀利、言语辛辣，以超凡绝世的思想深度，看透这埋藏数千年的封建历史之根本，并写诸笔端，将其大白于天下，这番高论甚至比鲁迅还要早。由此观之，李宗吾不愧为“二十世纪十大奇才怪杰”之一，也无愧于“近代之新圣人”的称号。,48,779,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/169/189169/s_189169.jpg
论语别裁（全集）,2014-07-01 00:00:00,哲学宗教-东方哲学,我们要了解传统文化，首先必须了解儒家的学术思想。要讲儒家的思想，首先便要研究孔孟的学术。要讲孔子的思想学术，必须先要了解《论语》。《论语》是一部记载孔子言语行事的重要儒家经典，相关章句注疏累代不绝。南怀瑾先生曾于1962年至1975年间三次讲述《论语》。第三次讲记结集出版时，南先生定名为“别裁”，意谓其讲述是个人所见，别裁于正宗儒者经学之外。南先生认为历来对《论语》的讲解，错误之处，屡见不鲜，主要问题在于所讲的义理不对，内容的讲法不合科学。他讲述《论语》，“别裁于正宗儒者经学之外”，重在“入乎其内、出乎其外地体验”。,8,914,0,53.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/79/857079/s_857079.jpg
易经杂说,2015-04-01 00:00:00,哲学宗教-东方哲学,本书介绍了六十四卦的来历、过去卜卦的几种方法、《易经》与五行、干支、《河图》《洛书》的配合运用等；阐释了《系传》所揭示的人生和历史哲学；详细讲解了乾卦、坤卦、屯卦、需卦的卦名、卦辞、爻辞，以及解释它们的《彖辞》、《象辞》、《文言》，以之为例，示范六十四卦的研究方法；说明了《序卦》排列六十四卦的理由，等等。,17,879,0,25.35,https://wfqqreader-1252317822.image.myqcloud.com/cover/707/22791707/s_22791707.jpg
华杉讲透《论语》,2016-11-01 00:00:00,哲学宗教-东方哲学,"    无需半点古文基础，也能完全读懂《论语》，直抵中国文化的源头。逐字逐句讲透《论语》原意！带你重返孔子讲学现场！本书作者华杉，综合了朱熹、王阳明、曾国藩等先贤的经典阐释，用409篇轻松畅快的解读文章，带你回到2500年前孔子讲道理、讲故事的教学现场，平白如话，亲切有味，读起来毫不费劲。翻开本书，切身体会两千五百多年来，中国人得以修身养性、安身立命的智慧箴言。
",128,880,0,19.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/934/847934/s_847934.jpg
周易（国学大书院）,2018-09-01 00:00:00,哲学宗教-东方哲学,"    智慧中的智慧预测学中的行为学《周易》是群经之首，是经典中之经典，哲学中之哲学，谋略中之谋略。从《周易》中，哲学家看到辩证思维，史学家看到历史兴衰，政治家看到治世方略，军事家可参悟兵法，企业家亦可从中找到经营的方法，同样，芸芸众生也可将其视为为人处世、提高修养的不二法宝。本书将《周易》的六十四卦分别予以详细解读，每卦独立自成一体，各节皆有原文、译文、启示，每卦之后附有中外著名事例，以期抛砖引玉之效。《周易》一书作为中国早熟的思想文化体系，它在中国传统思想文化中的重要地位，已为世所公认。《周易》被称为六经之首，就是一种证明。
",22,812,0,14.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/420/26796420/s_26796420.jpg
东方智圣鬼谷子,2021-07-01 00:00:00,哲学宗教-东方哲学,通俗易懂的语言风格，本书通篇深入浅出，采用中学生也能看懂的通俗语言，如讲故事般解读中国文化史上最艰涩的一部经典之作，用词严谨，所论有据，解读准确。从世界文明角度（三大文明轴心）探讨《鬼谷子》的普世文化价值，将《鬼谷子》一书的定位一举拉到世界智慧遗产的高度，提出并充分论证《鬼谷子》五个方面的普世价值，即《鬼谷子》为弱者之学、君子之学、成功之学、人心之学、人性之学。条理清晰的文本解读，作者从游说学这个理论总体系入手，注重通篇的逻辑关联，从而形成相对精准的文本解读。你将获得：1.最权威的成功学讲解，保你在职场叱咤风云；2.没有真金白银，却能传授你“点石成金”的秘术；3.对鬼谷子及其著作《鬼谷子》理论体系的全方位认识。适合谁看：1.上班族：在职场受排挤，励志要咸鱼翻身；2.创业者：创业道路受挫，仍梦想东山再起；3.国学研究者：时下太多关于解读《鬼谷子》的学术论著，不知如何取舍。,45,743,3,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/86/39127086/s_39127086.jpg
