title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
理想国（汉译世界学术名著丛书）,1986-08-01 00:00:00,哲学宗教-哲学著作,《汉译世界学术名著丛书：理想国》是柏拉图的一篇重要对话录，对话录里柏拉图以苏格拉底之口通过与其他人对话的方式设计了一个真、善、美相统一的政体，即可以达到公正的理想国。柏拉图的理想国是人类历史上最早的乌托邦。在他的理想国里统治者必须是哲学家，他认为现存的政治都是坏的，人类的真正出路在于哲学家掌握政权，也只有真正的哲学家才能拯救当时城邦所处的危机。这种信念构成了柏拉图成熟的政治哲学体系的核心。在他的眼里“哲学家”有着特殊的内涵。,5,877,0,21,https://wfqqreader-1252317822.image.myqcloud.com/cover/243/33889243/s_33889243.jpg
论自由,2019-04-01 00:00:00,哲学宗教-哲学著作,本书清晰地阐明了自由主义的核心思想：个人只要在不伤害他人的范围内，就应该拥有完全的思想自由、言论自由和个性自由（行动自由），而这一原则的实施，有赖于对政府及社会权力的界定和限制。这也正是本书最早的中译者严复先生将其译为“群己权界”的渊源所在。对每一个迈向现代社会的国家来说，这种思考仍然至关重要。《论自由》虽只薄薄一册，却是一部划时代的思想巨著，它第一次赋予自由主义完整而全面的理论形式，将对自由问题的探讨从国家与个人延伸到社会领域，以其清晰的逻辑和富含的充沛激情成为捍卫自由的经典。,7,910,0,24,https://wfqqreader-1252317822.image.myqcloud.com/cover/339/26785339/s_26785339.jpg
曲黎敏《生命沉思录》系列（全三册）,2022-04-01 00:00:00,哲学宗教-哲学著作,《生命沉思录3：人生的四季风景》以“春生”“夏长”“秋收”“冬藏”对应人生的各阶段。通过对经典（《黄帝内经》《道德经》《论语》等的解读、文字解说等方式，对四季养生、养心之说进行阐释，强调“因天之序”、顺其自然，意在说明人生应该每一段都“好好地燃烧”“好好地冷却”，由“从寻找外部力量”，转为“从内部寻找力量”，用一生积淀的精神财富，享受单纯、诗意的生活。,17,896,0,45.99,https://weread-1258476243.file.myqcloud.com/weread/cover/92/3300016692/s_3300016692.jpg
一个悲观主义者的积极思考,2013-05-01 00:00:00,哲学宗教-哲学著作,《“我读”系列：一个悲观主义者的积极思考》取自叔本华一生中最后一部巨著《附录与补遗》，是他对哲学著作《作为意志和表象的世界》的补充与说明。这篇以格言体写成的《附录与补遗》，使名声沉寂六十多年不获承认的叔本华一夜成名。正如他所说，此刻的我站在路的尽头，老迈的头颅无力承受月桂花环。《“我读”系列：一个悲观主义者的积极思考》是《附录与补遗》中最精华的部分，书中，叔本华融合东西方哲学的主流，披露人性和世故，加以睿智、生动的笔触，娓娓地跟我们讨论如何为人处世，如何求取幸福和成功，以期充分发挥此生。,32,835,0,11.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/810/37352810/s_37352810.jpg
作为意志和表象的世界,2016-07-01 00:00:00,哲学宗教-哲学著作,"“世界是我的意志，世界是我的表象。”叔本华代表作《作为意志和表象的世界》一书系统而全面的阐述了作者建立在他的哲学本体论——意志学说的基础之上的人生哲学。通过“生的智慧”，尤其是通过对宗教信仰的追求与实践，人可以克服意志，战胜欲望，从而解脱痛苦。作为叔本华的第1本书，《作为意志和表象的世界》不仅是他哲学思想的完美展示，也是他对人类的看法的完整记录。
",6,845,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/742/858742/s_858742.jpg
西方哲学史,2021-12-01 00:00:00,哲学宗教-哲学著作,《西方哲学史》写作于二战期间，源自罗素在美国费城的一系列哲学史讲座。全书共分三卷，按时间顺序依次讲述古代哲学、天主教哲学和近代哲学。在本书中，罗素从一位哲学家的视角，完整地展现出他对西方哲学历史发展的理解，其中既包括对重要哲学家的哲学观点的讲述，也包含罗素本人对这些思想的批判。本书将罗素原著七十万字的内容凝练为不到二十万字，既保留了原著中最重要的思想观点与分析论证，也更贴合当下读者快速掌握、理解经典的阅读习惯，便于读者从多方面把握本书的精彩内容。,25,794,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/445/43832445/s_43832445.jpg
王阳明心学全书,2014-07-01 00:00:00,哲学宗教-哲学著作,《王阳明心学全书》是罗智先生时隔三年推出的最新心学研究著作，这既是他对多年潜心研习心学的全面总结，也是他对心学研究作品创作的一次创新。这是国内第一部以笔记的方式解读王阳明心学智慧的著作。罗智先生把阳明心学和王阳明的一生融合在了一起，传记+心学的解析，使得全书的可读性和实用性都较高。罗智先生总结了以往作品的成功经验，采用全新的形式创作本书，全书内容轻松易读、见解独到，囊括了《传习录》的全书精华，无论是思想性还是文艺性，都较以往更上一层，是难得的阳明心学上佳之作。,15,828,0,1,https://wfqqreader-1252317822.image.myqcloud.com/cover/376/620376/s_620376.jpg
马克思主义哲学原理教程,2014-07-01 00:00:00,哲学宗教-哲学著作,本书密切结合马克思主义哲学课程教学的实际与大学生学习的实际，力求科学规范地阐释马克思主义哲学的基本立场、观点与方法，力图把思想性与政治性、规范性与通俗性、严肃性与趣味性、理论性与现实性、世界性与民族性、历史性与时代性等紧密结合起来，追求课程教学实效性的直接目标，以培养大学生形成马克思主义哲学真善美相统一的世界观与方法论的大智慧为最终目的。,9,881,0,17.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/782/23668782/s_23668782.jpg
纯粹理性批判（注释本）,2011-07-31 00:00:00,哲学宗教-哲学著作,本书为《纯粹理性批判》的单行本，与已出版的全集的不同之处：第一、增加了科学院版编者的两版导言和注释；第二，增加了译者对内容和概念译法等的注释；第三，订正了全集中部分误译、漏译。因此，对读者来说，其内容更完善了，也更适用了。,9,874,0,68,https://wfqqreader-1252317822.image.myqcloud.com/cover/959/41128959/s_41128959.jpg
罗素论幸福,2021-08-01 00:00:00,哲学宗教-哲学著作,明明过得还可以，却始终感觉不到幸福？罗素：我写这本书就是为了根治日常不幸。这是英国哲学家伯特兰·罗素写给每一个普通人的生活哲学，他通过剖析不幸福的原因与幸福的要素，为普通人找到一种根治日常不幸的药方。在书中，罗素开门见山地指出本书是写给这样一类人——他们没有遭受过来自外界的巨大痛苦，有足够的收入来保证吃住，而且身体健康，没有经历过重大的灾祸，也不曾当众受辱。这类人就是生活中的你我，日子没有特别好，也没有特别糟，却总觉得哪里不对，该如何改善自己的生存处境？罗素用数学家的理性思维和哲学家的严密逻辑，条分缕析了让我们不幸福的原因和让我们幸福起来的方法，并给出了诚恳的建议。,8,913,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/309/40548309/s_40548309.jpg
哲学与智慧,2019-03-01 00:00:00,哲学宗教-哲学著作,叔本华从来不会让自己局限在对深奥难懂的哲学问题的思考上，除了生命、存在这样亘古长存的难题，他还将自己的目光投向了人的意欲，投向了人的生活。叔本华的智慧从来不是高高在上的，而是贴近生活，贴近现实，贴近大众感兴趣的和关注的问题。因此，本书一方面收录和整理了叔本华关于人的意欲、思想等许多方面的文章著述和随笔，展现了他对人的思维问题的积极思考，同时也收录了叔本华关于心理、天才、自杀、文学等等细碎问题的讨论文章，更加多元地向读者展现叔本华的思想和智慧之所在。,23,920,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/866/35008866/s_35008866.jpg
