title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
道德经,2014-06-01 00:00:00,哲学宗教-宗教,"    《道德经》原名《老子》，汉代的河上公所著《老子章句》，把《老子》整理为《道经》37章，《德经》44章，故有《道德经》之名。《道德经》作者为老子（又名老聃，名李耳），春秋时期楚国人，是我国古代著名的思想家、道家学派的创始人。他和孔子同属一个时代，但年龄长于孔子。老子曾任周王室藏书管理者。相传，《道德经》一书写于他归隐时，途经函谷关，守将尹喜向他问道，于是老子才留下这部《道德经》。《道德经》是我国传统文化中一部举足轻重的经典著作，是我国首部完整的哲学著作。它虽然只有五千言，但文约意丰，字字珠玑，句句精辟，内容涉及政治学、军事学、伦理学、科学、宗教等诸多领域。
",25,878,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/38/832038/s_832038.jpg
《金刚经》说什么,2016-04-01 00:00:00,哲学宗教-宗教,本书是南怀瑾先生有关《金刚经》的讲课记录。作者依据梁代昭明太子的分法，将《金刚经》分为三十二品（相当于章），然后逐品作了讲解。每一品均以一首偈颂作总结，以阐发自己的心得。《金刚经》是初期大乘佛教的代表作之一，也是般若类佛经的纲要书，它全称《金刚般若波罗蜜经》一卷，由姚秦鸠摩罗什于弘始祥译出，问世之后，即在社会上广泛流传，篡要、注解、类颂、重演、义记、采微、集解、科释、宗通、决疑、大意、直说等注释达一百多种。,66,908,0,27.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/651/22791651/s_22791651.jpg
次第花开（2017修订新版）,2017-09-01 00:00:00,哲学宗教-宗教,《次第花开》是希阿荣博堪布所写的心灵随笔集，以现代人的思维和表达方式，将心灵世界应有的美好境界娓娓道来。本书就像是一个忠实的朋友，在迷茫脆弱的时候，给我们以鼓励和启发，让我们生起对三宝和佛法的信心以及求解脱的决心。书中处处散发着慈悲与智慧的光芒，堪布睿智柔和的文字，朴实生动的开示，帮助我们坦然地面对心的本性，并从各种困惑中解脱出来，获得重塑心灵世界的力量。,7,860,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/553/917553/s_917553.jpg
佛陀传：全世界影响力最大的佛陀传记,2014-03-01 00:00:00,哲学宗教-宗教,享誉海内外的佛学大师一行禅师经典作品，他沉稳迷人地讲述了佛陀80岁的完整一生，佛法的起源与奥妙，就这样在您面前徐徐展开。无论你有没有佛学根基，阅读本书，都是一次充满喜乐和感动，受益匪浅的修行。自从1991年在美国初次出版以来，二十多年的时间，《佛陀传》已成为全世界佛学爱好者的入门书。一行禅师沉稳迷人地讲述了佛陀释迦牟尼从出生、成长、出家、修行、得道、弘法，直至灭寂的完整一生。娓娓道来的佛陀生平故事，融汇着佛法的精深奥妙；无论你有没有佛学根基，阅读《佛陀传》，都是一次充满喜乐和感动，受益匪浅的修行。,25,931,0,69.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/241/24020241/s_24020241.jpg
道德经说什么,2019-06-01 00:00:00,哲学宗教-宗教,樊登读书会百万听众订阅。西安交大韩鹏杰教授精研数十年，以魏晋时期天才学者王弼注解本《道德经》为依据，以独有的“以经解经”特色，用幽默风趣的讲解方式，带给读者一个立体的《道德经》，并用形象生动的例子和自身厚重的国学素养，进行逐章逐句解读，重点讲解书内《道经》“道法自然”“上善若水”“尊道贵德”“反者，道之动”；《德经》“以下为基”“大象无形”“福祸相依”等核心思想，力求深入浅出，让读者全面了解《道德经》的思想与智慧，感受中华文化永久的魅力和时代风采，引领读者感受国学文化的智慧。,6,880,0,38,https://wfqqreader-1252317822.image.myqcloud.com/cover/976/25848976/s_25848976.jpg
因果的真相,2014-08-01 00:00:00,哲学宗教-宗教,《因果经》是佛家最经典、流传最广泛、信众最多的经典之一，其中揭示了宇宙万法运转不息的规律，以及脱离无尽烦恼和苦海的方法。台湾最受媒体欢迎的心灵法师——庄圆法师，以普通人的视角，从身边最常见的生活琐事入手，以风趣、朴实的生动口语讲解。浅显生动之中将奥妙精深的佛法缓缓道来，帮助匆忙的现代人舒缓身心压力。,27,902,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/914/39887914/s_39887914.jpg
金刚经（典藏）,2020-11-01 00:00:00,哲学宗教-宗教,金刚经歌者。梁朝时傅大士之所作也。武帝初请志公讲经。志公对曰。自有傅大士善解讲之。帝问。此人今在何处。志公对曰。见在鱼行。于时即照大士入内。帝问。大士欲请大士讲金刚经。要何高坐。大士对曰。不用高坐。只须一具柏板。大士得板。即唱经歌四十九颂终而便去。志公问武帝曰。识此人不。帝言不识。志公告帝曰。此是弥勒菩萨分身。下来助帝杨化。武帝忽闻情大惊讶。深加珍仰因题此颂。于荆州寺四层阁上至今现在。夫金刚经者。圣教玄关深奥难测。诸佛莫不皆由此生。虽文疏精研浩汗难究。岂若慈颂显然目前。遂使修行者不动足而登金刚宝山。谛信者寂灭识而超于涅槃彼岸故书。其文广博无穷。凡四十九篇烈之。于后所谓惠日流空照如来之净土禅刀入手破生死之魔军。既人法双祛俱遣快哉。斯义何以加焉。有一智者不显姓名。资杨五首以申助也。其层阁既被焚烧。恐文隋堕。聊请人贤于此阁见本请垂楷定。,12,950,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/410/41744410/s_41744410.jpg
周易全解（修订本）,2017-08-07 00:00:00,哲学宗教-宗教,"《周易全解》由著名易学家金景芳与其弟子吕绍纲合著，吕绍纲修订。本书包括对《易经》、《易大传》的详细而通俗化的解释，以及作者对《周易》几十年来研究的心得体会。
★本书恪遵孔子作《易大传》所开辟的道路，也并不否认《周易》是卜筮之书，而着眼点却不大卜筮，而在于它内部所蕴藏着的思想。
★纠正前人对孔子《易大传》的错误理解。
★纠正传本《系辞传》在讲筮法那部分有错简和脱字。
★《周易》一书的精华在于思想，而思想则主要寓于六十四卦的结构之中。",22,840,0,38,https://wfqqreader-1252317822.image.myqcloud.com/cover/488/29793488/s_29793488.jpg
一切都是最好的安排,2016-08-01 00:00:00,哲学宗教-宗教,本书是加措活佛的代表作品，公开分享生命沉淀的轨迹与感悟。本书完成之后，受到《西藏生死书》作者索甲仁波切和北京大学哲学系楼宇烈教授的大力赞赏，还被主持人谢娜等人列为必读书。全书共分九个章节，以人生、情感、信念、生活、爱、快乐、幸福、智慧、情绪为主题，教我们如何对待生命中的困惑与迷茫，增强面对世事无常的内在力量。这是一部可以源源不断给人补充内在能量的书。不管你想成为怎样的人，面对世间何种烦恼，你都可以从加措活佛对人生的加持与开示中获得改变的力量，把自己变得更好。世间一切苦乐都只是一步之遥，勇敢地面对自己的内心，才能找到更有力量的自己。,4,819,0,2,https://wfqqreader-1252317822.image.myqcloud.com/cover/313/614313/s_614313.jpg
心经,2016-03-22 00:00:00,哲学宗教-宗教,"    《心经》作为般若经的浓缩本，“缘起性空”是其核心思想，但又进一步从“对外扫相”和“对内破执”两个角度去讲“空”。《心经》是以“色不异空，空不异色；色即是空，空即是色；受想行识亦复如是。”来对外破五蕴身，以“心无挂碍”来破心执。
",4,908,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/917/814917/s_814917.jpg
