title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
人生的智慧,2011-06-01 00:00:00,哲学宗教-西方哲学,本书论述了人生如何获得幸福。作者认为获得幸福有三种条件，第一人自身的健康、性格、智力等；第二人自身以外的物，如财富等；第三人给他人展示的形象，如地位、名誉、名声。,19,877,0,2.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/564/693564/s_693564.jpg
理想国,2015-07-01 00:00:00,哲学宗教-西方哲学,"《理想国》又译作《国家篇》、《共和国》等，与柏拉图大多数著作一样以苏格拉底为主角用对话体写成，共分10卷，其篇幅之长仅次于《法律篇》，一般认为属于柏拉图中期的作品。这部“哲学大全”不仅是柏拉图对自己此前哲学思想的概括和总结，而且是当时各门学科的综合，它探讨了哲学、政治、伦理道德、教育、文艺等等各方面的问题，以理念论为基础，建立了一个系统的理想国家方案。
",3,821,0,2.68,https://wfqqreader-1252317822.image.myqcloud.com/cover/459/921459/s_921459.jpg
第二性（合卷本）,2014-01-01 00:00:00,哲学宗教-西方哲学,“我认为作为女性都应该看看这本书，因为每个女人都应该学习一些女性主义的知识。（梁文道）”《第二性（合卷本）》《第二性I》副标题为“事实与神话”，作者从生物学、精神分析学和历史唯物主义关于女性的观点出发，剖析女人变成“他者”的原因；随后，通过对人类历史的梳理，深刻地揭示了从原始社会到现今女性的命运；最后，《第二性（合卷本）》以蒙泰朗、劳伦斯、克洛岱尔、布勒东和司汤达五位著名作家为例，对男性制造的“女性神话”进行分析，探讨男人眼中的女性形象及其体现的思想。《第二性（合卷本）》《第二性II》副标题为“实际体验”，从存在主义的哲学理论出发，对女人一生中的不同时期（童年、青春期、性启蒙时期、婚后、为人母和步入老年后）进行正面考察，同时对她一生可能遇到的经历（同性恋、成为知识分子、明星、妓女或交际花等）作出判断和评价，深刻揭示了女性的处境及其性质。作者还分析了自恋女人、恋爱女人和虔信女人形成的过程及其背后复杂的社会原因，最后提出了女性走向解放的道路就是成为独立女性，也强调了只有当女性经济地位变化的同时带来精神的、社会的、文化的等等后果，只有当女性对自身的意识发生根本的改变，才有可能真正实现男女平等。,8,842,0,69,https://wfqqreader-1252317822.image.myqcloud.com/cover/369/934369/s_934369.jpg
查拉图斯特拉如是说,2020-01-01 00:00:00,哲学宗教-西方哲学,当善与恶的界限日益模糊，当一切坚固的东西都烟消云散，当生命之轻已变得不能承受，我们该从哪里求得生存的意义？是重造崇拜偶像？还是干脆沦于虚无，一路娱乐至死？在人类刚刚步入现代世界时，德国哲人尼采就严肃地思考上述问题——而一切答案，都汇聚到《查拉图斯特拉如是说》这部哲学小说中。通过主人公查拉图斯特拉的漫游与教诲，尼采发出了先知般的宣言：在“上帝已死”的时代，人应该直面虚无，从自身创造生命的意义，最终进化为能撑起生命重担的超人！,8,868,0,16,https://wfqqreader-1252317822.image.myqcloud.com/cover/995/27689995/s_27689995.jpg
沉思录,2012-07-01 00:00:00,哲学宗教-西方哲学,本书由古罗马唯一一位哲学家皇帝马可·奥勒留·安东尼所著，是一本写给自己的书，内容大部分是他在鞍马劳顿中写成的。它来自作者对身羁宫廷的自己和自己所处混乱世界的感受，追求一种冷静而达观的生活。这本书是斯多葛学派的一个里程碑。,3,772,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/876/340876/s_340876.jpg
幸福之路,2021-01-01 00:00:00,哲学宗教-西方哲学,《幸福之路》是一本写给普通人的经典生活哲理书。全书简明扼要地分为“不幸福的原因”和“幸福的原因”两大部分，不去讲高深的哲理和枯燥的说教，而是直接反思生活中最常破坏幸福感的消极心理因素，如竞争、疲劳、嫉妒、罪恶感、受害妄想等，直接给出获得和提升幸福感的具体生活建议，如通过兴致、情爱、家庭、工作、闲情逸致等。作者给书中的每个观点都提供了真实的人性经验的支撑，和清晰、坦率、真诚的剖析论证；他所开列的药方，也都是亲历亲见，并且实践证明有效提升了他的幸福感，所以具有非常强的可操作性。无数感到苦闷而又不甘忍受的男男女女，完全能够借此明察自身的困境，进而找到突围之路，凭着适当的努力变得幸福。,8,896,0,22,https://wfqqreader-1252317822.image.myqcloud.com/cover/936/35679936/s_35679936.jpg
打开：周濂的100堂西方哲学课,2019-04-01 00:00:00,哲学宗教-西方哲学,学者男神周濂，为你开启一趟2500年的西方哲学探险之旅。本书为你呈现的——100篇有趣、有料，不高冷、不轻佻的精彩哲学普及文章，一部有态度、有营养，读得懂、读得动的西方哲学史，一本越读越精神的哲学入门书。苏格拉底为什么拒绝众人的苦苦哀求，拒绝越狱，勇于赴死？《理想国》为什么是一部伟大的“失败之书”？康德又是如何实现了既为人类的理性划界，也为上帝和信仰留下地盘？为什么论起抽象和晦涩简直可以说举世无双、独孤求败的黑格尔，却批评我们普通人经常陷入“抽象地思维”？兼有病态的人生和健康的哲学的尼采，为什么说弱者、怨恨之人的灵魂是“歪”的？自由雅典与铁血斯巴达共同之处在于——对“卓越”的不懈追求；提出“我思故我在”这个伟大命题的笛卡尔，居然是个赖床的哲学家；日常生活中“人畜无害”的胖子大卫·休谟，在哲学领域却是一个勇猛精进的斗士；莱辛说人们谈论斯宾诺莎就像谈论“一条死狗”，马克思也说哲学的老王黑格尔死后被当成“一条死狗”，可是如今他们却都死而不僵、借尸还魂了……周濂在喜马拉雅FM平台开设的“周濂讲西方哲学智慧”课程，这些课程讲稿形成了《打开：周濂的100堂西方哲学课》一书。,35,865,0,92.04,https://wfqqreader-1252317822.image.myqcloud.com/cover/321/26785321/s_26785321.jpg
西方哲学史：从古希腊到当下,2016-03-01 00:00:00,哲学宗教-西方哲学,本书通过对诸多哲学传统的比较来显示西方哲学的特点，通过对哲学历史的叙述来揭示哲学思维的特点，结合社会政治和科学人文背景来展开各个哲学学派的发展脉络，尤其是结合人类的现代处境来讨论一些重大的哲学问题。全书内容覆盖像罗尔斯、罗蒂和哈贝马斯这样的当代哲学大师的哲学讨论，其风格既具有可读性又具有学术性。,33,877,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/365/934365/s_934365.jpg
西方哲学十五讲,2004-03-01 00:00:00,哲学宗教-西方哲学,有两种事物，征服了整个精神的历史，我们愈是思索，就愈难以抑制赞叹和敬畏头上的星空和心灵的法则，从很早以前，到很久以后，这种爱将牢固地支配着一类智慧，就是哲学。本书系的内容设计充分照顾到社会上一般青年读者的阅读选择，适合自学；同时又能满足大学通识课教学的需要。每一种书都有一定的知识系统，有相对独立的学科范围和专业性，但又不同于专业教科书，不是专业课的压缩或简化。重要的是能适合本专业之外的一般大学生和读者，深入浅出地传授相关学科的知识，扩展学术的胸襟和眼光，进而增进学生的人格素养。本书系每一种选题都在努力做到入乎其内，出乎其外，把学问真正做活了，并能加以普及，因此对这套书作者的要求很高。,6,846,0,11.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/363/651363/s_651363.jpg
第一性原理,2021-01-01 00:00:00,哲学宗教-西方哲学,什么是第一性原理？亚里士多德说：“任何一个系统都有自己的第一性原理，它是一个根基性命题或假设，不能被缺省，也不能被违反。”第一性原理，好比树木的根基，没有人会看到繁茂枝干下的树根，但它决定了树的一切。本书将“第一性原理”的思想引入创新与商业领域，用8个思维模型和实践方法，帮助企业与个人厘清问题的本质，直达本源。我们常问，未来十年什么会变化？这个问题很重要，但更重要的问题可能是，未来十年什么不变？如果能找到不变的，把所有的资源和精力，毫无保留地投入在不变的事物上，其力量不可同日而语。让我们用第一性原理重新认识世界。探索内在的力量，创造非凡的人生。,11,772,0,39.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/548/35449548/s_35449548.jpg
莎士比亚全集（全8册）,2013-09-01 00:00:00,哲学宗教-西方哲学,《莎士比亚全集(共8册)(精)》共8本，以朱生豪 先生的译本为底稿全新译出，其中吸收了国际莎学界 的研究新成果，集全、新、权威于一体，全集包括： 莎士比亚全部戏剧作品+莎士比亚全部诗歌作品。《莎 士比亚全集(共8册)(精)》，前后共用了近五年的时 间。这套全集以朱生豪先生译本为基础，有两大特点 ：一是“全”，二是“新”。说它“全”，因为它收 了已发现的莎氏全部作品，说它“新”，因为它在校 、译中吸收了国际莎学界的研究新成果，还恢复了被 认为“不雅驯”而被删除的词句、段落等，以尽量保 持莎氏作品的本来面目。本书由威廉莎士比亚编著 。,29,900,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/179/805179/s_805179.jpg
西方哲学史讲演录,2021-12-01 00:00:00,哲学宗教-西方哲学,“哲学是活的生命。”“哲学史就是哲学。”遵循“历史与逻辑相一致”的原则，本书从古希腊哲学一直讲到黑格尔哲学，突出西方哲学思想发展的内在逻辑，通过揭示不同哲学家出现的历史顺序与哲学概念发展传承的关系，展现了哲学史就是哲学概念演变的生命历程，而不是堆积以往哲学家思想遗骸的荒冢。作为一部讲演录，本书在作者多年讲授的“西方哲学史”通识课程基础上整理而成，以通俗易懂的方式将晦涩的哲学概念娓娓道来，并省去了引经据典之繁，可谓哲学入门书首选。此次修订版特别增加“18世纪法国启蒙哲学”一讲，有助于我们更好地理解从英国经验论哲学和自然神论向德国古典哲学的过渡，弥补了初版之憾。,8,965,0,61.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/927/42724927/s_42724927.jpg
理想国,2021-12-01 00:00:00,哲学宗教-西方哲学,没有人怀疑《理想国》是西方哲学最伟大的作品之一。它把哲学上和文学上的资源用最高形式结合起来，试图回答所有问题当中最重要的问题——如果我们想要满意幸福地生活，那么我们究竟应该怎样生活——达到了可以说是前无古人、鲜有来者的高度。应当正义地生活或是非正义地生活？道德地生活或是不道德地生活？另外，本书提出的答案是以异常丰富的叙述为基础，这些叙述是关于我们的本质以及客观存在的本质。在本书中伦理学、政治学、美学、宗教哲学、精神哲学、科学哲学、认识论以及形而上学交织在一起，本书对以上学科分别做出了贡献，并对这些学科以后的发展形式形成了决定性的影响。当代的哲学家像他们的前辈一样阅读《理想国》，他们这样做不是因为对于柏拉图的虔诚，而是因为该书继续引起挑战、不安和带来启发。可以确定地说，西方哲学并不仅仅是对本书那了不起文字的一系列注释，但是可以说它们很多故事都是从这本书开始的。,4,862,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/93/41507093/s_41507093.jpg
论人类不平等的起源和基础,2015-04-01 00:00:00,哲学宗教-西方哲学,本书采用1876年典藏版法文原著，在此版本上进行翻译。译文尊重卢梭当年应第戎学院征文而执笔的写作原意和部分词汇的专业用法，更加精准流畅。开篇导读，帮助读者对卢梭以及对这部著作进行一个提纲概括式的了解，减轻名著入门难的障碍。本版新增卢梭当时于论文写成后又添加的19个补充注释，使读者更加全面的了解卢梭在写作过程中的哲学思辨，延伸的知识也令本著作更加立体。还收录当年日内瓦著名博物学家博纳(Bonnet)以菲洛普利(Philopolis)的笔名写信反对《论人类不平等的起源和基础》后，卢梭亲自雄辩答复博纳质疑的回信，是值得收藏的经典版本。,4,761,0,7.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/318/573318/s_573318.jpg
西方哲学史,2018-03-01 00:00:00,哲学宗教-西方哲学,本书为中文版本。它是一部讲述西方哲学发展历程的著作，其雏形为梯利教授在大学任教时的讲义。此次出版，共有中英文两本。具体分为希腊哲学、中世纪哲学、近代哲学三编。往下又划分为自然哲学、知识和行为问题、重建时期、伦理运动、宗教运动、基督教和中世纪哲学的古典来源、经院哲学的形成期、文艺复兴时期的哲学、英国经验主义的开端、欧洲大陆的唯理论、启蒙运动哲学、康德的批判哲学、德国的唯心主义、黑格尔之后的德国哲学、法国和英国的哲学、法对理性主义和唯心主义等二十篇。篇下设章，讲述更为具体。文后附原书索引，便于读者检索细目。中文字数接近七十万，是一部规模宏大的哲学史著作。此次中英文两册一起出版，规模浩大，出版方特意延请业内的两位哲学博士共同翻译打造校准，力求让此选题更加精准、完善，让更多学人、哲学爱好者，一起了解并传播西方哲学。,27,854,0,48.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/322/27008322/s_27008322.jpg
西方哲学简史(修订版),2019-06-01 00:00:00,哲学宗教-西方哲学,本书是畅销十余年的哲学教材。它系统而全面地讲述了从古希腊至黑格尔时期的西方哲学。它的知识点全面，观点客观。近十余年在学生和授课老师中口碑极好。此次修订，作者欲对最后两章内容，特别是德国古典哲学的叙述做出更换。,24,841,0,38.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/462/24275462/s_24275462.jpg
哲学的慰藉（译文经典）,2012-03-01 00:00:00,哲学宗教-西方哲学,《哲学的慰藉》是被誉为“英国文坛奇葩”的才子型作家阿兰·德波顿的重要作品，自2000年出版以来，已被翻译成多种文字，在全球畅销不衰。 在本书中，德波顿以其特有的英国式笔调引领我们进行了一次轻松的哲学之旅，典雅风趣，帮助我们走近苏格拉底、伊壁鸠鲁、蒙田、尼采、叔本华等大师的精神世界，使我们发现，人生的悲苦、困顿和欲望引起的烦恼在他们的智慧中可以找到慰藉。 德波顿认为尽管古往今来被称作哲学家的思想者千差万别，还是有可能在相隔几世纪之间找到一小群情貌略微相似的人，其共同点就是忠于“哲学”一词希腊文的原义——“爱智慧”。他们的共同爱好，在于就人生痛苦的根源向我们说一些宽慰而切合实际的话；他们的共同精神是不向世俗低头，坚持独立思考。 阿兰·德波顿编著的《哲学的慰藉》的文字在译者资中筠先生看来是“简洁而优雅，机智而含蓄，能用小字眼就不用大字眼，深得英国古典散文的传承”，非常值得回味。,14,734,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/823/24223823/s_24223823.jpg
