title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
麦肯锡结构化战略思维：如何想清楚、说明白、做到位,2021-01-01 00:00:00,哲学宗教-逻辑学,《麦肯锡结构化战略思维：如何想清楚、说明白、做到位》作者根据自己在麦肯锡工作的经验，首次体系化地从思考、交流到实施全流程，介绍了结构化战略思维，拆解了其方法论，着重讲了“结构化思维4大原则”“新麦肯锡5步法”和“培养结构化战略思维需要养成的10个习惯”，同时把12个知识要点用图解的方式做了直观呈现，以帮助我们学习并掌握“自上而下”的结构化战略思维方式和方法，让我们在复杂、多变、模糊而不确定的时代冲破专业与经验的禁锢，以数字和逻辑为工具，自信地面对和分解任何问题与挑战，并能快速提出高效而有创造性的解决方案，逐渐成长为解决问题的高手。,11,796,0,39.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/572/34916572/s_34916572.jpg
简单的逻辑学,2013-06-01 00:00:00,哲学宗教-逻辑学,这是一本足以彻底改变你思维世界的小书。美国著名逻辑学家、哲学教授D.Q.麦克伦尼，将一门宽广、深奥的逻辑科学以贴近生活、通俗易懂、妙趣横生的语言娓娓道来。它既没有刻板的理论教条，也不是正规的教科书，而是一本必不可多得的现实指南。正如著名行为学家孙路弘所说： 《简单的逻辑学》就如一场及时雨，一本治愈社会疾病的宝典，的确是应该人手一册。作者在书中告诉我们，生活中，逻辑无处不在。无论我们是有意还是无意，逻辑无时不在服务于我们的生活。然而逻辑到底是什么，也许并没有太多的人有很清楚的概念。作者以其简练而又充满趣味的笔触，将逻辑学活化为一种艺术，从它的基本原理，到论证，到非逻辑思维的根源，再到28种就发生在你身边的非逻辑思维形式，带领我们进入这个精彩无比的逻辑世界，体会妙趣横生的思维交锋，跨过无处不在的逻辑陷阱，让你沉醉其中，欲罢不能。,25,668,0,6.24,https://wfqqreader-1252317822.image.myqcloud.com/cover/420/823420/s_823420.jpg
小逻辑,2009-08-01 00:00:00,哲学宗教-逻辑学,本书是《哲学全书纲要》的第一部分，通称《小逻辑》，以区别于《大逻辑》（即逻辑学）。全书除导言外，共分:存在论、本质论、概念论三篇，反映了黑格尔哲学体系的基本框架。黑格尔的《小逻辑》是构成他的《哲学全书》的一个主要环节，它的好处在于把握住全系统的轮廓和重点，材料分配均匀，文字简奥紧凑，而义蕴深厚。初看似颇难解，及细加咀嚼，愈觉意味无穷，启发人深思。他的学生在他逝世后编订全集时，再附加以学生笔记作为附释，于是使得这书又有了明白晓畅，亲切感人的特点。,12,836,0,11.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/282/842282/s_842282.jpg
清醒思考的策略,2019-07-01 00:00:00,哲学宗教-逻辑学,做正确的事，把事做正确。思维策略的不同，正是高手和普通人的区别。生活中，我们往往凭着直觉决策和行动，而且认为这种直觉和偏好很可靠。但这个世界充满了复杂性和不确定性，有时，我们的大脑无法适应如此多变的环境，并且我们往往对自己熟知的事物确信不疑，可其中存在认知偏误。因此，我们需要《清醒思考的策略》这套在心理学中被称为“策略法”的思维工具。《清醒思考的策略》作者多贝里依据成功价值型投资者的思维策略，以及过去40年的心理学研究和古希腊的哲学思想，总结了52个思维策略，帮助我们逐渐调整、优化我们的大脑，改变我们的认知，提升决策力和行动力。掌握清醒思考的策略，比学识和金钱重要，甚至比智商更重要。,10,747,0,35.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/407/25802407/s_25802407.jpg
批判性思维（原书第12版）,2020-09-01 00:00:00,哲学宗教-逻辑学,本书第12版问世了，我们依然不忘初心：帮助训练学生的批判性思维、做出更好的决策，也让从事批判性思维教学的老师更得心应手地使用本书。为更好地实现我们的初愿，欢迎师生们联系我们，提出你们的宝贵意见。一如既往，新版更新了例子，其中的人物和事件都是学生更熟知的。正如我们之前提到过的，对老师而言新近发生的事件，对于刚入校的大学生来说可能已然是模糊的历史。本书的其他变动分述如下。章节具体变化：第1章全面介绍了我们的批判性思维观，较之前更深入地探讨了影响思维的认知偏见。第2章中修改了一节：最佳解释推理。第3章较为精简，但对模糊与抽象有充分探讨，对定义的种类也有更新阐述。第4章有例行修订并增加了一部分内容：来自社交媒体的新闻。第5章更新了图片，在“暗示”一节中增添了“意味深长地提及”这个子话题。第6章改动较小，主要更新了例子和图片。第7章变化不大，主要用学生更明了的语言表达各“诉诸”谬误。第8章相对于之前的版本来说是全新的，新版将“假阳性”替换为更易理解的“错误的归纳换位”。第9章更新为浅显易懂的例子，单独论述了“存在假设”，使人们更难忽略它。第10章最值一提的变动是重新纳入了真值函数论证模式（简版），以便满足不同的教学需求。第11章对概括和类比的顺序做了微调，有关因果假说的分析保持不变。第12章主要修改了一些例子。,26,847,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/970/36861970/s_36861970.jpg
向上管理的艺术(升级版)：如何正确汇报工作,2020-01-01 00:00:00,哲学宗教-逻辑学,《向上管理的艺术（升级版）：如何正确汇报工作》通过“4个步骤、4个问题、7个秘诀和8个难题”，全面解析职场中的上下级关系以及如何建立和谐的上下级关系，手把手教你如何正确地汇报工作。这是一本有关“工作汇报”的实用手册，同时也是一本解读“如何与上司相处”的行为指南，能帮助读者学会正确汇报工作，完成从“透明人”到“不可替代者”的过渡，成为上司信任和依赖的对象，掌握在职场中发展与晋升的秘诀。《向上管理的艺术（升级版）：如何正确汇报工作》适合对沟通技巧感兴趣的职场人士阅读。,23,747,0,26.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/937/28338937/s_28338937.jpg
逻辑学（上）（汉译世界学术名著丛书）,2001-01-01 00:00:00,哲学宗教-逻辑学,黑格尔的《逻辑学》，通称“大逻辑”，以别于《哲学全书》中的第一部分“逻辑学”，即通称的“小逻辑”。《逻辑学》共分“有论”、“本质论”和“概念论”三编，前两编合称客观逻辑，分别出版于1812年和1813年，第三编称主观逻辑，出版于1816年。全书三编出版后，黑格尔又着手修订，仅完成了第一编“有论”部分。,14,780,0,19.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/307/33889307/s_33889307.jpg
图解逻辑学,2018-03-01 00:00:00,哲学宗教-逻辑学,这是一本活跃思维的大型工具书，我们将以图解的方式帮你挖掘大脑潜能，以有效的形式助你活跃思维，提高分析和解决各种难题的能力。当你跟着本书的指引，通过认真思考和仔细观察，成功地解决了问题之后，你会欣喜地发现，那些拥有卓绝成就的人所具备的超凡思维能力，并不是遥不可及的。通过本书的阅读，你可以冲破思维定式，试着从不同的角度思考问题，不断地进行逆向思维，换位思考，无论是参加世界500强企业面试，还是报考MBA等，都能轻松应对。运用从本书中学到的各种逻辑思维方法，能够帮助你成功破解各种难题，让你全面开发思维潜能，成长为社会精英和时代强者。,35,742,0,13.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/900/26187900/s_26187900.jpg
逻辑的力量,2019-10-01 00:00:00,哲学宗教-逻辑学,本书并不是要教你如何用逻辑技巧去驳倒他人，而是教大家如何利用逻辑理性地认识身边的人和事，有效沟通，化解分歧，达成一致，从而解决问题。本书共分三部分内容。第一部分介绍如何使用逻辑，并从身边生活的实例入手，展示如何运用逻辑，理性思考。第二部分论证逻辑也有自身的局限性，我们不应该超越逻辑的极限来使用它。第三部分阐明了逻辑和情感的互补关系。逻辑令我们观点缜密，而情感使这些观点具有说服力。我们应该用情感支撑逻辑，用逻辑理解情感，同时发挥两者的优势，我们才能清晰思考，有效沟通，更容易理解彼此，化解分歧，真正解决问题。我们应该如何认知这个世界？如何与他人相处？该如何决策？作者郑乐隽以数学家的睿智敏锐，剖析减肥、歧视、性骚扰、社会福利、特权、虚假新闻等事例，向我们展示了逻辑的力量，教我们懂逻辑，有效地运用逻辑，更好地应对这个复杂的现代世界。,6,677,0,41.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/109/26843109/s_26843109.jpg
如何独立思考,2020-12-01 00:00:00,哲学宗教-逻辑学,“后真相”时代，我们的世界充斥着各种错误信息、偏见、神话、伪科学、骗局，以及有缺陷的“知识”。我们该相信什么、怀疑什么？该如何思考、如何决策？耶鲁大学博士、国际知名播客主持人史蒂文·诺韦拉的这本书，从批判性思维的4类工具入手，详细剖析了30类逻辑谬误，结合妙趣横生的丰富案例，例如从捉鬼专家到反疫苗运动，以及热门的转基因迷思等，帮助我们了解如何与疯狂的朋友讨论阴谋论，如何说服父母拒绝伪科学和假新闻，如何教育孩子学会独立思考，如何与草率的推理、糟糕的论证和迷信思维做斗争。《如何独立思考》告诉我们，我们的大脑存在“设计缺陷”，最应该首先怀疑的就是自己。书中提供的科学思维工具箱，将帮助我们看清认知陷阱，掌握批判性思维技巧，轻松辨别科学与伪科学，成为一个有独立思考能力的人，提高决策水平。,12,727,0,52.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/530/35425530/s_35425530.jpg
