title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
辩证唯物主义历史唯物主义,2022-06-07 00:00:00,哲学宗教-马克思哲学,《辩证唯物主义历史唯物主义》是艾思奇同志主编的一部介绍马克思主义哲学的丛书，出版于1961年。这个著作既是开创性的又是基础性的哲学教科书，是马克思主义哲学中国化现实化的精品和典范。,3,0,0,9.99,https://weread-1258476243.file.myqcloud.com/weread/cover/62/3300018362/s_3300018362.jpg
《家庭、私有制和国家的起源》导读,2017-01-06 00:00:00,哲学宗教-马克思哲学,《&lt;家庭私有制和国家的起源&gt;导读》共三章，分别为“《家庭私有制和国家的起源》的写作原因”、“《家庭私有制和国家的起源》的主要内容”、“《家庭私有制和国家的起源》发表的重大意义”。《&lt;家庭私有制和国家的起源&gt;导读》以《家庭私有制和国家的起源》写作背景和内容结构为切入点，引领读者对《家庭私有制和国家的起源》这部马克思主义经典著作进行研读，利于广大党员干部和青年学生深入理解和掌握马克思主义的原理，也有助于理解现代资本主义社会制度缺陷和社会主义制度的优越性所在。,4,873,0,13.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/151/25915151/s_25915151.jpg
资本论（上）,2013-04-01 00:00:00,哲学宗教-马克思哲学,《资本论1-3(套装共3卷)》是马克思倾其毕生心血写成的一部科学著作。它被奉为工人阶级革命的“圣经”，是一部融哲学、政治经济学、科学社会主义为一体，博大精深的马克思主义百科全书，是人类思想史上不配的理论丰碑。它揭示了现代社会的经济运动规律，对于我们认识资本主义经济和研究社会主义经济提供了基本原理。本册是上册。,10,0,0,33.33,https://weread-1258476243.file.myqcloud.com/weread/cover/44/3300019744/s_3300019744.jpg
马克思主义辩证法理论研究（马克思主义基础理论研究丛书）,2012-12-01 00:00:00,哲学宗教-马克思哲学,本书立足当代辩证法研究的前沿理论，在深入发掘、分析马克思主义哲学经典文献的基础上，系统阐述了马克思主义经典作家的辩证法，如马克思的“批判本质”的辩证法、恩格斯的“理论思维”的辩证法、列宁的”三者一致”的辩证法。同时对马克思主义辩证法的理论遗产、实践基础、批判本性、当代课题等重要内容进行了全方位的探讨，凸显了马克思主义辩证法的理论魅力，对于掌握马克思主义辩证法的精髓和实质、深化马克思主义辩证法研究具有重要的理论价值。,5,842,0,24,https://wfqqreader-1252317822.image.myqcloud.com/cover/897/810897/s_810897.jpg
西方马克思主义概论,2017-12-01 00:00:00,哲学宗教-马克思哲学,《西方马克思主义概论》比较全面地反映了西方马克思主义的整体面貌。同已有的关于西方马克思主义的研究成果和有关教材相比，在涵盖面上要更为完整一些，不仅包括人们通常所探讨的各种有影响的西方马克思主义流派，而且还包括东欧新马克思主义的几个重要流派。,7,900,0,36,https://wfqqreader-1252317822.image.myqcloud.com/cover/700/24273700/s_24273700.jpg
资本论（套装共3册）,2013-04-01 00:00:00,哲学宗教-马克思哲学,《资本论1-3(套装共3卷)》是马克思倾其毕生心血写成的一部科学著作。它被奉为工人阶级革命的“圣经”，是一部融哲学、政治经济学、科学社会主义为一体，博大精深的马克思主义百科全书，是人类思想史上不配的理论丰碑。它揭示了现代社会的经济运动规律，对于我们认识资本主义经济和研究社会主义经济提供了基本原理。,18,0,0,100,https://weread-1258476243.file.myqcloud.com/weread/cover/45/3300019745/s_3300019745.jpg
《黑格尔法哲学批判》导读,2017-01-06 00:00:00,哲学宗教-马克思哲学,本书主要对《黑格尔法哲学批判》一书进行导读。书稿首先提纲挈领地描述了《黑格尔法哲学批判》的写作背景、书的结构、基本特点与出版情况，然后解析了《黑格尔法哲学批判》的主要思想。书稿主要从三个方面对《黑格尔法哲学批判》的思想进行了分析：首先是对黑格尔思辨的理性国家观与王权理论的批判，其次是对黑格尔行政权理论的批判，再次是对黑格尔立法权理论的批判。最后就《黑格尔法哲学批判》的历史地位与现实意义进行了评述。,2,864,0,12.42,https://wfqqreader-1252317822.image.myqcloud.com/cover/159/25915159/s_25915159.jpg
保卫马克思,2016-12-01 00:00:00,哲学宗教-马克思哲学,"本书是法国著名哲学家阿尔都塞的一部重要哲学著作。收录了他对于马克思主义理论所写的数篇重要论文。主要包括费尔巴哈的""哲学宣言""、论青年马克思、矛盾与多元决定、关于唯物辩证法、马克思主义和人道主义等；是二十世纪后半叶西方马克思主义文本中最重要的经典之一。",5,828,0,22.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/367/24217367/s_24217367.jpg
“马克思主义基本原理概论”教学疑难深度解析,2019-01-01 00:00:00,哲学宗教-马克思哲学,本书依据《马克思主义基本原理概论（2018年8版）》教材，对教学内容中的相关疑难问题做了深度解析。本书坚持逻辑与历史统一的原则，依据马克思主义经典著作和马克思主义发展史，对相关问题进行深入细致明晰的解析。对于问题涉及的基本范畴及其构成的基本命题、观点、原理，不仅依据马克思主义经典著作揭示其科学内涵以及内在逻辑关系，而且将问题置于马克思主义发展史的语境中，揭示马克思主义基本原理形成与发展的思想轨迹以及与西方传统哲学、古典政治经济学、空想社会主义的关系，帮助学生在马克思主义理论科学的逻辑架构与马克思主义发展史的时空坐标中实现对疑难问题的深入理解与准确把握。同时，本书不局限于对基本范畴和原理的解释，而是运用马克思主义基本原理和方法，分析教学实践中学生关注的许多重大现实问题，充分显示出其现实性和有效性。,21,810,0,41.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/794/26392794/s_26392794.jpg
马克思主义哲学基础理论研究,2013-04-01 00:00:00,哲学宗教-马克思哲学,"    《马克思主义哲学基础理论研究》从一个侧面反映了作者们30年来上下求索、深刻反思的思想历程，是作者们马克思主义哲学研究的心灵写照和诚实记录。在这里，作者们以“客观的理解”为准绳，力图用简洁的语言、适当的叙述、合理的逻辑展现马克思主义哲学的基础理论。但是，我们并不认为这部著作完全恢复了马克思主义哲学基础理论的“本来面目”，这些解释完全符合马克思主义哲学的“文本”，因为我们深知解释学的合理性，深知我们与马克思之间存在着“文化差”、“时代差”，而且马克思离我们的时代越远，对他理解的难度也就越大，就像行人远去，越远越难辨认一样。
",3,0,0,36,https://wfqqreader-1252317822.image.myqcloud.com/cover/873/810873/s_810873.jpg
