title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
心理抚养,2021-06-01 00:00:00,心理-发展心理学,心理抚养是一种全新的育儿理念。在养育孩子的过程中，父母往往特别重视孩子是否吃饱穿暖、身高体重如何、是否活泼健康，把这些当成爱的全部，却因为疏于了解、关注婴幼儿、青少年的心理健康，从而导致孩子在成长过程中产生了一些难以逆转的心理困境，特别是进入青春期后，会出现拒绝交流、出走、顶撞、不合群、学习困难等问题。对此，心理学专家李玫瑾在《心理抚养》一书中向父母传递了这样一种理念：养育孩子，心理抚养比物质抚养更加重要。作者认为，心理抚养主要包括情感、性格、观念、能力四个方面，父母必须参与心理抚养的全过程，通过陪伴与关爱获得孩子的依恋感，进而获得管教孩子、“立规矩”的资本。家长通过参与孩子成长，进行情感抚育，教他做人做事，这种心理抚养比满足孩子的物质需求更重要。“父母亲自陪伴孩子成长，比给孩子挣钱更有价值”，我们不能错过塑造孩子未来人生的最佳和最关键时期。,27,940,0,45.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/909/41599909/s_41599909.jpg
原生家庭：如何修补自己的性格缺陷,2018-05-01 00:00:00,心理-发展心理学,美国知名心理治疗师苏珊·福沃德经典著作《中毒的父母》重新编辑，再度面世！告诉你如何打破原生家庭的束缚，治愈父母给你的伤害，扭转不良的生活状态。长期雄踞《纽约时报》图书排行榜榜首，全美销量超200万册！,7,760,0,25.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/242/22620242/s_22620242.jpg
女性主义有什么用？（日常人文课）,2021-07-01 00:00:00,心理-发展心理学,这是一本写给女人，也写给男人的女性主义入门读物。40个问题直击女性生活痛点，从情感到工作，从个人到政治，全面涵盖性别议题的方方面面。120位挑战父权制的女性主义先驱，给你理解的温暖，也给你理论的武装。本书能令你觉醒，令你真正明白何为女性。苏格拉底曾说过：“未经反思的人生不值得过。”“日常人文课”系列共有五本，分别是《哲学有什么用？》《政治学有什么用？》《女性主义有什么用？》《经济学有什么用？》《心理分析有什么用？》。这套书想告诉你：人生无处不反思！哪怕是柴米油盐的日常疑惑，也能从古往今来的人文大师那里得到靠谱的解答和接地气的建议。哲学会帮助你升华灵魂。政治学会教你解读世界和社会格局。女性主义能让你看穿无处不在的性别歧视。经济学会赋予你理性经济人的思维模式。心理分析会使你更好地认识你自己。翻开这套书，你将学会过一种经过反思的生活。,8,902,0,33.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/686/40764686/s_40764686.jpg
超实用儿童心理学：孩子心理和行为背后的真相,2019-07-01 00:00:00,心理-发展心理学,本书从儿童的语言和认知发展、个性发展、情绪发展、行为管理、社交能力以及父母自我修炼六个板块入手，向父母们全面介绍了0～6岁儿童发展的整个过程，希望能真正打通你育儿思维的“任督二脉”。,15,874,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/912/25941912/s_25941912.jpg
被忽视的孩子：如何克服童年的情感忽视,2018-09-01 00:00:00,心理-发展心理学,本书是首部提出并深度解读“情感忽视”概念的心理自助书。情感忽视是一种来自童年的隐形力量，是你童年缺失的东西。它难以察觉，却对你的一生有深远影响。童年是房子的地基，成年人是整栋房子。由于儿时情感上没有得到足够的照料，和父母的情感连接有所缺失，许多成年人表面上看起来很正常，但在内心深处，那种与父母、其他人以及世界产生联结的情感根基缺失了，他们一直纠结在悲伤、焦虑或是生命的虚无感中。作者是童年情感忽视领域的开创者，拥有20年开展情感忽视咨询与研究的丰富经验。本书运用大量案例、练习和技巧，帮助你在自己的生活中看到童年的缺失和伤痕，了解情绪的价值，陪伴你进行重建自我的工作，逐步掌握童年未能培养起来的技能，走出空虚感，找到内心本来存在的对自己的善意和内在平静。本书也会帮助为人父母者避免将自己的童年情感忽视问题传递给孩子，变成一个知晓情绪的父母，抚育出能意识到情绪、能与他人有情绪共鸣的孩子。本书还有专门一章为咨询师提供了有效工具，帮助遭受过童年情感忽视的来访者。,8,831,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/312/23721312/s_23721312.jpg
李玫瑾青少年心理教育：心理抚养&幽微的人性（套装共2册）,2021-06-01 00:00:00,心理-发展心理学,《心理抚养》是一种全新的育儿理念。在养育孩子的过程中，父母往往特别重视孩子是否吃饱穿暖、身高体重如何、是否活泼健康，把这些当成爱的全部，却因为疏于了解、关注婴幼儿、青少年的心理健康，从而导致孩子在成长过程中产生了一些难以逆转的心理困境，特别是进入青春期后，会出现拒绝交流、出走、顶撞、不合群、学习困难等问题。对此，心理学专家李玫瑾在《心理抚养》一书中向父母传递了这样一种理念：养育孩子，心理抚养比物质抚养更加重要。作者认为，心理抚养主要包括情感、性格、观念、能力四个方面，父母必须参与心理抚养的全过程，通过陪伴、关爱、获得孩子的依恋感，进而获得管教孩子、“立规矩”的资本。家长通过参与孩子成长，进行情感抚育，教他做人做事，这种心理抚养比满足孩子的物质需求更重要。“父母亲自陪伴孩子成长，比给孩子挣钱更有价值”，我们不能错过塑造孩子未来人生的Z佳和Z关键时期。《幽微的人性》取材自李玫瑾在电视谈话节目中的访谈内容。她在书中以通俗的语言介绍了犯罪心理画像理论，并通过近年来国内外轰动一时的恶性犯罪案件剖析了犯罪人的心理成因，阐释了犯罪心理学在预防和惩治犯罪方面的重要性，呼吁全社会关爱青少年尤其是留守儿童，重视他们的成长环境，对他们加强心理教育。,24,935,0,85.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/597/43932597/s_43932597.jpg
女人这东西,2018-05-01 00:00:00,心理-发展心理学,渡边淳一作为一名熟知女性生理构造的医生以及一位通晓心理学的文学作家，将女性置于家庭、社会乃至整个世界的中心，对从青春期到更年期的女性的生理特征及其外化的表象即情感、心理、思维方式等特殊性进行了分析论述。通过这本书各个年龄段的女性都将更加了解自己。而男性则可以了解女性情感上的幻化不定，心理上的复杂多变，体会到女人不可思议的无穷魅力！,3,472,0,17.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/505/32765505/s_32765505.jpg
叛逆不是孩子的错：不打、不骂、不动气的温暖教养术（原书第2版）,2017-08-01 00:00:00,心理-发展心理学,这本书起源于我在咨询实践中遭遇的情感痛苦和对其的超越。我开发的10天计划是建立在我本人25年的咨询经验基础上的。我作为儿童和家庭心理咨询师与困难儿童打了25年的交道，这些儿童轻则只是有点儿固执己见，重则极度叛逆！自从10年前第1版出版以来，我非常自豪的同时也万分感激来自世界各地的读者能分享这些经验，他们反馈了运用10天计划带来的成功故事。他们提供的一些卓有成效的反馈强有力地说明了这个计划真的非常棒！他们说这个计划提供了快捷的、富有同情心的、高度有效的方式来减少甚至消除他们与叛逆孩子之间的权力之争，而且改善了他们与叛逆孩子之间的亲子关系。阅读过本书的父母和监护人发现，如何改变他们自己的行为是至关重要的，他们目睹了自己行为的改变使叛逆孩子的叛逆行为得到了很大改变，而且孩子的行为举止变得越来越好了。,8,845,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/274/23839274/s_23839274.jpg
与青春期和解：理解青少年思想行为的心理学指南,2019-08-01 00:00:00,心理-发展心理学,放松点！你听说过的许多关于青春期的现象不是一定发生的。孩子的成长之路是风雨交加的，事实上，心理问题、问题行为及家庭冲突在青春期并不比生命周期的其他阶段更普遍。青春期出现情绪是正常的，叛逆是成长过程中不可避免的部分。在本书中，作者将为我们展示一个真实的青春期。这里讲解了与青春期有关的脑科学、神经科学、心理学、社会学、教育学的研究成果，并且辅以几十个鲜活的青春期案例。为了帮助家长顺利地应对孩子的青春期，劳伦斯对青春期进行了创造性的划分——前青春期、青春期早期、青春期中期以及成年过渡期，把青春期的定义扩展到25岁，并且根据每个阶段的心理特点对青少年的行为进行了深入的研究，从应用心理学的角度为青春期孩子的家长提供切实的建议和科学的指导。这既是社交媒体时代的需要，也是时代发展的结果。本书可以帮助那些家有青春期子女的父母、初高中教师和心理学研究者了解青少年的心理发展状况，发现他们在这一时期的优势和危机，进而激励青少年成长为更好的自己。,18,833,0,45,https://wfqqreader-1252317822.image.myqcloud.com/cover/791/43442791/s_43442791.jpg
有限责任家庭,2019-11-01 00:00:00,心理-发展心理学,心理学者、畅销书作家李雪，继《当我遇见一个人》、《走出剧情》后，又一力作。继续深入挖掘母婴关系与亲密关系的内核，通过更加丰富与贴近生活的真实案例，揭示育儿过程中父母的行为对孩子的一生可能造成的影响。同时也指明，我们应该如何觉知并转换思维，解决自身已然存在的问题。“爱与自由”是李雪一以贯之的家庭教育理念，在关系中，也体现在界限感上。无论对孩子还是对自己，“守住界限”都是重要的觉知方向。我们每个人都需要对自己负责，也只能对自己负责，做一个清醒的“有限责任人”。整本书共分为六个版块，作者分别从母婴关系、家庭教育、自我觉知等角度，揭露了家庭中存在的诸多隐性或显性的问题，并提供了独树一帜的见解。,3,807,0,22.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/568/26914568/s_26914568.jpg
