title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
亲密关系（第6版）,2015-06-01 00:00:00,心理-心理学研究,亲密关系与泛泛之交有什么区别；大丈夫与小女子真的般配吗；吸引力的秘密是什么；男人与女人真的是不同的动物吗；同性恋真的是由基因决定的吗；单亲家庭的孩子长大后更容易离婚吗……两性在发生一夜情及选择终身伴侣上有什么差异？爱情和性欲是由不同的脑区控制吗？亲密关系满足的秘诀是什么？米勒教授在《亲密关系》中回答了这些问题，尤其澄清了通俗心理学所宣扬的经验之谈，甚到错误观点。本书遵循由浅入深、由一般到特殊的认知规律，论述了亲密关系的基础、活动形态、类型、矛盾和修复等内容，读完本书，你将对吸引、爱情、婚姻、承诺、友谊、激情、沟通、性爱、依恋、择偶、嫉妒、出轨、家暴等亲密关系的方方面面有全新的认识。,32,879,0,110.4,https://weread-1258476243.file.myqcloud.com/weread/cover/24/3300014124/s_3300014124.jpg
少有人走的路（1-8套装）,2020-11-01 00:00:00,心理-心理学研究,M.斯科特·派克（M.Scott Peck），毕业于哈佛大学，获得硕士和博士学位。他长期从事心理治疗实践，取得了卓著成绩，被誉为“我们这个时代杰出的心理医生”。由于其巨大的影响力，他获得政府特许，进入政府心理治疗特殊小组，为越战士兵提供治疗。他还曾接受派遣，在美军驻日本冲绳基地担任心理医生。这些特殊的职业经历，成就了他伟大的著作《少有人走的路》系列，该书在《纽约时报》畅销书排行榜连续上榜近20年，被西方媒体誉为“来自上帝之手”的时代杰作。,44,787,0,148.67,https://wfqqreader-1252317822.image.myqcloud.com/cover/621/34389621/s_34389621.jpg
自卑与超越,2016-06-01 00:00:00,心理-心理学研究,"    《自卑与超越》指出，每个人都有自卑感，或多或少。自卑可能让人一蹶不振、放弃自己；自卑也能成为让自己变得更好的原动力，而阿德勒心理学，就是要带给人超越自卑的“勇气”。谁都不能代替你过你的人生，谁都不能真正帮你解决问题，但是拥有了勇气，我们就有了克服困难的活力，超越自卑的强大内心，任何时刻都能成为你人生的新开始。
",6,739,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/446/831446/s_831446.jpg
福格行为模型,2021-10-11 00:00:00,心理-心理学研究,在这本书中，福格博士亲自拆解了他提出的福格行为模型，揭示了驱动人类所有行为的3个关键要素，解析了每一个要素在驱动人类行为中的重要作用，提供了激发每一个要素以更好地推动行为改变的有效方法。此外，福格博士还给出了让福格行为模型更好地发挥作用的两个方法，通过设计情绪来设计行为，通过打造高频率小成功让小改变自然生长。本书不仅能够帮助人们毫不费力地养成好习惯，也能够指导人们成功对抗坏习惯；不仅能够帮助个人实现改变，也能够帮助群体直面挑战。只要掌握福格行为模型的精髓并加以灵活运用，每个人都能够轻松改变自己的工作与生活，成为自己想要成为的那个人。本书给出了福格行为设计工具箱，包含15种人生情景与挑战、300个微习惯配方、100种庆祝方式，手把手地教你减重、减压、改善睡眠质量、摆脱坏习惯、提升效率……,12,903,0,98.91,https://wfqqreader-1252317822.image.myqcloud.com/cover/996/41147996/s_41147996.jpg
乌合之众：大众心理研究,2016-02-01 00:00:00,心理-心理学研究,"    《乌合之众：大众心理研究》作者是法国著名社会心理学家古斯塔夫·勒庞，他自1894年始，写下一系列社会心理学著作，以本书最为著名；在社会心理学领域已有的著作中，最有影响的，也是这本并不很厚的《乌合之众》。作者论述在传统社会因素毁灭、工业时代巨变的基础上，“群体的时代”已经到来。书中极为精致地描述了集体心态，对人们理解集体行为的作用以及对社会心理学的思考发挥了巨大影响。《乌合之众：大众心理研究》在西方已印至第29版，其观点新颖，语言生动，是群体行为的研究者不可不读的佳作。
",4,664,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/8/837008/s_837008.jpg
心理学与生活（第19版，中文版）,2016-01-01 00:00:00,心理-心理学研究,《心理学与生活》是一部心理学经典教科书，心理学导论类教材的典范之作，在美国及许多国家的心理学界都有着很高的知名度。美国ETS 将《心理学与生活》推荐为GRE 心理学专项考试的主要参考书，半个多世纪以来，不断与时俱进，每次修订既力图反映心理学新近的研究进展，也保持其一贯的宗旨，即“心理学是一门科学，同时关注这门科学在生活中的应用”，可谓历久弥坚，历久弥新。本书译自英文原版《心理学与生活》第 19 版，全书精简为16 章，更新了数十万字和1 000 多篇参考文献，新增了“生活中的心理学”与“生活中的批判性思维”两个专栏，本版在书后增加了各章的练习题及专业术语表，更好地满足课程教学的需要。,17,909,0,83.2,https://weread-1258476243.file.myqcloud.com/weread/cover/23/3300014123/s_3300014123.jpg
认知红利,2019-07-01 00:00:00,心理-心理学研究,本书着力于全面训练认知思维和快速提升脑力，帮助读者理解自己、理解环境、理解财富，全方位提升读者的学习能力、思维能力和问题分析能力。作者思维开阔，对人、人性有独到的见解，对认知、思维有重构的逻辑，对效率和财富有独门的办法。阅读本书，既是一次脑力激荡之旅，也是一次认知丰盈之访。,8,785,0,40,https://wfqqreader-1252317822.image.myqcloud.com/cover/790/26261790/s_26261790.jpg
墨菲定律：世界上最有趣最有用的定律（超值白金版）,2013-07-01 00:00:00,心理-心理学研究,《墨菲定律：世界上最有趣最有用的定律》列举的200多个经典定律，是人们从千变万化的生活中所提炼总结出的精华。书中总结了管理、经济、心理、人生、教育、事业、家庭、感情等方面*经典的定律、法则和效应，全方位地扫描人生的全过程，交给我们一把又一把开启智慧之门的钥匙，点亮一盏又一盏指路的明灯。把握这些定律，对于我们认识事物的本质、发现事物发展的规律、解决生活和工作中遇到的林林总总的问题，具有非常重要的指导意义。,64,786,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/957/845957/s_845957.jpg
社会性动物：第12版,2020-05-01 00:00:00,心理-心理学研究,社会影响无处不在。我们是如何受到影响的？为什么我们要接受信息，或者换句话说，信息对我们有什么好处？什么样的社会动机使我们容易受到他人的想法、言论和行为的影响？哪些因素会增加或减少社会信息的有效性？哪些因素增加或减少了社会影响力的持久性？一个人是怎样喜欢上另外一个人的？是否通过同样的心理过程，我们选择了普通麦片而不是即食麦片？一个人如何对某个民族、某种宗教或种族群体产生偏见？偏见与喜欢类似？还是恰恰相反，涉及一套完全不同的心理过程？许多人对会对诸如此类的问题感兴趣。因为我们都花费了大量的时间与其他人交流——受他人的影响；影响他人；高兴、开心、悲伤、厌恶、沮丧，或者被激怒——我们的天性就是对人们为什么做他们所做的事情提出假设。从这个意义上说，我们每个人都是业余的社会心理学家。尽管大多数业余社会心理学家在与他人互动时会对这些假设进行检验，并达到他们自己的满意程度，但这些偶然的“检验”缺乏细致的科学研究所具有的严谨性和公正性。,11,856,0,59,https://wfqqreader-1252317822.image.myqcloud.com/cover/984/32764984/s_32764984.jpg
当尼采哭泣,2017-01-01 00:00:00,心理-心理学研究,心理学大师欧文·亚隆经典心理小说，2007年被拍成同名电影。当名医遇到哲学超人，演绎出心理咨询的诞生过程！初级心理咨询师推荐必读书目！ 如诗般的语言，精心的故事设计，巧妙的编剧手法，其悬疑程度堪比《嫌疑人x的献身》。书中人物来自真实的历史：尼采、布雷尔、弗洛伊德和莎乐美，开启一段扣人心弦的故事。从内容来说，本书探讨的话题涵盖面很广，你可以看到中年危机、女性意识、婚姻问题、操纵与索求、情绪勒索、自我探索、现实问题等话题，以及歇斯底里症、强迫性思想、偏头痛、焦虑等病征的描述。,7,897,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/799/855799/s_855799.jpg
十分钟冥想,2019-11-01 00:00:00,心理-心理学研究,冥想是一种奇妙的技能，它有改变我们人生的潜力，但是怎样运用这种技能，则取决于你自己。随着媒体对冥想和正念的报道越来越多，许多人似乎急于确定冥想的用途。事实上，你只有确定了如何用它，你才能确定它的用途。在学骑自行车的时候，你所了解的是如何骑车，而不是你要如何去运用骑车的能力。有些人把自行车视为出行工具，有些人用它跟朋友闲逛，还有极少数人可能以它为终身事业。对所有人来说，技能是一样的：安稳地坐在车座上，别掉下来。所以，虽然别人可以教你如何骑车，但骑车对你而言到底意味着什么，你要拿它做什么，以及它怎样才能最符合你的生活方式，这完全取决于你自己。冥想技能也是如此，你可以将它应用到生活中的任何方面，它的价值取决于你赋予它的价值。,25,719,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/999/27184999/s_27184999.jpg
做自己的心理医生（最新升级版）,2015-01-01 00:00:00,心理-心理学研究,在当今生活和工作节奏空前加快的时代，没有谁的心灵永远一尘不染，都有或多或少的心理困扰，只是有的人比较轻，有的人比较严重罢了。但再轻的心理问题，如果不加以重视，就会越来越严重。日常生活中，也许并不是每一个人都有条件拥有自己的心理医生，即便是心理医生，他也不见得完全了解你的全部。而我们自己才是最为了解自己的人，那为何不尝试着做自己的心理医生呢？阅读本书的每一个人都有一定的潜能成为自己的心理医生，本书介绍心理学常识，以及心理问题的应对策略，配合经典案例，让您在轻松的阅读中，认识自我，解读心灵的迷茫，科学调适身心，保持心理健康，让你的生活充满阳光。,16,685,0,11.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/360/26702360/s_26702360.jpg
