title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
社会心理学（第8版）,2010-04-01 00:00:00,心理-社会心理学,社会心理学（第8版）中文版将基础研究与实践应用完美地结合在一起，以富有逻辑性的组织结构引领学生了解人们是如何思索、影响他人并与他人建立联系的。是人们了解自身、了解社会、了解自己与社会之间关系的指导性书籍。讨论的研究对象是我们很多人都感兴趣的问题。它把少数几本真正把各个学科的相关论述与社会心理科学的有关理论和发现结合了起来，即使是没有心理学背景的读者也会发现，这本社会心理学（第8版）中文版的内容和描述引人入胜，发人深省。被美国700多所大专院校心理系所采用，是这一领域的主导教材，已经成为评价其他教材的标准。,9,878,0,62.39,https://wfqqreader-1252317822.image.myqcloud.com/cover/812/41452812/s_41452812.jpg
影响力（经典版）,2010-09-01 00:00:00,心理-社会心理学,本书是西奥迪尼的社会心理学经典作品，在书中，作者从专业角度为读者阐释了顺从他人行为背后的极具说服力六大基本原则：互惠、承诺和一致、社会认同、喜好、权威和稀缺，为我们解释了为什么有些人极具说服力，而我们总是容易上当受骗。本书对于商业人士以及广大普通读者有深远的意义，教你学会对顺从业人士说“不”，帮助你成为一个真正对他人有影响力的人。西奥迪尼经典作品 风靡全球30载，被引述率高居当今社会心理学之冠，《财富》杂志鼎力推荐的“75本商业必读书”之一，亚马逊推荐的“人生必读100本书”之一。,5,827,0,5.09,https://wfqqreader-1252317822.image.myqcloud.com/cover/426/823426/s_823426.jpg
猫和狗的生活哲学,2022-01-01 00:00:00,心理-社会心理学,"一只焦虑的肥猫，一只稳重的胖狗，在大城市过着和年轻人一样的快节奏生活，也有不少烦恼： 
陷入内卷、被人冒犯，却习惯忍气吞声、强颜欢笑； 
想要躺平，却发现充满焦虑，根本停不下来； 
害怕在激烈的竞争中落后，却提不起精神追赶…… 
懂心理学的胖狗，带着肥猫逐步看清这些困境背后的心理问题：“习得性无助”“错失恐惧”“选择恐惧症”……它们一起用专业的心理学知识攻破这些难题，最后总结出一套“猫和狗的生活哲学”，以一种全新的方式看待生活并豁然开朗。 
“简单心理”基于真实生活场景创作，以漫画的形式直击年轻人的内心困惑。",4,920,0,39,https://weread-1258476243.file.myqcloud.com/weread/cover/18/3300016718/s_3300016718.jpg
爱的艺术,2018-11-01 00:00:00,心理-社会心理学,《爱的艺术》是美国社会心理学家和哲学家、法兰克福学派重要成员艾里希·弗洛姆的著名作品，自1956年出版至今已被翻译成三十二种文字，在全世界畅销不衰。在本书中，弗洛姆认为，爱情不是一种只需投入身心的感情，而是需要努力发展自己的全部个性，以此形成一种创造倾向，否则，一切爱的尝试都是会失败的。如果没有爱他人的能力，不能谦恭、勇敢、真诚、自制地爱他人，就不可能得到满意的爱。弗洛姆进而提出，爱是一门艺术，想要掌握这门艺术的人，需要有这方面的知识并付出努力去学习。既要学习爱的理论，也要在爱的实践中学习。,6,787,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/865/36557865/s_36557865.jpg
停止内耗：过一个不累的人生,2022-05-01 00:00:00,心理-社会心理学,若杉，原名方雪，心理咨询师，开设了公众号撰写心理学科普文章，文章曾先后被《人民日报》、新华网、壹心理网等多家媒体转载，已出版《阅己：做自己的心理顾问》。2019年，在北京开设心理咨询工作室，累计咨询时长超过3000小时。,7,742,0,39.99,https://weread-1258476243.file.myqcloud.com/weread/cover/51/3300017151/s_3300017151.jpg
先学会爱自己，再遇见对的你,2019-01-01 00:00:00,心理-社会心理学,幸福心理学关系教练、女性自爱力探索者周梵2019年重磅新作！只有爱上真实的自己，他才会好好来爱你！周梵老师将自己十四年爱情、婚姻经历，再加上千个来访者真实咨询案例，打造千万都市男女都需要的亲密关系修炼指南！99%的亲密关系问题其实是出现在自己身上，请把幸福的选择权放在自己手里！跟随周梵老师，修好爱的私教课，让幸福流动！如果你曾在亲密关系中遇到困难，请你跟随周老师学习以下方法：戒除自己的“好人瘾”，真实地表达自己；用来控制别人的东西，都会反过来控制自己；不要让自己成为过度付出者或过度索取者；所有的伪装都会带来对自我和关系的消耗；成熟意味着看到另一个人的多元性与复杂性；,13,843,0,24.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/732/23921732/s_23921732.jpg
自律100天，穿越人生盲点,2019-06-01 00:00:00,心理-社会心理学,100天，2种方法，做3件事。本书从自律的原理出发，详细阐述了自律的方法论和践行的具体策略，让自律100天的行动真实看得见，100天，记录你的坚持，见证你的改变。让自律成就更好的自己，本书与你同行。,9,766,0,23,https://wfqqreader-1252317822.image.myqcloud.com/cover/174/32443174/s_32443174.jpg
停止你的内在战争,2022-05-01 00:00:00,心理-社会心理学,知名心理学者、心理咨询师黄仕明老师作品，独家亲笔签名版。武志红、孙瑞雪、斯蒂芬·吉利根、约格·迪尔克斯隆重推荐。我们内在有两种冲突：我所想的和我体验到的不同；我想成为那个人，但我体验到的是自己并不是那个人。这两种冲突让我们发起了一场又一场内在战争，产生了消极想法、负面情绪，甚至负面行为。黄仕明老师说：“其实每一种负面行为背后都有一个正面动机，每一片乌云背后都发着金光。”我们想改变的那些“坏的”背后，都是生命真实的渴望。希望本书可以带大家走出对“改变”的执念，转化问题为资源，与自己和解，重新整合自我，焕发生命原本活力。,6,789,0,40.8,https://weread-1258476243.file.myqcloud.com/weread/cover/3/3300018303/s_3300018303.jpg
小瞬间,2020-11-01 00:00:00,心理-社会心理学,"头部心理学平台KnowYourself创始人钱庄最新随笔集。
关于爱与自由的心理笔记，讲述她视角下的自我觉察、亲密关系、女性主义、人生选择。
作者将心理学融入个人经验，探讨我们如何在自我成长中看待和处理负面情绪；在亲密关系中爱人爱己；与世界相遇时该如何与他人相处，又如何看待社会标准，并与之协调；什么是真正的自由，以及如何才能踏上通往内心自由之路。",9,838,0,36.4,https://weread-1258476243.file.myqcloud.com/weread/cover/6/3300021706/s_3300021706.jpg
身体知道答案（珍藏版）,2016-11-01 00:00:00,心理-社会心理学,人们往往过于重视内心，而忽略了身体本身。其实，我们的身体就知道内心的答案。感受总是和身体联系在一起的，欢乐与痛苦，都必然要有身体的参与。尊重你的身体，回归你的感受，深入你的潜意识之井，在头脑和身体之间打通一个通道，这样心理问题自会迎刃而解。 如此，活出真实的自己。 《身体知道答案（珍藏版）》的宗旨，就是与大家分享一个又一个的故事，让大家看到，我们是如何与身体取得链接的，而那是多么美好的故事。同时，这本书也写出了我们的心是如何构建了自己的世界的。,7,867,0,19.9,https://rescdn.qqmail.com/weread/cover/334/3300003334/s_3300003334.jpg
