title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
认知觉醒：开启自我改变的原动力,2020-06-01 00:00:00,心理-认知与行为,为什么我们做事总是急于求成、避难趋易？所谓有耐心，就是要“咬牙坚持、死磕到底”？如何不再用“三分钟热情”和“打鸡血”的方式做事？如何保持极度专注？如何消除焦虑？如何提高学习能力？这是一部可以穿透时间的个人成长方法论。7大底层概念，20个成长关键词，助你彻底走出焦虑与迷茫，拥有清醒的认知、清楚的目标、清晰的路径、清爽的情绪。通过“大脑构造、潜意识、元认知”等思维规律，你将真正看清自己；通过“深度学习、关联、反馈”等事物规律，你将真正看清世界，提升自控力、专注力、学习力……只有洞悉底层的内在规律，我们才能真正开启自我改变的原动力。,7,911,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/204/33628204/s_33628204.jpg
认知驱动：做成一件对他人很有用的事,2021-08-01 00:00:00,心理-认知与行为,做成一件有价值的事，成为一个有价值的人；成长的根本是做成事情、创造价值。做到，是更高等级的成长。一个人的成长也是通过主动做成一件对他人很有用的事来实现的。但在现实生活中，很多人虽然内心强烈希望变好，行动也非常努力，却始终无法做成事情，这背后的原因通常是缺少价值意识、输出意识、创造意识、作品意识、利他意识……《认知驱动：做成一件对他人很有用的事》将通过“做成一件事”的心法和技法两部分内容，和大家一起探索如何通过创造个人价值获取人生的成功、幸福和意义。从“习惯养成”到“技能培养”，从“对内输入”到“对外输出”，从成为“更好的人”到成为“更有价值的人”，这些刻意的转变会让我们走出焦虑的怪圈。单纯依靠意志力的努力往往是盲目的，所以人们会反反复复地起念，又反反复复地失败。一个人只有了解做成一件事的来龙去脉、看清事情本质后，才能走出反复尝试却劳而无功的困境。学会用认知来驱动自己，我们才能更好地到达成长的彼岸——做成一件对他人很有用的事，成为一个有价值的人。,7,896,0,35.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/986/40649986/s_40649986.jpg
拆掉思维里的墙（白金升级版）,2021-11-01 00:00:00,心理-认知与行为,新一代人生设计师古典倾情打造“人生开窍手册”：心理学、职业规划、人生哲学。你是否缺少安全感？你会经常觉得累？结婚一定要买房吗？你认为坚持就一定会成功？你总忍不住与别人比较？只有有钱才能够幸福？老板可以掌控吗？小人物就无法对抗不公平吗？不喜欢现在的工作却又不知道自己该干什么？对现在的生活不满意，但却因为父母、老婆或者孩子不得不这样过下去？每天都在混日子，却幻想有一天找到自己真正喜欢的事业就一定会全心投入？如果有一个回答是“YES”，那么这本书就是你想要的。也许，连我们自己也不曾意识到，那些困惑背后，往往藏着一堵堵思维里的墙，阻碍着我们，把我们与美好的生活隔开了。拆掉思维里的那些墙，你就可以获得成功、快乐、自信和幸福。从“IMPOSSIBLE”到“I’MPOSSIBLE”，只须一点改变，你的人生也许就此大不相同。,10,783,0,41.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/374/41439374/s_41439374.jpg
不要挑战人性,2021-09-01 00:00:00,心理-认知与行为,"心理学是一门科学。
无数心理学家做了很多精妙的心理学实验，在严格设定自变量、因变量、控制变量的条件下，设置情境，洞察人性。 
本书将带你还原20个经典心理学实验现场，剖析实验中的每一个细节，找到洞悉人性、震撼心灵的每一个瞬间，通过对人性的抽丝剥茧，来检视心理学实验中反映人性的逻辑内核，提取其中温润心灵的每一个元素，看见心灵，照见自我。 
心理学是探测人性的科学工具，也是“认识自己、了解自己”的实用工具。",16,870,0,46.99,https://weread-1258476243.file.myqcloud.com/weread/cover/22/3300018022/s_3300018022.jpg
自卑与超越（完整全译本）,2017-01-03 00:00:00,心理-认知与行为,《自卑与超越》是人类心理学先驱阿弗雷德·阿德勒的巅峰著作，作者从探寻人生的意义出发，启迪我们去理解真实的生命意义。全书立足于个体心理学观点，从教育、家庭、婚姻、伦理、社交等多个领域，以大量的实例为论述基础，阐明了人生道路的方向和人生意义的真谛。帮助人们正确面对缺陷，正确对待职业，正确理解社会，理解生活，理解性，具有极深的哲理性和巨大的学术价值。,20,757,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/750/29963750/s_29963750.jpg
我们时代的神经症人格,2013-09-01 00:00:00,心理-认知与行为,本书系统阐述了霍妮文化神经症理论的基本主张，详细论证了文化因素与神经症形成之间的关系，提出以文化决定论取代弗洛伊德的生物决定论。霍妮认为：“深入探讨有效地导致神经症的各种动力，就会发现，存在着一种一切神经症所共有的基本因素，这就是焦虑……无论神经症的结构多么复杂，这种焦虑始终都是引发神经症过程，并维持其运转的动力。”本书是霍妮对正统精神分析的彻底批判和修正，标志着其思想的形成，也标志着精神分析社会文化学派开始形成。本书以语言平实、清晰明了著称，在简单易懂中蕴涵深刻意义，在出版之初就受到学界的好评和重视，之后多次再版、重印，成为心理学界的畅销书。本书的重点在于强调神经症患者实际存在的冲突和他为解决这些冲突所付出的努力，以及神经患者实际存在的焦虑和他为对抗这些焦虑所建立起来的防御系统。这种对真实处境的强调，并不意味着我放弃关于神经症的形成是来自童年的早期经验这一观念。,6,846,0,27,https://wfqqreader-1252317822.image.myqcloud.com/cover/930/26391930/s_26391930.jpg
为什么爱会伤人：亲密关系中的自恋型人格障碍,2022-02-01 00:00:00,心理-认知与行为,"◎ 作者在油管拥有超百万粉丝、TED演讲播放量破百万。曾深入诊疗威尔·史密斯夫妇及家族背后的自恋情结，缓解kendall jenner社交焦虑等心理问题！研究项目获美国国立卫生研究院10年资助。

★ 让无数读者恍然大悟，找到勇气告别过去的一本书。
★ 比PUA更隐蔽的，是亲密关系中的自恋型人格。 
 
 • 你总以为只要给予更多包容，TA就会改变……
 • TA总是能嗅到你内心最敏感脆弱的部分，让你觉得一切都是自己的错……
 • 当你决定离开，他总是痛彻心扉地挽回，然而时间一长却变本加厉……
 • 怎样才能从这种令人折磨的关系中解脱出来? 

★ 这本书可以让读者快刀斩乱麻，理清思绪，快速明白，自恋者是不会改变的！他们只会变本加厉！ 
★ 自恋由于一些原因被这个社会“合理化”，甚至“光环化”；自恋者本身也应该在“道德公知”越来越普遍的情况下，适当收敛克制，而不是像以往那样为所欲为。",4,779,0,35,https://weread-1258476243.file.myqcloud.com/weread/cover/93/3300010693/s_3300010693.jpg
快乐的陷阱：40个让你痛苦和停滞不前的行为模式,2019-11-01 00:00:00,心理-认知与行为,每年有几百本生活自助类书籍出版发行，它们或隐或现都有一个共同的目的：让你快乐起来。如何成功致富，使你快乐；如何成功减肥，使你快乐；如何摆脱抑郁，使你快乐；如何觅得佳偶，使你快乐；如何排便通畅，使你快乐……,8,719,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/523/26924523/s_26924523.jpg
如何想到又做到,2018-10-01 00:00:00,心理-认知与行为,《如何想到又做到》这本书要解决的问题是，大多数人都能够制定出一些计划，或者是想到要去采取某种行为，但是却缺乏足够的动力或者是有效的力量，把它坚持下来。有一种人，睡前想好千条路，早上起来走老路；有一种人，尽管心态积极向上，行动却宛如废物；有一种人，做了不少的努力，人生依旧不给力。为什么有些人总是想到做不到？而一些人无论做什么都能成功？是意志力不足、是缺乏动力、还是诱惑太多？全都错了！《如何想到又做到》将颠覆你对过去所有行为的认知，给出了你另外的一个解决思路，那就是：要想解决行为问题，先要准确地把行为进行分类，然后用对应的心理武器去攻克它。通过3种行为分类、7大武器组合，告诉你无需意志力，就可达成目标并实现成功的极简方法。这是一本媲美《影响力》的行为改变科学力作，作者集结15年的研究经验讲行为科学和心理学全新成果一网打尽，帮你量身打造行动方案，当你使用这套方法的时候，持久改变行为的可能性要高出3倍。,11,720,0,11.67,https://wfqqreader-1252317822.image.myqcloud.com/cover/233/23691233/s_23691233.jpg
走出人格陷阱,2020-04-01 00:00:00,心理-认知与行为,“人都在追求卓越。”这句话，你赞同吗？特别是，你觉得自己在追求卓越吗？相信问这个问题时，多数人会觉得：嗯，是啊，应该是这样。但其实，无数人的人格有各种陷阱，这些陷阱约束着他们追求卓越和强大。无论外在的条件多么优秀，漫漫人生长路上，人格才是核心竞争力。本书以“心灵成长的六个定律”和“七个心理寓言”为理论基础，详细说明了“人格”在我们成长中的重要作用，愿这本书能帮助你认识人格的魅力与陷阱，从而不断完善你的人格。,10,801,0,19.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/638/29998638/s_29998638.jpg
