title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
零基础学好英语语法,2018-07-01 00:00:00,教育学习-外语,不能不提的4大特色： 1 逻辑新颖 分层推进 59课内容，采用简单明晰的连贯逻辑讲解，从此告别碎片化学习，层层深入，让你在短时间内掌握复杂语法！ 2 漫画图解 浅显易懂 清新可爱漫画搭配简要文字对语法进行说明，图与文互相转化，刺激左右脑合并运用，让语法学习更有趣！ 3 活学活用 温故知新 海量习题，中英对照，反复练习，层层巩固。让你学会举一反三，将语法难题一网打尽！ 4 在线答题 智能测评 50道精华题，涵盖全书所有知识点。扫描在线答题。智能判卷，让学习更高效！,19,869,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/956/25793956/s_25793956.jpg
15000情境英语单词,2018-11-01 00:00:00,教育学习-外语,《15000情境英语单词》： 1.随身带，轻松记，便携式开本，不分时间地点，单词例句随时记；2.分好类，超好背，日常生活、社交、情绪、旅游、职场、餐饮、娱乐、节日等实用单词一网打尽；3.看图记，超有趣，随听随机，日常生活场景图、文、音、训相结合，记单词更有效率；4.划重点，超精准，释义精准全面，搭配用法举一反三，例句简单实用；5.延伸拓展，活学活用，常见短语、句型及用法，精准分析，灵活拓展，更系统、更易查、更实用；6.实用单词，一网打尽，词句短语、场景词汇，生活中衣食住行，一本全涵盖。,15,814,0,19.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/884/25079884/s_25079884.jpg
英语语法分解大全,2016-05-01 00:00:00,教育学习-外语,本书作者之一为在韩国社交媒体圈上广受好评的英语老师尹尚远，他独到的讲解方法让众多徘徊在学好英语之外的学生找到了一条新出路。他崇尚“以繁化简、化整为零”的分析思路，对复杂长难句进行详细的拆分，将每一个成分和语法知识一一对应，让读者在理解句子结构和句意的同时，也能深刻理解语法知识，可谓一举多得。另一位作者张莎拉长期担任韩国英语学习节目的策划人，拥有丰富的知识背景，强强联合让英语学习更轻松！,26,912,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/201/39888201/s_39888201.jpg
BASIC READERS：美国学校现代英语阅读教材(套装共7册)(英文原版),2015-12-01 00:00:00,教育学习-外语,"《Basic Readers》是美国现代时期一套广泛使用的标准化英语阅读课本，在美国学校一直使用到20 世纪70 年代。《美国学校现代英语阅读教材》由芝加哥大学阅读研究专家、世界阅读学会首任会长威廉?格雷教授与著名教材专家威廉?爱尔森共同编写。从选文篇幅、词汇难度、故事内容、课后练习、插图使用等方面，编者都做了精心考量。《美国学校现代英语阅读教材》以综合培养学生的朗读（oral reading）与默读（silent reading）技巧为目的，让孩子们学会阅读，并通过阅读为今后的人生阶段打下基础。对中国孩子来讲，这是一套循序渐进地进行英语阅读训练的优秀读本。适合从学前阶段开始，向小学和中学阶段扩展训练。
《美国学校现代英语阅读教材》全套书共7 册（入门级、第1-6 级）。从英文难度来讲，适合国内学前段至中小学阶段的学生使用。期望国内学生使用这些原版读物时，不仅从学习素材，而且从语言学习规律与方法等，更接近英语为母语的孩子的学习方法，以起到事半功倍的效果。同时全书提供配套英文朗读免费下载，让孩子在阅读精彩故事的同时亦能更好练习英语发音。


This set of textbook readers was used in the schools of the United States till 1970s. It was the first reading series to enforce strict vocabulary control over selections. William S. Gray, a renowned educational psychologist and reading authority from the University of Chicago became a senior co-author with William H. Elson in creating this series.
The authors have attempted to provide an interesting, purposeful, and comprehensive reading course for children. To achieve this purpose the authors have assembled materials from the worldwide field of children’s favorite readings. Thus basic reading attitudes and habits are developed through the purposeful use of interesting and significant content. Using this series of readers, the children can learn to read first, and then read to learn in their future life.",127,858,0,40,https://wfqqreader-1252317822.image.myqcloud.com/cover/26/820026/s_820026.jpg
零基础学好英语语法2,2019-01-01 00:00:00,教育学习-外语,【概念解析轻松幽默简单明晰】简单直白的表述轻松幽默的漫画。图文转化，刺激左右脑合并运用，从此告别繁琐难懂的语法概念。让你一眼看出语法的玄机！【重难点精讲例句条分缕析将错误抽丝剥茧】重点难点详细说明，一一举例。例句采用中英拆分一一对照形式，让你一看出中英文差别，告别中式英语。典型错误单独列出，提前预警，错误不再犯。,8,954,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/132/29974132/s_29974132.jpg
1368个单词就够了,2014-10-01 00:00:00,教育学习-外语,"    《1368个单词就够了》这本书是作者王乐平先生历时4年研发，在教学过程中更好的实现了本书思想的实际指导作用。这本书的基础在于：中国人背了多年的单词，学语法，练习听力和口语，参加了多种类型的考试，但由于缺乏语言环境，很多人在真正使用英语的时候，还是出现表达障碍。这个时候，很多人的反应就是背更多的单词！但，这些年你背的那些单词都用上了吗？中国人英语学习的困境在于缺乏英语思维！运用英语思维，1368个单词就够你表达所有你想要表达的内容！这本书里，王乐平老师根据实践教学和经验，逐步的讲解了在1368个单词的拓展，如何运用英语思维，实现无障碍的表达。让你的英语，张口就来！
",2,737,0,4,https://wfqqreader-1252317822.image.myqcloud.com/cover/365/637365/s_637365.jpg
我在100天内自学英文翻转人生,2019-12-01 00:00:00,教育学习-外语,一本写给不甘平庸、渴望拥有比现在更好人生的人的激励之书！在书中，梦想导师张同完用亲身经历告诉你，无论你几岁、无论你做什么，只要精通一种外语，全世界都是你的舞台。他高中时期英文成绩垫底，后来凭借100LS学习法1年内达到英文口译水准，之后又以同样的方法学会了日语、法语和汉语，最终凭借出色的外语能力在多国担任要职，20多岁就得到200多万年薪的工作邀约，实现了人生的逆转。同时，作者还深入细致地讲解了100LS学习法的要领、执行步骤、技巧、训练原则、重点以及瓶颈期的突破方法等，帮助读者实现自我突破，开启人生新的篇章。,12,742,0,27.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/420/32345420/s_32345420.jpg
飘：Gone with the wind（英文朗读版）（上下全集）,2016-08-01 00:00:00,教育学习-外语,"    《飘》是一部以美国南北战争为历史背景、以南方的社会生活为生活环境的全景社会小说。《飘》全面展现美国南方社会风貌以及各色人物在巨大的社会变革中的命运变迁，《飘》通过展现不同人物在混乱复杂的社会环境中的命运变化，揭示了不同的性格所必然走向不同的命运安排。作者运用女性所特有的观察视角，细微而又深刻地描写了以斯佳丽为中心人物，以瑞德、梅勒妮和艾希礼为主要性格人物的社会活动，通过他们的社会活动，展现了纷繁复杂的社会画面，以及他们各自不同的命运走向。本书为英文原版，让读者在阅读精彩故事的同时，亦能提升英文阅读水平。
",19,925,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/283/847283/s_847283.jpg
词根词缀分类记忆18000英语单词（全2册）,2019-01-01 00:00:00,教育学习-外语,【精准设定词汇量循序渐进阶段式记忆】18000单词，精准设定词汇量，要会拼写的、必须会说的、只需认识的……满足99%日常会话和考试需求。【两种记忆方法双管齐下：场景分类词根词缀】上册场景分类记忆，12大主题160个细分，让单词、短语、句子回归真实语境，既适合自主学习又适合应急查找。下册词根词缀记忆法，分级进阶，举一反三，迅速扩充词汇量。,8,784,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/979/29973979/s_29973979.jpg
玩偶之家：易卜生戏剧选 A Doll's House and Other Plays（双语经典）,2021-12-01 00:00:00,教育学习-外语,《玩偶之家：易卜生戏剧选》为汉英对照双语版，精选了挪威作家亨利克·易卜生代表性的三部“社会问题剧”作品：《玩偶之家》《人民公敌》《群鬼》。易卜生创作的戏剧作品，尤其是反映社会问题的戏剧，立足生活实际，从多方面剖析社会问题，揭露和批判的锋芒直指资产阶级社会的种种弊端，触及到法律、宗教、道德乃至国家体制等各个领域，对欧美戏剧的发展产生了深远影响。,2,978,0,34,https://wfqqreader-1252317822.image.myqcloud.com/cover/715/43932715/s_43932715.jpg
