title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
把你的英语用起来（2020版）,2020-08-01 00:00:00,教育学习-工具书,当下英语已经不只是一门语言专业，更成了一个了解最新理论和先进知识的工具。 一直以来，在国内的英语学习法中风行着一种速成的论调：7天搞定单词，一个月攻破听力……仿佛学习者吃了一颗大补丸，英语水平就能立刻回血。然而尝试过速成法的学习者，往往发现这些方法都难以坚持下去。在这本书中，作者刘晓光和伍君仪从自己英语逆袭的亲身经历入手，提供了一套理论清晰、操作性强的英语训练体系，向所有英语学习者传达了这样的理念：语言学习没有捷径，但没有捷径并不意味着学习者要坚持下去一定会十分艰辛。英语是一门人人都可以掌握的技能，并不是一门只停留在卷面上的学科。只要遵循书中阐释的科学的训练体系，在自己现有的水平上小梯度却不间断地前进，持续收获的正反馈会让自己毫不费力地坚持学习下去，在成就感的增长过程中变成一个能流利使用英语的大咖！,8,778,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/630/32637630/s_32637630.jpg
你还敢说单词难背？,2022-04-19 00:00:00,教育学习-工具书,近些年，市面上出现很多记单词的书籍，都是将单词放到例句里试图帮助读者记忆，但是治标不治本，效率依然很低。此外，一词多义也成为记忆单词的一大障碍，这是由于没有理解单词的构成，词汇学习缺乏深度造成的。很多时候英文单词是指一种动态的逻辑，而翻译成中文则变成了静态的词语，理解上出现严重的偏差。汉字为象形文字，与拉丁文字在文化上的差异是非常大的，如果没有建立英文学学习的逻辑，死记硬背会非常痛苦。作者坚信，理解才是记忆的前提。本书逐一分析高考大纲、大学四级英语考试大纲的词汇，并将关联词汇进行分组，让读者能对词汇先理解再连串记，能极大提高记忆效率，教你从根本认识英文词汇。,5,803,0,19.99,https://weread-1258476243.file.myqcloud.com/weread/cover/99/3300016799/s_3300016799.jpg
子弹笔记,2018-11-01 00:00:00,教育学习-工具书,子弹笔记（Bullet Journal）是一款改变全球千万人工作、学习与生活的个人管理工具，集日程表、任务清单、规划簿、日记本的功能于一身。用“· × > <”4个图标分别代表“任务”“已完成”“已迁移”和“已计划”，利用“快速记录法”，创建每日记录、月度记录、年度记录及个性化集子，用特殊符号区分重点及不同类别的内容，厘清重要事项，进行目标迁移，搭配日反思和夜反思整理思路，从而清晰地制订目标、规划生活、记录人生。在本书中，作者赖德·卡罗尔分享了自己如何创造子弹笔记，以及自己和全球众多使用者如何利用子弹笔记让人生变得更理想的方法。在飞速发展的互联网时代，子弹笔记能帮助我们更有价值、更有效率地分配有限的时间和精力，引导我们重拾对生活的主动权。,17,686,0,52.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/79/29630079/s_29630079.jpg
研究是一门艺术,2009-07-01 00:00:00,教育学习-工具书,"《研究是一门艺术》介绍了一种环形研究过程:思考-写作-修订-重新思考，并提出了在寻找话题、制定计划、收集资料、组织论据、起草初稿、修改润色等各个环节中贯彻以读者为中心原则的具体方法。
如何将模糊的兴趣转为一个值得提出和解决的难题；
如何建立一个论证，并让读者愿意接受你的观点；
如何预知那些思维缜密且具有批判力的读者的不同意见，并适当地加以回应；
如何撰写导言与结论，回答这个最棘手的问题：“那又怎样？”
如何从读者的角度阅读自己的作品，因而知道该什么时候以及如何修改你的研究报告。",8,881,0,29.99,https://weread-1258476243.file.myqcloud.com/weread/cover/15/3300014715/s_3300014715.jpg
《经济学人》百词斩（每日一词100期合辑）,2017-12-22 00:00:00,教育学习-工具书,"    《经济学人》常被视作英语学习的范本，文章中常见的高级词汇也是英文学习者进阶的重要工具。《经济学人·商论》学习社区的“每日一词”栏目精选原刊词汇，每天三分钟，一年读懂《经济学人》的英文，全面提升英文阅读、写作、理解力！
",20,791,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/276/26631276/s_26631276.jpg
28天学会英语语法,2019-11-01 00:00:00,教育学习-工具书,本书特别收录基础英语语法知识，设置28天的学习目标，学习者通过目录就可以对学习的内容一目了然，了解基本的语法点。语法知识的编排顺序是由易到难，由词到句，循序渐进的学习方式能够帮助学习者夯实英语语法基础。,24,846,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/730/31390730/s_31390730.jpg
翻译的技巧,2015-07-01 00:00:00,教育学习-工具书,本书为钱歌川先生最经典的百科全书式的英语翻译技巧指南。全书编写严谨、结构合理、条理清晰，注重基础知识点的辨析与讲解，理论与实践相结合。一册在手，读者可以在牢固掌握英语语法和句型特点的基础上，游刃有余地学习翻译的技巧。全书共分为三编。第一编重点为中译英，系统梳理英语的各种句型，引领读者迅速进入英语语境；第二编重点为英译中，包含12项134条语法知识点，基本覆盖英语常见的惯用句和特殊表现法，令读者迅速摆脱洋径浜式英语；第三编主要为长篇的中译英和英译中材料，中文材料有浅近的白话和艰深的文言片段，英语材料全取近代人作品，主题多样，可使读者接触到英文表现的各种面貌。附录部分选取了16篇英美名家代表作的节译，可为读者打造直接阅读文学名著的基础。全书三编皆附有大量习题以供读者练习之用，书末提供了详细的习题答案。本书不仅适合英语翻译的从业人员和学生使用，任何渴望提高自己的英语水平的读者，都可以跟随本书循序渐进地夯实英语基础，锻炼自己的语感，领略中英双语的语言魅力。,15,842,0,36,https://wfqqreader-1252317822.image.myqcloud.com/cover/45/31406045/s_31406045.jpg
英文E-mail应用大全：看模板学写邮件，看这本够了,2019-08-01 00:00:00,教育学习-工具书,本书收录职场常见的16类邮件主题，96种具体情境，96篇电子邮件范本、近200个高频英文表达和近200个高频英文表达，为学习者提供规范的写作模板和详细的解析。总结写作要点，点拨写作技巧，从根本上提高写作能力，助你轻松提升职场竞争力！,30,0,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/724/31390724/s_31390724.jpg
英语思维就是要刻意练习,2020-09-01 00:00:00,教育学习-工具书,语言是一种思维模式，不同的语言在思维模式上存在相通的地方。本书是畅销书《1368个单词就够了》作者王乐平老师多年来通过对英语这门语言的思维模式的总结来提高学习效率的研究成果的大汇总。书中既对比了英、汉两种语言在词汇生成与词义延伸上的异同，也总结了两种语言在句子构成上的差异；既讲了词法，也讲了句法；既归纳了它们的共同之处，也详解了它们的不同之处；既告诉了读者怎样轻松地利用相同之处，也帮读者设计了如何通过词典和相关技巧来解决不同之处的可行方案；既有理论讲解，也有辅助练习。这本书不仅可以让读者对英语这门语言有更全面、更深刻的理解，避免学习误区，更能帮助他们通过自学在短时间内掌握英语这门语言的口语和书面表达技巧，并为他们语言能力的进一步提升指明方向和路线图。28天实战训练，一本书快速搞定英语学习的难题。,11,0,0,31.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/966/41286966/s_41286966.jpg
风格的要素：简明英语写作圣经,2017-09-01 00:00:00,教育学习-工具书,"此书以简短的篇幅阐明了形成简明英语写作风格所必备的基本要素。斯特伦克教授认为，简洁即真理，好的英语写作应删繁就简、字字玑珠。书中的许多规则早已成为评判英文写作规范与否的基本准则，也已成为今天英语写作课程教辅书、雅思/托福/GRE考试指定参考书、出国留学必备书以及论文/商务写作指导手册。
这本书可以告诉你：
英语写作中那些你不知道的坑
哪些单词和词组其实常被误用
哪些常见表达其实是重复啰嗦
摒弃一切冗余、模糊、无力、乏味的表达，写出真正简洁、精炼、有力、地道的英文。",15,0,0,10.99,https://weread-1258476243.file.myqcloud.com/weread/cover/32/3300015132/s_3300015132.jpg
