title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
寂寞圣哲,2018-08-01 00:00:00,教育学习-教材,《寂寞圣哲》是一本帮助中学生朋友学会读书、提高读书能力而编写的好书，将带学生与大哲人、大智者零距离接触，现为“黄老师课堂”丛书之一。本书将引导阅读者在寻找真实中确立自我与环境、社会的关系，由特级教师倾力推荐、帮助提高语文素养与考试成绩。,9,778,0,12.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/948/32512948/s_32512948.jpg
中小学必背古诗文208篇,2018-08-01 00:00:00,教育学习-教材,特邀复旦名师陈引驰教授率团队为重难点字词进行注音、注释，并对全文进行全面深入、通俗易懂的赏析，扫除了学生学习古诗文的障碍，帮助1-12年级学生在语文学习上更好地掌握古诗文，在生活和写作中更好地应用古诗文。,33,862,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/642/22947642/s_22947642.jpg
学好数学并不难：代数+几何（套装共2册）,2020-05-01 00:00:00,教育学习-教材,本书通过数学白痴法布尔成功逆袭的故事，证明数学是每个人都可以掌握的能力，循序渐进地引导孩子们认识加减乘除的特征，认识变量、方程、不等式的性质，系统地介绍了数学的源起、加减乘除的性质、代数方程和不等式的历史由来和现实应用，并把这些知识点融合成一个个精彩悬疑的故事。本书通过一系列的故事和案例，深入浅出地讲解了初中数学的知识，如果孩子对数学提不起兴趣、对数学有畏难情绪，或者找不到正确的学习方法，那么，阅读本书一定受益匪浅。,15,813,0,69.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/916/30985916/s_30985916.jpg
上一堂朴素的语文课,2015-09-01 00:00:00,教育学习-教材,"    《上一堂朴素的语文课》是“河南省最具影响力教师”韩素静在长期亲身教学和大量听评课基础上用心写就的总结和反思。书中有对源自教学一线的大量课例的翔实记录和精心剖析，涉及新授课、讲评课、听读课等多种课型和多个教学环节，通过从不同角度对不同走向的课例进行解读，挖掘其精妙与遗憾之处背后的原因，并对如何实现高效语文课堂提出了具体而有效的策略，对广大一线教师具有指导和借鉴作用。
",18,887,0,9.64,https://wfqqreader-1252317822.image.myqcloud.com/cover/612/27350612/s_27350612.jpg
学好数学并不难（代数卷）,2020-05-01 00:00:00,教育学习-教材,本书通过数学白痴法布尔成功逆袭的故事，证明数学是每个人都可以掌握的能力，循序渐进地引导孩子们认识加减乘除的特征，认识变量、方程、不等式的性质，系统地介绍了数学的源起、加减乘除的性质、代数方程和不等式的历史由来和现实应用，并把这些知识点融合成一个个精彩悬疑的故事。本书通过一系列的故事和案例，深入浅出地讲解了初中数学的知识，如果孩子对数学提不起兴趣、对数学有畏难情绪，或者找不到正确的学习方法，那么，阅读本书一定受益匪浅。,19,760,0,36.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/918/30985918/s_30985918.jpg
清华：一个普通高中生的圆梦笔记,2018-01-01 00:00:00,教育学习-教材,为了帮助广大高中考生能成功进入梦想的大学，本书以作者亲身经历为例，生动而详细地讲述了一个高中生的凤凰涅槃。通过“我”的高考奋斗史，用亲切而生动的语言，描述了一个高中生的蜕变历程，从厌学到爱学，从高三到复读，从全班倒数到全市倒数……友情、亲情、师生情在“我”的青春篇章中一起画下浓墨重彩的一笔。本书还介绍了各式各样的学习方法，从达·芬奇睡眠法到艾宾浩斯记忆法，从文科记忆树到数学思维导图……以“我”的学习历程为例，通过“我”的真实经历让读者对学习方法有更深层次的了解。千万人心中有千万个哈姆雷特，千万学子心中有千万种高考。或许高考承载的不仅仅是一场以分数较量的残酷战斗，它承载的更是我们那无悔的青春岁月。,10,855,0,8.75,https://wfqqreader-1252317822.image.myqcloud.com/cover/390/27011390/s_27011390.jpg
什么是高中物理,2021-08-01 00:00:00,教育学习-教材,"几乎囊括了高中物理的所有知识点，流畅而有趣地讲述这些内容的来龙去脉，并以一个清晰的脉络串起来，帮你在脑海里构建物理图景，让你登高望远、俯瞰整个高中物理，产生居高临下之感。
鸟瞰式的认知，物理思想和大局观，让你理解物理的本质，建立底层的思考逻辑，形成统一的解题思考路径。达到触类旁通，做题顺手拈来。
为学习高中物理而迷茫的学子指明了方向，让学习高中物理会更加得心应手。
相信你读完全书，会有醍醐灌顶的感觉，不仅发出“噢，物理原来是这样的，没那么难啊……” 
如果你是高分学生：通读和理解《什么是高中物理》后，收益在于正确的学科眼界、思维方式和知识体系的加固、加强。
如果你是中等学生：掌握其中大部分的知识点。如能进一步归纳总结，对比课本，提纲挈领，明白中间的逻辑主线，建立起书中所构建的知识体系，则完全是可以奔着高分去的。
如果你还有很大提分空间：跟家长或老师一块通读本书，**刷三遍后相信会对物理“开窍”，稳步提升成绩也是指日可待。",10,964,0,27.86,https://weread-1258476243.file.myqcloud.com/weread/cover/6/3300013606/s_3300013606.jpg
笔杆子是怎样炼成的：公文写作实战,2021-07-01 00:00:00,教育学习-教材,可以说，市面上还没有这样一本公文写作书。 它对文稿起草的全过程原原本本进行复盘（比如对代拟省长讲话稿等文稿进行实战复盘），给人以直观启发和感悟；它对作者日常公文写作积累进行了程序化分解，讲解平时应如何聚焦实战进行广泛积累储备；它对机关公文常用词句进行了分类呈现，供笔杆子们在谋篇布局、开拓思路、搭建框架时查阅，以节省遣词造句时间。 这本书的特色就是实战性强，它不讲太多大道理，主要是复盘一线写手的原生态实战过程和技法。它适用于机关、企事业单位等从事文字工作的人员，高校等科研院所从事公文研究的专家学者，备考机关公务员、事业单位、国企笔（面）试的考生。 希望正浏览本书的你，早日成为一域一地的笔杆子！,8,0,0,55.3,https://weread-1258476243.file.myqcloud.com/weread/cover/0/3300013600/s_3300013600.jpg
作文基本功：精彩描写是这样练成的,2020-01-01 00:00:00,教育学习-教材,朱建国老师潜心研究的这套“作文基本功”不是锦上添花，而是雪中送炭。本书结合统编版教材的习作要求，细致讲授把写人、写事、写景、写物等常见作文题材写具体、写生动的多种描写技巧，辅以优秀范文及练笔题目，手把手指导那些还没有找到写作门道、写作文干巴巴的小学生，帮他们打开写作的大门，从对作文一头雾水到能下笔成文，写出精彩作文。本书适合三到六年级作文基础薄弱、怕写作文、愁写作文、写作文干巴巴的小学生阅读，也可供小学语文教师以及其他从事写作教学研究的相关人员参考。,7,901,0,48.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/874/29963874/s_29963874.jpg
苏轼词赏析,2017-06-01 00:00:00,教育学习-教材,《苏轼词赏析》选取了北宋文学家苏轼不同时期不同特色的代表性作品103首，逐篇进行赏析，提供了作品原文、诗人小传、注释、题解、赏析等内容。对难懂或生僻字词进行注释，从词的类别、创作背景、人际关系等进行解题，以简明通俗的语言对每首词进行赏析，完全满足具有初中以上文化水平读者的欣赏需求。,26,826,0,2,https://wfqqreader-1252317822.image.myqcloud.com/cover/508/913508/s_913508.jpg
学会读书,2021-01-01 00:00:00,教育学习-教材,读书是一门技术活儿。如何阅读一本书？应该读些什么书？如何把书中的知识转化为能力？如何让你读过的书，变成你的财富？……不弄懂这些，只盲从“开卷有益”的高论与“为读书而读书”的迂谈，最终让自己沦为书的奴隶。学会读书，找对方法很重要。本书汇总叶圣陶令人受用一生的读书经验，从读书态度到读书方法，从书籍选择到终身阅读，全方位、多角度地讲透有关读书的方方面面，让你真正会读书、会选书、读通书，从而提升自我，拉开与他人的人生差距。,15,860,0,27.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/71/35433071/s_35433071.jpg
高中数学解题思维策略,2020-05-01 00:00:00,教育学习-教材,本书从数学知识的本质理解和数学思维方法两个维度，对高中数学学习中“函数与导数”、“解析几何”两大难点进行剖析，并给出了两类问题的求解策略，这些策略不但可以从根本上突破求解这两类问题的瓶颈，而且对全面提升高考数学能力有极大的帮助。本书作为作者多年教育教学经验的总结，希望给学生在高考备考、自主招生备考和数学竞赛等方面提供切实的帮助，同时，也希望对高中数学教师的解题教学起到抛砖引玉的作用。,7,904,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/239/31580239/s_31580239.jpg
把栏杆拍遍：梁衡散文中学生读本,2015-06-01 00:00:00,教育学习-教材,梁衡先生是著名的散文家，有很多名篇入选了中学和大学的教材。本书是由梁衡先生亲自挑选了近40篇适合中学生阅读的散文，有数篇已入选中学语文课本。由天津市语文特级教师陈秀征点评。让中学生在读美文的同时，能够更深刻地理解作者的写作思路与写作技巧，从而将这些思路和技巧运用到日常学习和作文中，达到提高写作和阅读水平的目的。,13,837,0,10.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/131/935131/s_935131.jpg
