title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
如何阅读一本书,2014-10-01 00:00:00,教育学习-教育,这是一本关于阅读的永不褪色的经典。本书是一本阅读指南，一本指导人们如何阅读的名作，曾高踞全美畅销书排行榜榜首，自问世以来，好评甚多，重版多次。书中介绍了阅读的方法、技巧，阅读所应具备的广阔视野。,8,753,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/810/23723810/s_23723810.jpg
我就想做班主任,2018-07-01 00:00:00,教育学习-教育,“我就想做班主任”，这是全国知名班主任、全国模范教师、天使教师于洁做了20多年班主任还要继续做班主任的回答。这份态度、这份坚持、这份笃定、这份幸福，具有震撼人心的力量。翻开本书，动情的细节描写，深刻的教育思考牵出一个班主任老师应该关注的方方面面：教育的初心、班级的管理、教师的修炼、学生的沟通……19年坚持做家校联系单，12年教育博客保持更新，坚持给学生写信超过40万字，自己制作印刷学生成长纪念册……于洁老师把自己的生命之根深深地扎在教室里，用大量生动感人的教育案例和深刻的教育思考诠释了一个真正幸福的、有成就感的成功班主任是什么样的。这是一本值得所有班主任品读、思考的书。,13,835,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/374/25409374/s_25409374.jpg
今天怎样做教师：点评100个教育案例,2014-11-01 00:00:00,教育学习-教育,"    本书是在《今天怎样做教师——点评100个教育案例（中学）》的基础上修订而成的。自2005年出版后，加印了十几次，颇受一线教师的喜爱。本次修订，增加了作者对很多新情况、新问题的研究，尤其是第一版缺少关于教学的内容，修订版特意增加了一章十几个很有参考价值的案例，共包含五部分：教师自身素质提高问题、教学问题、管理问题、师生关系问题、个别学生教育问题。值得一线教师细细研读。
",31,826,0,17.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/756/839756/s_839756.jpg
写作是门手艺,2020-07-01 00:00:00,教育学习-教育,作文和论文有什么区别？选什么书来读？怎样搜索和使用文献？如何讲好学术版故事？这本书会一一告诉你答案。本书为大学生论文写作的指导类书籍，通过对问题意识、选题、结构、语言、逻辑、材料等论文组成部分的剖析和举例，为大学生勾画出论文写作方法的清晰图谱。十篇分别为分野、风格、阅读、视角、提问、文献、论证、结构、流动、故事。全书从体例、内容及叙述风格上都有创新和突破，实践性、操作性、发散性强。简要目录和详细目录搭配，宏观微观视角兼具；没有一般学术书的枯燥无聊，有的是作者现身说法，将课堂、生活中的真实案例讲给读者听，代入感强，痛点准确，更有幽默漫画还原学生和导师的相爱相杀；独树一帜的是结合大量广告、电影、书籍来讲解写作之道，让学生在轻松娱乐的氛围中掌握严肃学术写作。结尾附有伴手礼，全书干货提纯，方便学生在遗忘内容时可以快速找到位置所在。简单来说，这是一本让你不再因为写不出论文而掉头发的书。,16,913,0,20.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/808/34630808/s_34630808.jpg
给教师的建议,2021-03-01 00:00:00,教育学习-教育,《给教师的建议》是教育大师苏霍姆林斯基终其一生的心血之作，是公认洞悉教育本源和教师自我完善的教育必读经典。全书100条教育箴言，饱含对教育、教学的深度洞察，为教师理解学生、大众理解教育传承了一个共同的思想基点，勾勒了教师在教育旅途中获得长久幸福的路线图。全书将理论熔铸于生动感人的教育故事中，助力一线教师和教育专业学生理解教育，让复杂的教育问题变得简单。,34,892,0,23.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/364/38260364/s_38260364.jpg
教育：创造无限可能,2020-07-01 00:00:00,教育学习-教育,　　《教育：创造无限可能》是著名教育家、新教育实验的发起人朱永新教授领衔一线优秀的教育工作者，汇集教育的所思所感，并通过典型事例，探讨教育工作方式方法和教育理想的书。本书从让人刻骨铭心、感动良久的故事入手，阐明：教育最重要的就是要相信每一个教育者、每一个教育主体、参与者等都具有无限的可能，具有无穷的潜能。发现这些可能和潜能，并用爱与责任去激发它们，就能成就精彩的教育。,2,889,0,23,https://wfqqreader-1252317822.image.myqcloud.com/cover/581/32441581/s_32441581.jpg
见字如面,2022-01-01 00:00:00,教育学习-教育,"书中收录了31封往来书信。这些信件来自不同年龄阶段的女性读者，她们从原生家庭、亲密爱侣、婆媳关系等角度出发，倾诉自己遇到的人生难题，将自身所处的困境与或烦闷、或抑郁、或纠结的心情与作者分享，以书信的方式展现真实的自己。作者在回信中针对提问，一一给与了解答。作者用专业的心理知识和生活的经验，理性而透彻地分析了各种负面情绪的根源，传授具体的对策，使那些受困其中的读者获得勇气和力量，恢复自信，过上幸福的生活。
翻开这本书，看到他人，遇见自己。",6,886,0,18.9,https://weread-1258476243.file.myqcloud.com/weread/cover/68/3300010568/s_3300010568.jpg
心中有数 生活中的数学思维,2022-04-01 00:00:00,教育学习-教育,你以为无解的方程组真的无解吗？ 维特根斯坦说：“数学是各式各样的证明技巧。” 如何用数学重新求证我们的人生？  小到电饭锅为什么不会糊底，筷子夹不起来豌豆怎么办；大到如何更好地与他人相处，如何选择自己的职业。这些看似与数学无关的问题其实都蕴含着深刻的数学思维。  勤能补拙的大数定律、权衡利弊的稀疏概念、貌合神离的条件独立、精益求精的数值解法、体现中庸之道的最小二乘法……数学公式和算法背后的智慧帮助我们更好地看清这个世界，并在遇到问题时提供更科学的视角，帮助我们做出更好的决策。很多事情的最终结果是我们不能预见的，但是，这个结果发生的概率是我们可以靠努力提高的。  《心中有数》教你像电脑的处理器一样，快速、深层地剖析事物的“利与弊”，在接受不完美的前提下，通过数学思维权衡多方的利益，找到最佳的解题点。人生其实就是一个不断寻找最优解的过程，愿你《心中有数》，行之有方。,5,901,3,35.9,https://weread-1258476243.file.myqcloud.com/weread/cover/39/3300018939/s_3300018939.jpg
学习高手,2020-08-24 00:00:00,教育学习-教育,如何记忆，才能牢固掌握知识点？如何复习，才能夯实完整知识体系？如何自学，才能实现终身跨界成长？这些问题，《学习高手》里都有答案。本书是一本写给广大学生和家长的，培养高效学习能力的方法工具书。作者作为哈佛、耶鲁高分毕业生，结合先进的理论知识、经典的学习经验，系统分享了超实用的学习法。全书分为5大模块、30节大课、100+方法，帮助你提高学习成绩，打开人生格局。,40,793,0,27.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/251/33365251/s_33365251.jpg
致青年教师的信,2020-08-01 00:00:00,教育学习-教育,1.全国模范教师于洁写给青年教师的44封信，2.融合30年教育智慧和人生体悟的真诚建议，3.老班真诚对话新手，青年教师不再迷茫和焦虑。,14,913,0,19.1,https://wfqqreader-1252317822.image.myqcloud.com/cover/661/34221661/s_34221661.jpg
