title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
老夏说公务员面试：助你顺利考上公务员,2019-07-01 00:00:00,教育学习-考试,1.面试世界观。主要从底层塑造考生对公考的认知，回归到依靠努力、成长获得成功。2.面试方法论。讲解面试答题的基本方法，包括回归生活和工作、纵横十字、面试卡片、常用框架等。3.真题。5种常见公考题型每种10道例题，掰开揉碎，起到举一反三、闻一知十的作用。4.答疑、考前必读等内容。,6,883,0,46.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/666/26125666/s_26125666.jpg
考研英语必备手册：大纲词汇5500,2016-03-01 00:00:00,教育学习-考试,《考研英语必备手册：大纲词汇5500》这本符合实战需要的考研英语词汇学习手册可所收录词汇的释义都是其最核心、最常用的意思，简明精准，使背诵更高效，印象记忆深刻。同时，本书还将考研中常考到的词汇作了明确标注，重点突出，有效提升单词记忆效率。本书对词汇没有复杂的讲解，非常适合考生快速完成自学，然后投入精力去研究历年真题。本书配有单词自测红膜，覆盖红膜可以遮挡页面上的中文释义，方便考生检验记忆效果，及时发现没有掌握的单词。与厚重的词汇书不同，这本词汇手册小巧轻便，考生可以把它作为一本口袋书，随时随地背单词。,8,809,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/447/22975447/s_22975447.jpg
钱理群《中国现代文学三十年》（修订本）笔记和考研真题详解,2019-10-17 00:00:00,教育学习-考试,钱理群所著的《中国现代文学三十年》（修订本，北京大学出版社）被列为教育部“九五”、国家“十一五”重点图书，是我国高校采用较多的现代文学优秀教材，也被众多高校指定为“现代文学”专业考研参考书目。作为该教材的辅导书，本书具有以下几个方面的特点：1．整理名校笔记，浓缩内容精华。在参考了国内外名校名师讲授钱理群《中国现代文学三十年》的课堂笔记基础上，本书每章的复习笔记部分对该章的重难点进行了整理，同时对重要知识点进行点拨，因此，本书的内容几乎浓缩了配套教材的知识精华。2．精选考研真题，巩固重难点知识。为了强化对重要知识点的理解，本书精选了部分名校近几年的现代文学考研真题，这些高校大部分以该教材作为考研参考书目。所选考研真题基本涵盖了各个章节的考点和难点，特别注重联系实际，凸显当前热点。3．归纳典型试题，强化知识考点。为了进一步巩固和强化各章知识难点的复习，特针对该教材的重难点相应整理了典型常考题，并对相关知识点进行归纳和延伸，梳理知识点逻辑关系，以达到高效复习的目的。,17,972,0,10,https://wfqqreader-1252317822.image.myqcloud.com/cover/494/27051494/s_27051494.jpg
童庆炳《文学理论教程》（第5版）笔记和课后习题（含考研真题）详解,2019-10-17 00:00:00,教育学习-考试,童庆炳著《文学理论教程》（第5版）是我国高校采用较多的文学理论权威教材。为了帮助参加研究生入学考试指定考研参考书目为童庆炳《文学理论教程》（第5版）的考生复习专业课，我们根据教材和名校考研真题的命题规律精心编写了配套复习辅导用书。本书具有以下几方面特点：1．整理名校笔记，浓缩内容精华。在参考了国内外名校名师讲授童庆炳《文学理论教程》的课堂笔记基础上，本书每章的复习笔记部分对该章的重难点进行了整理，同时对重要知识点进行点拨，并对教材知识点作适当的引申，因此，本书的内容几乎浓缩了配套教材的知识精华。2．解析课后习题，提供详尽答案。本书参考大量文学理论相关资料对该教材的重难点课（章）后习题进行了详细的分析和解答，并对相关重要知识点进行了延伸和归纳。3．精选考研真题，巩固重点知识。为了强化对重要知识点的理解，本书精选了部分名校近几年的文学理论考研真题，这些高校大部分以该教材作为考研参考书目。所选考研真题基本涵盖了各个章节的考点和难点，特别注重联系实际，凸显当前热点。4．归纳典型试题，强化应试能力。为了进一步巩固和强化各章知识难点的复习，特针对该教材的重难点相应整理了典型常考题，并对相关知识点进行归纳和延伸，梳理知识点逻辑关系，以达到高效复习的目的。,16,886,0,10,https://wfqqreader-1252317822.image.myqcloud.com/cover/90/27054090/s_27054090.jpg
彭聃龄《普通心理学》（第5版）笔记和课后习题（含考研真题）详解,2019-10-17 00:00:00,教育学习-考试,本书是彭聃龄主编的《普通心理学》（第5版）的配套辅导书（电子书），主要具有以下几个方面的特点：（1）梳理知识脉络，浓缩学科精华。本书每章的复习笔记均对该章的重难点进行了整理，并参考了国内名校名师讲授该教材的课堂笔记。因此，本书的内容几乎浓缩了该教材的所有知识精华。（2）详解课后习题，巩固重点难点。本书参考大量相关辅导资料，对该教材的课后思考题进行了详细的分析和解答，并对相关重要知识点进行了延伸和归纳。（3）精编考研真题，培养解题思路。本书精选部分参考价值较高的考研真题（含全国统考和高校自主命题），及该学科相关经典习题，并提供详细解答。这些题目基本体现了各个章节的考点和难点。,12,909,0,10,https://wfqqreader-1252317822.image.myqcloud.com/cover/471/27054471/s_27054471.jpg
《马克思主义基本原理概论》（2018年版）笔记和课后习题（含考研真题）详解,2019-10-17 00:00:00,教育学习-考试,本书是《马克思主义基本原理概论》（2018年版）教材的配套辅导用书，主要包括以下内容：（1）整理名校笔记，浓缩内容精华。本书每章的复习笔记均对该章的重难点进行了整理，并参考了国内名校名师讲授该教材的课堂笔记。因此，本书的内容几乎浓缩了该教材的所有知识精华。（2）解析课后习题，提供详尽答案。本书参考大量马克思主义基本原理相关资料，对该教材的课（章）后习题进行了详细的分析和解答，并对相关重要知识点进行了延伸和归纳。（3）精选考研真题，巩固重难点知识。为了强化对重要知识点的理解，本书精选了部分名校近几年的马克思主义基本原理概论考研真题，这些高校大部分以该教材作为考研参考书目。所选考研真题基本涵盖了各个章节的考点和难点，特别注重理论联系实际，凸显当前热点。,7,908,0,40,https://wfqqreader-1252317822.image.myqcloud.com/cover/763/27052763/s_27052763.jpg
笔杆子是怎样炼成的：公文写作实战,2021-07-01 00:00:00,教育学习-教材,可以说，市面上还没有这样一本公文写作书。 它对文稿起草的全过程原原本本进行复盘（比如对代拟省长讲话稿等文稿进行实战复盘），给人以直观启发和感悟；它对作者日常公文写作积累进行了程序化分解，讲解平时应如何聚焦实战进行广泛积累储备；它对机关公文常用词句进行了分类呈现，供笔杆子们在谋篇布局、开拓思路、搭建框架时查阅，以节省遣词造句时间。 这本书的特色就是实战性强，它不讲太多大道理，主要是复盘一线写手的原生态实战过程和技法。它适用于机关、企事业单位等从事文字工作的人员，高校等科研院所从事公文研究的专家学者，备考机关公务员、事业单位、国企笔（面）试的考生。 希望正浏览本书的你，早日成为一域一地的笔杆子！,8,0,0,55.3,https://weread-1258476243.file.myqcloud.com/weread/cover/0/3300013600/s_3300013600.jpg
经济师《经济基础知识（中级）》教材精编（2016）,2016-01-16 00:00:00,教育学习-考试,本书是全国经济专业技术资格考试科目《经济基础知识（中级）》的历年真题与模拟试题详解。全书由两部分组成：第一部分为历年真题详解，精选了2010年至2015年的6套真题，并对全部真题的答案进行了详细的分析和说明；第二部分为模拟试题详解，按照最新考试大纲及近年的命题规律精心编写了4套模拟试题，并根据最新指定教材和法律法规对所有试题进行了详细的分析和说明。,11,855,0,10,https://wfqqreader-1252317822.image.myqcloud.com/cover/937/844937/s_844937.jpg
洪子诚《中国当代文学史》（修订版）笔记和考研真题详解,2019-10-17 00:00:00,教育学习-考试,洪子诚所著的《中国当代文学史》（修订版，北京大学出版社）被列为国家“十一五”重点图书，是我国高校采用较多的当代文学优秀教材，也被众多高校指定为“当代文学”专业考研参考书目。作为该教材的辅导书，本书具有以下几个方面的特点：1．整理名校笔记，浓缩内容精华。在参考了国内外名校名师讲授洪子诚《中国当代文学史》的课堂笔记基础上，本书每章的复习笔记部分对该章的重难点进行了整理，同时对重要知识点进行点拨，因此，本书的内容几乎浓缩了配套教材的知识精华。2．精选考研真题，巩固重难点知识。为了强化对重要知识点的理解，本书精选了部分名校近几年的当代文学考研真题，这些高校大部分以该教材作为考研参考书目。所选考研真题基本涵盖了各个章节的考点和难点，特别注重联系实际，凸显当前热点。3．归纳典型题，强化知识考点。为了进一步巩固和强化各章知识难点的复习，特针对该教材的重难点相应整理了典型常考题，并对相关知识点进行归纳和延伸，梳理知识点逻辑关系，以达到高效复习的目的。,16,958,0,10,https://wfqqreader-1252317822.image.myqcloud.com/cover/623/27051623/s_27051623.jpg
国家公务员录用考试专用教材：行政职业能力测验（2021升级版）,2018-12-01 00:00:00,教育学习-考试,双色印刷，考点突出，视频讲解，移动课堂。本教材是依据上海公务员考试大纲和历年真题编写，使用全新的知识体系和结构，逐一分类、分层讲解，更能适应当下的考试趋势和形势，兼具实用性和高效性。在正文里既有详尽的理论知识讲解，又有细致深入的典型真题分析，全方位补齐考生的知识短板，帮助考生熟练掌握高分绝技。,42,885,0,8,https://wfqqreader-1252317822.image.myqcloud.com/cover/616/33064616/s_33064616.jpg
