title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
哈姆雷特,2019-08-01 00:00:00,文学-戏剧文学,《哈姆雷特》是伟大的戏剧家和诗人威廉.莎士比亚四大悲剧作品之一。故事讲述了丹麦王子哈姆雷特的父王，在花园中打盹时突然神秘死去，皇叔克劳狄斯继任国王，并迎娶了哈姆雷特的母后为妻。王子哈姆雷特在痛苦中遇见了父亲的鬼魂，鬼魂告诉王子自己是在睡梦中被皇叔克劳狄斯夺去了生命、王位和妻子，并嘱咐哈姆雷特一定要为他报仇。于是哈姆雷特开始了曲折的复仇历程……一千个读者就有一千个哈姆雷特，每个人都会在这个故事中看到自己内心的挣扎。当信仰在现实面前崩塌，你会做出怎样的选择？生存还是毁灭，这是个问题。,8,897,0,19.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/90/28394090/s_28394090.jpg
一个无政府主义者的意外死亡,2016-03-01 00:00:00,文学-戏剧文学,诺贝尔文学奖得主、意大利剧作家达里奥·福代表作，全球上演40余年经久不衰，现场观看人数超过100多万；孟京辉、赖声川、金士杰都曾亲自执导扮演过中文版舞台剧，场场爆满。与莫里哀比肩的喜剧天才，不输卓别林的即兴表演大师，孟京辉毕生致敬的偶像，为平民与被压迫者创作的游吟诗人。1969年，米兰火车站发生一起爆炸案，一名无政府主义者被指控为凶手，审讯期间，他突然跳楼身亡。达里奥·福迅速对此事做出反应，在做出精细的调查之后，写成此剧。一名身患演员狂症的“疯子”在警察局偶然接触到无政府主义者“偶然死亡”的材料，他随机应变，乔装成最高法院的代表复审此案，终于洞悉内情。所谓“意外死亡”，竟是警察对无政府主义者严刑逼供，将其活活打死后从窗口丢下，造成的畏罪自杀的假象。,6,926,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/838/37724838/s_37724838.jpg
牡丹亭,2016-05-01 00:00:00,文学-戏剧文学,故事发生在南宋。南安太守杜宝有个女儿，杜丽娘。16岁的一个春日里，杜丽娘第一次游花园，困倦之中梦见个折柳书生。春梦中醒来，书生不见了。杜丽娘从此一病不起，临死之前，嘱咐家人把自画像藏在牡丹亭的太湖石下。这时候，金兵封李全为溜金王，攻打淮扬一带。杜宝把杜丽娘安葬在了梅花观，就匆忙奉调去淮扬镇守。梦中的书生是岭南柳梦梅。他家道败落，决定离开家乡，北上求取功名。路过南安时，因缘际会间捡到了杜丽娘的自画像。夜里，他就见到了画上的女子——原来，得到阎王准许的杜丽娘离开了枉死城。她的魂魄来到梅花观，夜里和柳梦梅幽会。得知杜丽娘是鬼魂的柳梦梅并不害怕，他设法取得了灵药、掘开了坟墓，让丽娘起死回生。但，古时候的戏，没有看到中状元，是没有结束的。柳梦梅和杜丽娘一道去临安赴考。揭榜时，偏又遇到李全之乱，杜宝被围。乱世中，冲破了阴阳两界的杜丽娘，能否再和父母团圆，和柳梦梅终成眷属……在杜丽娘身上，有大胆的感情。在柳梦梅身上，有知识分子的理想和委屈。49岁离开官场的汤显祖，在《牡丹亭》里写尽了他对生活的理解。,20,842,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/810/820810/s_820810.jpg
西厢记（精注插图本）,2015-04-01 00:00:00,文学-戏剧文学,该小说主要叙述贫寒书生张生与没落贵族女子崔莺莺相爱，最终张生始乱终弃，再娶，莺莺再嫁的故事。对于这一小说中的男主人公张生，后人斥责他为“薄情年少如飞絮”。他对爱情不忠，反诬莺莺为“尤物”“妖孽”。元稹在这个小说中甚至以“予之德不足以胜妖孽，是用忍情”“时人多许张为善补过者”来美化张生的行径。同时，该小说反映出封建时代男尊女卑的落后思想。,10,770,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/910/919910/s_919910.jpg
西厢记,2016-05-20 00:00:00,文学-戏剧文学,王实甫的《西厢记》，代表了元杂剧文学艺术的最高水平，讲述了崔莺莺和张珙的爱情故事，影响深远。金圣叹评《西厢记》，从审美的视角，对其构思技巧、剧情发展和人物形象进行分析批评，精彩迭出，时有高见。用康熙活字印本整理。,9,871,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/587/29793587/s_29793587.jpg
莎乐美,2020-06-01 00:00:00,文学-戏剧文学,《莎乐美》是王尔德根据圣经故事而创作的一部著名作品，讲述了犹太公主莎乐美如何诱使继父希律王杀死施洗者约翰的故事。剧中的莎乐美向约翰求爱而遭拒绝，发誓要吻到他的嘴唇，最后不惜令人砍下约翰的头。两千多年，她的形象遍及绘画、雕塑、文学、戏剧、歌舞、电影等多个领域，成为无数艺术家的灵感焦点。诸位大师通过莎乐美，传递他们对人性的理解。王尔德塑造的莎乐美，将她的爱与恨交织在故事里，充满了神秘与诱惑，赋予了这个形象新的内涵。,4,829,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/603/31855603/s_31855603.jpg
仲夏夜之梦,2019-02-01 00:00:00,文学-戏剧文学,《仲夏夜之梦》是莎士比亚创作的一部喜剧，讲述了在魔力花汁的影响下，产生的一系列戏剧冲突，到冲突被解决，有情人终成眷属的爱情故事。此剧在世界文学史特别是戏剧史上影响巨大。1590年到1613年是莎士比亚的创作的黄金时代。他的早期剧本主要是喜剧和历史剧，在16世纪末期达到了深度和艺术性的高峰。到1608年，他主要创作悲剧，莎士比亚崇尚高尚情操，他的悲剧常常描写牺牲与复仇，包括《奥瑟罗》、《哈姆莱特》、《李尔王》和《麦克白》，被认为属于英语最佳范例。在他人生最后阶段，他开始创作悲喜剧，又称为传奇剧。,2,786,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/598/24136598/s_24136598.jpg
麦克白(中英双语珍藏版),2018-08-01 00:00:00,文学-戏剧文学,《麦克白》是莎士比亚四大悲剧之一。讲述了苏格兰国王邓肯的表弟麦克白将军，在野心的驱使下谋杀邓肯，做了国王。为掩人耳目和防止他人夺位，又一步步害死了邓肯的侍卫、班柯、贵族麦克达夫的妻子和小孩。最后在众叛亲离的情况下，面对邓肯之子和他请来的英格兰援军的围攻，落得枭首的下场。,18,888,0,17,https://wfqqreader-1252317822.image.myqcloud.com/cover/772/25949772/s_25949772.jpg
万尼亚舅舅·三姊妹·樱桃园,2014-11-01 00:00:00,文学-戏剧文学,本卷包含契诃夫经典名剧《万尼亚舅舅》、《三姊妹》和《樱桃园》，按创作时间排序，并收录焦菊隐写于1943年的《&lt;樱桃园&gt;译后记》。这三个剧本，虽然故事不同，所表达的都是契诃夫始终关注的主题：他憎恶十九世纪末俄国社会随处可见的、只知道用一些不连贯的空谈，对“未来”的空想，以充实当下空虚没落偷懒的生活的灰色的人群，他同情勤苦劳动却被毁灭了幸福和希望的另一群人，他用抒情诗一般的结构和台词、背景描述，创造了现代戏剧的开端。,4,906,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/475/25982475/s_25982475.jpg
牡丹亭（精注插图本）,2015-04-01 00:00:00,文学-戏剧文学,《牡丹亭》成功地塑造了古典戏曲中最可爱最耀眼的女性形象之一——杜丽娘。这个养在深闺人未识的小姐，因《诗经·周南·关雎》章而伤春，在婢女春香的怂恿下走出闺房，来到花园寻春。在花园睡着的杜丽娘与年轻书生柳梦梅在梦中相爱，她醒后终日寻梦不得，抑郁而终。汤显祖通过奇幻的情节和巧妙的组合，使得杜丽娘从阳世到阴间又再回到阳世，最终与柳梦梅有情人终成眷属。通过杜丽娘这一形象，《牡丹亭》将广大青年男女要求个性解放、爱情自由、婚姻自主的呼声表现了出来。,18,827,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/908/919908/s_919908.jpg
