title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
蒋勋说红楼梦（套装共8册）,2017-03-01 00:00:00,文学-文学鉴赏,这是蒋勋在长达半个世纪的时间里，数十次阅读《红楼梦》后的心血之作。无关红学，不涉及考证，作者从青春与美的角度出发，带领读者逐字逐句细读小说本身，梳理《红楼梦》中的人物与情感，探寻书中表达的繁华的幻灭、逝去的哀伤，讲述青春的孤独、寂寞与彷徨。这是一个生命对其余生命的叩问与聆听。跟蒋勋读《红楼梦》，仿佛是在阅读自己的一生。蒋勋说：我是把《红楼梦》当“佛经”来读的，因为处处都是慈悲，也处处都是觉悟。,152,885,0,199,https://wfqqreader-1252317822.image.myqcloud.com/cover/142/23444142/s_23444142.jpg
半小时漫画世界名著,2022-06-01 00:00:00,文学-文学鉴赏,"孩子不爱读名著，原因有三：字太多；情节太复杂；不知道作者想要表达啥。陈磊（笔名：混子哥）领衔的半小时漫画团队，通过诙谐语言和手绘漫画，不仅让砖头一样厚的名著瞬间变得轻松有趣，还能给让孩子讲透名著背后的历史、社会、思想、人性：
    《神曲》实际上是一部欧洲版的西天取经；
    《格列佛游记》本质上是一部对英国现实社会的辛辣讽刺剧；
    《普希金诗选》其实是普希金二十五年朋友圈大集锦！
    翻开本书，半小时了解8本世界名著的精华，像追剧一样追完《荷马史诗》《神曲》《堂吉诃德》《哈姆雷特》《鲁滨孙漂流记》《格列佛游记》《悲惨世界》《普希金诗选》",5,925,0,52,https://weread-1258476243.file.myqcloud.com/weread/cover/46/3300019646/s_3300019646.jpg
樊登讲论语（套装全2册）,2021-02-01 00:00:00,文学-文学鉴赏,《论语》共二十篇，多以每篇起首二字作为篇名。《樊登讲论语：学而》以《论语》开篇“学而”二字为题，解读上半部《论语》。“学而”代表了终身成长的价值观；《樊登讲论语：先进》以《论语》下半部首篇“先进”二字为题，演绎下半部《论语》。“先进”意味着从传统文化中汲取新的力量。《论语》是对樊登人生影响最大的一本书，没有《论语》就没有现在的樊登！他捧着《论语》反反复复地研读了20年。《樊登讲论语》是樊登的心血之作。樊登在为大家深度解读了300多本书之后发现，《论语》中的理论并不过时，它几乎能够解决我们生活中的一切烦恼。本书的特色，是用最通俗的方式解读《论语》。樊登结合现代的心理学、社会学、管理学、育儿知识、教育学、创业方法、领导力解读论语，让每个人都能在轻松读透论语的同时，把论语用起来！,30,783,0,98,https://wfqqreader-1252317822.image.myqcloud.com/cover/956/36540956/s_36540956.jpg
白先勇细说红楼梦（全集）,2017-02-01 00:00:00,文学-文学鉴赏,当八十岁的白先勇，遇见三百岁的曹雪芹，听华文世界小说大家如何解“天下第一书”，看两个时代文学赤子跨越时空的心灵相印。本书由白先勇台湾大学《红楼梦》导读通识课（2014-2015）课堂讲义编纂而成。《红楼梦》是一本天书，有解说不尽的玄机、探索不完的秘密，但最重要的，它终究是一部伟大的小说。白先勇正本清源，把这部文学经典完全当作小说来导读，侧重解析《红楼梦》小说艺术的“现代性”：神话构架、人物塑造、文字风格、叙事手法、观点运用、对话技巧、象征隐喻、平行对比、千里伏笔，检视曹雪芹如何将各种构成小说的元素发挥到极致，并远远超越它的时代，甚至比西方现代主义文学更早、更前卫。他以小说家的艺术敏感，擦去经典的蒙尘之处，将历来被冷落的人物、被曲解的角色一一归还原本的个性姿彩，令其登台绽放。在文字艺术的赏读玩味之间，解读中国人生哲学的绝妙真意与人情社会的文化密码，更从一本伟大的小说延展开去，漫谈文学、美学、哲学、昆曲的枝枝蔓蔓，织构一座如梦如幻的红楼琼宇。白先勇借此细读机缘，仔细比对“庚辰本”与“程乙本”的差别，掂量一字一句的千斤之重与微妙意蕴，得以重新发现失落已久的“程乙本”《红楼梦》之美。,42,784,0,83.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/848/855848/s_855848.jpg
戴老师魔性诗词课,2020-05-01 00:00:00,文学-文学鉴赏,戴建业，品读唐诗最新作！最魔性的诗词入门课，一本书让你爱上古诗词！沉浸式的阅读体验。作者在本书的语言文字上，保留了他在课堂上的语言特点，让读者能够看到一个“原汁原味”的戴老师。文笔风趣，精彩桥段完整再现。戴建业总说“我写的比我讲的更有趣！”，而这本书也正是如此。书中不仅保留了戴老师在课堂上的那些精彩桥段，他还将自己人生经历与之结合，把诗文中的盛唐气象给写“活了”。精心注解，内容丰富。本书中的内容将比作者唐诗课视频中的内容更为系统、全面和透彻。除了添加作者亲笔的长篇序言和后记以外，在内容上也做了很多的补充和注解，可以说这本书是作者网络讲课视频的升级版。《戴老师魔性诗词课》仅仅只是开始，更多的新作也将陆续推出，敬请期待。在这本书中，戴老师除了将他之前火遍全网的唐诗课的内容进行了更加系统的整理外，还增加了全新的内容和知识点，包含了他本人对唐代经典诗词的赏析，以及对盛唐时期最具代表性的两大诗人“诗仙”李白和“诗圣”杜甫各自人生轨迹的讲解，并且作者还结合自身的人生经历，将诗文中的盛唐气象活灵活现地展现在读者眼前。这本书中内容是戴建业老师许多年教学与研究的沉淀，他一直再强调“网上的视频片段虽然有趣，但毕竟不系统，学知识还是要系统的去上课，去看书，反复的看书很重要！”他希望他的新书能够为更多对古诗词学习有兴趣的人提供帮助。,20,884,0,24,https://wfqqreader-1252317822.image.myqcloud.com/cover/617/31230617/s_31230617.jpg
中国现代文学三十年(修订本),1998-07-01 00:00:00,文学-文学鉴赏,《中国现代文学三十年》虽然也按文体分类，却注重突出各种文体的性质、走向以及不同流派的特点，并对某些代表艺术高峰的作家作品作专章论述，每章还附录了年表。由钱理群等三位学者撰述的《中国现代文学三十年》修订本，已被列为普通高等教育“九五”教育部重点教材。这部近六十万字的现代文学史著作，既注意吸收前人关于作家、作品和文体研究的成果，又克服了以往文学史的叙事模式与狭窄格局，拓宽了研究领域，在“文学现代化”这一命题下，形成了学术品味浓厚的独异的特色。首先，在结构布局上，全书按照1917-1949年的历史分期分为三编，但对各个时期的社会政治形势只作简约的交代，着重阐释各个阶段重要的文学思潮与文学现象，从文学演进过程与历史联系中去分析文学自身的规律与特点。在对重要作家的评论中，该书力避对作家生平的罗列和对作品情节冗长的复述，而是重视作品的艺术成就和美学价值，尤其注意分析作品产生久远影响的原因。如第二章鲁迅（一），在评论鲁迅小说的结构模式与深邃意蕴时，特意标出“说不尽的鲁迅”一节，综合了近年来学界对“阿Ｑ精神”的人类学内涵的探讨。该书还把沈从文列为专章，表示了对这位构筑“湘西世界”，“充当现代中国文化的批判者角色”的文化人的同情和理解。这些都是过去文学史著作所没有的或所省略的。对于文学流派，该书不只是强调主流文学，而且也能从地域、文化环境的视角，去关照京派、海派、新感觉派、先锋派等趣味各异的文学派别，力求恢复现代文学色彩纷呈、枝叶繁茂的本来面貌。,10,908,0,16.81,https://wfqqreader-1252317822.image.myqcloud.com/cover/605/24272605/s_24272605.jpg
蒋勋说宋词（修订版）,2014-09-01 00:00:00,文学-文学鉴赏,蒋勋先生按照五代、北宋、南宋的时间脉络，将李煜、冯延巳、范仲淹、晏殊、晏几道、欧阳修、柳永、苏轼、秦观、周邦彦、李清照、辛弃疾、姜夔等重要词人的佳作一一道来。,27,818,0,19.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/136/23444136/s_23444136.jpg
鲜衣怒马少年时·唐宋诗词篇（全集）,2021-10-01 00:00:00,文学-文学鉴赏,"唐诗宋词骨灰级爱好者，少年怒马《鲜衣怒马少年时》重磅佳作，以诗歌之眼揭示开元盛世的繁华与危机，展现唐宋诗人命运轨迹。
诗词大V“少年怒马”首次出书，另类解读三十位诗词大神，展现以前没见过的文学江湖。一部有料有趣的诗词读本",18,853,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/641/41159641/s_41159641.jpg
蒋勋说红楼梦（修订版）（套装共8册）,2015-03-01 00:00:00,文学-文学鉴赏,这是蒋勋在长达半个世纪的时间里，数十次阅读《红楼梦》后的心血之作。无关红学，不涉及考证，作者从青春与美的角度出发，带领读者逐字逐句细读小说本身，梳理《红楼梦》中的人物与情感，探寻书中表达的繁华的幻灭、逝去的哀伤，讲述青春的孤独、寂寞与彷徨。这是一个生命对其余生命的叩问与聆听。跟蒋勋读《红楼梦》，仿佛是在阅读自己的一生。蒋勋说：我是把《红楼梦》当“佛经”来读的，因为处处都是慈悲，也处处都是觉悟。,19,880,0,190,https://wfqqreader-1252317822.image.myqcloud.com/cover/235/23444235/s_23444235.jpg
毛泽东诗词全编鉴赏,2017-09-01 00:00:00,文学-文学鉴赏,    这部《毛泽东诗词全编鉴赏》所收入的诗词总量超过了目前行世的所有毛诗词集；其注释基于最为权威的《毛泽东诗词选》《毛泽东诗词集》，又在其基础上进行了相当数量的修订和增补；注释之后，辅以对作者诗词背景、内容及手稿的严肃考辨；最后，更附有七十余位知名学者的赏析文字。全书立体、全面地向读者展现了毛泽东诗词的面貌。,76,895,0,60,https://wfqqreader-1252317822.image.myqcloud.com/cover/113/28416113/s_28416113.jpg
红楼梦脂评汇校本,2014-08-04 00:00:00,文学-文学鉴赏,本书为脂砚斋评石头记的精准解读手札。《红楼梦脂评汇校本》，系以甲戌本、庚辰本等早期脂本为底本，汇集了己卯本、戚序本、蒙府本等其他脂批本的部分脂批，并参考、吸收若干新校点本及脂批辑本的校点成果整理而成。对前人意见有分歧的，略参己意而取舍，力求既不人云亦云，也不标新立异，整理成为一个方便阅读和检索的脂评红楼梦简明读本。本书具有以下特点：一、方便阅读。二、简洁明了。三、态度认真。,26,929,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/305/36235305/s_36235305.jpg
鲜衣怒马少年时：唐宋诗人的诗酒江湖,2020-02-01 00:00:00,文学-文学鉴赏,"你也可以像东方甄选里的老师一样诗词可以信手拈来，做一个腹有诗书气自华的人。

唐诗宋词是汉字之美的巅峰。一首首名篇背后有怎样的故事？一个个大咖如何快意恩仇、神采飞扬？换个角度读诗词，会发现不同的诗意。超级愤青骆宾王、千古情圣杜甫、逆袭牛人高适、完美男神王维、文艺大叔孟浩然、花间浪子温庭筠、大女主体质李清照、全能天才辛弃疾……三十位诗词大神，涉及近三百首诗词经典。全书考据精到，融诗、史于一体，串起唐宋文坛一个个耀眼的瞬间，从中可以窥见一部起伏跌宕的热血历史。这本读起来非常过瘾的“诗词小说”，是一个以前没见过的文学江湖。唐诗宋词骨灰级爱好者、微信公众号大V“少年怒马”的致敬之作，随便翻一页，读就对了。",8,786,0,48,https://wfqqreader-1252317822.image.myqcloud.com/cover/567/30151567/s_30151567.jpg
围炉夜话,2015-04-01 00:00:00,文学-文学鉴赏,《围炉夜话》不仅是清朝时期一本十分著名的文学品评著作，也是一本通俗格言集。它总共分为221则，以“安身立业”为总话题，分别从道德、修身、读书、安贫乐道、教子、忠孝、勤俭等多个方面，揭示了“立德、立功、立言”皆以“立业”为本的深刻道理，其中所蕴含的思想，集中华民族处世哲学之大成，并汲取了历代格言的精髓与语言的精华。,68,821,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/922/919922/s_919922.jpg
周汝昌校订批点本石头记（全集）,2017-09-01 00:00:00,文学-文学鉴赏,红学家周汝昌先生诞辰100周年纪念版《石头记》，实典藏必备、阅读首选。《周汝昌校订批点本石头记》本书是红学大家周汝昌先生对于《石头记》一书的校对订正和批点，包含着他的红学研究成果，是了解和欣赏《红楼梦》的必要参考书之一。本书对十余种古抄本中进行了大汇校，以期呈现原汁原味的《红楼梦》。内容为《红楼梦》一书的前八十回。周汝昌校订批点本是周汝昌先生耗时近六十年精心磨练而终于他九十高龄之际完成的百万字巨大工程之结晶。内容包括三部分。一是在十余种古抄本中进行了大汇校，恢复了曹雪芹的真笔原文，是迄今为止最为可靠的一部真本《红楼梦》。二是脂砚斋的朱笔批语达数千条之多，是《红楼梦》的重要组成部分。其批语紊乱、讹错、脱落不一而足。著者进行了全面梳理核定后文意晓然，对于理解《红楼梦》的思想艺术、创作心理等问题具有重大参考价值。三是著者毕生研究《红楼梦》的心得创获，对曹雪芹的思想感情、刽作宗旨、艺术手法无不涉及，具有很高的学术价值。校评者周汝昌先生是承接新旧红学的代表人物，名重一时的古典文学研究者、书法家和诗人。周汝昌先生学贯中西，出版十几部红学专著，涉及红学领域各个层面，令海内外学界瞩目。,12,897,0,69,https://wfqqreader-1252317822.image.myqcloud.com/cover/722/22289722/s_22289722.jpg
文学回忆录：1989-1994,2020-05-01 00:00:00,文学-文学鉴赏,文学是可爱的。生活是好玩的。艺术是要有所牺牲的。八十年代末，木心客居纽约时期，亦自他恢复写作、持续出书以来，纽约地面的大陆和台湾同行在异国谋饭之中，居然促成木心开讲“世界文学史”，忽忽长达五年的一场“文学的远征”——从1989年1月15日开课，到1994年1月9日最后一课，每位听课人轮流提供自家客厅，在座者有画家、舞蹈家、史家、雕刻家等等。如今，听课学生陈丹青整理那五年那五册听课笔记，共八十五讲，逾四十万字，结集这本大书时，已不再将之仅仅看做“世界文学史讲座”。诚如木心所最早时设想的那样，这是他自己的“文学回忆录”，是一部“荒诞小说”，“在自己的身上，克服这个时代”。这也是木心留给世界的礼物，文学的福音书。,28,878,0,141,https://wfqqreader-1252317822.image.myqcloud.com/cover/551/32957551/s_32957551.jpg
蒋勋说文学之美（套装全4册）,2016-04-01 00:00:00,文学-文学鉴赏,本系列书是蒋勋先生在台湾“中国文学之美”的主题系列讲座整理而成，分为《蒋勋说文学：从诗经到陶渊明》《蒋勋说唐诗》《蒋勋说宋词》《蒋勋说文学：从唐宋散文到现代文学》《美，看不见的竞争力》五册。蒋勋把中国文学史从古代一直讲到现代，是一套完整的文学通史。一是讲得美，对中国文学中的美有非常不一样的解读，二是文字通畅优雅，没有艰深的学术词汇和框架。“蒋勋说文学之美”系列对读者从头到尾完整了解中国文学及美学，是不可多得的入门读物。,39,888,0,79,https://wfqqreader-1252317822.image.myqcloud.com/cover/132/23444132/s_23444132.jpg
蒋勋说红楼梦修订本（套装共3册）,2013-07-01 00:00:00,文学-文学鉴赏,这是蒋勋在长达半个世纪的时间里，数十次阅读《红楼梦》后的心血之作。无关红学，不涉及考证，作者从青春与美的角度出发，带领读者逐字逐句细读小说本身，梳理《红楼梦》中的人物与情感，探寻书中表达的繁华的幻灭、逝去的哀伤，讲述青春的孤独、寂寞与彷徨。这是一个生命对其余生命的叩问与聆听。跟蒋勋读《红楼梦》，仿佛是在阅读自己的一生。蒋勋说：我是把《红楼梦》当“佛经”来读的，因为处处都是慈悲，也处处都是觉悟。,20,884,0,190,https://wfqqreader-1252317822.image.myqcloud.com/cover/233/23444233/s_23444233.jpg
读水浒：人性的十三种刻度,2022-01-01 00:00:00,文学-文学鉴赏,这是一本解读《水浒传》人物的书。书中写了林冲、鲁智深、宋江、吴用、晁盖、武松、李逵、扈三娘、石秀、燕青、史进、雷横、朱仝、杨志等十几个人物，作者“努力去理解他们的心理，推敲他们的行为，分析他们的性格，搞清楚他们何以会如此行事”，从而让每个人物都展现出他复杂的一面，展现出他们人性深处的善与恶。,9,886,0,41,https://wfqqreader-1252317822.image.myqcloud.com/cover/696/42849696/s_42849696.jpg
蒋勋说唐诗（修订版）,2014-09-01 00:00:00,文学-文学鉴赏,只要人还追求心灵的自由，便一定会热爱诗歌。蒋勋先生说：“当我们面对唐诗时，几乎每一个人都感觉到唐诗好迷人，里面的世界好动人。再追问一下，也许是因为刚好唐诗描写的世界是我们最缺乏的经验，在最不敢出走的时候去读出走的诗，在最没有孤独的可能的时候读孤独的诗，在最没有自负的条件时读自负的诗。”,24,856,0,19.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/134/23444134/s_23444134.jpg
文心,2017-09-01 00:00:00,文学-文学鉴赏,知识是枯燥的，故事是有趣的。把知识巧妙地融进有趣的故事，读故事时习得许多知识，无疑是最理想的学习方法。《文心》就是这一成功方法的典范。夏丏尊、叶圣陶二位先生凭多年教学经验，用《文心》里的32个故事，讲解了“关于国文的全体知识”，平易近人，寓教于乐，多年来受到无尽读者的赞誉。本次《文心》再版，加入吴浩然先生民国风插图，形象再现民国学生的学习和生活。现代读者不仅能借《文心》轻松愉快地学习读与写的知识，且能“身临其境”地了解民国。,10,908,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/996/923996/s_923996.jpg
金蔷薇（译文经典）,2010-08-01 00:00:00,文学-文学鉴赏,《金蔷薇》是一部总结作者本人创作经验、研究俄罗斯和世界上许多文学大师的创作活动、探讨文学创作的过程、方法和目的的美文集。文学大师用他别具一格的文笔气势磅礴而又精致入微地描绘了人类的美好感情和大自然的如画美景，阐述了作家的使命、文学创作的目的和方法，使每一位读了《金蔷薇》的文学爱好者、文学创作者和文学批评家得到极大的启发。本书以新颖优美的文笔塑造的一个个鲜活动人的形象，具有无可抗拒的强大的感染力，给人留下不可磨灭的深刻印象，催发人们博爱的美好感情。中国现当代著名作家凡读过《金蔷薇》者，无不称赞这是一本不可多得的好书，并且肯定该书在自己文学创作的道上起过重要作用。相信这本书今天依然会给读者以诸多教益。,8,872,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/318/24147318/s_24147318.jpg
六神磊磊读金庸,2021-09-01 00:00:00,文学-文学鉴赏,我们读金庸，往往会沉浸在高深的武功和紧张刺激的情节中去。而有这样一个了不起的金庸粉丝，读懂了金庸先生烛照人性、洞察幽微的关怀，读出的是一代文豪对世人的“悲悯”，又用一副铁肩担起“惩恶扬善”的道义，用一支辛辣犀利的笔继承了先生”怜我世人”的事业。他，就是我们热爱的六神磊磊。金庸先生的作品总是映照时代，用精彩的故事去启发人们对现实的思考。六神磊磊将金庸先生的作品进行细致入微地解读和剖析，带我们去读金庸，引导着我们去思考：为什么东方不败不杀任盈盈？曼陀山庄的茶花怎么总是养不活？,17,822,0,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/843/41135843/s_41135843.jpg
蒋勋说红楼梦1-4辑（套装共4册）,2012-09-01 00:00:00,文学-文学鉴赏,这是蒋勋在长达半个世纪的时间里，数十次阅读《红楼梦》后的心血之作。无关红学，不涉及考证，作者从青春与美的角度出发，带领读者逐字逐句细读小说本身，梳理《红楼梦》中的人物与情感，探寻书中表达的繁华的幻灭、逝去的哀伤，讲述青春的孤独、寂寞与彷徨。这是一个生命对其余生命的叩问与聆听。跟蒋勋读《红楼梦》，仿佛是在阅读自己的一生。蒋勋说：我是把《红楼梦》当“佛经”来读的，因为处处都是慈悲，也处处都是觉悟。,12,904,0,70,https://wfqqreader-1252317822.image.myqcloud.com/cover/229/23444229/s_23444229.jpg
许子东现代文学课,2018-06-01 00:00:00,文学-文学鉴赏,本书源于许子东在香港岭南大学中文系的经典课堂实录，融会了几十年的积累，将来可扩展为一部相对完整的中国现代文学简史。课堂实录的金句与神来之笔，化为小字旁批，约有160余条，大珠小珠，与正文相映成趣。另增11份许子东开列的进阶书单、10位文学巨匠的创作谈、1条中国现代文学时间轴，以及260多个详注，帮助打开民国时期的文学地图，打通更多的知识关联，更新认知视野。,19,809,0,41.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/755/22285755/s_22285755.jpg
诗经：越古老越美好+情到深处是中庸（套装共2册）,2018-03-01 00:00:00,文学-文学鉴赏,《诗经：越古老，越美好》是百万畅销书作家曲黎敏再掀国学狂飚之最新力作，书中解读了《诗经》隐藏的人生之谜！曲黎敏对话中国最早的一部诗歌总集——《诗经》，解读《诗经》的起源及意义，领略读诗的八大益处，对爱情、婚姻、男女、结婚、归宁、剩女、怨妇、孤独、命运等诸多人生主题进行深刻的思考和诗意的表达，带领人们再次感受《诗经》里古朴热诚的精神力量，在《诗经》里寻找解决心灵之痛的良方。《情到深处是中庸》是曲黎敏继《诗经：越古老，越美好》之后又一扛鼎之作。她不拘泥于传统思维，精彩解读了中国最早诗歌总集《诗经》，精选“风”“雅”“颂”共100首精彩篇目，18个章节。书中有丰富的人生哲学和生活智慧，带读者领略《诗经》起源及其深厚的意义，体会《诗经》之大美。阅读过后，读者对情感、婚姻、男女、孤独、命运等诸多人生主题，将会有更深刻的思考，更清澈的认知，找到解决自己心灵迷惘的良方。是一剂拨开现代人情感迷惘的诗性“读药”。,24,801,0,39.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/750/931750/s_931750.jpg
解放战争（上）（1945年8月～1948年9月）,2009-08-01 00:00:00,文学-文学鉴赏,长篇纪实，全面讲述解放战争的历史。为王树增非虚构文学著述中规模最大的作品。,17,874,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/961/24952961/s_24952961.jpg
西方文学十五讲(修订版),2012-07-01 00:00:00,文学-文学鉴赏,《西方文学十五讲(修订版)》内容纵横上下三千年，横跨欧美两大洲，从古希腊神话艺术、中世纪的圣经文学和骑士文学、文艺复兴、启蒙运动到近现代的浪漫运动、现实主义文学、现代主义文学、后现代主义文学，涵盖了西方文学发展的主要思潮及各时期最具经典性的作家和作品，从心灵深层揭示西方文学生生不息的运动。同时注重联系当代生活现实，开掘西方古典文学的现代性，并与中国文化进行比较阐释，力求在中西会通、古今会通方面作一些有益的开掘。,30,833,0,15.49,https://wfqqreader-1252317822.image.myqcloud.com/cover/3/24273003/s_24273003.jpg
中国古代文学史（上中下）,2009-05-09 00:00:00,文学-文学鉴赏,本书是一套高等学校的中国古代文学史教材，分上、中、下三册。该书条例清楚，资料丰富，为一套优秀的高等教材。,26,854,0,45,https://wfqqreader-1252317822.image.myqcloud.com/cover/978/30943978/s_30943978.jpg
人民日报任仲平100篇,2018-04-01 00:00:00,文学-文学鉴赏,本书收入1993年以来人民日报刊发的任仲平（即“人民日报重要评论”）文章100篇。书中的任仲平文章，以“大国大党大报”的独特基调，就事关时代发展的大命题、国家政治经济生活中的大事件展开评论，多次得到中央领导同志的表扬，被认为是人民日报政论优势的集中体现。,58,908,0,42,https://wfqqreader-1252317822.image.myqcloud.com/cover/633/25292633/s_25292633.jpg
小说的骨架：好提纲成就好故事,2018-03-01 00:00:00,文学-文学鉴赏,小说创作是思想一次孤独的长途旅行，不写提纲的旅者，容易迷失方向。写提纲有助于你更优质、更高产地开始并顺利完成你的小说创作。本书破除你对提纲可能存在的错误认知，逐点指出写提纲的趣味、好处和技巧，让你的小说框架、层次和节奏都能得到方向性的保障。作者手把手地传授小说提纲写作的布局和技巧，从人物、背景、结构、冲突到主题，每章以一个具体的话题开始，建立起清晰的方法描述和任务目标，同时辅以大量创作案例；每章以对一位作家的独家采访结束，分享他们创作小说提纲的独家秘诀。此外，作者还引入了高效写作软件、连点成画、九型人格等工具，每一条建议都极具操作性，经得起创作实践的检验。,36,756,0,23.88,https://wfqqreader-1252317822.image.myqcloud.com/cover/748/23071748/s_23071748.jpg
鲜衣怒马少年时2：唐宋诗章里的盛世残梦,2021-08-01 00:00:00,文学-文学鉴赏,历代史书写人记事，大多如同一条条新闻短讯，情感和细节严重缺失。那些可是影响历史进程的人，他们身上一定有故事，有传奇，有不得已，可惜史书里看不到。而诗歌，可以让人物血肉丰满。本书作者以诗歌的视角，带我们回到唐宋的历史现场，与心底一个个名字相遇。比如在安史之乱中浮沉的李白、杜甫、王维、高适，中唐热搜榜的常客刘柳、韩孟、元白；而浮浪少年韦应物，传奇般成就了诗坛“扫地僧”；资深复读生韦庄，乱世流离中登上大蜀的相位；艺术天才李煜却被命运推向龙椅，成为亡国之君；大宋CEO王安石在瓜洲渡口孤独徘徊，文坛盟主苏轼则在黄州风雨中抄书读史……大唐的安史之乱、永贞革新、牛李党争、黄巢起义，大宋的王安石变法，党争之乱，历史的每一次风起云涌都隐藏着诗人的身影。他们用诗歌记录时代动荡、个人悲喜，佐证着历史的真相，而我们也在从中窥见了他们的命运伏笔……,5,902,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/632/41159632/s_41159632.jpg
老子通释,2021-03-01 00:00:00,文学-文学鉴赏,本书是余秋雨先生阐释古代经典的里程碑新作，也是写给当代人的《道德经》入门读本。全书通述《道德经》八十一章的全部内容，通析每章每节的内在逻辑，通观两千多年之间的思维异同，通感原文和译文之间的文学韵味，通论历代研究者的共识和分歧，通考各种版本的阙误和修正。整体上以平易通达的散文写成，释译之间兼具严谨与诗意，足以让当代生命与千年文本互相滋润。,26,839,0,68.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/928/36982928/s_36982928.jpg
当代西方文艺理论,2014-08-01 00:00:00,文学-文学鉴赏,《教育部面向21世纪课程教材：当代西方文艺理论(第三版)》所用的“西方”概念，除了地域含义外，还包括历史文化因素，因此，《教育部面向21世纪课程教材：当代西方文艺理论(第三版)》介绍了若干俄罗斯文论，但未介绍前苏联的文论。,38,880,0,27.49,https://wfqqreader-1252317822.image.myqcloud.com/cover/674/23017674/s_23017674.jpg
人间词话精读,2015-02-01 00:00:00,文学-文学鉴赏,人间词话精读——诗词品鉴圣手苏缨，解读不朽词话经典。从《诗经》到纳兰词，欣赏最美中国诗词，聆听大师美学绝唱。,9,921,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/689/32368689/s_32368689.jpg
秋水堂论金瓶梅,2019-03-01 00:00:00,文学-文学鉴赏,“云霞满纸”，袁宏道在写给董其昌的信里，这样称道《金瓶梅》。《金瓶梅》问世四百余年来，得到无数作家、学者的宝爱和传抄，从李渔、曹雪芹，到胡适、张爱玲……无不从《金瓶梅》中汲取营养。《金瓶梅》不仅仅是一部闺房私情之书，更是一部深微体察人性的“罪与罚”之书：书中所有人物都沉沦于欲望的苦海，被贪欲、嗔怒、嫉妒、痴情的巨浪所抛掷。《金瓶梅》作者之如椽巨笔，直入人性深不可测的部分，揭示人心的复杂而又毫无伤感与滥情；一个读者必须有健壮的脾胃，健全的精神，成熟的头脑，才能够真正欣赏与理解《金瓶梅》，直面其中因为极端写实而格外惊心动魄的暴力。,33,788,0,32.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/317/26785317/s_26785317.jpg
