title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
平凡的世界（全三册）,2017-05-31 00:00:00,文学-民间文学,茅盾文学奖皇冠上的明珠。激励亿万读者的不朽经典。深受老师和学生喜爱的新课标必读书。路遥获得了这个世界里数以亿计的普通人的尊敬和崇拜，他沟通了这个世界的人们和地球人类的情感。,7,927,0,89.99,https://weread-1258476243.file.myqcloud.com/weread/cover/1/24965201/s_24965201.jpg
人生,2020-01-06 00:00:00,文学-民间文学,《人生》是茅盾文学奖得主路遥的代表作，激励万千读者的文学经典。《人生》改变了马云的一生，也深刻影响了陈忠实、贾樟柯等人的创作。《人生》以陕北高原的城乡生活为背景，叙述了知识青年高加林回到家乡又离开家乡，再回归家乡的人生变化过程。《人生》讲述了一个年轻人面临的爱情与事业、理想与现实间的艰难选择，具有巨大的共情力量，说出了每个人，尤其是年轻人的困境、期待与追求。《人生》在有限生命中不懈追寻的激情，在每个人的心底激起回响；《人生》大地般宽广的气质，给予对生活失望的人莫大的安慰与力量。这是路遥的《人生》，也是我们每个人的人生。,3,875,0,27,https://weread-1258476243.file.myqcloud.com/weread/cover/97/25164497/s_25164497.jpg
早晨从中午开始,2013-05-01 00:00:00,文学-民间文学,"《早晨从中午开始》是路遥的自传性随笔集，收录了《早晨从中午开始》《路遥自传》《写作是心灵的需要》等散文名篇。
在《早晨从中午开始》中，路遥以50篇创作随笔，讲述了自己在《人生》获得巨大成功后，并未沾沾自喜，而是自勉自励，坚信《人生》绝不是自己难以逾越的横杆，继而萌生了创作鸿篇巨著的设想，并最终完成《平凡的世界》的心路历程。
他用真实的经历告诉我们：人，不仅要战胜失败，而且还要超越胜利。",3,826,0,27,https://weread-1258476243.file.myqcloud.com/weread/cover/95/25164495/s_25164495.jpg
中国民间故事,2019-12-01 00:00:00,文学-民间文学,"    中国民间故事源远流长，从先秦到清末，经过一代又一代人口口相传，留下了不计其数的优秀故事。这些故事是中华上下五千年历史发展的沉淀，直接体现了中华民族的文化内涵，其中包括历史典故、神话传说、爱情故事、民间寓言等，内容包罗万象，囊括世间百态。阅读这些故事，领略各民族的不同文化和风土人情，从中见证中国文化的博大精深。本书精选了近六十个口碑载道的民间故事。内容浅显，道理深刻，集知识性与趣味性于一身，可激发学生的阅读兴趣，促进其心智发展，是其成长路上的好伙伴。每一则故事都承载着其独特的价值内涵，一则《铁杵磨针》，让人知道无论多么难的事，只要下定决心，持之以恒，功夫不负有心人，终会有志者事竟成；一则《三个和尚》，告诫人们自私自利只会害人害己；一则《华佗学医》，使人懂得神医也是一步一个脚印走出来的，要坚定正确的目标，坚持不懈为之努力……
",18,780,0,15.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/30/27329030/s_27329030.jpg
中国古代寓言故事,2018-12-01 00:00:00,文学-民间文学,本书作者干天全教授研究中国寓言数十年，精选两百多个脍炙人口的寓言故事，用通俗浅显的语言进行讲解，并分析寓言背后的智慧，给读者以思考和启迪。一则《坎井之蛙》，让人知道坎井外有海阔天空的世界，不能在狭小的环境里自我满足、自鸣得意；一则《刻舟求剑》，告诫人们事物都是在不断发展变化的，应以发展变通的眼光来处理问题，墨守成规就会失败；一则《南辕北辙》，使人懂得做任何事情，都要有正确的方向，若方向错了，不管物质条件如何优越，自己如何努力，只会离预想的目标越来越远……,50,762,0,15.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/330/23784330/s_23784330.jpg
一生中最高兴的一天,2013-05-01 00:00:00,文学-民间文学,《一生中最高兴的一天》为路遥的中短篇小说全集，收录中短篇作品十八篇。包括《基石》、《优胜红旗》、《父子俩》、《不会作诗的人》、《在新生活面前》、《匆匆过客》、《青松与小红花》、《惊心动魄的一幕》、《月夜静悄悄》等。,4,846,0,22.8,https://weread-1258476243.file.myqcloud.com/weread/cover/93/25184493/s_25184493.jpg
不止读书,2022-01-01 00:00:00,文学-民间文学,"青年作家、书评人魏小河尤为钟爱珍妮特•温特森在《我要快乐，不必正常》书里的一句话：“以鲑鱼一般的决心逆流而上吧！无论水流多么汹涌，因为这是你的河流。”
作为年轻一代人中迅速走出迷茫的佼佼者，魏小河已经确认了自己的河流、找到了存在的方式，无论遇到多么汹涌的风浪，他相信生活本真的面目都可以借着伤疤得到辨认。
这部属于青年人自己的“确认”之作，提炼出众多青年人的心声，从阅读中确认自我、更新自我、热爱自我。始于读书，抵达更广阔的世界，更宽容地去理解这个世界的复杂。
",5,785,0,47,https://weread-1258476243.file.myqcloud.com/weread/cover/46/3300010546/s_3300010546.jpg
中国古代神话故事,2019-12-01 00:00:00,文学-民间文学,作为历史的开端，神话故事反映了一个民族最初的童年印记。本套书按照“传奇人物”“创世神话”“造物神话”“战争神话”四大体系，收录了近百篇神话故事，如“盘古开天辟地”“女娲补天”“仓颉造字”“嫘祖始蚕”“夸父逐日”“嫦娥奔月”等。这些神话故事展现了古人对天地万物的美好想象以及朴素纯真的愿望，反映了人类的伟大智慧，从中可见早期历史的光影，是古人留给我们的宝贵文化遗产。既可以启迪孩子的心智，又能教给孩子做人的道理，是中国儿童阅读的经典之作。,22,776,0,15,https://wfqqreader-1252317822.image.myqcloud.com/cover/778/34129778/s_34129778.jpg
书店日记套装（全2册）,2021-08-01 00:00:00,文学-民间文学,"书店日记套装（全2册）包括《书店日记》及《书店四季：书店日记2》。

1.18岁的时候，肖恩•白塞尔第一次在苏格兰小镇威格敦看到那家名叫“书店”（The Book Shop）的书店。他和朋友散步路过，看到堆满书籍的橱窗，对朋友说：“这家店到年底一定倒闭。”
十三年后，2001年，肖恩买下了这家书店。
起初，肖恩对于如何经营书店一无所知。经过十多年的辛勤工作，如今的“书店”已成为苏格兰最大的二手书书店。肖恩与朋友们每年秋天在当地组织图书节，而这座小镇也成为远近闻名的“书城”。",6,848,0,55.3,https://weread-1258476243.file.myqcloud.com/weread/cover/56/3300014456/s_3300014456.jpg
希腊神话（译文名著精选）,2011-05-01 00:00:00,文学-民间文学,"神话是人类童年时期的产物，它具有永久的魅力。希腊神话因其有较完整的体系和独特的文学魅力而流传久远。希腊神话与圣经神话对整个西方乃至人类的宗教、哲学、思想、风俗习惯、自然科学、文学艺术产生了全面深刻的影响。接触西方文化，必然会遇到源自希腊神话的典故，而每一本重要的西方经典文学作品几乎都涉及希腊神话中的人物和情节，有些甚至直接取材于希腊神话。时至今日，我们虽不必“言必称希腊”，但对希腊神话作一系统的了解乃是每一个现代人所必需。
",42,682,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/118/932118/s_932118.jpg
成语故事（中华国学经典）,2010-06-01 00:00:00,文学-民间文学,"    一本好书，一生的财富。从远古的回顾到今天的眺望，经典的国学依旧熠熠闪光。《成语故事》这本书不但是中华民族珍贵的文化遗产，也是世界文学殿堂里绚丽夺目的瑰宝，几千年来广为流传。深刻的思想情感与内涵，让你在不知不觉间增长智慧，净化心灵。在这里，一篇篇精美的文字娓娓道来。回望经典，让昨天、今天与明天衔接成一条光滑的弧线，记录我们成长的足迹。
",30,764,0,1.12,https://wfqqreader-1252317822.image.myqcloud.com/cover/276/619276/s_619276.jpg
中华成语故事大全集（超值金版）,2010-09-01 00:00:00,文学-民间文学,"    所谓成语，是汉语言中经过长期使用、锤炼而形成的固定短语，是比词大而语法功能又相当于词的语言单位，绝大部分由四个字组成。成语大都是从古代寓言、俗语、古诗文、历史事件和名人名言中产生的，其中一些成语还有美丽动听的故事。从宏观意义上说，成语是中华文明中璀璨不朽的瑰宝，充分体现了中华民族传统文化的博大精深，它以自身的言简意赅而成为了构建汉语言大厦中强有力的栋梁。
",35,750,0,2,https://wfqqreader-1252317822.image.myqcloud.com/cover/119/333119/s_333119.jpg
白话聊斋,2011-10-01 00:00:00,文学-民间文学,"    蒲松龄(1640-1715)，清代文学家、小说家，字留仙，一字剑臣，号柳泉先生，世称“聊斋先生”，山东淄川人。出身小地主小商人家庭，在科举场中很不得意，71岁才考得贡生。蒲松龄自幼喜欢民间文学，创作出许多文学作品。除《聊斋志异》外，还有文集4卷，诗集6卷；杂著《省身语录》《怀刑录》等多种；戏曲3种，通俗俚曲14种。经人搜集编定为《蒲松龄集》。《聊斋志异》是一部文言短篇小说集，全书共有400余篇。“聊斋”是蒲松龄的书斋名，“志”是记述的意思，“异”指奇异的故事，指在聊斋中记述奇异的故事。
",15,710,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/901/632901/s_632901.jpg
古希腊神话故事（彩图精装）,2014-01-01 00:00:00,文学-民间文学,《古希腊神话故事》收录了古希腊神话故事中最有代表性的作品，内容经典、意蕴深刻、情节动人、趣味性强。同时，书中配有精美图片，将浪漫动人的神话世界全方位、多层次地展现在读者面前，使读者获得丰富的想象空间和高雅的艺术享受。翻开《古希腊神话故事》，犹如进入一个神奇的世界，历史与想象在这里交织，神秘与浪漫在这里互融。在这里，你可以从精彩生动的神话故事中，找到与自己心灵产生共鸣的情感体验，可以从富有智慧的语言中汲取营养、获得感悟、引发思考，为自己的人生营造一方纯净的圣土。,25,662,0,5.96,https://wfqqreader-1252317822.image.myqcloud.com/cover/340/813340/s_813340.jpg
山海经,2015-04-01 00:00:00,文学-民间文学,本书是中国先秦重要古籍，也是一部荒诞不经的奇书，内容包罗万象，传世版本共计18卷，包括《山经》5卷，《海经》13卷，各卷著作年代无从定论，从山川地理、植物、医药、矿产，到神话、人物、方国、祭祀、风俗，具有非凡的文献价值，堪称研究上古中国社会历史的宝库，在古代地理资料上的价值尤其突出。,12,779,0,19,https://wfqqreader-1252317822.image.myqcloud.com/cover/474/29793474/s_29793474.jpg
恩重如山,1995-06-01 00:00:00,文学-民间文学,四聋子过去听人说鼓书时，总是想入非非，指望哪一天也有一个螺蛳或狐狸精变成女人，来替他洗衣做饭作老婆，今天一早，这愿望眼看就要实现了，却在转眼间变成了花棉袄，又变成了婴儿。——《恩重如山》,3,808,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/783/24919783/s_24919783.jpg
中国神话与民间传说大全集,2011-02-01 00:00:00,文学-民间文学,本书分为中国神话、民间传说、少数民族的神话传说三篇。,161,683,0,7.45,https://wfqqreader-1252317822.image.myqcloud.com/cover/897/827897/s_827897.jpg
希腊神话故事（插图珍藏本）,2015-07-01 00:00:00,文学-民间文学,希腊神话迄今已流传3000余年，辉煌宏大的场景、性格鲜明的人物以及优美曲折的故事情节，使其在世界各地的读者中一直广受欢迎。作为西方文明的两大基柱之一，希腊神话不断影响着西方的社会文化及文学艺术的发展，是我们真正读懂西方最便捷的通道之一。由于年代久远，希腊神话被混乱收录于各个版本中，19世纪，一直致力于整理保存古典文化工作的德国浪漫主义诗人施瓦布，以其极具文学价值的生动文字、严谨精良的民族特性，一改原有故事的庞杂零乱，完成了众神谱系相对清晰、故事情节相对集中的《希腊神话故事》。该书问世以来，被译成各种文字，畅销至今。,52,768,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/34/24284034/s_24284034.jpg
山海经（精装彩色插图全本）,2019-12-01 00:00:00,文学-民间文学,《山海经》是一部经典古代世界地理博物志，有《山经》五卷、《海经》八卷、《大荒经》四卷与《海内经》一卷，共18卷，并有《山海经图》。其中多神仙异兽，方术祀典。瑰丽多采，让人能够忘却自身而与天地同乐。陶渊明读后，挥笔写下《读&lt;山海经&gt;》诗十三首，感叹道：“泛览周王传，流观山海图。俯仰终宇宙，不乐复何如！”鲁迅先生一生挚爱，《故事新编》中的《奔月》《补天》皆取材于本书。本次出版以南宋淳熙刻本为底本，考以清光绪十二年郝懿行《山海经笺疏》、涵芬楼影印明正统十年刻本、清乾隆刻本吴任臣《山海经广注》；注音以郭璞所注之古音为准，参以郝懿行、王念孙、毕沅等人之正音，随文注于正文上方；完整收入清代吴任成金阊书业堂藏版《山海经图》五卷与日本江户时代《怪奇鸟兽图卷》全彩甄选鸟兽图23幅；文末附刘歆“上《山海经》表”与郭璞“注《山海经》叙”。直观展现一个原汁原味的《山海经》世界。,14,755,0,20,https://wfqqreader-1252317822.image.myqcloud.com/cover/978/29285978/s_29285978.jpg
古希腊神话故事大全集,2011-01-01 00:00:00,文学-民间文学,本书内容包括神的出世、神的家庭、神的创造、人与神的合作和斗争等。通过活泼凝炼的语言为读者展现衣服波澜壮阔的古希腊神话卷。,77,776,0,7.45,https://wfqqreader-1252317822.image.myqcloud.com/cover/925/827925/s_827925.jpg
希腊神话和传说,2015-05-22 00:00:00,文学-民间文学,世界上有许多民族，每个民族都有自己的神话。然而，若论内容的丰富，表现手法的艺术性，以及流传范围的广泛，那就要数希腊神话了。希腊神话是希腊民族关于神和英雄的故事的总汇。几千年来，希腊神话已经渗透到古希腊的文学艺术乃至西方文化的各个方面，对人类文明的发展起到了不可磨灭的作用。因此，要想了解西方的文明进程，就有必要读一读这本《希腊神话和传说》了。,26,763,0,16,https://wfqqreader-1252317822.image.myqcloud.com/cover/670/23303670/s_23303670.jpg
