title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
飞鸟集,2015-10-01 00:00:00,文学-现代诗歌,"    翻阅《飞鸟集》，就仿佛打开了少年时封在樱花树下的彼此写下的密信，那些回忆如同潮水一般涌现，那些玩闹，那些小忧伤，那些豪言壮语，那些恶作剧，那些亲密无间，就仿佛黄昏中的晚霞，浸渍了醉人的红——年轻的读者们啊，这本《飞鸟集》就像是一本青春的日记，会将你们的回忆保存在里面。因为，它是能最大程度将“爱”提炼出来的作品。读《飞鸟集》，你会发现爱与被爱是何等的融洽为一；读《飞鸟集》，你会将烦恼和痛苦提炼为一种修行。年少的人读《飞鸟集》是有福的，因为，这就等于在你生命的陶罐中种下了爱的种子，不知何时，就会生根发芽。
",5,840,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/366/821366/s_821366.jpg
艾青诗选,2018-05-01 00:00:00,文学-现代诗歌,本书收录了艾青创作于二十世纪三十年代至七十年代末的作品，包含有《大堰河——我的保姆》《雪落在中国的土地上》《火把》《向太阳》等诸多脍炙人口的经典作品。艾青早期的诗歌多以深沉忧郁的基调咏叹民族命运，以强烈的斗争精神鼓舞祖国人民保卫国土。1949年以后，艾青一如既往地歌颂人民，礼赞光明，思考人生，并且开始四处游历，在全国以及全世界的土地上留下足迹和诗迹，将读者带入更加广阔的世界。,10,826,0,7.44,https://wfqqreader-1252317822.image.myqcloud.com/cover/639/23199639/s_23199639.jpg
海子的诗,2017-09-01 00:00:00,文学-现代诗歌,本书精选1984到1989年间海子的短诗，包括《亚洲铜》《新娘》《黑风》《女孩子》《村庄》《阿尔的太阳》《素子和鱼》《你的手》《八月尾》《大自然》《麦地》等一百余首，这些诗歌通过寓言、纯粹的歌咏和遥想式的倾诉三种诗艺表现方式，表现出海子一生的热爱与痛惜，对于—切美好事物的着恋之情，对于生命的世俗和崇高的激动和关怀。,32,785,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/604/920604/s_920604.jpg
顾城的诗,2012-09-03 00:00:00,文学-现代诗歌,本书稿为作者至亲编选，辑录了作者自诗歌创作以来的精华作品。顾城的诗在中国诗坛属特立独行的一枝，书写当代文学史，新时期以来，有几位诗人是不可或缺的，顾城即为其中之一。本书稿清晰地展现了作者的诗歌品质，是欣赏、学习诗歌、研究中国当下文学的很好的资料。,58,832,0,16,https://wfqqreader-1252317822.image.myqcloud.com/cover/174/34632174/s_34632174.jpg
鲸鱼安慰了大海,2019-05-01 00:00:00,文学-现代诗歌,《鲸鱼安慰了大海》是一部诗集，收录燕七诗歌138首。燕七的诗，写尘世的悲与喜、欢聚与离别、自然与文明、苍老与天真，无不天真如初、纯净明朗。极简的语言，极朴素的情感，却有直击人心的力量。2022年，此书在小红书爆火，百万人追读、推荐，并被演员李现推荐。,15,760,0,21.6,https://weread-1258476243.file.myqcloud.com/weread/cover/64/3300020364/s_3300020364.jpg
诗人十四个,2019-08-01 00:00:00,文学-现代诗歌,　　《诗人十四个》围绕“春天”意象与“青春”经验，用古诗词阐释友情、孤独、情欲、死亡、别离五种生命事件，渴求与接纳两种生命态度。全书根据这些主题分为七章，每章选择两个诗人，讲解其在这一主题下的文学样貌与诗人个人气质，并在两个诗人的对比中，呈现诗歌的不同解读，展现生命的矛盾性和可能性。作者整合知人论世的学术方法和现代心理学的分析语言，在继承经典笺注释义的基础上进行解读，旨在发掘古典诗词对于人生真正问题的助益性，激发读者心灵深处的共鸣，唤起深切的生命体验。,8,879,0,36.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/692/31129692/s_31129692.jpg
神曲：地狱篇、炼狱篇、天国篇,2018-01-12 00:00:00,文学-现代诗歌,长篇史诗《神曲》分为《地狱篇》、《炼狱篇》和《天国篇》。其故事采用中古梦幻文学的形式，主人公是诗人但丁本身，讲述他“在人生的中途，我发现我已经迷失了正路，走进了一座幽暗的森林”；彷徨了一夜后才走出森林，却被三只野兽——豹、狮、狼——拦住了去路。危急时分古罗马诗人维吉尔出现搭救了他引导他去游历。本书被认为是文艺复兴运动最重要的里程碑式的作品。,33,848,0,44,https://wfqqreader-1252317822.image.myqcloud.com/cover/413/25658413/s_25658413.jpg
另一个，同一个,2016-08-01 00:00:00,文学-现代诗歌,"博尔赫斯创作于一九六四年的诗集，也是作者特别偏爱的一本，收诗七十五篇，包括名作《关于天赐的诗》、《猜测的诗》、《玫瑰与弥尔顿》、《胡宁》等，主题涉及布宜诺斯艾利斯、日耳曼语言文化、流逝的时间……本书开篇还附有作者序，不仅阐述了独特的诗歌美学理论，还交代了其中某些诗作受到罗伯特·勃朗宁的戏剧独白的影响，以及卢贡内斯和惠特曼的影响。
",22,786,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/396/934396/s_934396.jpg
我将宇宙随身携带：佩索阿诗集,2021-06-01 00:00:00,文学-现代诗歌,作为葡萄牙国宝级诗人、“欧洲现代主义的核心人物”，佩索阿以迷人的“异名书写”筑造了一个富饶神秘的宇宙，他一生创造了众多异名者，各自拥有不同职业、个性，属阿尔贝托·卡埃罗最为重要。卡埃罗是“自然诗人”“客观诗人”，被其他异名者尊为大师，一生大部分时光在农庄度过，有着金头发、蓝眼睛，是个孤儿，只完成了小学教育。本书收录卡埃罗创作的所有诗歌，包括《牧羊人》《恋爱中的牧羊人》《牧羊人续编》三部分。卡埃罗写诗希望不带任何哲学思想，只要真实地看待万物，强调以感觉把握自然，而反对思想式认识：“我观看，事物存在。我思想，只有我存在。”,39,827,0,58,https://wfqqreader-1252317822.image.myqcloud.com/cover/765/42849765/s_42849765.jpg
恶之花,2017-02-01 00:00:00,文学-现代诗歌,"    《恶之花》是法国诗人波德莱尔的诗歌代表作，奠定了他在法国乃至世界诗歌史上的地位。这部经典诗作通过诗歌展现了恶及围绕着恶所展开的善恶关系。波德莱尔破除了千百年来的善恶观，以辩证的观点来看待恶，认为恶具有双重性，它既有邪恶的一面，又散发着一种特殊的美。它一方面腐蚀和侵害人类，另一方面又充满了挑战和反抗精神，激励人们与自身的懒惰和社会的不公作斗争，所以波德莱尔对恶既痛恨又赞美，既恐惧又向往。他生活在恶中；但又力图不让恶所吞噬，而是用批判的眼光正视恶、解剖恶，提炼恶中之花。
",32,729,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/325/855325/s_855325.jpg
抱着你和人间,2020-12-01 00:00:00,文学-现代诗歌,《抱着你和人间》此书是一本诗文集，包括90首现代诗，3篇短篇故事。诗歌内容主题广泛，情感，成长，生活，哲理等方面均有涉及。所选诗歌作品均在网络上获得读者认可。短篇故事分别以亲情，友情，爱情为主题，表达伤痛或诱惑下的人们对真情的留恋与向往，悲中有喜，结局完满，一定程度上具有抚慰人心的作用。诗文主要表达了作者对各种人物心灵的理解与同情，用充满个性色彩的语言，富有故事性的情节，生动展示出一个又一个人物鲜活而不为人知的内心与情感。感染力极强，同时也能给青年人思考和启迪。,91,916,0,21,https://wfqqreader-1252317822.image.myqcloud.com/cover/346/43229346/s_43229346.jpg
想象一朵未来的玫瑰：佩索阿诗选,2019-05-01 00:00:00,文学-现代诗歌,费尔南多·佩索阿是二十世纪伟大的葡萄牙语诗人，他用一百余个异名创造出一个独特的文学世界。在这些异名当中，“冈波斯”可能最接近佩索阿本人的真相：张扬恣肆的精神世界，只是他用诗歌和文字织就的一个梦；现实生活中，他是一个出门时连旅行箱都永远收拾不好的平凡小职员。本书主要收录“冈波斯”的短诗，也收录了著名的长诗《烟草店》、《鸦片吸食者》等。这是“冈波斯”的第一个汉语译本，希望能为中文读者呈现出一个较为清晰的“冈波斯”形象，为领略佩索阿庞大的写作世界提供一个入口。本书另收录《回忆我的导师卡埃罗》、《无政府主义银行家》。,37,721,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/658/26460658/s_26460658.jpg
你来人间一趟，你要看看太阳,2019-03-01 00:00:00,文学-现代诗歌,在诗人海子去世30周年之际，我们推出了这本诗歌选集，以表达对诗人的怀念，也尝试用一种新的方式去感知和解读不朽的诗篇。本书精选100首海子创作的抒情短诗，按照情绪和意蕴分为六个板块，同时创新地提出了“朗读版”的概念。我们希望号召每个热爱海子诗歌的读者，用朗读的方式，用诗歌最天然的形式，去体会这些作品背后的情感与故事。同时，在每首诗的右下角放置相应二维码，扫码即可听到这首诗的“领读版声音”，为读者参与共读提供示例和引导。你来人间一趟，你要看看太阳。愿你能在朗读中有所得。愿你能在诗中有所得。即使没有，也愿你爱上海子。,27,762,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/612/25444612/s_25444612.jpg
海子的诗,2012-08-01 00:00:00,文学-现代诗歌,本书收录了海子自创作以来，所有短诗的精华作品，以及长诗《弥赛亚》的节选。完整地展现了作者毕生诗歌创作的面貌。海子是青年中卓有影响的诗人，其作品及其身后的影响，不仅在文学史上保有位置，同时具有社会文化史的价值。本书稿原搬本社《海子的诗》全部内容。《海子的诗》是行销最广的诗集之一，也是海子作品行销记录最好的。,23,845,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/871/33601871/s_33601871.jpg
我的孤独是一座花园：阿多尼斯诗选,2009-03-01 00:00:00,文学-现代诗歌,"    世界让我遍体鳞伤，但伤口长出的却是翅膀。向我袭来的黑暗，让我更加闪亮。孤独，也是我向光明攀登的一道阶梯。这是闻名于世界诗坛的叙利亚诗人阿多尼斯的第一部中文版诗集，经阿多尼斯亲笔授权，由译者从诗人踏入诗坛至今近五十年的十七部诗集中精选并译出。诗人阿多尼斯，是一位态度鲜明的叛逆者，以百折不挠的倔强抗争权势与时俗。他的诗歌，是了解阿拉伯社会现状的一个窗口。他为祖国蒙受的苦难而伤怀，为自身不被祖国所容而喟叹，为整个阿拉伯民族的落伍而悲愤。
",9,757,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/907/840907/s_840907.jpg
先知（纪伯伦全集）,2014-06-01 00:00:00,文学-现代诗歌,"    《先知》一直被视为纪伯伦一生的巅峰之作，自出版以来赞美始终不绝，被人誉为“小圣经”“东方赠送给西方最好的礼物”等。纪伯伦因此书声名大振，被世界认识、关注。此书收录了《先知》、《先知花园》、《先行者》等多部散文诗集，讨论了爱、婚姻、施予、悲欢、自由、时光、善恶、美、死亡等多个世界之源问题，承载了纪伯伦最厚重也是最成熟的思想，而散文诗中的语言优美绝伦，因此《芝加哥晚邮报》称：“真理在此，用黎巴嫩式的美、音乐和理想主义表现出来的真理。”
",2,801,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/84/510084/s_510084.jpg
下次你路过，人间已无我,2018-12-01 00:00:00,文学-现代诗歌,《下次你路过，人间已无我》为余光中先生家属授权及审定篇目，从余先生五十年来出版的全部诗集中精选一百多首诗歌，是了解余先生高洁人品的必读作品。书名《下次你路过，人间已无我》摘自余先生一九八五年诗作《欢呼哈雷》“究竟这一头有几个人能够等你/下一个轮回翩然来归?/至少我已经不能够，我的白发/纵有三千丈怎跟你比长？/下次你路过，人间已无我/但我的国家，依然是五岳向上/一切江河依然是滚滚向东方/民族的意志永远向前/向着热腾腾的太阳，跟你一样”余先生遗作，人间绝唱，读之雄浑壮丽，令人热血沸腾，又止不住热泪盈眶。《下次你路过，人间已无我》含“故国、少年、人间、寰宇、追忆、奇观、至美、绮情、时间”九个篇章，可分别从这九个主题，以不同的历史角度，多方位了解余先生诗作，并以此书纪念余光中先生。,41,808,0,13.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/28/24053028/s_24053028.jpg
