title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
生死疲劳,2017-01-01 00:00:00,文学-经典作品,"    这是一部中国乡村社会的庞杂喧哗、充满苦难的蜕变历史，也是莫言在艺术上向中国古典章回体小说和民间叙事的伟大传统致敬的鸿篇巨制。《生死疲劳》是莫言以寓言的方式观照历史、借荒诞的想象书写现实，从而讲述一个农民家族半个多世纪以来悲欢离合、兴衰演变的长篇巨著。在小说中，被冤杀的地主西门闹经历了六道轮回，变成驴、牛、猪、狗、猴，最终又转世为一个大头婴儿，滔滔不绝地讲述着自己每一世的离奇经历。小说通过六道轮回的想象跨越生与死，悲悯着历史变迁之中无常的命运，也歌颂着生存于这片土地上的农民们世代相继、生生不息的执着生命力。亚洲周刊“2006年十大好书”，中国小说学会“2006年度小说排行榜”榜首，2008年香港浸会大学“世界华文长篇小说奖‘红楼梦奖’首奖。
",12,907,0,27.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/427/26435427/s_26435427.jpg
一句顶一万句（典藏版）,2016-08-01 00:00:00,文学-经典作品,本书是著名作家刘震云先生参磨四年的扛鼎之作。被北京五大评论家誉为“中国的《百年孤独》（诺贝尔获奖作家马尔克斯的作品）”，是刘震云迄今为止最成熟最大气的作品。这部小说洗尽铅华，返璞归真，笔触始终紧贴苦难的大地和贱如草芥的底层人群，结构单纯而内容丰富，命悬一丝而荡气回肠，主人公常常走投无路而又一直勇往直前。这是当代文坛敢于直面真实的不可多得的佳作。著名评论家张颐武说，该书是刘震云“最具企图心和想象力的作品，也是他超越自我的最为坚韧的努力的成果。”我们认为该书是刘震云作品中唯一可以获奖也可以留存文学史的畅销和长销的作品。,8,882,0,45,https://wfqqreader-1252317822.image.myqcloud.com/cover/835/934835/s_934835.jpg
余华作品全集（《活着》等 13 册）,2011-07-01 00:00:00,文学-经典作品,本套装收入了余华《活着》、《许三观卖血记》、《兄弟》等13部经典代表作品。,1,886,0,299.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/115/23523115/s_23523115.jpg
围城,2017-07-01 00:00:00,文学-经典作品,钱钟书先生最经典的作品，也是仅有的一部长篇小说，堪称中国现代文学史上风格独特的讽刺经典，被誉为“新儒林外史”，自上世纪八十年代以来一直横贯常销、畅销小说之首。小说塑造了抗战初期以方鸿渐为主的一类知识分子群像，记叙了他们所面临的教育、婚姻和事业困境。虽然有具体的历史背景，但这部小说揭示的人群的弱点，在今天依然能引起人们的共鸣。著名文学评论家夏志清先生在《中国现代小说史》中认为，“《围城》比任何中国古典讽刺小说优秀”，称之为“中国现代文学史中写得最有趣、最细腻的小说，或许是最伟大的小说。”,7,896,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/457/22946457/s_22946457.jpg
丰乳肥臀,2017-01-02 00:00:00,文学-经典作品,诺贝尔文学奖评委会认可的代表作，华语文学传媒大奖·年度杰出成就奖，首届《大家》文学奖。莫言最庞大、最丰满的小说，记录百年中国风云变幻的恢宏“史诗”。经由一双婴儿的眼睛，目睹一个家族亲历的战争、贫穷、革命、荒淫。有爱有欲，有生有死，有人性的愚昧、贪婪，也有人情的温暖、博爱。一切无情，一切有情，一切疯癫——用一个故事看懂中国。,17,831,0,27.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/797/26447797/s_26447797.jpg
沧浪之水,2001-10-01 00:00:00,文学-经典作品,这是一部令人惊骇的小说，有一种道破天机的意味。作者以犀利如刀的文笔和生动逼真的描写，写出省卫生厅公务员、医药学研究生池大为从无职无权、空怀壮志，到时来运转、大展宏图的过程。酸甜苦辣的人生况味，险象环生的升迁之路．你死我活的灵魂搏斗，人情冷暖世态炎凉，无不夺人心魄、发人深思。每个人都能从书中看到社会，找到自己的影子。此书口碑爆棚，是近十余年来唯一持续畅销的当代作家原创长篇小说之一，已由人民文学出版社再版了66次，销量破百万。此书已改编成电视剧《岁月》，由胡军、梅婷、于和伟、王彤主演。,15,864,0,2,https://wfqqreader-1252317822.image.myqcloud.com/cover/73/674073/s_674073.jpg
兄弟（第3版）,2012-09-01 00:00:00,文学-经典作品,余华作品，被誉为中国的弥尔顿《失乐园》，荣获法国国际信使外国小说奖，入选瑞士《时报》2000年至2010年这10年来全球最为重要的15本书。讲述了江南小镇两兄弟李光头和宋钢的人生。李光头的父亲不怎么光彩地意外身亡，而同一天李光头出生。宋钢的父亲宋凡平在众人的嘲笑声中挺身而出，帮助了李光头的母亲李兰，被后者视为恩人。几年后宋钢的母亲也亡故，李兰和宋凡平在互相帮助中相爱并结婚。虽然这场婚姻遭到了镇上人们的鄙夷和嘲弄，但两人依然相爱甚笃，而李光头和宋钢这对没有血缘关系的兄弟也十分投缘，他们在相互照顾中成长……本书荣获法国国际信使外国小说奖（2008年），入选瑞士《时报》2000年至2010年这10年来全球最为重要的15本书。,10,793,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/466/834466/s_834466.jpg
活着,2012-08-01 00:00:00,文学-经典作品,同名电影《活着》由张艺谋执导，葛优、巩俐两大影帝影后主演，1994年该片在第47届戛纳电影节上斩获评委会大奖、最佳男演员奖，同时还荣获了英国电影学院奖最佳外语片等重要奖项。由《活着》改编的电视剧《富贵》2005年开播，在第13届上海电视节上，摘得“白玉兰”奖——电视剧评委会大奖。《活着》是一篇读起来让人感到沉重的小说。那种只有阖上书本才会感到的隐隐不快，并不是由作品提供的故事的残酷造成的。毕竟，作品中的亡家，丧妻，失女以及白发人送黑发人这样的故事并不具备轰动性。同时，余华也不是一个具有很强煽动能力的作家，实际上，渲染这样的表达方式是余华一直所不屑的。余华所崇尚的只是叙述，用一种近乎冰冷的笔调娓娓叙说一些其实并不正常的故事。而所有的情绪就是在这种娓娓叙说的过程中中悄悄侵入读者的阅读。这样说来，《活着》以一种渗透的表现手法完成了一次对生命意义的哲学追问。本书荣获意大利格林扎纳·卡佛文学奖（1998年）、台湾《中国时报》十本好书奖（1994年），香港“博益”15本好书奖（1990年），中华图书特殊贡献奖（2005年），法国国际信使外国小说奖（2008年）；并入选香港《亚洲周刊》评选的“20世纪中文小说百年百强”；入选中国百位批评家和文学编辑评选的“九十年代最有影响的10部作品”，余华本人则于2004年荣获法兰西文学和艺术骑士勋章。,3,912,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/464/834464/s_834464.jpg
在细雨中呼喊（第3版）,2012-09-01 00:00:00,文学-经典作品,《在细雨中呼喊》是二十世纪九十年代的经典文本，是余华的第一部长篇力作。小说描述了一位江南少年的成长经历和心灵历程。《在细雨中呼喊》的结构来自于对时间的感受，确切地说是对记忆中的时间的感受，叙述者天马行空地在过去、现在和将来这三个时间维度里自由穿行，将忆记的碎片穿插、结集、拼嵌完整。,4,811,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/467/834467/s_834467.jpg
黄金时代,2015-08-01 00:00:00,文学-经典作品,《黄金时代》包括中篇小说《黄金时代》、《三十而立》、《似水流年》、《革命时期的爱情》和《我的阴阳两界》等。,2,793,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/123/652123/s_652123.jpg
