title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
读者(2022年第13期),2022-06-01 00:00:00,期刊专栏-其他,《读者》是甘肃人民出版社主办的一份综合类文摘杂志。《读者》1981年于兰州创刊，原名为《读者文摘》。《读者》月发行量达800万份、刊物发行量居国内第一、世界综合类期刊第四。并同时发行盲文版、少数民族文字版及繁体中文版。有子刊物《读者欣赏》、《读者·原创版》、《读者·乡土人文版》，并于2007年开办“读者网”。杂志多年以来始终以弘扬人类优秀文化为己任，坚持“博采中外、荟萃精华、启迪思想、开阔眼界”的办刊宗旨，在刊物内容及形式方面与时俱进，追求高品位、高质量，力求精品，并以其形式和内容的丰富性及多样性，赢得了各个年龄段和不同阶层读者的喜爱与拥护。,7,818,0,6,https://weread-1258476243.file.myqcloud.com/weread/cover/30/3300023630/s_3300023630.jpg
优秀班主任德育工作实践案例100例,2013-09-01 00:00:00,期刊专栏-其他,为进一步探索师范生德育实践创新，增强师范生德育的针对性和实效性，上海师范大学组织编写了《优秀班主任德育实践典型案例100例》。这本书是我们深入挖掘师范生师德教育的宝贵资源的一项成果，希望师范生从实践中感受优名师的人生追求、教师的职业精神和优秀班主任工作的宝贵经验。,34,724,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/707/839707/s_839707.jpg
收获文学榜2021中短篇小说,,期刊专栏-其他,国内最具专业性、权威性文学排行榜。2021年度获奖中短篇合辑，以二十篇关键作品，记录本年度华语中短篇小说新收获。莫言说：“不把自己不满意的稿子给《收获》，是我对《收获》最大的尊重”。王安忆说《收获》：“具有一种好奇的童真性格，对一切新鲜的事物都抱着探索的准备，这就使它始终呈现出年轻的面貌。”余华将近四分之三篇幅的作品发表在《收获》上，这其中包括著名的《在细雨中呼喊》《活着》《许三观卖血记》等。“后来我才明白，这是巴金和靳以创办《收获》时就开始的传统，无论作者名声大小，都会在《收获》这里得到同样尊重。”名人推荐：《收获》排行榜和刊物的风格一样，既权威又不乏新锐。——金理（评论家，教授）《收获》排行榜的特点：包容、丰富又干净，深具文学品质。——张莉（评论家，教授）,7,0,0,70,https://weread-1258476243.file.myqcloud.com/weread/cover/56/3300024056/s_3300024056.jpg
中国零售业公私域运营手册暨实施指引,2021-11-29 00:00:00,经济理财-管理,为了让更多人正确的认识和理解私域，中国连锁经营协会与腾讯团队联合撰写了这本《中国零售业公私域运营手册暨实施指引》，尝试对公私域提供定义和分类，帮助零售企业更好的理解公域和私域，为企业搭建私域运营框架和公私域联动体系，提供参考和指导。指引分为五大部分，前三部分分别讲述了公私域概览，公域流量与公域门店，私域用户池与私域门店，对当下的私域概念进行了梳理厘清，从行业角度提供了公私域的基本认知体系和理论参考。第四部分是私域典型触点的实施指引（SOP），并结合数十个来自一线的实战案例解析为企业提供实践指引。第五部分则针对企业的公私域全域经营提供了具有行业共性的典型模式与应用参考。,3,816,0,-1,https://rescdn.qqmail.com/weread/cover/117/3300003117/s_3300003117.jpg
童话原来如此黑暗（怪哉第5期）,2017-09-12 00:00:00,期刊专栏-其他,说起童话，大家自然而然想起纯净又美丽的公主，吃人心肝的坏人，正义的猎人……一切都那么纯真又美好。很多人所不知道的是，这些童话的原始文本，充满了暗黑、血腥、邪恶的气息。如《睡美人》的最初版本里，她是被父亲迷奸的。《白雪公主》的最早版本，想要谋害白雪公主的不是她的后母，而是她的亲生母亲。皇后要求当晚食用白雪公主的肝脏！在格林兄弟的版本中，故事结尾，皇后被迫穿上铁靴，跳舞至死……,5,556,0,6,https://wfqqreader-1252317822.image.myqcloud.com/cover/354/913354/s_913354.jpg
新程序员003：云原生和全面数字化实践,2022-01-01 00:00:00,期刊专栏-其他,在《新程序员.003》中，我们聚焦“云原生时代的开发者”与“全面数字化转型”两大主题。阿里、字节跳动、网易、快手、亚马逊等互联网大厂的云原生技术的赋能者，从技术定义、技术应用、实践案例分享等方面，以直击内核的硬核输出全面解析云原生，帮助开发者在云原生时代快速找到适合自身发展的技术范式。同时，我们也将对微软、英特尔、华为、施耐德、西门子等首批开启数字化转型的企业展开报道，通过十多位技术专家分享的鲜活案例，一窥金融、新零售、工业物联网等领域的数字化转型成果，帮助更多关注数字化转型的开发者从先驱者的经验中获得启迪。,15,0,0,62.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/685/42983685/s_42983685.jpg
收获文学榜中短篇小说2019-2021合辑,,期刊专栏-其他,国内最具专业性、权威性文学排行榜。2019-2021年度获奖中短篇合辑，以二十篇关键作品，记录年度华语中短篇小说新收获。莫言说：“不把自己不满意的稿子给《收获》，是我对《收获》最大的尊重”。王安忆说《收获》：“具有一种好奇的童真性格，对一切新鲜的事物都抱着探索的准备，这就使它始终呈现出年轻的面貌。”余华将近四分之三篇幅的作品发表在《收获》上，这其中包括著名的《在细雨中呼喊》《活着》《许三观卖血记》等。“后来我才明白，这是巴金和靳以创办《收获》时就开始的传统，无论作者名声大小，都会在《收获》这里得到同样尊重。”名人推荐：收获》排行榜和刊物的风格一样，既权威又不乏新锐。——金理（评论家，教授）《收获》排行榜的特点：包容、丰富又干净，深具文学品质。——张莉（评论家，教授）,21,0,0,238,https://weread-1258476243.file.myqcloud.com/weread/cover/57/3300024057/s_3300024057.jpg
知音（下半月）（2022年第5期）,2022-05-15 00:00:00,期刊专栏-其他,《人民文摘》是由人民日报社主管、人民日报出版社主办的社会人文综合型文摘期刊（月刊）。该刊从全国最具权威力和公信力的时政、文化、财经类报刊中撷取最受公众关注、又畅销易读的社会热点事件、热点人物和时尚话题中的精华，让读者在细述实录的动人故事中体味岁月的风云与丰厚的感悟。,4,0,0,15,https://weread-1258476243.file.myqcloud.com/weread/cover/57/3300021757/s_3300021757.jpg
《架构师》2022年6月,2022-06-08 00:00:00,期刊专栏-其他,本期推荐内容：2022，我们该如何理解可观测技术；Gitee 新政被喷惨了，开源仓库必须先审核再上线”；中国技术出海，TiDB 数据库海外探索之路；忍受不了糟糕的工作氛围，我退出了 Google WebAssembly 团队。,4,0,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/181/44326181/s_44326181.jpg
《架构师》2022年4月,2022-04-08 00:00:00,期刊专栏-其他,本期主要内容：那些扎根于乌克兰的知名软件企业；低代码公司黑帕云被字节跳动收购：潮水褪去，曾经爆火的低代码赛道迎来变局？我不认为Flutter比React Native好。,4,0,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/177/44326177/s_44326177.jpg
