title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
《南方人物周刊》2022年第19期,2022-07-04 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,9,783,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/704/44567704/s_44567704.jpg
《南方人物周刊》2022年第17期,2022-06-13 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,8,645,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/246/44348246/s_44348246.jpg
《南方人物周刊》2022年第15期,2022-05-30 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,11,600,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/596/44213596/s_44213596.jpg
《南方人物周刊》2022年第16期,2022-06-06 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,9,724,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/244/44348244/s_44348244.jpg
《南方人物周刊》2022年第8期,2022-03-28 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,14,719,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/286/43550286/s_43550286.jpg
《南方人物周刊》2022年第18期,2022-06-27 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,9,0,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/274/44511274/s_44511274.jpg
《南方人物周刊》2021年第12期,2021-04-26 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,13,818,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/880/38103880/s_38103880.jpg
《南方人物周刊》2020年第13期,2020-05-11 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,13,730,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/204/31361204/s_31361204.jpg
《南方人物周刊》2022年第9期,2022-04-04 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,9,692,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/329/43741329/s_43741329.jpg
《南方人物周刊》2022年第12期,2022-05-02 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,13,0,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/576/43991576/s_43991576.jpg
《南方人物周刊》2022年第2期,2022-01-17 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,12,0,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/97/42998097/s_42998097.jpg
《南方人物周刊》2016年第11期,2016-04-11 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,9,727,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/60/818060/s_818060.jpg
《南方人物周刊》2022年第11期,2022-04-25 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,13,0,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/574/43991574/s_43991574.jpg
《南方人物周刊》2021年第1期,2021-01-11 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,9,727,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/434/36661434/s_36661434.jpg
《南方人物周刊》2022年第13期,2022-05-16 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,9,0,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/592/44213592/s_44213592.jpg
《南方人物周刊》2017年第12期,2017-04-24 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,7,778,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/17/858017/s_858017.jpg
《南方人物周刊》2016年第6期,2016-03-07 00:00:00,期刊专栏-生活,《南方人物周刊》融新闻性与可读性为一体，适合中高端读者的品味，使您在闲暇时光，翻阅一幅幅具有视觉冲击力的图片和一篇篇平实优美的文字，从他们的故事中感悟时代的变迁和人性的魅力，为他们的故事而感动，为他们的命运而感慨，为他们的成功而感叹。,10,0,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/507/813507/s_813507.jpg
