title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
第一财经YiMagazine（2022年第07期）,2022-07-01 00:00:00,期刊专栏-财经,以“探索一个明亮的商业世界”为宗旨，旨在为全中国的公司人提供深度、生动、有趣、前沿的商业报道。,14,761,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/759/42617759/s_42617759.jpg
手把手教你读研报（雪球「岛」系列 ISLAND:18）,2018-05-01 00:00:00,期刊专栏-财经,本书内容的一部分来自中泰资管（原齐鲁资管）雪球网同名账号下，每周二更新的栏目《毒舌研报》，由一位每周浏览50份以上、精读20份以上研报的高手撰写。此次集合成书，增补了几万字内容，梳理和更新了资料数据，重新划分了结构和类别，特别适合初入股市的投资者阅读。,10,705,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/882/22312882/s_22312882.jpg
雪球专刊245期：看穿十大行业，给聪明投资者的行业分析课,2020-11-05 00:00:00,期刊专栏-财经,9月14日至9月25日，雪球联合机构间市场投资者教育基地为大家献上十场行业分析直播课！详解十大行业分析方法，带你穿透迷雾看本质！这十大行业分别是：医药、消费、食品饮料、传媒、军工、农业、基建、金融、地产、新能源。我们选编这10场直播的文字实录汇编成册，希望对你研究行业、投资公司有所帮助！,6,753,0,0.1,https://wfqqreader-1252317822.image.myqcloud.com/cover/809/34560809/s_34560809.jpg
《商界》2016-2019年合集（全47册）,2021-05-27 00:00:00,期刊专栏-财经,由商界杂志社主办的财经类杂志，是一本以倡导优秀商业文化和创业精神为特色，以“报道商界动态形势，揭示商界深层问题，汇集商界经营之道，反映商界丰富人生”为宗旨的商业财经月刊。《商界》杂志以广大中小生意人、企业经营者以及企业各层级员工在市场经济实动中成功的方法、失败的教训、有益的经验、规范的操作、生活的甘苦等为主要内容，文章以纪实和故事两种风格为主，坚持通俗性、可读性为前提。及时报道市场经济走势和行业态势，全面陈述分析企业各具体环节的运作方法和应变技巧，提供新的生意信息和策划案例，深入刻画生意人生的酸甜苦辣。,167,0,0,460.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/653/39204653/s_39204653.jpg
商界40年系列（全集）,2019-11-01 00:00:00,期刊专栏-财经,2019年是中华人民共和国成立70周年，改革开放已走过40余年，中国经济腾飞受世界瞩目。1978年改革开放伊始，中国的经济规模仅有3679亿元人民币；而到2017年，中国国内生产总值（名义）已经高达82.71万亿元人民币，成为世界第二大经济体，中国经济总量占世界经济的比重由1978年的1.8%上升到2017年的16%，仅次于美国。2017年，中国三产结构的比例分别为7.9%、40.5%和51.6%。第三产业的发展增幅已经超过第一、第二产业，成为拉动中国经济增长的主要力量。这其中，中国民营企业的迅猛发展更是带动中国经济发展不容小觑的中坚力量。这套丛书既是一部中国企业家改革开放史，也是一部中国商业进化史。共四册：《先行者（1978—1988）》、《弄潮儿（1989—1998）》、《逐鹿人（1999—2008）》、《梦想家（2009—2018）》，包罗了众多民营企业家在其时代背景下所展现出的惊人的商业头脑和不屈的精神。,16,809,0,136,https://wfqqreader-1252317822.image.myqcloud.com/cover/246/26955246/s_26955246.jpg
雪球专刊288期：看穿十大行业，给聪明投资者的行业分析课Ⅱ,2021-12-10 00:00:00,期刊专栏-财经,10月18日至10月29日，雪球联合机构间市场投资者教育基地挑选今年最热门的十大行业，邀请了最重磅的十大分析师，为球友献上十场行业分析直播！详解十大行业分析方法，带你穿透迷雾看本质！这十大行业分别是：光伏、半导体、创新药、互联网、白酒消费、交通运输、金属资源、银行、券商、房地产。本期雪球专刊选编这10场直播的文字实录汇编成册，希望对你研究行业、投资公司有所帮助！,6,757,0,0.1,https://wfqqreader-1252317822.image.myqcloud.com/cover/838/41923838/s_41923838.jpg
雪球专刊305期——2022雪球投资炼金季,2022-06-01 00:00:00,期刊专栏-财经,"今年以来，A股市场持续震荡调整，投资者担忧情绪明显，迷茫之中存在无数疑问：哪些因素引发了热门赛道大跌？“宁组合”、“茅指数”集体杀跌，是否跌出了价值？2022年市场会如何演绎？哪些公司更具备投资价值？随着上市公司年报的披露、大量业绩数据公开，更多新的价值挖掘机会也逐渐清晰。为使投资者更清晰地了解上市公司的价值，2021年历时两季，在“炼金”过程中，数千名专业球友深度参与，覆盖1000+上市公司的年报、中报数据解读，产生2300余篇专业深度的财报解读文章，成为财报季全网热点事件，也涌现出近百名优秀的""炼金师""。本期雪球专刊我们选取12篇公司财报分析好文，希望对你分析公司，发现投资机会有所帮助。",3,0,0,0.1,https://weread-1258476243.file.myqcloud.com/weread/cover/96/3300019096/s_3300019096.jpg
学习才是你赢得成功的唯一资本（《哈佛商业评论》“微管理”系列）,2018-03-20 00:00:00,期刊专栏-财经,商业理论家阿里·德赫斯（Arie de Geus）有言，“比你的竞争对手学习速度更快，可能是惟一可持续的竞争优势”。跟其他的事物一样，学习也是有“套路”的，本期《哈佛商业评论增刊·学习才是你赢得成功的唯一资本》遴选6篇文章，帮助你掌握学习的技巧与“套路”，走出学习困境。,5,554,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/808/22973808/s_22973808.jpg
雪球专刊260期：光伏行业投资攻略,2021-02-24 00:00:00,期刊专栏-财经,近几年，隆基股份、通威股份、阳光电源等光伏行业龙头公司快速成长，吸引了大量资本的关注，也造就了一大批成功的投资者。而光伏行业技术革新较快，行业周期性强，产业链漫长且竞争激烈，参与公司众多，优胜劣汰经常出现，这也让普通投资者对光伏板块投资感到无所适从。为此，银华基金推出光伏50ETF（SH516880），该ETF跟踪中证光伏产业指数，将主营业务涉及光伏产业链上、中、下游的上市公司股票作为待选样本。雪球上有众多长期跟踪光伏行业和龙头公司的投资者，他们常年分享对行业、公司的深度理解，记录自己的投资感悟。我们精选15篇好文汇编成册，希望对你投资光伏太阳能行业有所帮助！！,6,818,0,0.1,https://wfqqreader-1252317822.image.myqcloud.com/cover/766/36954766/s_36954766.jpg
第一财经YiMagazine（2022年第05期）,2022-05-01 00:00:00,期刊专栏-财经,以“探索一个明亮的商业世界”为宗旨，旨在为全中国的公司人提供深度、生动、有趣、前沿的商业报道。,14,615,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/754/42617754/s_42617754.jpg
