title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
开运风水大全集,2010-12-01 00:00:00,生活百科-命理,本书介绍了最全面的开运方法和风水知识，用以指导人们在居家、招财、商业、健康、事业等各个方面应用风水知识和方法，达到开运旺财的至善境界。,39,801,0,7.45,https://wfqqreader-1252317822.image.myqcloud.com/cover/899/827899/s_827899.jpg
风水宝典：你应该了解的500个风水常识,2012-03-01 00:00:00,生活百科-命理,    人生活于天地间，不能脱离周围的环境，但环境千差万别，具有不平衡性。客观上存在着相对较好的，更适合人们生活的，给人们带来幸运、吉祥的环境，也存在着相对险恶的，给人们生活带来不便、困苦和不吉利的环境。这就需要人们依靠自己的力量，借助风水常识为自己开运、转运，从而拥有更精彩的人生。付易昌编著的这本《风水宝典（你应该了解的500个风水常识）》向你展示纷繁复杂的风水世界，囊括居家、商业、血业、情感、器物等各个方面的风水学知识。《风水宝典（你应该了解的500个风水常识）》是求健康、求财富、求家运者必看必须的家居吉祥宝典。,3,612,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/446/672446/s_672446.jpg
起名三十六计,2021-09-24 00:00:00,生活百科-命理,名字是送给子女最好的礼物，会伴随孩子一生的旅程。本书旨在总结多年起名经验，帮助家长了解起名宜忌，掌握起名方法，用自己的爱心和智慧为后代起出好名字。作者自幼被重名过多困扰，大学毕业后，在帮亲戚朋友起名的过程中，偶然发现自己小有天赋。翻阅市面上的起名书籍，觉得迂腐陈旧、实用性不强。本着“授人以鱼，不如授人以渔”的理念，根据自身经验和相关资料，总结归纳了三十六种起名方法。既能系统梳理思路，又能对新手爸妈有所帮助。,11,905,0,29.99,https://weread-1258476243.file.myqcloud.com/weread/cover/47/41387947/s_41387947.jpg
面相100问（人生运势500问）,2010-02-01 00:00:00,生活百科-命理,"脸上的秘密，从一张脸上，你能看到些什么？中国有句古话叫“相由心生”，即一个人的个性、心思与作为，会通过面部特征表现出来。美国当代心理学家利奥波德·贝拉克博士说：“面孔是一个人内心情感和生活经历的永久习惯记录，它就像一张地图，不仅能反映人的气质和性情，通过对它的正确解读，还可以改善各种人际关系。不要把解读面孔看做是一种算命，而是把它看做一种识别他人品质的工具。”
",13,474,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/990/612990/s_612990.jpg
12星座人大全集：科学解读人的血型与星座的秘密,2011-09-01 00:00:00,生活百科-命理,"    12星座人根据太阳在黄道上所处的12个星座的位置，揭示了每个人在出生之际及尔后的一生中所受到的太阳印记的影响，由此将人划分为12个星座类型，并逐一对每一星座类型的宝宝、女人、男人的性格、心理、行为、情感等特征分别进行了分析、介绍。4种血型人根据人类的4种血型，揭示了每个人的一生中所受到的血型的影响，并逐一对每一血型类型的宝宝、女人、男人的性格、心理、行为、情感等特征分别进行了分析、介绍。星座·血型星座分析主要侧重人的性格和后天命运。血型分析主要侧重人的内心感受与行为方式。
",8,533,0,2.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/510/332510/s_332510.jpg
房屋风水实用手册,2011-05-01 00:00:00,生活百科-命理,"    《房屋风水实用手册》力图深人浅出，避免佶屈聱牙，为读者整理出一些简单易懂的房屋风水开运法，教会大家如何选择适合自己的房屋，如何运用简单的方法来轻松地调整房屋的风水——只要利用一些方位的改变、对家居布置的改善，就能够让自己好运不断。 本书适合所有对风水感兴趣的读者，尤其是准备买房置地的朋友，它深入浅出地介绍了旺地福宅的风水适宜条件、家居装修如何装出好运以及家居巧布置的技巧。此书在手，可以让您买房的时候不再求人，装修的时候更加轻松，家居布置的时候更加得心应手，快快乐乐地享受美好生活。
",54,661,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/794/792794/s_792794.jpg
人生运势500问2,2010-01-01 00:00:00,生活百科-命理,"    继《人生运势500问》后，编者推出了它的姊妹篇《人生运势500问Ⅱ》，希望在前一本的基础上能给大家带来更多更实用的改变运势的知识。本书辑录了择吉、生肖、姓名学、风水学、星座学五大部分内容。 本书沿用问答形式，分类整理，辅以丰富的图表，针对每一个问题进行详细的解答。内容涉及健康、财富、职场、交际、性格等诸多方面，让读者从科学角度看到一个更新、更全的运势学，使读者能更客观、更理性地面对人生中的各种问题，提前对各种问题做好准备，趋利避害，用更豁达开阔的眼光看待生活、改变运势。
",3,722,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/145/798145/s_798145.jpg
葬经,2011-11-01 00:00:00,生活百科-命理,魏晋时期，随着朝野上下笃信风水，风水观念深入人心，郭璞所著的《葬经》一书则堪称风水第一书。《葬经》诚如吴沉所说，明白简易。全书虽仅两千余字，并且只是专论阴宅术，但却提出了一系列风水术最基本的观念和原理。,1,725,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/883/131883/s_131883.jpg
风水应该这样看,2019-03-20 00:00:00,生活百科-命理,作者本着简单易懂的方向，用浅显易懂的文字向读者展现了向来神秘的风水世界，从古人眼里的风水术到与风水直接相关的阴阳、五行八卦和吉凶择日，从风水术涉及的最基本的问题如龙、穴、沙、水等四个选择准则和选择之道到具体的阳宅风水，最后作者还结合现实中人们常见的对风水的过分偏信和一概否决给出了自己的独到见解，那就是要“一分为二”的看待风水。洪丕谟的这本风水著述，最大特色就是文字浅显，再配以相应的图标说明。,9,661,0,14,https://wfqqreader-1252317822.image.myqcloud.com/cover/857/32770857/s_32770857.jpg
周公解梦（古代文化集粹）,2008-09-01 00:00:00,生活百科-命理,"    梦到底是什么？梦告诉了我们什么？在人类的一切奥秘中，恐怕再也没有比那些来自人的内心的奥秘更让人神往的了。梦是人类精神生活的一种很特殊的现象。人对梦的思考，属于人对自身的一种审视，因而也是一种自我认识。
",3,524,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/245/602245/s_602245.jpg
发达开运姓名学,2011-02-01 00:00:00,生活百科-命理,"    姓名，传承祖国的传统文化，承载着宗族关系，传达人的精、气、神。同时，姓名文字还蕴涵着人和事物的变化规律，从而揭示姓名与人生命运的密切联系。姓名既可以预测人生运势的吉凶规律，又具有调整平衡运势和趋吉避凶的作用。《发达开运姓名学》对中国象数姓名学进行了概述，从姓名文字的笔画数理及其组合结构的五行生克、卦象含义等方面入手，对姓名与性格、学业、事业、职业、相貌、仕途、财运、婚姻、父母、子女、疾病、伤灾、牢灾、上下级关系、朋友关系、人生运程等方面进行了诠释，使姓名学的研究进入一个全新阶段。
",5,678,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/144/798144/s_798144.jpg
面相越简单越实用,2010-12-01 00:00:00,生活百科-命理,《面相越简单越实用》旨在用简单的方法来介绍生活中实用的面相学，通过生动的文字描述，结合详尽的解说，让很多看了专业术语就头疼的人也能在生活当中顺利地使用面相学，进而快速地认识别人、认清自己。《面相越简单越实用》与其他的面相书不同，这不是一本面相类的教科书。书中除了基础篇之外并没有太多的理论，是一本实用类的图书。它可以让你在遇到问题的时候，轻轻一翻就能找到自己想要的答案。,3,400,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/658/784658/s_784658.jpg
葬书（中文典藏）,2020-11-01 00:00:00,生活百科-命理,葬书是东晋著名学者郭璞的著作，全文不到两万字，却系统地阐述了风水理论。其五大理论亮点归纳为：一是乘“生气”论；二是“藏风得水”论；三是“形势”论；四是“四神砂”论；五是“土质标准”论。,1,857,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/311/600311/s_600311.jpg
万事不求人（古代文化集粹）,2000-09-01 00:00:00,生活百科-命理,"    《万事不求人》涉及到生活的各方各面，如解梦、识人术、住宅观测术、美容奇术等，内容翔实，指导性、实用性强，是居家过日子随手可查的顾问和好帮手。一书在手，万事不求人。
",5,514,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/259/462259/s_462259.jpg
风水越简单越实用,2010-11-01 00:00:00,生活百科-命理,本书的作者有感于此，力求用最通俗的语言来说明风水中蕴藏的一些奥妙，用最简单的词语解释风水中的一些道理，让每位读者——无论你是学富五车，还是平常百姓，都能轻易读懂并掌握其中的内容。本书内容覆盖面广，从风水学上的基础知识谈起，涉及居家风水、商业风水、爱情风水、学业风水的方方面面。力求更加全面、详尽地解释生活当中经常碰到的一些风水问题。本书简单实用之处还在于，它在归类总结的基础上，以小题目的形式列出了生活中常见的一些风水问题，并且对风水中的一些专业词语做了通俗的解释。让读者能够轻松地读懂本书。,2,0,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/318/586318/s_586318.jpg
12星座人：星座与血型大全集,2011-09-01 00:00:00,生活百科-命理,"    12星座人，根据太阳在黄道上所处的12个星座的位置，揭示了每个人在出生之际及尔后的一生中所受到的太阳印记的影响，由此将人划分为12个星座类型，并逐一对每一星座类型的宝宝、女人、男人的性格、心理、行为、情感等特征分别进行了分析、介绍。4种血型人，根据人类的4种血型，揭示了每个人的一生中所受到的血型的影响，并逐一对每一血型类型的宝宝、女人、男人的性格、心理、行为、情感等特征分别进行了分析、介绍。星座·血型，星座分析主要侧重人的性格和后天命运。血型分析主要侧重人的内心感受与行为方式。
",8,649,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/684/593684/s_593684.jpg
手相面相密码,2010-01-01 00:00:00,生活百科-命理,本书4大特点：给自己看手相面相——预知自己的性格、能力，了解自己的凶善相，掌握自己的未来命运。给别人看手相面相——识破对方的真善美和丑恶凶，透过面部看人心，抓住皮纹知运近。给恋人情人看手相面相——细人知面才知心，摸清另一半的品行，趋吉避凶。端详自己、预测他人，随时翻阅、时时对照，必会收到事半功倍之效。,10,435,0,23.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/383/381383/s_381383.jpg
我的灵性之旅,2017-03-17 00:00:00,生活百科-命理,《我的灵性之旅》是当代灵性探索的指导类书籍，通过介绍通俗易懂的方法和工具，帮助你和你的家人朋友获得灵性的提升与发展。可以帮助你回答譬如“如何冥想？”“如何与天使取得联系？”“如何改变家中和工作环境的能量？”“水晶如何帮助我？”“查克拉是什么？”“我如何通过梦境获取灵性讯息？”“我如何改变例行公事的日子？”“我如何通过灵性的成长帮助身边的亲朋好友？”等等等等。是当今十分实用的灵性指导图书。每天，你都可以用书中的方法进行实践获得灵性成长。这本书可以帮助你获得平和的心境，获取自信，在灵性成长道路上祝你一臂之力。,14,632,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/52/25729052/s_25729052.jpg
