title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
如何让你爱的人爱上你,2011-06-01 00:00:00,生活百科-情感,拨开爱情迷雾·破解爱情魔咒·揭示爱情本质为你的爱情之箭绑上由科学催生的智慧和技巧帮助你俘获意中人的芳心，引领你发现爱的奇迹。国际知名两性情感问题专家和人际沟通专家莉尔·朗兹在借鉴和吸收大量前辈工作方法和研究成果的基础上，通过多年的探索和实践，总结出了一套实用、有效、细致的恋爱技巧，让男人和女人在相互了解、彼此尊重、有效沟通的前提下，逐渐学会寻找、发现并且满足对方潜在的心理需求，从而成为亲密无间的恋人乃至共度一生的伴侣。,16,734,0,19.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/294/22717294/s_22717294.jpg
男人来自火星，女人来自金星1,2015-06-01 00:00:00,生活百科-情感,为什么随着时间的推移，爱情的魔力会逐渐减退？为什么许许多多曾经相爱的人，会在悲伤和痛苦中劳燕分飞？这一切究竟是怎样发生的？为什么会发生在你的身上？如何让爱永不消逝？……一切尽在《男人来自火星，女人来自金星》！,32,779,0,17.85,https://wfqqreader-1252317822.image.myqcloud.com/cover/840/33800840/s_33800840.jpg
如何拥抱一只刺猬：恋爱与婚姻中的人格识别、接纳与付出,2022-02-01 00:00:00,生活百科-情感,世界上没有完全相同的两片叶子，也没有完全相同的两个人。不同的人会演绎出不一样的爱情。人格是爱情质量的重要影响因素。爱情也是人们改善人格缺陷的宝贵机会。《如何拥抱一只刺猬：恋爱与婚姻中的人格识别、接纳与付出》涵盖了九大人格类型，并且围绕每一种人格类型介绍了一个以该种人格类型者为主人公的爱情故事。通过本书，读者可以学习在亲密关系中各个人格类型者会有什么样的表现和感受；他们的恋人会有什么样的表现和感受；他们为什么会有这些表现；双方应该做些什么让爱情更甜蜜。从书中看到自己的爱情故事的影子，或者找到实用的建议。此外，针对每种人格类型，作者也精选了一部影视作品或戏剧作品，为读者深入理解该人格类型提供了资源。本书适合所有对亲密关系感到困惑的人，能够帮助读者理解自己，理解恋人，理解爱情。,12,638,0,35.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/227/42824227/s_42824227.jpg
爱的五种能力,2020-05-01 00:00:00,生活百科-情感,中国式两性关系解决方案！数十万家庭受益！资深婚姻家庭咨询师赵永久代表作十周年纪念版！,26,814,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/497/520497/s_520497.jpg
男人这东西,2018-06-01 00:00:00,生活百科-情感,人的成长，无一例外都要越过形形色色的障碍、壁垒，经历一个烦难的成熟过程。为了成为一个成熟的男人，他们必须艰辛跋涉，走过漫漫长路，在此过程中他们会体验到种种挫折、焦虑和失意。人们普遍认为女性的身体敏感而又复杂。事实上男性也大致如此，有时候，甚至还有比女性更加复杂而天真的一面。男人是如何伴随着自己那多事之秋般的身体，与之一路较量而走向成熟的呢？,4,556,0,19.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/552/32765552/s_32765552.jpg
好的婚姻，要守护财产和爱,2019-12-01 00:00:00,生活百科-情感,世界变化越来越快，离婚大战在我们身边时有上演。作为一名离婚律师，吴杰臻律师目睹了婚姻百态，当“教人离婚”成为日常工作时，他也在不断对婚姻进行思考，希望能从中吸取教训，如何让现代人的婚姻更加幸福。本书总结了隐藏在婚姻法背后的三大含义，提出“重塑婚姻安全”的核心概念，以通俗精准的语言，系统地教你婚前自保法则，以及如何解决婚恋问题中的彩礼、嫁妆、房产、个人财产、股权等常见财产安全漏洞，每章都特别设计思维导图，让复杂法律问题可视化。只有熟悉婚姻法中的法律规则，建立婚姻安全框架，才能给婚姻上道保险，消除或者缓解婚姻焦虑，让我们拥有未来更美好的生活。,52,855,0,24.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/397/27184397/s_27184397.jpg
魔鬼约会学,2020-05-01 00:00:00,生活百科-情感,《魔鬼约会学》系统地从“两性的秘密”“交流的艺术”“约会的技巧”等多个角度，归纳、分析、总结了关于两性约会的本质、技巧与方法。为读者深入解析如何约会、约会前要注意什么、约会时要注意如何交流等问题，是一本围绕“约会”主题的实用指南。“魔鬼咨询师”阮琦潜心写就的约会宝典，教你从搭讪一步跨越到约会，更带你从约会开始，走向真正的亲密关系。,10,741,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/30/31252030/s_31252030.jpg
海蒂性学报告：女人篇,2016-08-01 00:00:00,生活百科-情感,在《海蒂性学报告：女人篇》中，海蒂通过开放式性爱问卷调查，让女人自由地表达对于爱情体验、性与婚姻、性高潮、婚外情、女同性恋、更年期等敏感话题的不同看法，道出长久隐藏在以男人为主的性文化背后的另一种声音，呈现出最真实的女人性爱生活。通过此书，女性读者可分享彼此的性经验；男性读者则能够一窥女人的性欲全貌，增加相恋和性爱情趣。,9,693,0,34,https://wfqqreader-1252317822.image.myqcloud.com/cover/539/23410539/s_23410539.jpg
幸福的婚姻,2014-02-01 00:00:00,生活百科-情感,《幸福的婚姻》为婚姻教皇戈特曼的《获得幸福婚姻的7法则》一书的升级版。  《幸福的婚姻》是一本婚姻教皇、人际关系大师、著名心理学家约翰?戈特曼揭开男女长期相处之道的经典作品，向我们阐释了为什么婚姻有时如此艰难？为什么有些人能够厮守一生，而有些人则像躲避定时炸弹一样躲避婚姻生活？如何防止婚姻危机，又如何拯救一段已经出现危机的婚姻？ ? 这是一本非常实用的婚姻指南，任何夫妻都能从中受益。书中戈特曼博士用大数据还原婚姻关系的真相，并总结出使婚姻免于破裂的7个法则，引导读者创建一桩高情商的、长久的婚姻。在戈特曼的爱情实验室里，通过长达40年的婚姻关系研究、近700对夫妻的共同参与，戈特曼博士在观察和聆听一对夫妻5分钟的谈话后，便能预测他们是否会离婚，且预测准确率高达91%！ ? 本书畅销全球，曾荣登《纽约时报》畅销书榜榜首，长踞亚马逊同类书榜单前列。作为人际关系领域大师级人物，约翰?戈特曼与他著名的“爱情实验室”成为超级畅销书《Blink》开章经典案例，戈特曼预测离婚的成果成为主流媒体热议话题。,6,807,0,12.54,https://wfqqreader-1252317822.image.myqcloud.com/cover/369/713369/s_713369.jpg
男人来自火星，女人来自金星2：恋爱篇,2015-06-01 00:00:00,生活百科-情感,本书是约翰·格雷博士为单身或者恋爱中的情侣量身定做的，书中提供了101中找到完美伴侣的方法，如果你正在苦苦寻觅属于自己的另一半，书中所有的理论和恋爱技巧定能对你有所帮助——只因孤单寂寞，就降低择偶标准的话，我们就不会吸引到适合自己的人。爱情好比播下一粒种子，如果你每天都挖开它看看发芽没有，那么反而会让它死去。亲密的肉体关系并不代表一切，有时候，发生性关系可能仅仅是一时激情的结果，什么也代表不了，感情必须经历时间的考验才能与日俱增。求婚是一个女人一生中最值得珍藏的记忆。,5,808,0,17.85,https://wfqqreader-1252317822.image.myqcloud.com/cover/727/779727/s_779727.jpg
