title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
走遍中国（珍藏版）,2010-01-01 00:00:00,生活百科-旅游,北京、天津，老祖先留下的经典中的经典；中原，有它传承的文明之歌；东北，是一片神奇的黑土地；塞外，既有大漠黄沙，又有全球这一纬度上仅有的江南天堂般的草原；青藏高原，那纯粹的阳光伴着圣洁的歌谣，传承到每个到过、期待过它的人的心间；西南，不仅有梦想中的香格里拉，也有许多赛过江南的珍珠粒粒；海边，自有沙滩、阳光的温暖；而香港、澳门、台湾，让你带着无限的期许与顾盼，一睹那些带着历史的印记却鲜活依然的所在……《走遍中国（珍藏版）》，通过这一篇篇汩汩流淌的文字，通过这一张张精心挑选的图画，抵达你向往的内心，从而走向更远！,14,660,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/960/582960/s_582960.jpg
中国自助游（2021全新升级版）,2020-11-01 00:00:00,生活百科-旅游,《2021中国自助游》是畅销20年的《中国自助游》系列的2021年度更新修订版，以专业旅行者的角度，结合独家游探实地反馈的生动感受，以及景点第一手资讯，为读者提供在全中国所有省市区进行自助旅游的全面信息，包括交通路线、出行安排、游玩圣地、体验报告、美食住宿推荐等等，满足读者的旅途必需，成为旅游人士喜爱的贴身小助手。本次新版全面复核全书2400处经典景点资讯，100幅详实旅游交通地图、景点示意图，200多条经过验证的小贴士，独家发布2021年旅游趋势报告，提供新潮热门的旅游目的地和路线，以及“云旅游”“N日游”“亲子游”“自驾游”等多种旅行方式。,66,882,0,35,https://wfqqreader-1252317822.image.myqcloud.com/cover/802/38398802/s_38398802.jpg
特工训练手册：危急时刻如何绝处逢生,2020-12-01 00:00:00,生活百科-旅游,发生大规模袭击事件时，你甘做任人宰割的羔羊？即使住在安保级别较高的酒店，你是否就因此放松警惕？假如手脚被反绑关进汽车后备箱，你就失去反抗机会了？犯罪、袭击绝不只发生在荒野或暗巷，而多数民众常对身边潜在的危险隐患不以为意。作者克林特·埃默森作为前海豹突击队队员，总结了其职业生涯中各种实用的自我保护技巧，授以如何在险要关头安全逃脱、藏匿并求生的应急知识。,31,635,0,23.88,https://wfqqreader-1252317822.image.myqcloud.com/cover/549/35667549/s_35667549.jpg
进入空气稀薄地带：登山者的圣经（珍藏版）,2013-04-01 00:00:00,生活百科-旅游,这是珠峰登山史上最惨痛的一场山难，12名登山者罹难，是自人类首次登上珠峰以来，死亡人数最多的一个登山季。1996年，乔恩·克拉考尔作为《户外》杂志特派记者跟随一支商业登山队攀登珠峰。5月10日，克拉考尔及其他几名队友成功登顶并安全下山。然而数小时后他才获悉，其余的19名登山者在下山途中遭遇暴风雪，被困在海拔8000多米的地方。最终12人葬身风雪中，克拉考尔一个人坐在雪地上，想厘清过去72小时里发生的一切，事情为何会发展到如此地步？……如果一切可以重来，事情是否会是另外一种结局？,12,853,0,22.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/263/860263/s_860263.jpg
西藏，赴一场心灵之约,2018-01-01 00:00:00,生活百科-旅游,如果你未曾亲自踏上这片神圣的土地，你不会懂得，生命中有一种情结，叫西藏……这里有壮美而神圣的山湖、湛蓝如洗的天空，这里有曼妙的异域风情、神秘而虔诚的信仰……在这里，你可以随时随地，触摸天堂。新锐女作家夏墨，一个以梦为马的姑娘，和你有着一个的西藏情结，并为此着迷。多次往返梦想圣地，用无数张影像和随行散文，虔诚地向藏致敬。布达拉宫、拉萨、羊八井，喜马拉雅、雅鲁藏布、大昭寺……这些梦中的词汇，都会跃然纸上，静静流淌。如果你也开始西藏之行或向往西藏之行，请翻开这本书。你除了会了解那里的文化风情，获得旅行提示。还会在书中看见西藏神秘的色彩，闻到属于西藏独特的味道，体会触摸梦想的感动。,20,777,0,19,https://wfqqreader-1252317822.image.myqcloud.com/cover/808/22755808/s_22755808.jpg
这就是台湾，这才是台湾,2015-08-01 00:00:00,生活百科-旅游,"    经常有大陆的朋友跟我分享他们去台湾的旅行，我突然发现他们并没有看到真实的台湾。我去书店买了大量的台湾旅行书，结果也是如此。于是，我决定从一个土生土长的台湾人的角度写一本与台湾有关的书。26万字，19个地方，从台北到澎湖，从城市到小镇，从热门景点到夜市、码头、老街、环岛公路、庙宇、高山族区、铁道，从台湾小吃到太平洋的风，从台湾的人到台湾的民俗，从台湾人的真实生活到台湾的小故事，从街上随处可见的现象到台湾的历史，我花了三年时间写出了我从小认识以及热爱的台湾。
",3,700,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/80/709080/s_709080.jpg
亚洲腹地旅行记,2017-02-01 00:00:00,生活百科-旅游,"对罗布泊的第一次科学勘查，在塔里木河上的处女航，发现楼兰古城，进入神秘的雪域净土……你很难相信，这所有的一切发生在19世纪末，就算是在一百多年后的今天也颇为不易。国人对斯坦因这些国外探险家一直存有争议，认为他们是无耻的盗贼。而对斯文·赫定如苦僧修行一般的孤旅，却多了一些崇敬。
",19,758,0,11,https://wfqqreader-1252317822.image.myqcloud.com/cover/657/910657/s_910657.jpg
有一种梦想叫新疆,2018-01-01 00:00:00,生活百科-旅游,作为自古以来东西方文化的交汇地，她的美沿着天山与丝绸古道一路飞扬，又被人传播到更远的地方，惊艳世界的目光。从辽阔而丰富的地理环境，到多种多样的生活方式，再到多元的民族和宗教，这片无尽之疆，似有吸引外来人走向更深处的魔力。,10,774,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/113/27095113/s_27095113.jpg
西藏，一个人的浩浩荡荡,2017-01-01 00:00:00,生活百科-旅游,西藏的旅行热度一直不减，特别是这几年，去西藏渐成时尚。骑车进藏既是单车一族的梦想，也渐为更多热爱西藏的人所熟知和赞叹。但踩着单车去西藏是种什么行为，会遇到什么困难，会有哪些快乐和痛苦，没有做过的人无法想像。《西藏，一个人的浩浩荡荡》这本书，是告诉大家，有一群人喜欢用这种方式亲近西藏；新藏线全长2700公里，是世界上海拔最高的公路，途中翻越5000米以上大山5座，其中最高的红土达坂海拔高达5380米，是几条进藏路线中最危险的，特别是界山达坂和死人沟。在短短的3天时间里，从海拔900多米的新疆翻过5200多米的山口再停到4500多米的阿里，加上复杂多变的气候，已经超过了很多人身体正常承受的极限。相比川藏318，新藏线有新疆和阿里地区的雄阔与辽远，其景殊异，挑战更大，对骑友有致命的吸引。如何骑完这条最难的进藏路线，如何克服平均海拔4500下的高反，如何转神山……这是同类书籍所未涉及的内容，《西藏，一个人的浩浩荡荡》对之有详细描写。,12,769,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/505/911505/s_911505.jpg
美丽中国美丽新疆,2015-01-01 00:00:00,生活百科-旅游,《美丽新疆》，近三十年来关于新疆最权威、最详实、最通俗的地理科普读物。雪山、湖泊、高原、盆地、戈壁、沙漠，这里有万里荒烟，这里有如茵碧草，这里是古老的西域，这里是最美的新疆。气象学家惋惜地说：这里是西北干旱区；历史学家深情地说：这里是游牧民族的摇篮；考古学家激动地说：这里是三大文明的交会点；探险家惊喜地说：这里是对人体极限的考验……,27,698,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/606/567606/s_567606.jpg
