title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
游戏改变世界,2012-09-01 00:00:00,生活百科-游戏,"游戏化，可以重塑人类积极的未来。玩游戏，是21世纪携手工作、实现真正变革的方式。我们的未来，要靠懂得游戏的力量和潜能的人去创造。
数字游戏，有望发展成一门价值680亿美元的产业。世界所有玩家花在《魔兽世界》上的总时间超过593万年，相当于人类的演进时长；美国青年在21岁以前，玩游戏的平均时长超过10000小时，10000小时的练习足以让任何人成为专家；通过游戏，我们帮助他人改善生活，甚至解决能源危机，创造出任何符合我们想象的未来。
游戏，前所未有的占据和改变了我们的生活，那么，它将如何击中人类幸福的核心，提供现实世界中匮乏的奖励、挑战和宏伟的意义？《游戏改变世界》作者、TED大会新锐演讲者简·麦戈尼格尔为我们揭开真相，游戏可以弥补现实世界的不足和缺陷，如果我们肯真心尝试驾驭游戏的力量，那么，重塑人类积极的未来，让“现实变得更美好”，就不再只是一句空话，而是真的有可能发生。
在书中，作者用大量实践告诉我们，该如何驾驭游戏的力量，解决现实问题、塑造美好的未来。作者从“游戏，通往未来的线索”入手，逐步分析了“游戏化，互联时代的重要趋势”、“游戏化的4大目标”，进而详细讲述了“游戏化的运作机制”，探讨了“游戏化带给互联时代的现实价值”，并最终得出本书的核心理念：“游戏化，重塑人类积极的未来。”
在书中，作者告诫我们：如果人们继续忽视游戏，就会错失良机，失去未来。而如果我们可以借助游戏的力量，便可以让生活变得像游戏一样精彩，我们的未来将焕然一新！",7,639,0,12.49,https://wfqqreader-1252317822.image.myqcloud.com/cover/476/750476/s_750476.jpg
一生要会讲的幽默笑话,2008-12-01 00:00:00,生活百科-游戏,"    《一生要会讲的幽默笑话》精选了几百个幽默笑话，正是以童年、学生时期、职场、家庭等一生所要经历的阶段为顺序编排。同时还编选了一些经典的名人幽默故事、网络笑话等。篇幅不长，让你在最短的时间内开心一笑。阅读《一生要会讲的幽默笑话》你可以在欢笑中品读人生，在愉悦中释放生活的压力，如果能在笑过有所领悟，更是对编者的莫大鼓励！希望阅读《一生要会讲的幽默笑话》的每一位读者合上书时，嘴角依然挂着微笑，幽默成为你招牌！幽默是一种高情商的标志，恰当地幽上一默，可以活跃气氛，变枯燥为风趣，摆脱紧张和尴尬。甚至可以消除误会，化干戈为玉帛。幽默又是魅力的展示和张扬。
",30,628,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/177/741177/s_741177.jpg
每天一个脑筋急转弯：脑力冲刺（超值白金版）,2012-01-01 00:00:00,生活百科-游戏,本书精选了千余个脑筋急转弯题目，能让青少年突破固有的思维模式，同时提高应变能力，开发智力，从多角度分析问题，解决问题，是青少年成长必读书。,102,613,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/709/842709/s_842709.jpg
世界经典小笑话全集,2011-12-01 00:00:00,生活百科-游戏,"    “本书呈现给读者的这些幽默小笑话，是近年来读者最喜闻乐见的麻辣段子，内容经典。在紧张的生活和工作之余，随手翻阅几则，就可让自己开心一笑，什么忧愁烦恼都将抛诸脑后。”
",3,656,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/761/547761/s_547761.jpg
史上最强笑话王大全集,2011-07-01 00:00:00,生活百科-游戏,本书是一本综合现代网络、电视、影视作品、娱乐节目、个性签名、当红段子、搞笑作文、口误耳误等经典笑料的笑话大全集。想要看笑话，这一本就够了。,21,552,0,7.45,https://wfqqreader-1252317822.image.myqcloud.com/cover/993/827993/s_827993.jpg
脑筋急转弯大全（超值白金版）,2011-08-01 00:00:00,生活百科-游戏,本书精选了近四千道脑筋急转弯题目，为读者朋友们烹制精彩绝伦的幽默大餐，充分调动你的脑细胞活力，开启你的全方位思考模式，在益智的同时让你捧腹大笑，回味无穷。,4,678,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/619/842619/s_842619.jpg
笑死人不偿命的冷笑话,2015-01-01 00:00:00,生活百科-游戏,"    从浩如烟海的幽默故事中精选近千则精彩绝伦的小笑话，分为“职场雷人雷语”“零下18度的冷笑话”“奇葩在人间”“那些让人泪流满面的糗事”“越看越有爱的情感笑话”“让人笑翻天的校园笑话”“逗翻你的萌言萌语”“让你忍俊不禁的动物笑话”等几章，并配以精彩无限的四格漫画，让读者能在轻松的阅读中，体悟和领会其中的哲理与寓意，在莞尔一笑之余放松神经、消除疲惫，丰富学识，提升修养，增进智慧。
",212,535,0,3,https://wfqqreader-1252317822.image.myqcloud.com/cover/347/822347/s_822347.jpg
敏捷实践指南,2018-11-01 00:00:00,生活百科-游戏,本书是美国项目管理协会新发布的敏捷实践标准，它是理解、评估和使用敏捷和混合的敏捷方法的资源。该实践指南为何时、何地以及如何应用敏捷方法提供指导，并为希望增强敏捷性的实践者和组织提供实用工具。本指南是与PMI其他标准一致，包括项目管理知识体系指南（PMBOK指南第六版?），是PMI与敏捷联盟合作开发的成果，是PMI推出的敏捷认证教材之一。,12,592,0,47.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/464/25462464/s_25462464.jpg
神奇的逻辑思维游戏书,2018-10-01 00:00:00,生活百科-游戏,"这是一本帮助孩子提高程序设计能力的思维游戏书。现今“程序设计”作为应该掌握的技能，备受个年龄层的关注。要提高解决问题的能力，就需要锻炼逻辑思维能力，而程序教育的核心，就是“多方面看事物的能力”和“合乎逻辑的思维能力”。本书中虽不直接涉及程序编写,但在书中所选的数学问题、应用问题等理论性问题中，凝聚着锻炼思维能力的要素。本书中的实例涉及众多丰富多彩的问题，虽然不全是简单的问题，但也没有解答不了的问题。只要灵活运用各种思维方式，就会寻找到答案。通过解答这些习题，一定会有助于提高程序设计的能力。",12,882,0,22.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/612/29133612/s_29133612.jpg
脑筋急转弯,2018-02-01 00:00:00,生活百科-游戏,脑筋急转弯是一种老少皆宜的智力游戏，它以生动活泼、易识易记的形式，打破惯有的思维模式，发挥自己的超常思维，锻炼人的幽默风趣和机智灵敏，集娱乐启智于一体，从而培养幽默感，提高思维能力。本书内容贴近日常生活，文字简洁易读，内容雅致风趣、幽默诙谐，其中加入了诸多新鲜的时尚元素，为读者朋友“烹制”出一道精彩绝伦的幽默大餐，在益智的同时让你捧腹大笑，乐不可支，成为陶冶情操的开心辞典，启迪思维的智力魔方，培养能力的智慧锦囊。本书适合青少年及不同年龄段的成人阅读。,84,640,0,29.25,https://wfqqreader-1252317822.image.myqcloud.com/cover/367/26793367/s_26793367.jpg
