title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
世界咖啡学：变革、精品豆、烘焙技法与中国咖啡探秘,2016-11-01 00:00:00,生活百科-美食,《世界咖啡学:变革、精品豆、烘焙技法与中国咖啡探秘》由专业咖啡人韩怀宗推出，不但修订了台湾版中介绍的咖啡历史、产区、精品名豆等内容，还新增专门章节，介绍中国大陆咖啡产业的发展历程。在书中，作者详述咖啡发展的四波浪潮，并以大量实验数据揭秘世界著名咖啡师烘豆、冲煮技艺，人文与科学兼容并蓄，满足咖啡职人和咖啡迷对专业知识的渴求。,6,783,0,50,https://wfqqreader-1252317822.image.myqcloud.com/cover/846/853846/s_853846.jpg
学会吃饭,2019-07-01 00:00:00,生活百科-美食,想象一下，如果你可以不必经过挣扎、不必放弃最喜爱的食物、不必经历渴望与意志之间所产生的拉扯，享受美味的甜点却不必感到罪恶、不必担心一旦开始吃就停不下来，就能成功减重，这会有多自在？正念饮食法会引导你达成这个境界。正念指出，生命许多的挣扎及痛苦，源于过度执着于想要的事物，对于可能造成问题的事情却充满恐惧。本书通过一套实证有效的方法，帮读者通过书中的33个饮食训练，重新认识自己的身体，重新认识自己的情绪，重新认识自己的欲望，找回心灵的平静，剔除错误的进食模式，找到新的人生可能，以更健康的态度面对食物，放下挣扎，实现更自在的人生。,5,675,0,33.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/621/26867621/s_26867621.jpg
好的咖啡,2021-06-01 00:00:00,生活百科-美食,虽然读了很多关于咖啡的书，却烦恼着：不知道自己喜欢什么样的咖啡豆，因为泡法自成一派，所以不知道这个泡法是否合适，感觉不太好喝，该怎么调整才好呢？我的口味和大家的稍有不同，希望能更接近自己喜欢的口味本书总结了从择豆到萃取的各种综合知识，将井崎英典在世界各地培训时讲过的、马上就能使用的“冲泡方法”的实践技巧进行了挖掘式讲解。通过这本书，开始一场寻找自己喜欢的“全世界最好喝的咖啡”的旅程吧。,17,915,0,44.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/197/41949197/s_41949197.jpg
手工咖啡：咖啡爱好者的完美冲煮指南,2019-10-01 00:00:00,生活百科-美食,《手工咖啡》是一本全面而系统讲解咖啡冲煮的实用指南。本书从基础知识、冲煮器具、原产地、购买咖啡、品鉴风味及冲煮方法六个方面，系统讲解了关于咖啡的实用知识——如何精心选择一款适合自己的咖啡器具？如何品鉴出咖啡中酸、甜、苦、咸、鲜五种基本风味？发觉自己冲泡的咖啡太苦或太酸，是哪些关键因素出了问题？如何解读咖啡包装上的信息从而挑选出一包高品质的咖啡豆？《手工咖啡》为咖啡入门者和渴望进阶者提供了大量新鲜的实用知识，帮助读者真正品鉴精品咖啡的风味。无论你的预算多少、技术水平高低，都可以从这本书有所收获，从而自己动手在家制作出一杯美味的咖啡。,13,740,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/43/26720043/s_26720043.jpg
够味儿：80道经典家常菜烹饪详解,2014-07-01 00:00:00,生活百科-美食,本书是新浪美食博主罗生堂的烹饪处女作。他的博客在短短两年间从默默无闻到突破1000万点击量，源于他对做菜及摄影一丝不苟的态度和巨细无遗的无私分享精神。本书选取了80道备受好评的家常菜，在保留所有步骤图及对细节和原理的解说的基础上，按照从主菜（第二~四章，口味从浓到淡）到凉菜（第五章）再到主食（第六章）的顺序，对博客原有内容进行了整理和编排。此外，还特别添加了做菜的基础知识部分（第一章），包括油温及火候、肉类食材的处理方法及常用调料的简介。无论您是烹饪新手还是有一定烹饪经验的朋友，相信都能从中获益，真正体验一把烹饪的乐趣。,28,882,0,15.85,https://wfqqreader-1252317822.image.myqcloud.com/cover/901/30181901/s_30181901.jpg
寻味东西：扶霞美食随笔集（译文纪实）,2022-04-01 00:00:00,生活百科-美食,"英国著名美食作家扶霞·邓洛普最新美食指南，继《鱼翅与花椒》后重磅归来，跨越东西饮食版图，打破舌尖上的偏见。畅谈西方美食趣事，探秘知名菜品历史，讲述个人烹饪经历，打破中西餐饮偏见。《金融时报》《纽约时报》《美食杂志》《洛杉矶时报》等知名媒体联合推荐
如果你是一个热爱美食、热爱生活的人，那么扶霞的文字肯定是你的菜。如果你一日三餐味同嚼蜡，我觉得这本书不读也罢。——陈晓卿作序推荐
我希望自己的英文作品能够促使西方读者摈弃偏见，重新思考对中餐的态度；也希望它们被何雨珈翻译成中文后，能让中国读者以全新的视角，去审视自己对所谓“西餐”的成见。——扶霞
在这部美食随笔中，扶霞通过“吃东吃西”“奇菜异味”“心胃相通”以及“食之史”四大主题，用自己一贯的细腻与幽默笔触，生动描写了东西方饮食文化的各种差异和关于美食的精彩趣事。""",6,0,0,31.99,https://weread-1258476243.file.myqcloud.com/weread/cover/18/3300024118/s_3300024118.jpg
辅食每周吃什么,2018-01-01 00:00:00,生活百科-美食,微博上33万妈妈信赖的儿童营养师刘长伟，亲自制定适合中国宝宝的辅食添加方案。每周吃什么、怎么吃，看目录就知道。一本书，解决宝宝3岁前的所有饮食问题！本书是儿童营养师刘长伟倾力打造的作品之一，他用自己的专业和严谨，破解辅食添加过程中的所有难题，你不知道的辅食添加问题，在这里都能找到答案。215道辅食，隔着纸张都能闻到饭香。每一道辅食，作者都仔细说明营养价值和功效，让爸爸妈妈清楚知道这些辅食对宝宝的好处，做起来更有底气。简单有效的功能食谱和小毛病调理食谱，让宝宝补足营养，尽可能在不打针不吃药的情况下恢复健康。照着本书做，不管是新手妈妈还是爷爷奶奶、外公外婆，都能让辅食添加变得得心应手。,73,848,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/145/25858145/s_25858145.jpg
减肥不是挨饿，而是与食物合作,2017-08-01 00:00:00,生活百科-美食,颠覆体重，必须先颠覆认识。绝大多数人都认为肥胖是身体问题，是吃得太多的问题，是管不住自己嘴的问题，于是人们试图通过节食和挨饿来达到减肥的目的。殊不知，短暂的成功之后，接下来的则是体重的反弹和长期的绝望。这本书彻底颠覆了人们所有的减肥观念，它明确地告诉我们：很多时候，肥胖不是身体问题，而是心理问题；减肥不应该挨饿，而应该与食物合作。许多人之所以吃得太多，并不是为了满足身体的需要，而是为了满足心理的需要。当人们缺乏安全感的时候，他们会暴饮暴食；当人们感到生气和焦虑的时候，他们会用食物来安慰自己；当人们愉快和兴奋的时候，他们会忽视身体的信号。正是基于这样的认识，该书引爆了一系列颠覆性的方法，不仅让上千万人彻底告别肥胖，获得了好的身材，更重要的是，他们的心理也由此变得更加健康，生活和工作都获得了全面的提升。,36,760,0,16.15,https://wfqqreader-1252317822.image.myqcloud.com/cover/834/33800834/s_33800834.jpg
川菜,2020-12-01 00:00:00,生活百科-美食,一餐一饭，体会中华饮食神髓，一朝一夕，烹饪日常生活至味。英国美食作家扶霞，痴迷中国美食，千里迢迢来到四川，潜心研究川菜的起源、发展与烹饪技法。在《川菜》一书中，扶霞将20多年的经验汇集一册。诸多关于地域环境、历史文化和人文风貌的观察分析述诸笔端。全书涵盖200道经典川菜食谱、56种烹饪手法、23种独特调味。从锅碗瓢盆到配料香料；从大众熟知的鱼香肉丝、宫保鸡丁、夫妻肺片、水煮牛肉，到当地才能吃到的自贡小煎鸡、桥头一嫩、活水豆花、峨眉豆腐脑、蛋烘糕。在诸多滋味中，也尝到了活色生香的生活。走进扶霞眼中的川菜，让世界更了解中国，也让中国人站在世界的坐标里认识自己的文化，以及自己的一日三餐。,9,785,0,100.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/510/35425510/s_35425510.jpg
随园食单,2016-12-01 00:00:00,生活百科-美食,《随园食单》，将饮食上升为大雅学问，写吃货严苛的要求：一碗粥，必水米融洽，柔腻如一。曾在某观察家用餐，诸菜尚可，饭粥却粗粝，我勉强咽下，回去就生了一场大病！一盘菜，若用肉，不要超出8两，若用鸡、鱼，最多不过6两。有人会问：不够吃怎么办？答案是：吃完再炒。鲫鱼，要选扁身且带白色者，肉质鲜嫩松和，熟后一提，骨肉自然分离。圆身黑背的鲫鱼，肉质僵硬多刺，简直是鲫鱼中的“地痞鱼”。猪有43种做法，而甲鱼只有6种；鸡分5个部分可吃，而鹿最佳者，只在尾上一道浆。做一餐饭有14个注意事项，而且绝对不能涮火锅……《随园食单》，乾隆才子、诗坛盟主袁枚四十年美食实践的产物。蔬饭之间，是闲情，是雅趣。,5,772,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/897/852897/s_852897.jpg
