title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
苏东坡传（纪念典藏版）,2016-06-01 00:00:00,社会文化-文化,"新东方董老师推荐！纸书3天破10万！中国经典历史传记必读！
你后来再读苏轼，你其实读的不是一个天才的故事，里面有一些家长里短，有一些纸短情长，有一些那种温情的陪伴，又有一丝烟火的浪漫。
有的人幸运，可以很早遇见适合自己的，三观契合的，真正能够看见自己闪着光的人，因为没有人是完美的（Nobody is flawless），我们都在犯错（To err is human）
",11,786,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/820/841820/s_841820.jpg
半小时漫画《论语》,2021-09-30 00:00:00,社会文化-文化,担心《论语》看不下去？那是因为不知道，孔子原来这么爱吐槽！通过手绘漫画和爆笑段子，陈磊（笔名：混子哥）领衔的半小时漫画团队，一边向我们展示孔子和弟子们的花式卖萌和吐槽，一边串讲《论语》里的经典章句，让我们在哈哈大笑中学到《论语》里的人生哲理。为什么颜回一生贫困潦倒，没做过什么大事，却获得了孔子“不迁怒，不贰过”的赞赏，并成为孔子最喜欢的学生？我们耳熟能详的“知之为知之，不知为不知，是知也”，其实是孔子对子路学习态度不端的吐槽？宰我到底做了什么，逼得孔子爆出了“朽木不可雕也，粪土之墙不可圬也”这样的粗口？翻开本书，看孔子和弟子们卖萌吐槽，人生哲理全学到！,5,940,0,49.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/412/41101412/s_41101412.jpg
万古江河,2017-11-01 00:00:00,社会文化-文化,这本《万古江河》即心怀中国文化的著名史家许倬云先生交出的一份答卷，也是为今天中国人撰写的历史，为中国文化的成长发展作的一部传记。随着历史的进展，中国文化的内容与中国文化占有的空间不断发生变化：从考古发现所见的中国文化的发端，到“中原”的出现，中原变成了中国，“中原的中国”慢慢扩张变成“中国的中国”，然后超越中国之外，慢慢将四邻吸收进来，通过文化上的交往以及势力范围的扩大，变成了“东亚的中国”，然后在亚洲范围之内扮演一个重要的角色，是“亚洲的中国”，再经过百多年颠簸与蹒跚进入世界，成为“世界的中国”。在对这各个超越王朝、政权的长时段文化圈的叙述中，中国文化和生长在中国这片土地上的人才是真正的主角，所以许先生围绕国家体制与时代特色，思想、宗教与文化变迁，农业、手工业与经济网络，民族、文化的融合与互动，中国人的日常生活，生活方式与生活资源，民间社会与信仰世界，文化、科学技术的进步转变，对外关系及与他者文明的比较互动等一系列主题展开。在在讲述着中国文化和中国人多彩鲜活的成长故事。,11,849,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/563/26314563/s_26314563.jpg
菊与刀,2012-01-01 00:00:00,社会文化-文化,"读《菊与刀》，可以让你全面精确地了解日本和日本人一些奇怪的行为。为什么日本的明治维新会取得成功？日本人为什么要发动战争？他们是如何在战后迅速崛起的？日本人为何彬彬有礼而又倨傲蛮横？为何严谨恭顺而又放荡恣肆？为何顽固守旧而又勇于改革？他们为何既可以为天皇和国家剖腹又为何迅速停止抵抗成了美国的小弟？读《菊与刀》，还可以让你从另一个角度了解中国和我们自己。无论怎么说，日本文化曾深受中国文化的影响，日本人对于传统的感情和态度与同样处于新旧、东西、文化冲突的中国人有着相似的情绪，而日本人是如何对待他们的传统的？他们坚决捍卫的是什么？毫无顾忌地抛弃的又是什么？他们接受西方的是什么？
",10,715,0,4,https://wfqqreader-1252317822.image.myqcloud.com/cover/288/609288/s_609288.jpg
西藏，西藏！,2020-07-01 00:00:00,社会文化-文化,本书以作者20年的西藏游历为基础，在多年摄制、拍摄西藏纪录片的过程中，他和他的摄制组多次走遍了西藏74个县，拍摄了典型景观和人物口述实录，以及舞蹈、原生态音乐等。本书是讲述他走遍西藏7个地级行政区，在各个县、乡遇到的人和事，以及他记录这些拍摄过程中的事件。作者试图向这个世界解读西藏。作者将本书按照西藏的春、夏、秋、冬分为四个部分，每篇开端以坛城的制作过程作为穿插，用真诚的文字和极具视觉冲击力的摄影作品记录了西藏的全貌。,11,916,0,97.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/733/33514733/s_33514733.jpg
中国古代文化常识,2014-11-01 00:00:00,社会文化-文化,本书是王力教授主持并召集众多专家共同编写的关于中国古代文化常识的简明读本，出版50余年来前后历经4次重要修订，到今天仍然是大众认识中国古代文化面貌最重要、最全面的基础参考书。全书分礼俗、宗法、饮食、衣饰等十四个方面。本书曾在港台地区出版并被译成日、韩等语言流行于海内外。本次修订突破了以往的模式，特聘请在美国任教的汉学专家刘乐园（Lewis Eden），以中国考古学黄金时代的成果为出发点，通过近世考古发现与传统文献相结合的“古史新证”，从考古学和人类学的角度增补最新文化研究成果。修订的文稿和图片注释无一句空话，深入浅出，新意连连，水平之高为数十年来同类出版物中之翘楚。修订的内容中增加了一部分与文稿相配合的图片，某些关键文物的照片解析力之高也是惊人的。完成后的修订版文稿，具有很强的实用性和趣味性，修订委员会还专门为有兴趣的中学生阅读本书扫清了字词和基本概念上的障碍。,4,900,0,36,https://wfqqreader-1252317822.image.myqcloud.com/cover/890/23364890/s_23364890.jpg
人间杭州：我与一座城市的记忆,2021-12-01 00:00:00,社会文化-文化,"★一部尤为独特、充满人间感的佳作，超越对城市历史传记的一般想象
★诗文般的叙事+220余幅历代珍贵照片与画作，构成除文字之外的另外一条叙事线
★吴晓波年度新作，撩开他与“第二故乡”间的私人记忆

这座城市从来没有出过深刻的哲学家、苦难的诗人抑或悲剧性的小说家，在一千多年前，就有人用“浮诞”来形容它。它不够废墟化，没有悲壮的屠城史。“偏安”是它的宿命，也戏剧性地构成为城市的个性。

这里出忠臣不出猛将，出文士不出哲人，出商贾不出赌徒，出谈禅者不出苦行僧，甚至偶尔出了一个国王，也缺一颗逐鹿中原的雄心。

这是一座没有拒绝型人格的城市，它被美景包围，并一直沦陷于此。
我在这里居住了四十年，它塑造了我，也给予了我一次叙述的机会。

——吴晓波",9,899,0,41,https://wfqqreader-1252317822.image.myqcloud.com/cover/343/41743343/s_41743343.jpg
我在印度的701天,2018-03-01 00:00:00,社会文化-文化,一位四川高校的青年教师，被外派到位于印度古吉拉特邦的印度理工学院担任汉语教师，成为该大学的第一位中国教师。在印度的两年间，他面对面采访了富人老板、学界精英、贫民窟居民等三十余人，透过他们听到了各种各样的印度声音。此外，他游历了艾哈迈达巴德、甘地讷格尔、阿嫩德等24座印度城市，探索印度的文化、宗教、教育、科技等问题。作者曾在天涯上连载在印度的工作经历，引发二十万网友热议。,14,868,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/224/32443224/s_32443224.jpg
山海经（全译插图典藏版）,2019-01-01 00:00:00,社会文化-文化,《山海经》是一部充满神奇色彩的中国古代经典著作，既是人文、自然地理的知识宝库，又是中国神话寓言的集大成之作，深受古今众多名家如司马迁、陶渊明、鲁迅、贾平凹等的推崇。鲁迅在回忆童年的《阿长与山海经》一文中，把绘图的《山海经》称为“Zui为心爱的宝书”。知名青年作家小岩井译注版本，分为原文、注释、译文、插图四部分，精校原文，精简注释、逐句直译，通俗易懂，更适合年轻人阅读。全彩插图，插画师日月引在参考几百幅古版插画基础上全新绘制，画风传神，复原上古神奇异兽风貌全彩精美印刷，封面正背印制，背面为神兽狐凰海报，裸书脊线装，附赠神兽明信片，极佳阅读体验。,13,800,0,26,https://wfqqreader-1252317822.image.myqcloud.com/cover/460/24059460/s_24059460.jpg
重读20世纪中国小说,2021-09-01 00:00:00,社会文化-文化,读100年的小说，看100年的中国。百年来，1902—1916，总被忽略的“晚清时期”；1917—1941，总被说起的“五四时期”；1942—1976，总被留白的“革命时期”；1977孕育新声，总被争论的“80年代至今”……许子东的“20世纪小说课”，以编年体为顺序，以文本阅读为中心，“士农工商仕”中国社会各阶层分析，重新梳理20世纪中国小说的关键线索，聚焦近代、现代、当代文学史上近百部（篇）中短长篇小说。从1902年梁启超《新中国未来记》“神预言”开始，一直到2006年刘慈欣的科幻小说《三体》为止，奇遇中国100年。,26,935,0,133.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/746/41147746/s_41147746.jpg
