title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
圆圈正义：作为自由前提的信念,2019-08-07 00:00:00,社会文化-法律,《圆圈正义》一书共收录作者的49篇随笔文章，分为“圆圈正义”“何谓榜样”“道德谴责的打开方式”“身负权力各自珍重”“法律人的理智和多数人的情感”“生命的尊严”“心怀永恒活在当下”七大部分，作者在本书中运用特有的坦诚、自省而尖锐的笔调，探讨了法律、正义、道德、权力的理念与现实、分析了如张扣扣案、莫某纵火案等社会热点案件、分享了自身求学经验和对人生的思考。本书不仅启蒙读者法律意识和法治观念，更在于帮助读者理解法律背后更深层次的价值基础。,15,925,0,22.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/732/40457732/s_40457732.jpg
法治的细节,2021-11-01 00:00:00,社会文化-法律,"《法治的细节》是中国政法大学法学教授罗翔全新的法学随笔，面向大众读者，从热点案件解读、法学理念科普、经典名著讲解等6大板块，普及法律常识与法治观念。内容包括辛普森案、电车难题、性同意制度等法律基本常识，或N号房、张玉环案等时事热点的案件，多维度培育法律思维，助力法治社会的构建，点亮每个人心中的法治之光。
此外，本书还收录了罗翔在爆红后的心路历程，分享其求学成长经历，袒露其心境的变化与成熟，与读者一起通过阅读与思辨，走出生活中的迷茫时刻，在现实中共同完善法治的细节。",6,944,0,42,https://weread-1258476243.file.myqcloud.com/weread/cover/40/3300012940/s_3300012940.jpg
中华人民共和国民法典,2020-05-01 00:00:00,社会文化-法律,为加强法制宣传，迅速普及法律知识，服务于我国民主法制建设，多年来，中国民主法制出版社根据全国人大常委会每年定期审议通过、修订的法律，全品种、大规模的出版了全国人民代表大会常务委员会公报版的系列法律单行本。该套法律单行本经过最高立法机关即全国人民代表大会常务委员会的权威审定，法条内容准确无误，文本格式规范合理，多年来受到了社会各界广泛关注与好评。《中华人民共和国民法典》被称为&quot;社会生活百科全书&quot;，是民事权利的宣言书和保障书，如果说宪法重在限制公权力，那么民法典就重在保护私权利，几乎所有的民事活动大到合同签订、公司设立，小到缴纳物业费、离婚，都能在民法典中找到依据。民法典共7编，依次为总则编、物权编、合同编、人格权编、婚姻家庭编、继承编、侵权责任编，以及附则，共1260条。,12,935,0,13.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/313/32444313/s_32444313.jpg
刑法学讲义（法律男神罗翔的刑法普及课）,2020-07-01 00:00:00,社会文化-法律,全网爆红的“法律男神”罗翔教授为每一位普通读者写的刑法普及讲义。刑法与每个人的生活都密不可分，家庭、校园、职场、人际关系、经济活动处处都有违法犯罪行为，相应地，每个人都需要学习刑法。罗翔让本来枯燥专业的刑法课变得“津津有味”，读者直呼上头，“根本停不下来”。刑法常识结合法理精神，兼具法律与人文的力量。本书为读者提供了相对完整的刑法学习体系，涵盖刑法演变、犯罪论、刑罚论，以及具体罪名的定罪量刑。全书通过分析真实刑法案件、张三的犯罪行为，激发读者用独立、睿智的法学思维去看待生活，提高法律感知能力。最后，每一位读者都能带着法学思维回归到工作、生活中去。,35,925,0,58,https://wfqqreader-1252317822.image.myqcloud.com/cover/295/32746295/s_32746295.jpg
罗翔说刑法系列（全3册）,2021-01-01 00:00:00,社会文化-法律,全网爆红的“法律男神”罗翔教授为每一位普通读者写的刑法普及讲义。刑法与每个人的生活都密不可分，家庭、校园、职场、人际关系、经济活动处处都有违法犯罪行为，相应地，每个人都需要学习刑法。,28,909,0,139,https://wfqqreader-1252317822.image.myqcloud.com/cover/107/35458107/s_35458107.jpg
你不可不知的法律常识,2017-05-01 00:00:00,社会文化-法律,酒后出事，同席者承担多大责任？样品误当新品卖，是否构成消费欺诈？车借给朋友出了事故，责任由谁承担？是不是所有的合同都可以采用电子签名？“小三”有权分得遗产吗？夫妻购买的小产权房，离婚时如何分割？父债子还，天经地义吗？借款人跑了，如何讨债？如何约定民间借贷的利息才合法？购买学区房，卖房人不迁走户口怎么办？老赖的住房不会被执行吗？这些问题都是生活中大家非常关注的，也是常常厘不清的。《你不可不知的法律常识》从生活与消费，夫与妻关系、父母与子女、资产与理财、企业经营与管理、诉讼与仲裁、犯罪与刑罚这7个方面入手，选取了与日常生活密切相关的100个问题，用非常接地气的语言，生动而严谨地进行点对点的讲解，非常适合大家查阅式阅读。,33,720,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/643/859643/s_859643.jpg
中华人民共和国劳动法·中华人民共和国劳动合同法,2019-01-01 00:00:00,社会文化-法律,单行法规二合一。收录中华人民共和国劳动合同法及最新修正的中华人民共和国劳动法，并附相关司法解释。法律出版社法规中心是法律出版社旗下的专业法规编纂机构。法规中心以国家法律、法规、司法解释等规范性文件为主要内容，分析研究立法主旨和读者需求，策划编纂适合办案实务、教学研究和一般大众实际需要的各类法律用书。,8,939,0,3.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/334/32324334/s_32324334.jpg
尸检报告：一个殡葬师的手记,2019-08-01 00:00:00,社会文化-法律,卡拉·瓦伦丁为死者工作。在成为世界上“超恐怖”的巴斯病理学博物馆（就是BBC剧集《神探夏洛克》里福尔摩斯做实验和跳楼的那座博物馆）的馆长之前，她做了多年的尸检工作，完成了大约5000次尸检。在这本书中，她以尸检过程为叙事主线，分享了她的专业知识。从尸体的第一个切口开始，我们将跟随作者，着手进行尸体的外部检查，随后依次进入尸体内部，解剖单独的器官，直至最后的尸体缝合。在每一个阶段，我们都会随着作者的笔触，了解尸检的过程和知识，了解人类生与死之间的历史和不断变化的文化关系，了解生命究竟是什么。她对我们的身体最终会发生什么，有生动的洞察。书中的每一章除详细描绘尸检的其中一个环节，也描述了作者生活和工作的细节，纠正了我们从综艺节目、剧集上看到的关于尸检的错误认知。她的文字触及了我们对死亡的感受中一些更具争议的方面，比如性和死亡的关系，比如我们对人体组织收集、器官捐赠等的态度。,5,759,0,34.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/935/26242935/s_26242935.jpg
民法典与百姓生活100问,2021-01-01 00:00:00,社会文化-法律,2020年5月28日，第十三届全国人大三次会议以98.5%的高票表决通过《中华人民共和国民法典》，这是新中国成立以来第一部以“法典”命名的法律，其意义注定非凡。《中华人民共和国民法典》即将在2021年1月1日起施行。在此背景下，《民法典与百姓生活100问》一书的推出，展示了《民法典》是如何作为社会生活百科全书，为人民群众实现美好生活保驾护航。书稿依据《民法典》的篇章体例分为七篇，分别是总则编14问、物权编18问、合同编20问、人格权编10问、婚姻家庭编10问、继承编12问、侵权责任编16问，总共100问，共计9万余字。写作风格方面，书稿以案例故事加图文解说的趣味方式将《民法典》送到人民群众的身边，走进人民群众的心里。,33,930,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/125/36941125/s_36941125.jpg
是非与曲直：个案中的法理,2019-08-01 00:00:00,社会文化-法律,该书以“药家鑫案”“许霆案”“黄碟案”等曾引发社会广泛争议的案例为研究“标本”，以法学家的理性、敏锐和洞察力，从那些被人们、甚至法律人有意遗忘、主动省略或懒得验证的但却至关重要的情节和事实入手，提出了与众不同的思考和结论，极具启发意义。作者认为，中国法理研究应当坚持的进路是：摆事实、讲道理（法理）、断是非。三者的顺序也不能乱。只有针对普通人确实能经验感知的事实，才能展开可分享的说理，虽然由于对相关因素的评价不同，甚至因为自我利益的驱动，各自得出的判断并不一致。这正是本书的追求。这是一种更生动也更开放的案例分析。虽然这些案件都已尘埃落定，但它们留给人们的思考空间仍然很大，作者提出的问题以及有关的讨论本身，仍有意思，仍值得我们深思。,23,839,0,54.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/576/26833576/s_26833576.jpg
