title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
乡土中国,2012-10-01 00:00:00,社会文化-社科,费孝通最知名的社会学著作之一，多年来深受学界和普通读者的一致推崇！如果说《江村经济》侧重讨论社会制度变革，那么《乡土中国》则在探讨与之相匹配的社会道德。这是费孝通对中国进行社会结构分析的尝试，他试图在理论上总结并开导实地研究，以构建中国社会特有的乡土伦理体系。沿着作者的思路，可以一窥中国的基层社会。虽然时移世易，但作者透视社会的眼光、观察社会的方法，在今天仍值得借鉴。,7,848,0,10.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/366/651366/s_651366.jpg
厌女：日本的女性嫌恶,2019-06-01 00:00:00,社会文化-社科,《厌女》不是一部纯理论性著作，而是运用女性主义理论针对日本当代的各种社会现象的实践性分析。《厌女》处理了广泛的日本题材，其中既有文学性的，比如谈到小说家吉行淳之介、永井荷风、林真理子等，更多的则是社会性的。上野千鹤子谈到的许多现象，尤其是家庭的、婚姻的，在中国也有很类似的情况。知性的读者会从这些论述中获得强烈共鸣并得到理论上的指引。,11,889,0,38,https://weread-1258476243.file.myqcloud.com/weread/cover/74/3300017874/s_3300017874.jpg
娱乐至死,2015-05-01 00:00:00,社会文化-社科,"    《娱乐至死》初版于1985年，是尼尔·波兹曼的代表作之一。《娱乐至死》想告诉大家可能成为现实的，是赫胥黎的预言，不是奥威尔的预言；毁掉我们的，不是我们憎恨的东西，恰恰是我们热爱的东西！电视时代蒸蒸日上，电视改变了公众话语的内容和意义，政治、宗教、教育、体育、商业和任何其他公共领域的内容，都日渐以娱乐的方式出现，并成为一种文化精神，而人类无声无息地成为娱乐的附庸，毫无怨言，甚至心甘情愿，其结果是我们成了一个娱乐至死的物种。
",6,751,0,22.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/833/855833/s_855833.jpg
枪炮、病菌与钢铁,2022-01-01 00:00:00,社会文化-社科,文明的先发与落后，社会的发展与倒退等问题，一直是人类关注的大议题。就此，西方社会普遍认为西方国家先进的技术、完善的社会阶层、百花齐放的文化成果，共同造就了西方文明优于其他，并决定了西方统治世界的地位，甚至认为究其根本是西方种族的优越性决定的。《枪炮、病菌与钢铁》告诉我们，答案并非如此。环境因素才是决定历史的车轮向西方倾斜倾，文明的进步的确助推了文化、技术和组织的先发，但同时也导致了细菌的侵袭和船坚利炮对文明的致命摧毁，也就是说，种族决定论和西方文明优势论都无法解释为什么西方国家可以统治世界百年之久。是环境与资源的优渥滋养了西方文明的发展。此外，戴蒙德从生物学、地理学、历史学、社会学、人类学等跨学科视角颠覆了很多人们习以为常的社会发展疑问，为我们理解人类历史提供了崭新的视角。从深耕专业领域的科学家，到关注人类社会与命运的思想者，戴蒙德从科学、历史、社会的交叉点探究地理、人类与未来，他在某种程度上代表了西方公共知识分子传统的转向——从专业性转向思想性，他依仗多学科的视角和丰富的游历经验，追思人类历史的发展路径，从中寻找经验与教训，试图为人类社会未来的发展提供建议。,6,891,0,62.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/48/42766048/s_42766048.jpg
最好的告别：关于衰老与死亡，你必须知道的常识,2015-08-01 00:00:00,社会文化-社科,当独立、自助的生活不能再维持时，我们该怎么办？在生命临近终点的时刻，我们该和医生谈些什么？应该如何优雅地跨越生命的终点？对于这些问题，大多数人缺少清晰的观念，而只是把命运交由医学、技术和陌生人来掌控。影响世界的医生阿图·葛文德结合其多年的外科医生经验与流畅的文笔，讲述了一个个伤感而发人深省的故事，对在21世纪变老意味着什么进行了清醒、深入的探索。本书富有洞见、感人至深，并为我们提供了实用的路线图，告诉我们为了使生命最后的岁月有意义，我们可以做什么、应该做什么。 作者选择了常人往往不愿面对的话题——衰老与死亡，梳理了美国社会养老的方方面面和发展历程，以及医学界对末期病人的不当处置。书中不只讲述了死亡和医药的局限，也揭示了如何自主、快乐、拥有尊严地活到生命的终点。书中对“善终服务”“辅助生活”“生前预嘱”等一系列作者推崇的理念，都穿插在故事中作出了详尽的说明，相信会给老龄化日益加剧的中国社会以启迪。 众多专家、媒体推荐。创新工场CEO李开复：作为一名医生，阿图·葛文德关注的是医疗的局限以及人的尊严。作为凡人，我们都将面对人生的终点，《最好的告别》给我们重要的启示。《新知》杂志主编苗炜：希望大家有机会能看看阿图·葛文德医生的著作，他能帮助我们更好地理解医学，知道医学的局限和可能。畅销书作家马尔科姆·格拉德威尔：这是阿图·葛文德最有力，也最感人的一本书。《自然》杂志：难得读到这样一本发人深省的书。,8,861,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/126/695126/s_695126.jpg
小镇喧嚣：一个乡镇政治运作的演绎与阐释,2018-02-01 00:00:00,社会文化-社科,释尽乡镇日常政治种种人事与结构交织碰撞的众声嘈杂,12,947,0,54.4,https://weread-1258476243.file.myqcloud.com/weread/cover/41/3300019741/s_3300019741.jpg
从零开始的女性主义,2021-09-01 00:00:00,社会文化-社科,女性主义是什么？为什么我们需要女性主义？如何用女性主义进行思考？围绕上述种种问题，日本著名学者上野千鹤子与知名漫画家田房永子，开始了一场从零开始的女性主义课堂。她们用幽默的语言、传神的漫画，回溯女性主义的发展历程，畅谈母女关系、性、工作、婚恋、育儿等日常生活中的议题，驳斥关于女性的刻板偏见。这堂课不仅开启了一趟全新的旅程，更告诉我们：女性主义，不仅仅关乎女性，更关乎每个人的日常生活。,8,904,0,29.99,https://rescdn.qqmail.com/weread/cover/399/3300004399/s_3300004399.jpg
自私的基因（40周年增订版）,2018-11-01 00:00:00,社会文化-社科,《自私的基因》以充满想象力的叙述回答了这些重要命题。道金斯在本书中提出大胆创见：我们生来是自私的，任何生物，包括我们自己，都只是求生的机器。这本书是实实在在的认知科学，复制、变异和淘汰这简单的三种机制可以演变出大千世界所有生命现象的林林总总。 《自私的基因》更为我们提供了一种新的世界观。道金斯在书中将进化论从基因层面升华至文化层面，创造了“觅母”（meme，即文化基因）这一新型的复制因子名词，特指人类社会发展中的文化进化，并提出：在这个世界上，只有我们，我们人类，能够反抗自私的复制因子的暴政。 《自私的基因》出版之后，在社会各界引发了重大争议。本书为40周年增订版，在30周年版的基础上，新增道金斯对于这些争议的回应，共计6万余字，主要探讨了人们在基因决定论、基因选择论，以及基因适应性上存在的普遍误解，进而从基因的视角正确理解生命及其意义，更加完善了道金斯对于“自私的基因”的经典论述，形成这本特别的“延伸的”40周年增订版《自私的基因》。,10,770,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/518/23665518/s_23665518.jpg
把自己作为方法,2020-07-01 00:00:00,社会文化-社科,两代北大学人，跨越北京、牛津、温州、杭州、上海五地，历时三年完成了这场谈话。从项飙教授的个人经验切入，追索一系列超越自我的问题，其中涉及对中国社会半个世纪以来的变化、知识共同体、全球化与民粹主义、人类学方法论等题目的思考。这本书提供了一份对话实录，也给出了一种审视问题、思维操练的方法——在自我泛滥的潮流中，如何给自己定位，在全球化的年代，如何创造性地建设身边的小世界，在思想受困的社会，如何回答宏大的命题。,8,879,0,33.6,https://rescdn.qqmail.com/weread/cover/962/3300003962/s_3300003962.jpg
未来简史：从智人到智神,2017-01-10 00:00:00,社会文化-社科,进入21世纪后，曾经长期威胁人类生存、发展的饥荒和战争基本被攻克，智人面临着新的待办议题：永生不老、幸福快乐和成为具有“神性”的人类。在解决这些新问题的过程中，科学技术的发展将颠覆我们很多当下认为无需佐证的“常识”，比如人文主义所推崇的自由意志将面临严峻挑战，机器将会代替人类做出更明智的选择。 更重要的，当以大数据、人工智能为代表的科学技术发展的日益成熟，人类将面临着从进化到智人以来*的一次改变，绝大部分人将沦为“无价值的群体”，只有少部分人能进化成特质发生改变的“神人”。 未来，人类将面临着三大问题：生物本身就是算法，生命是不断处理数据的过程；意识与智能的分离；拥有大数据积累的外部环境将比我们自己更了解自己。如何看待这三大问题，以及如何采取应对措施，将直接影响着人类未来的发展。,3,832,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/290/852290/s_852290.jpg
