title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
贪婪的多巴胺,2021-09-01 00:00:00,科学技术-自然科学,为什么曾经浪漫的感情也会变淡？为什么成功人士通常不会觉得自己很成功？为什么几乎所有的节食计划后来功亏一篑？为什么聪明的人也经常会做出糟糕透顶的决定？这取决于大脑中的一种单分子结构——多巴胺。这种化学物质控制着你的欲望、想象、冲动、创造力，出乎意料地影响着我们生活的方方面面。我们的身体受到“向上”和“向下”两类物质的控制。“向下”指的是控制当下的神经递质，它们决定了我们当前的感受；“向上”则是指多巴胺，它们决定了我们的长远规划、愿景、未来期望。正因如此，多巴胺并不像很多人以为的，是一种快乐分子。它其实是一种欲望分子，在我们已经获得很多的同时，让我们有更高的期许、更大的目标。多巴胺让我们把眼光放得更长远，追求更高的目标，但也同时让人欲望无止境、不知道满足。它既能让你体会成功的喜悦，也让成功变得平淡无奇；它让你投入一段感情，但也能让当初的深情被岁月磨平；它能让你获得超高的智商，但也让你与疯狂一步之遥……了解这种物质是如何影响我们的情绪、决策和生活的，能够帮助我们充分发挥大脑的潜在功能，提高办事效率，在工作和生活中获得更好的表现。,5,807,0,41.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/9/41626009/s_41626009.jpg
微积分的力量,2021-01-01 00:00:00,科学技术-自然科学,微积分是人类历史上的伟大思想成就之一，也是数学领域不可或缺的一个重要分支。除此之外，我们更应该关注的事实是：如果没有微积分，人类就不可能发明电视、微波炉、移动电话、GPS、激光视力矫正手术、孕妇超声检查，也不可能发现冥王星、破解人类基因组、治疗艾滋病，以及弄明白如何把5000首歌曲装进口袋里。在《微积分的力量》书中，应用数学家兼“导游”斯托加茨将用一种“讲故事”和“看展览”的方式为你一一揭晓答案。“我们不必为了理解微积分的重要性而学习如何做运算，就像我们不必为了享用美食而学习如何做佳肴一样。我将借助图片、隐喻和趣闻逸事等，尝试解释你们需要了解的关于微积分的知识。我也会给你们介绍有史以来颇为精致的一些方程和证明，就像我们在参观画展的时候不会错过其中的代表作一样。”在高中和大学时期，尽管我们中的许多人都对这门课程退避三舍，但斯托加茨用一种新颖独特和接地气儿的方式给我们讲述了微积分的历史。,36,917,0,48.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/21/36968021/s_36968021.jpg
上帝掷骰子吗？：量子物理史话（升级版）,2019-06-01 00:00:00,科学技术-自然科学,本书回顾量子论从无到有发展的风云录，从18世纪开始，直到21世纪，一批科学巨人开始颠覆传统物理学大厦，为了宇宙的终极理论而战，大大改变了人类发展的历史。你会知道：1.用武侠小说般的语言，清晰勾勒量子物理发展风云录。2.量子究竟是什么，为什么说量子论是上帝在掷骰子？3.对双缝干涉实验、薛定谔的猫、量子纠缠、多重宇宙等硬核知识的生动解读。4.量子物理如何影响世界，量子计算机、量子通信……量子物理未来将有哪些应用。5.牛顿、普朗克、爱因斯坦、玻尔、海森堡、霍金……科学版的《人类群星闪耀时》，兼具科普、哲学、文学、传奇、探险故事、名人传记等多项功能。,25,898,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/39/25622039/s_25622039.jpg
这里是中国,2019-09-01 00:00:00,科学技术-自然科学,这本书集结星球研究所近3年来中国主题文章的精华，按照中国地势三级阶梯顺序，呈现出荒原到人间的变化，全书收录300余张精致摄影作品，涵盖诗词、动植物、人文等丰富内容，以广阔的地理视角和宏大的时间尺度，重新解读中国故事。以18个关于中国的独特话题，365张具有地域代表性的高清摄影作品，串联起中国的地理科普和人文故事。了解中国在时间长河中的起源和变迁、生命和文明的孕育及成长。,10,852,0,100.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/163/26454163/s_26454163.jpg
天真的人类学家,2011-07-01 00:00:00,科学技术-自然科学,本书诚实但又不失风趣地记录了作为人类学家的作者在非洲喀麦隆多瓦悠人村落两次进行田野工作的经历，将人类学家如何克服乏味、灾难、生病与敌意的真实田野生活拍案叫绝地呈现在读者面前。不同于一般的人类学研究报告，这是一部令人捧腹不止的人类学笔记，透过幽默的笔调，读者看到了人类学者如何与研究对象进行互动，在互动中如何调整他的学术成见，以及田野工作上的琐事如何影响后来研究结果、研究的盲点与反思。因此不管是严肃的读者、无聊地只想打发时间或者是向往非洲原始部落的异国情调而蠢蠢欲动的旅人，巴利这本书是一个有趣的选择。,8,925,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/84/35281084/s_35281084.jpg
普林斯顿微积分读本（修订版）,2016-10-24 00:00:00,科学技术-自然科学,本书阐述了求解微积分的技巧，详细讲解了微积分基础、极限、连续、微分、导数的应用、积分、无穷级数、泰勒级数与幂级数等内容，旨在教会读者如何思考问题从而找到解题所需的知识点，着重训练大家自己解答问题的能力。本书适用于大学低年级学生、高中高年级学生、想学习微积分的数学爱好者以及广大数 学教师。本书既可作为教材、习题集，也可作为学习指南，同时还有利于教师备课。,14,911,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/919/26211919/s_26211919.jpg
生命密码（套装共2册）,2020-05-01 00:00:00,科学技术-自然科学,生命如此美妙，我们却知之甚少。芸芸众生蕴藏哪些造化之妙？基因组学、生命科学为何包含如此魅力？它有趣、有用，又有科学严谨的态度，用人人都看得懂的语言，轻松地解答那些古怪而让人忧心的问题，让基因不再是高深莫测的知识，让生命科学真的流行起来。这里有十万个为什么，可又不只十万个回答，用有理、有据的科学知识，纠正我们原本以为正确的常识。将人人都关心的基因科学知识娓娓道来，新冠病毒、基因编辑、免疫疗法、表观遗体、备份生命，梦想照进现实，打通阻隔科学与大众之间那道厚厚的墙，让人人了解生命科学的同时，更成为科普事业的一分子。适合全家人一起阅读的生命科普著作，亿万点击量音频节目“天方烨谈”精华总结。如果说生命不过是一套复杂的代码，那么相信人类的代码中有爱。愿你在生命科学的世界里，发现新的乐趣和方向。,17,887,0,81.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/267/31296267/s_31296267.jpg
高等数学（上册）,2016-08-01 00:00:00,科学技术-自然科学,本书是按照教育部大学数学教学指导委员会的基本要求，充分吸取当前高等数学教材的精华，并 结合数年来的教学实践经验，针对当前学生的知识结构和习惯特点而编写的。全书分为上、下两册。本书 为上册，是一元函数微积分部分，共四章，主要内容包括函数极限与连续，一元函数微分学及其应用，一 元函数积分学及其应用，微分方程。每节前面配有课前导读，核心知识点配备微课，每章后面附有章节测 试和拓展阅读。 本书注重知识点的引入方法，使之符合认知规律，更易于读者接受。同时，本书精炼了主要内容，适当 降低了学习难度，对部分内容调整了顺序，使结构更加简洁，思路更加清晰。本书还注重知识的连贯性，例 题的多样性和习题的丰富性、层次性，使读者在学习数学知识点的同时拓宽了视野，欣赏数学之美。 本书可作为高等院校理工科类各专业的教材，也可作为社会从业人员的自学参考用书。,7,839,0,24.7,https://wfqqreader-1252317822.image.myqcloud.com/cover/427/32164427/s_32164427.jpg
植物的战斗,2022-01-01 00:00:00,科学技术-自然科学,所有的动物都不能离开植物存活，植物没有大脑，却有超级智能，它们放弃移动，却能反击同类、诱捕动物、与人类相爱相杀，是地表超强生物！本书梳理29类植物的6大生存法则，从进击的勇士地衣将生命带到陆地开始；到伪装大师兰花的欺骗套路；驯服高手辣椒、咖啡、小麦等改变自己也改变了世界；有毒植物的目的是传播种子；信息间谍菟丝子；百变魔法师薄荷颠覆人类对冷热的理解。看植物从一粒种子活成一支部队，探索植物生存的根基，揭秘植物机体的奥秘，读懂植物38亿年的生存史，就在认识世界的道路上又前进了一小步。,6,959,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/703/43168703/s_43168703.jpg
模型思维,2019-11-28 00:00:00,科学技术-自然科学,工作中，你在团队中是不是不可替代的人？爱情上，为什么异地恋的相聚能够带来很大的幸福感？游戏中，选择什么样的策略才能在各种游戏中立于不败之地？现实社会中，为什么很少有女性成为CEO？为什么披头士的歌曲会那么流行？……关于这些问题的正确答案，都可以用斯科特·佩奇新书《模型思维》中的模型来回答。斯科特·佩奇是风靡全球的“模型思维课”主讲人，有超过100万各行各业的人反复学习并从中受益。本书讲解了24种模型，从线性回归到随机漫步，从博弈论到合作，涵盖学习、工作、生活等方方面面——这些有趣的模型可以把任何人变成天才。这是一个数据爆炸的时代，数据充斥着我们的工作与生活，但仅拥有数据是远远不够的，必须学会让数据说话。模型就是让数据说话的秘诀，模型将帮助我们所有人从掌握信息提升到拥有智慧。本书中的24种模型就是一个应对复杂世界的思维工具箱。各行各业、各种需求的所有人都可以根据此书建立专属于自己的思维工具箱，成为一个多模型思考者。,10,732,0,40.47,https://wfqqreader-1252317822.image.myqcloud.com/cover/425/27278425/s_27278425.jpg
