title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
柳林风声,2017-08-01 00:00:00,童书-儿童文学,《柳林风声》是一部以动物为主角的英国经典童话。肯尼斯·格雷厄姆通过典雅的文笔、细致的描写，塑造了性格迥异的四个角色：鼹鼠、水鼠、蛤蟆、老獾，鼹鼠善良温柔，水鼠热情好客，蛤蟆冒失勇敢，老獾沉稳睿智，每个动物的性格大相径庭，但毫不妨碍他们建立起坚实的友谊。柳林间的轻声细语，大河上的微微呢喃，公路上的横冲直撞，府邸里的热血拼杀，四个朋友同甘苦共患难，在经历了几度欢笑与波折后，每个角色都获得了成长，最终迎来圆满的大结局。,6,897,0,16,https://wfqqreader-1252317822.image.myqcloud.com/cover/535/917535/s_917535.jpg
格林童话（全集）,2018-05-01 00:00:00,童书-儿童文学,《格林童话》自1812年问世以来，在两百多年的时间里，已被译成世界上一百四十余种文字，其中《青蛙国王或铁胸亨利》、《灰姑娘》、《白雪公主》、《不莱梅的乐师们》、《荆棘玫瑰》等都是脍炙人口、家喻户晓的名篇，许多还被改编成各种戏剧、歌剧和芭蕾剧搬上舞台，拍成电影和电视剧，可以说，《格林童话》以一种特有的文学风格传遍了世界的每个角落；它的影响超越了国界，也超越了时代。,21,804,0,68,https://wfqqreader-1252317822.image.myqcloud.com/cover/204/22860204/s_22860204.jpg
天蓝色的彼岸,2019-03-01 00:00:00,童书-儿童文学,"“如果有一天我死了，你会后悔的。”

    这是小哈里被卡车撞倒之前对姐姐说过的话。然而现在，他真的死了。

    小哈里并不知道自己要死多长时间。他多希望没有对姐姐说过那句话，多希望能对她说抱歉，和每一个人再见：妈妈、爸爸、要好的朋友皮特……甚至是他喜欢的女同学奥利维娅。

    现在，他正处在另一个世界。他不知道该如何把自己的心声告诉给人间的人们，直到遇到150岁的阿瑟，他带着小哈里偷偷溜回了人间。小哈里真的能和姐姐说“对不起”，和每个人说再见吗……",4,906,0,18,https://rescdn.qqmail.com/weread/cover/457/3300003457/s_3300003457.jpg
窗边的小豆豆,2018-05-01 00:00:00,童书-儿童文学,"
★影响20世纪的儿童文学杰作，入选九年制义务教育小学语文课本

★中文简体版已突破1100万册，连续10年名列开卷全国畅销书排行榜，2017年位居少儿类榜单首位

★孙云晓、曹文轩、梅子涵、伍美珍、张弘等教育专家联袂推荐

★新华社、《人民日报》、《中国教育报》、中央电视台深度报道；《新京报》、当当网、新浪网年度图书

★联合国儿童基金会主 席James P.Grant说：再也没有比她更了解孩子的了。

★新版隆重上市，更温柔纯真，美观大方，适合亲子共读
",6,873,0,23.7,https://weread-1258476243.file.myqcloud.com/weread/cover/35/27211035/s_27211035.jpg
动物小说大王沈石溪·品藏书系（新版全套28册）,2017-06-30 00:00:00,童书-儿童文学,《动物小说大王沈石溪·品藏书系》是经典动物小说，闯入精彩动物世界。超级畅销书系传奇再续、动物小说大王王者归来。动物小说这个题材最容易刺破人类文化的外壳和文明社会种种虚伪的表象，可以毫无遮掩地直接表现丑陋与美丽融于一体的原生态的生命。人类文化和社会文明会随着时代的变迁而不断更新，但生命中残酷竞争、顽强生存和追求辉煌的精神内核是永远不变的。因此，动物小说更有理由赢得读者，也更有理由追求不朽。,60,902,0,125,https://wfqqreader-1252317822.image.myqcloud.com/cover/828/933828/s_933828.jpg
花猫三丫上房了,2019-10-25 00:00:00,童书-儿童文学,《花猫上房》是叶广芩老师继《耗子大爷起晚了》之后的又一儿童文学作品。故事主要讲述耗子丫丫跟随爸爸离开颐和园之后回到家里，开始了自己的小学生活。上了小学的耗子丫丫并没有因为入了学堂而变得乖巧起来，而是将她的古灵精怪进行到底。她在胡同的院子里，带着小妹妹唱戏，追着花猫在屋顶上乱窜，本书将带领读者，通过小女孩耗子丫丫的眼睛，领略到老北京胡同里的生活。,3,956,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/990/27562990/s_27562990.jpg
爱的教育,2014-02-01 00:00:00,童书-儿童文学,《爱的教育》是意大利人必读的十本小说之一，也是世界文学史上经久不衰的文学名著。全书以一个小学四年级学生的眼光，从10月开学第一天写起，一直写到第二年7月学年结束，共写了100篇日记。,5,839,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/745/148745/s_148745.jpg
一千零一夜（全册）,2011-10-01 00:00:00,童书-儿童文学,世界上再没有哪一部名著会像《一千零一夜》这样，能让孩子们充满幻想了。在书中各种各样的奇幻故事里，渴求冒险的少年们在经历一番磨难后总能寻得宝藏，住在戒指或油灯中的魔鬼与精灵也总会给他们的主人带来惊喜。俄国作家列夫．托尔斯泰就曾经说过，神奇的《一千零一夜》是在他少年时期给他带来影响的作品之一。这部亦幻亦真的经典名著，囊括了公元9至16世纪中东与中亚各地区的传奇故事，她所散发的神秘气息不仅能激发孩子无限的想象力，更能在他们遇到挫折与困难时给他们带去喜悦与希望。,12,698,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/327/24284327/s_24284327.jpg
安徒生童话（中小学生必读丛书）,2010-05-01 00:00:00,童书-儿童文学,本书精心甄选了安徒生最为经典的童话，以期引领孩子们在赏心悦目的情境中，进入奇幻有趣的童话世界；使现实压力与日俱增的成人们，重温人鱼公主、丑小鸭、拇指姑娘的快乐记忆，回归天真、宽容的快乐心态。,9,808,0,1,https://wfqqreader-1252317822.image.myqcloud.com/cover/467/165467/s_165467.jpg
稻草人,2016-05-01 00:00:00,童书-儿童文学,"《稻草人》是新中国第一本为儿童而写的童话集。本书收录了叶圣陶具有代表性的经典童话故事，其中代表作《稻草人》以田间草人的目光与心灵，感受了劳动人民的苦难，真实地描写了20世纪20年代中国农村的生活百态。他的童话构思独特、描写细腻、语言简洁，充满诗意，富于美感，不仅想象丰富，还充满了趣味性而又寓意深刻。
",8,803,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/246/839246/s_839246.jpg
