title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
植物大战僵尸：食神争霸赛,2013-01-01 00:00:00,童书-漫画卡通,本系列书利用风靡全球的电脑游戏“植物大战僵尸2”中的素材，以四格漫画的形式全新演绎新一代植物与僵尸的爆笑故事。为了评选出最好吃的食物，植物和僵尸决定举行一场食神争霸赛。作为植物方的主力，充能柚子、棱镜草和激光豆历经千辛万苦，到处拜师学艺，闹出了很多笑话。而作为僵尸方代表的铁桶未来僵尸和未来僵尸也是毫不相让，一边到处搜集食材，一边往植物镇派遣卧底……终于，食神争霸赛开战了！比赛现场，双方各出奇招，难分高下。到底*终谁能俘获*的评委——疯狂戴夫的味觉，获得“食神”称号呢？这期间又会发生什么有趣的故事呢？一起去看看吧。,5,878,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/301/30006301/s_30006301.jpg
神探狗狗1,2019-07-01 00:00:00,童书-漫画卡通,神探狗狗集人类与犬类的优点于一身，又强壮又聪明，是守护小镇的超级神探。彼蒂是一只邪恶的猫咪，坏点子层出不穷，但神探狗狗总是能凭借机智、勇猛（还有好运气）将坏彼蒂给小镇造成的危机一一化解。《神探狗狗1》作为系列漫画的第一本，讲述的就是神探狗狗与坏彼蒂斗智斗勇的日常。,5,890,0,23.88,https://wfqqreader-1252317822.image.myqcloud.com/cover/221/37349221/s_37349221.jpg
植物大战僵尸：植物僵尸好声音,2013-01-01 00:00:00,童书-漫画卡通,僵尸博士意外车祸，僵尸一致认为是植物的阴谋，决定通过举办“植物僵尸好声音”的歌咏大赛与植物一决胜负。植物也毫不示弱，村长大喷菇派出向日葵、豌豆射手和坚果三位大将，并请仙人掌当老师，对他们进行艰苦的训练。而僵尸一边，僵尸博士为了培训歌唱高手，*后竟然亲自出马培训僵尸。到了比赛的日子，超载的僵尸大巴摇摇晃晃上了路，而植物这边也派出了豌豆射手半路伏击。豌豆射手成功了吗？两派哪边获胜了呢？“好声音”的导师和学员们之间到底还有哪些令人捧腹的趣闻呢？一起来揭晓吧！,5,835,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/267/30006267/s_30006267.jpg
植物大战僵尸：冰雪对抗赛,2013-01-01 00:00:00,童书-漫画卡通,本系列书利用风靡全球的电脑游戏“植物大战僵尸2”中的素材，以四格漫画的形式全新演绎新一代植物与僵尸的爆笑故事。一年一度的冰雪对抗赛即将开赛了。植物们和僵尸们为了赢得比赛，都使出浑身解数，笑料百出。植物们不顾严寒，苦练打雪仗技术，终于力挫僵尸，首局获胜。首局失利的僵尸们，刻苦训练，阴差阳错之下，凭借骑牛小鬼僵尸的出色发挥，赢得了滑雪比赛的胜利，与植物们战成了平局。决定胜负的冰雕比赛开始了！植物们和僵尸们又会有哪些奇招儿呢？疯狂戴夫又会给他们出什么难题呢？谁能赢得冰雪对抗赛的*终胜利呢？这期间还会发生什么有趣的故事呢？一起来看看吧。,5,836,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/291/30006291/s_30006291.jpg
植物大战僵尸：星际大冒险,2013-01-01 00:00:00,童书-漫画卡通,本系列书利用风靡全球的电脑游戏“植物大战僵尸2”中的素材，以四格漫画的形式全新演绎新一代植物与僵尸的爆笑故事。菜问抽中了星际旅行团体票大奖，植物们兴高采烈地登上宇宙飞船，没想到刚启程不久，他们的飞船就遭到重创，迫降在一个不知名的星球上。为了寻找可以帮助他们返回家乡的愿望树，植物们开始了星际大冒险。途中他们遇到了美味的奶油面包果、发光的小兔子，还有神秘的地宫、守护宝藏的火麒麟……与此同时，僵尸们也在寻找这棵神奇的愿望树，并给植物们制造了重重麻烦。在这个星球上还会发生什么有趣的故事呢？一起去看看吧！,5,896,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/314/30006314/s_30006314.jpg
植物大战僵尸：夺岛联盟大冒险,2013-01-01 00:00:00,童书-漫画卡通,本系列书利用风靡全球的电脑游戏“植物大战僵尸2”中的素材，以四格漫画的形式全新演绎新一代植物与僵尸的爆笑故事。一年一度的植物水上运动会就要开始了，坚果自告奋勇参加游泳比赛，尽管水性不佳，但在努力训练的间隙还不忘向充能柚子定制加速药水。可是就在比赛前夕，有消息传来，由于巨浪岛上的植物被僵尸们抓起来了，所以没法参加比赛，比赛也因此取消了。为了解救巨浪岛上的植物同胞们，植物镇的植物们经过一番策划，决定造船出海，前往巨浪岛开展营救行动。在茫茫大海上航行，他们会遇到危险吗？会发生哪些有趣的事情呢？他们最终能成功营救巨浪岛上的植物们吗？一起去看看吧。,5,856,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/295/30006295/s_30006295.jpg
植物大战僵尸：疯狂橄榄球,2013-01-01 00:00:00,童书-漫画卡通,僵尸和植物的争战旷日持久，难以分出输赢。这次，豌豆射手、坚果和倭瓜又与僵尸狭路相逢，幸好睡莲大叔出面，才脱离险境。僵尸对这种连续作战烦不胜烦，所以提出以橄榄球比赛来决胜负，植物同意了。双方都开始了紧张的训练。植物这边负责训练的是火爆辣椒，队员有豌豆射手、坚果和倭瓜等，搞笑的是，从教练到队员，大家既不知道橄榄球比赛的规则，也不知橄榄球为何物，因而惹出了一个个小故事，而且，教练的无理要求和队员的投机取巧之间也摩擦出一个个小火花，令人啼笑皆非。最终，比赛开始了。疯狂戴夫作为中立人士成了裁判，他的疯狂为本来就热闹的赛场更增加了笑料。不同植物的各显身手和各种阴差阳错的巧合，使植物又一次获得了胜利！,5,839,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/263/30006263/s_30006263.jpg
植物大战僵尸：火热篮球赛,2013-01-01 00:00:00,童书-漫画卡通,小鬼僵尸和豌豆射手同为篮球爱好者。在一次关于篮球的打赌中，豌豆射手输给了小鬼僵尸，被迫答应了小鬼僵尸的要求——在僵尸和植物阵营之间举办一场篮球比赛。为了在篮球比赛中获得胜利，植物和僵尸都组织了篮球训练营，但是，因为对篮球比赛的陌生，如不知道篮球比赛的基本规则，不知道篮球队的人数等，以及植物和僵尸各自的特点，如小鬼僵尸个头太小、植物大多没有脚，在训练过程中，双方都发生了一个又一个令人啼笑皆非的小故事……本漫画故事避开了“植物大战僵尸”游戏中植物和僵尸攻守的套路，以篮球比赛为线索，把之前之后植物与僵尸双方的动作串连起来，并在篮球比赛中达成整书的高潮。既有整体性，同时每一组四格又有一定独立性。,5,832,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/273/30006273/s_30006273.jpg
植物大战僵尸：魔高一丈,2013-01-01 00:00:00,童书-漫画卡通,僵尸入侵植物餐厅，夺走了一本魔术书，这本书是大喷菇想作为传家宝传给小喷菇的。坚果和豌豆射手奉命到僵尸博士的密室去找书，结果与已经见到这本书的舞者僵尸和伴舞僵尸狭路相逢，双方决定，以魔术比赛决定这本书的归属。为了在魔术比赛中获胜，双方都展开了训练……但是，天生的惰性，加上魔术本身的各种特点，训练中，产生了层出不穷的笑料，植物和僵尸的个性也得到了充分的展示，植物的大义凛然中，有着一戳就破的滑稽，僵尸的义正词严中，也有着狡黠和可爱。,5,817,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/277/30006277/s_30006277.jpg
植物大战僵尸：危险模仿秀,2013-01-01 00:00:00,童书-漫画卡通,植物取得了马拉松比赛的胜利，成功地把僵尸赶出了他们的世界。为了庆祝这一胜利，在大家的建议下，大喷菇村长决定拍摄一部艺术电影——《白雪公主和七个小矮人》。植物们为了能出演这部电影，个个摩拳擦掌，拼命表现，发生了一系列令人啼笑皆非的小故事。终于，电影开拍了！但是，没有表演经验的各位植物演员们，在同样毫无导演经验的大喷菇村长的指挥下，笑料百出，拍摄出了一部让人匪夷所思的电影……,5,821,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/269/30006269/s_30006269.jpg
