title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
苗疆蛊事II,2015-11-30 00:00:00,精品小说-恐怖惊悚,"巫蛊之祸，自西汉起延续几千年，屡禁不止，直至如今，国学凋零，民智渐开，在大中国，唯乡野之民谈及，而巫蛊降头茅山之术，偏偏在东南亚各地盛行，连香港、台湾之地，也繁荣昌盛，流派纷起。 诸位真的认为华夏大地无奇人焉？ 苗疆青年陆言，回乡途中，误被人下了恐怖之蛊毒，在生死求存之中，却发现自家亲戚之中，居然有一位更加恐怖的苗疆养蛊人，而倒霉的是，求医问药的他陷入了一场失踪悬疑奇案之中，挣脱不得……天山之后，并非末法，旧人落，新人出，黑恶势力卷土重来，曾经的朋友却化身做了敌人，危机重重，幕后黑手呼之欲出，又有域外势力逐鹿中原，上演八国联军之态势，华夏黯淡，谁能扛起新时代的旗帜，走出一条不属于别人的道路？

",30,820,0,204.81,https://wfqqreader-1252317822.image.myqcloud.com/cover/457/757457/s_757457.jpg
苗疆道事（全集）,2021-03-01 00:00:00,精品小说-恐怖惊悚,陈二蛋，是一个一出生就被噩运缠身的人。他生长于西南边陲的大山中，在与同伴戏水时意外受伤，脖子上长出如鱼鳞一般的伤疤。为了治病，父母冒险带他进入野兽出没的五姑娘山——寻找曾识其命运、判其理数的李道子。在上山的路上，救下了一生的好朋友——小猴子“胖妞”。在李道子那里，他虽然备受冷遇，但却学到了基本的道经卦理，而在离开时，李道子赠予其六张卦符和一柄小宝剑。病好下山后的二蛋，又因与所谓的“勘探队”进山，而误入“邪符王”杨二丑的魔爪。在囚禁于观音山的日子中，他受尽了杨二丑及其女儿杨小懒的欺辱。幸运的是，杨二丑为了延续其生命，迫不得已带着二蛋下明朝古墓寻找宝贵的遗珠。在地下墓地他们遭遇了前所未有的骇人凶险，好不容易爬上地面，竟又遭人伏击。然而，这场伏击却给了二蛋逃生的机会，也促使其命运发生了极大转变……,30,855,0,124.38,https://wfqqreader-1252317822.image.myqcloud.com/cover/54/37193054/s_37193054.jpg
金蚕往事全集（1—14）,2020-10-01 00:00:00,精品小说-恐怖惊悚,《苗疆蛊事》改版归来。新书以作品中最受读者欢迎的金蚕蛊命名，讲述陆左和肖克明一路走来的故事。陆左是一个普通的苗族青年，因为身为苗寨神婆的外婆去世前不知原因地给他下了一种致命的蛊毒，而开始了一段不同寻常的自救之旅。于是他，开始接触到神秘的世界，结交到一些特别的、能力高强的朋友，也开始从普通人逐渐蜕变、成长，成为了一位来自苗疆的蛊师。而这一切，也只是为了引导他一步一步发现，故事传说中已经消失的夜郎国、夜郎人那不可告人的秘密和野心。作品主题从自救到救世，充满了正能量。,125,875,0,199,https://wfqqreader-1252317822.image.myqcloud.com/cover/223/35821223/s_35821223.jpg
你说南境有星辰,2020-07-15 00:00:00,精品小说-恐怖惊悚,在西南偏远地区昔云七小支教三年的童欢，因自己的缉毒警堂哥童彦伟而“有幸”结识了高智商又毒舌的名校教授苏睿。他们一个被三年的支教经历磨砺得粗糙豪放不修边幅，一个从英国远道而来生活优越精致甚至伴有重度强迫症和洁癖，一次见面就火花四溅兵戈相向，简直八字不合命里相克。但他们又很互补，他爱吃，她会吃；他中文阅读障碍，她记忆力绝佳几乎能参加最强大脑；他冷静理智，她冲动热忱……他们在吵闹中并肩作战，与穷山恶水博弈埋下文明的种子。而随着一桩儿童绑架案抽丝剥茧，对手背后的贩毒势力初露冰山一角，他们最信任的人却出乎意料身份成谜。历经一次次生死一线逆光而行，他们在成长与改变中确认对方是那个自己不可或缺的部分。,12,938,0,15,https://wfqqreader-1252317822.image.myqcloud.com/cover/38/33742038/s_33742038.jpg
捉蛊记,2015-11-10 00:00:00,精品小说-恐怖惊悚,现象级畅销悬疑小说《苗疆蛊事》作者作品。农历五月初五，鬼脸蝴蝶、大灰蛾子、白粉蝶、赤蛱蝶各一对，捉马蜂、毒蜂、蚕虫、毒蛇、蜈蚣、虾蟆六物研磨成粉，三日之后用开水淋杀，加女子头发、指甲和经血毒菌、曼陀罗花等植物，研成粉末，即成蛊毒。若女子为情所伤，下于负心人之身，则成蛊胎，受蛊者不但最终会肠穿肚烂，浑身长虫，而且还会……我，即是那个“负心人”！“苗疆系列”大背景下全新力作，一部筹备已久，具有野心的作品。,70,744,0,-1,https://wfqqreader-1252317822.image.myqcloud.com/cover/195/758195/s_758195.jpg
莫言奇奇怪怪短篇小说全集（套装全6册）,2019-04-01 00:00:00,精品小说-恐怖惊悚,“莫言奇奇怪怪短篇小说全集”系列共包括六册：《三匹马》《秋水》《儿子的敌人》《神嫖》《长安大道上的骑驴美人》《小说九段》，每本收入莫言短篇小说12-16篇。莫言的长篇小说大多部头较大，而短篇小说在可读性、趣味性、文学性上丝毫不亚于莫言的长篇小说，大江健三郎甚至称：“如果在世界上给短篇小说排出前五名的话，莫言的应该进去。”对于想初步了解莫言作品的读者来说，短篇小说则是一种更好的入门选择。它们涉及的主题、类型更广，篇幅短小却留下了更大的思考和想象的空间。,11,879,0,129.99,https://weread-1258476243.file.myqcloud.com/weread/cover/6/3300015106/s_3300015106.jpg
一品女仵作,2018-10-31 00:00:00,精品小说-恐怖惊悚,身为女仵作，许楚为了家计只能验尸破案。直到有一天，她扑到了大周朝三法司跟内廷的头，且看女仵作如何携手位高权重的王爷，以女子之身解开一宗宗迷雾重重的悬案。钱家少夫人暴毙案，隐藏二十年之久的李代桃僵案，芙蓉巷美人骨案，大周边疆大吏失踪案，甚至涉及朝堂的铸假案，还有内廷之中宝库消失案......纷繁复杂之中抽丝拨茧，看诡异人心，离奇真相~~~~~~~~--情节虚构，请勿模仿,30,754,0,-1,https://wfqqreader-1252317822.image.myqcloud.com/cover/826/23411826/s_23411826.jpg
山野杂谈,2015-04-01 00:00:00,精品小说-恐怖惊悚,"    山野杂谈，一直充斥着人们的茶余饭后，民间关于山野之事更是传的五花八门。走南闯北去过中国大江南北，讲一讲中国百年来民间山野之事……
",45,725,0,-1,https://wfqqreader-1252317822.image.myqcloud.com/cover/435/566435/s_566435.jpg
肠子（无删减版）,2014-11-01 00:00:00,精品小说-恐怖惊悚,《肠子》是美国当代邪典小说作家恰克·帕拉尼克的小说。书中一众人等应一则“作家研习营”的广告聚到一起，却陷入了悲惨绝境，他们开始讲故事互相安慰，这些说故事的人越来越绝望时，他们的故事也越来越极端。全书共包含了二十三个各种各样的故事，或搞笑，或恐怖，或令人恶心，或令人绝望。各色故事交织出光怪陆离的人生，反映出大千世界的荒诞。,10,839,0,37.99,https://weread-1258476243.file.myqcloud.com/weread/cover/80/3300018680/s_3300018680.jpg
达·芬奇密码,2017-10-01 00:00:00,精品小说-恐怖惊悚,午夜，卢浮宫博物馆年迈的馆长被人杀害。在人生的最后时刻，馆长脱光了衣服，明白无误地将自己的身体摆成达·芬奇名画《维特鲁威人》的样子，躺倒在艺术大画廊的拼花地板上，还在尸体旁边留下了一个令人难以捉摸的密码。符号学专家罗伯特·兰登与密码破译天才索菲·奈芙着手对一大堆怪异的密码进行整理，他们发现一连串线索竟然隐藏在达·芬奇的艺术作品中！兰登猛然领悟到，馆长其实是郇山隐修会的成员——这是一个成立于一〇九九年的秘密组织，其成员包括西方历史上诸多伟人，如：牛顿、波提切利、维克多·雨果以及达·芬奇！兰登怀疑他们是在找寻一个石破天惊的历史秘密，一个既能给人启迪又异常危险的秘密……,33,821,0,23.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/479/935479/s_935479.jpg
