title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
散落星河的记忆（套装全4册）,2022-05-01 00:00:00,精品小说-情感小说,套装包括：《散落星河的记忆1:迷失》《散落星河的记忆2:窃梦》《散落星河的记忆3:化蝶》《散落星河的记忆4:璀璨》,13,934,0,79.6,https://weread-1258476243.file.myqcloud.com/weread/cover/65/3300020265/s_3300020265.jpg
云边有个小卖部,2018-07-01 00:00:00,精品小说-情感小说,"俞敏洪《在岁月中远行》单独撰文推荐！

张嘉佳全新作品。畅销千万现象级作品《从你的全世界路过》后，暌违五年，写给离开我们的人，写给陪伴我们的人，写给每个人心中的山和海。希望和悲伤，都是一缕光。总有一天，我们会再相遇。",6,860,0,21.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/558/23233558/s_23233558.jpg
白华为菅,2021-07-20 00:00:00,精品小说-情感小说,白华菅兮，白茅束兮。民国十三年，明菅从卖鱼的乡下丫头摇身一变，成了温府的三小姐。旗袍、黄包车、留声机与《新青年》；淮城、香港、上海、北平与昆明。新与旧的碰撞，东方与西方的交融。时代的浪潮滚滚而来，她不愿做随波逐流者，只想做一个，领航人。,20,929,0,25.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/965/39576965/s_39576965.jpg
有种后宫叫德妃,2015-01-01 00:00:00,精品小说-情感小说,"初入宫，岚琪只是不起眼的小宫女，兢兢业业伺候着自己的主子，从未想有飞上枝头的那一天。那一场大雨，玄烨为亡妻悲伤的身影留在了她心里。很多时候，很多事情，冥冥之中自有安排。为了维护自家主子，乌雅岚琪不惜栽赃当今万岁爷。年轻的皇帝，只想吓唬这个不知天高地厚的小宫女，没想到，那双充满善良与温柔的眼睛，却深深进了他的心。“奴婢是想……”龙榻之上，乌雅岚琪情不自禁地紧紧盯着皇帝，要把他刻在眼睛里似的，“您连江山都担得，背一次黑锅算什么。”

",15,850,0,-1,https://wfqqreader-1252317822.image.myqcloud.com/cover/958/381958/s_381958.jpg
燃犀记事,2018-05-01 00:00:00,精品小说-情感小说,全书分为六个小故事，分别为：《狐狸灯》《海之音》《槐安台》《昙花酒》《壁上花》《天地牢》。讲的都是和神秘人有关的故事。故事起源于一个古老的传说，传说只要取春雨浸湿之笔，夏阳酷晒之墨，秋风吹拂之纸，以及冬雪覆盖之砚。用此笔墨纸砚书尔之心结，焚于火中。不出几日，便有神秘人出现在许愿人面前。传说那些神秘人男女老少皆有，譬如八岁垂髫孩童，再譬如八十白发老叟。有美貌的少女，亦有倜傥的公子。他们各具年龄，各具样貌，各具性格，甚至连术法修为都各不相同。唯一相同的便是他们穿着奇特，一眼便能看出他们来自异乡——同时，在这些神秘人的手腕脚踝，或是脖颈上，皆带有数道银环，那银环叮当，光泽无瑕。倘若在布满繁星的夜里，你看见一个旅人形色匆匆的打你家门前路过，背着褡裢袋，手脚上银环叮当，那便是赶着去为他人实现心愿的神秘人。,2,895,0,7.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/763/26011763/s_26011763.jpg
长相思（杨紫、张晚意、檀健次主演）,2019-07-01 00:00:00,精品小说-情感小说,上古时期，人、神、妖混居，神农、轩辕、高辛三国鼎立。流落大荒的高辛王姬玖瑶（小夭）历经百年颠沛之苦，不但失去了身份，也失去了容貌，在清水镇落脚，成为了“无处可去、无人可依、无力自保”的玟小六。他悬壶为生恣意不羁。小夭的表哥轩辕王子玱玹即使寄人篱下、隐忍蛰伏，也为了寻找小夭走遍大荒，来到清水镇。清水镇的日子平淡温馨，玟小六意外救了垂危的青丘公子涂山璟，朝夕相处中二人情愫渐生；玟小六又与九头妖相柳不打不相识，惺惺相惜结为知己。玟小六和玱玹相见不相识，几经波折，才终与玱玹相认，恢复王姬身份。为了一统天下，玱玹舍私情要王座，相柳守义战死、小夭帮助玱玹完成大业后，与涂山璟隐逸江湖。思而不得的玱玹将所有精力都放在了治理国家上，因为他知道，只要天下太平，他的小夭就能够幸福安康。,10,883,0,31.57,https://wfqqreader-1252317822.image.myqcloud.com/cover/983/23484983/s_23484983.jpg
七公斤的爱情,2021-05-19 00:00:00,精品小说-情感小说,简糯总想改名，她觉得名字看起来太好吃，是永远也不可能减肥成功的。,40,870,0,38.54,https://wfqqreader-1252317822.image.myqcloud.com/cover/975/38242975/s_38242975.jpg
琉璃愿（全集）,2019-01-01 00:00:00,精品小说-情感小说,"　　从科尔沁的政治棋子，到清朝开国之母，博尔济吉特布木布泰，经历了波澜壮阔的一生。她拥有刻骨铭心的爱情，在皇太极与海兰珠的生死绝恋中挣扎，亦在多尔衮的一片痴情中步步为营。她扛起巍峨壮丽的江山，以坚定不移的信念抚育两代幼主，用自己的智慧和人格魅力，征服大臣和将军，创下大清盛世。她是爱情里最温润的美玉，亦是战火硝烟中最坚强的磐石，杀伐决断，拨开乱世风云。
",20,835,0,111.84,https://wfqqreader-1252317822.image.myqcloud.com/cover/254/23841254/s_23841254.jpg
天堂旅行团,2021-08-01 00:00:00,精品小说-情感小说,生命的终章，我踏上了一段旅途。开着破烂的面包车，穿越几十座城市，撕开雨天，潜入他乡，尽头是天堂。浅蓝的天光，泛紫的云层，路灯嵌进夕阳。山间道路弥漫着一万吨水汽，密林卷来风声，我闯进无止境的夜里。她说，天总会亮的。那么，我们一起记录下，凌晨前的人生。,5,905,0,32.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/893/40726893/s_40726893.jpg
许你星河千里,2019-08-05 00:00:00,精品小说-情感小说,刁琢初见“巴爷”巴云野，觉得只有两个词能形容她：女土匪，女流氓。“反正任务做完，老死不相往来。”然而，不到几天，啪啪打脸——车上，巴爷卖萌，他多多少少受用；房内，巴爷撩他，他老老实实锁门；误入相亲局，他满脑子都是巴爷，还有……她腰臀连接处两个浅浅的腰窝。……别问他为什么见过！以下划重点：糙女×硬汉 越野领队×救援队长 无人区穿越×硬核撩汉 羌塘→巴丹吉林沙漠→玉珠峰→贡山原始森林 惊险旅程，与诸君共度！,15,904,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/187/26053187/s_26053187.jpg
针尖蜜（辛夷坞最新现言，阅文独家）,2021-12-01 00:00:00,精品小说-情感小说,陈樨遇上卫嘉的第一眼，她看到了蓝天、白云、青草、野花、微风和马背上小白杨一般的少年人。而事后据卫嘉回忆，他只能想起烈日、暴晒、马屎、草料费、喝醉酒闹事的同伴，还有一辆讨厌的越野车从身边轰隆隆开过，扬起一头一脸的烟尘。车上坐着17岁的陈樨和孙见川。爱情就像针尖取蜜，每一分甜都伴随刺痛。陈樨的世界是割裂的，一头是娱乐圈的衣香鬓影，一头是实验室的瓶瓶罐罐，这里头都不包含泥尘里的芸芸众生。而卫嘉不洒脱，也无孤勇，只有十分话说三分、进一步留五步的谨慎，和凡事留有余地的那一点自危。他们是彼此窥见另一个世界的窗，毫无经验，又竭尽全力。除却世间万般偏见，交付真心的二人，故事又将怎样汹涌？,45,883,0,16.49,https://wfqqreader-1252317822.image.myqcloud.com/cover/704/40162704/s_40162704.jpg
