title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
西线无战事（同名电影原著）,2021-01-01 00:00:00,精品小说-战争军旅,青年保罗·博伊默尔、钳工加登、始终随身带着课本的米勒、头脑最清醒的下士克罗普、挖煤工海尔·维斯胡斯、农民德特林，以及斯坦尼斯劳斯·卡钦斯基们，经过十周的军事训练后，被送往前线。1918年，这个班的最后一人也于前线阵亡。而军队指挥部战报上的记录仅有一句：西线无战事。,5,963,0,24,https://wfqqreader-1252317822.image.myqcloud.com/cover/83/35458083/s_35458083.jpg
鞑靼人沙漠,2018-07-01 00:00:00,精品小说-战争军旅,九月的一天早上，年轻军官乔瓦尼·德罗戈前往巴斯蒂亚尼城堡驻守，城堡外面是一片沙漠，沙漠那边则是随时可能来犯的鞑靼人。德罗戈一边等待着沙漠那边的动静，一边忙碌于城堡、要塞、兵营内，满怀建功立业、捍卫崇高事业的梦想。三十年过去了，鞑靼人始终没有出现，德罗戈的生命和意志被消磨殆尽。这时，鞑靼人开始进攻了……,10,821,0,27,https://wfqqreader-1252317822.image.myqcloud.com/cover/118/24953118/s_24953118.jpg
狼牙,2014-12-01 00:00:00,精品小说-战争军旅,    “狼牙少帅”刘猛最受赞誉作品，无数军迷心中难以超越的经典！《狼牙》是以中国第一支陆军特种部队的创建及成长作为背景，描写了从南疆保卫战之后至今的漫长历史事件，揭开了特种部队的神秘面纱。小说以大跨度、大场面、全景式的描述将中国第一支陆军特种部队从出生到享誉世界的铁血成长历程完整地呈现在了读者面前。《狼牙》中人物棱角鲜明，以“狼牙特种大队”的创建为主线，讲述了军长刘勇军、大队长何志军、政委耿辉等职业军人鲜为人知的故事，刻画了刘晓飞、张雷、林锐等新青年士兵激情澎湃的热血传奇，同时，还描写了何小雨、刘芳芳、方子君等百合一样军中之花的爱恨情愁。,30,836,0,0.1,https://wfqqreader-1252317822.image.myqcloud.com/cover/661/628661/s_628661.jpg
血刃（全集）,2021-09-01 00:00:00,精品小说-战争军旅,本书是一本军事小说，也是一本民族小说，充分体现了C国军人的气节与民族的骨气，作者通过此书将军魂与民魂完美地结合在了一起。铁血军人阿华在J国完成任务后返回国内，在西部度假期间，在KKXL意外发现非法入侵的雇佣兵。一番激烈交战之后，雇佣兵被消灭，但阿华却引起世界神秘组织共进会的关注，开始被追踪。为了不坐以待毙，经过一系列调查，阿华和绿队成员掌握了机密情报，终决定攻打这个组织位于SC的基地。一场血战即将到来……,15,905,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/732/40675732/s_40675732.jpg
谍影重重之上海,2009-10-01 00:00:00,精品小说-战争军旅,本书是即将开播的百集大戏《谍影重重之上海》的同名改编小说。故事发生在1936年的上海，幼年时期的一对好伙伴向亦鹏和阎天，因为不同的人生轨迹，分别成为中共上海地下组织负责人和国民党军统特别行动组组长。他们在各自身份的掩饰下，围绕日本“军刀计划”情报，与日本侵略者展开一系列斗智斗勇。两人诚挚的友情，与林璇之间的三角恋情，以及抗日志士那种纯净崇高的爱国之情，在这场惊心动魄的间谍战中得到升华。,15,707,0,11.09,https://wfqqreader-1252317822.image.myqcloud.com/cover/781/243781/s_243781.jpg
回家的路,2019-10-01 00:00:00,精品小说-战争军旅,　　书稿以一个小名叫祸害的普通士兵为主线，反映在中华民族面临生死存亡的危难时刻，无数中国军人为了国家利益和民族利益，视死如归、浴血奋战的战斗历程。在那个充满血与火的峥嵘岁月，祸害虽然身处不同的历史环境，遭遇无数的生死磨难，但是，其追求战胜敌人、实现国家强大、渴望落叶归根的梦想，始终未曾泯灭，并且通过自身的执着和牺牲，最终迎来国家富强、人民安宁、亲人团聚的美好明天。,15,946,0,35.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/589/30914589/s_30914589.jpg
抗命（全3册）,2015-07-01 00:00:00,精品小说-战争军旅,"媲美《亮剑》，热血军事作家流浪的军刀新作！根据侵华总司令冈村宁次发动的1942年华北大扫荡撰写拒绝手撕鬼子，深挖民族脊梁抗战史！不信命不认命不惜命，男儿气节震撼人心！
",20,737,0,35.06,https://wfqqreader-1252317822.image.myqcloud.com/cover/507/932507/s_932507.jpg
王牌特卫1,2012-03-01 00:00:00,精品小说-战争军旅,龙阳武警支队金牌狙击手李建，在山南省武警搏击比赛中获得冠军，引起了中央特卫团的注意，成为一名特卫团的战士。国际风云变幻，能源紧张，R国总统普鲁斯偕同夫人多琳访问我国，R国的黑暗势力和I国、M国互相勾结，派出杀手，千里追杀普鲁斯总统。李建带领最新组建的警卫队，和三个国家的杀手，展开生死大搏击。经过血与火的洗礼，李建正式成为A首长十大贴身护卫中的一名，国飞船即将发售，敌对势力排除大量的间谍和特战队，潜伏进来，李建带领警卫人员，鱼线进入飞船发射区域，粉碎了J国潜伏进来的神风特战队企图绑架航宇集团总裁苏卫城的阴谋，干掉了M国贝雷帽约翰特战队的全体人员和恐怖的基因人，瓦解了沙漠中恐怖分子的基地。,27,796,0,15.81,https://wfqqreader-1252317822.image.myqcloud.com/cover/895/713895/s_713895.jpg
冷刺1,2010-11-30 00:00:00,精品小说-战争军旅,《冷刺》系列军事小说共三部，讲述了特种兵韩枫从大山里走出，成为特种兵之王的故事。《冷刺》是网络超人气作品，作品充满爱国情怀，在热血青春中展现了军人的顽强与不屈。,35,710,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/627/30661627/s_30661627.jpg
我是特种兵：子弹上膛,2015-02-01 00:00:00,精品小说-战争军旅,"    《子弹上膛》是刘猛的一部军旅小说。17岁的大学生小庄，为了追随初恋女友而暂时休学参军，经历了一段异于常人的绿色军营经历。整个故事围绕着爱情、战友兄弟情展开，真实地记录了中国陆军特种兵成长的心路历程。该作品独特之处在于全景式表现中国人民解放军陆军精锐部队——狼牙特种大队，残酷悲壮、铁血精诚的训练和生活。如果祖国需要，他们就是一颗上膛的子弹，时刻准备着！
",11,862,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/627/810627/s_810627.jpg
血刃2,2015-04-01 00:00:00,精品小说-战争军旅,本书是一本军事小说，也是一本民族小说，充分体现了C国军人的气节与民族的骨气，作者通过此书将军魂与民魂完美地结合在了一起。铁血军人阿华在J国完成任务后返回国内，在西部度假期间，在KKXL意外发现非法入侵的雇佣兵。一番激烈交战之后，雇佣兵被消灭，但阿华却引起世界神秘组织共进会的关注，开始被追踪。为了不坐以待毙，经过一系列调查，阿华和绿队成员掌握了机密情报，终决定攻打这个组织位于SC的基地。一场血战即将到来……,8,818,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/328/701328/s_701328.jpg
王牌特卫4,2013-10-01 00:00:00,精品小说-战争军旅,中南海保镖、金牌狙击手李建，经过血与火的洗礼，荣升特卫团团长。他不远万里，带队远赴R国，乔装保护石油大亨女郎玛利亚，粉碎R国黑帮光头党、J国黑山会、M国教廷组织多股恐怖组织的阴谋，成功保卫石油管道铺设，并出色完成首长出行、航母护航等护卫任务……为祖国的建设和安全、稳定做出卓越贡献。,22,839,0,12.75,https://wfqqreader-1252317822.image.myqcloud.com/cover/897/713897/s_713897.jpg
刀锋所向,2010-02-01 00:00:00,精品小说-战争军旅,某国际间谍组织对我国家军事机密的疯狂掠取，绰号孤独者的特种部队刀锋小组组长林云龙奉命出击。他卧底除奸、万里追杀，杀机四伏，绝境终结，上演了一场与魔鬼的殊死较量。,10,860,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/614/217614/s_217614.jpg
狙击生死线,2015-04-01 00:00:00,精品小说-战争军旅,"    韩光和蔡晓春都是狼牙特种大队的顶尖狙击手，他们是生死战友，同时也是竞争对手，两人更是同时爱上了一个女军医赵百合。后来，蔡晓春因违反军纪离开了部队，他带着赵百合出国做了雇佣兵。而韩光转业到了滨海特警，成为功勋狙击手。滨海即将迎来世界经济论坛，滨海公安局严阵以待。不料，韩光的狙击步枪被神秘盗窃，回国的赵百合更被这支狙击枪枪杀……韩光则成为被追缉的杀人疑犯。蔡晓春离奇出现在滨海市，被幕后黑手何世荣雇用，准备刺杀海外财团老总何世昌。韩光和蔡晓春之间展开了一场生死较量，警方和军队严密合作，韩光一举捣毁黑暗势力，韩光和蔡晓春的最后决斗，在一片废墟上展开……
",15,727,0,3.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/898/681898/s_681898.jpg
一纸命令：告诉你一个真实的军营,2017-09-01 00:00:00,精品小说-战争军旅,本书是一部以军营生活为题材的长篇原创小说。故事以主人公王春阳为线索，讲述了他从初入红旗旅报到以来，如何赢得官兵的认可，受到领导的欣赏，同时，也遭遇了老兵的刁难和种种波折。他正直善良，为人仗义，聪明能干，敢于担当，在军营中不忘初心，不断成长。作品同时讲述了他同伴的成长经历，或互相映衬，或反面衬托，反映了出一个真实的军营。,15,739,0,9.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/154/25316154/s_25316154.jpg
汤姆·克兰西军事系列（套装共9册）,2019-05-01 00:00:00,精品小说-战争军旅,美国重量级畅销书作家、最知名的军事小说大师汤姆·克兰西，其在军事文学地位之深远恰比斯蒂芬·金在恐怖小说的地位。本套装包含其重要成名作，也是军事惊险小说史上的名作。《汤姆·克兰西军事系列》包含《猎杀“红十月”号》《爱国者游戏》《克里姆林宫的枢机主教》《燃眉追击》《惊天核网》《冷血悍将》《彩虹六号》《影子武士》《虎牙》等共9册。汤姆·克兰西（TomClancy）（1947—），美国军事作家，当今世界最畅销的反恐惊悚小说大师。一九八四年，汤姆·克兰西以一部《猎杀“红十月”号》打破了美国出版界一片低迷景气，成为美国畅销书排行榜上的常客，原本默默无闻的他，可谓军事小说界中的一朵奇葩。这位享誉国际的军事小说大师，娴熟历史思考，虽然没有实际的军旅生活经验，却能靠着平日对科技、政治及军事等领域的涵养和深度理解，以时事为背景，铺陈出一个个紧张刺激的冒险故事，其中涉及国防情报作业的逼真描述，甚至还一度引起相关单位的密切注意。克兰西的作品布局广大，深入政治、政权斗争、军事战略等各个层面，结构严谨；故事中主角的设定，往往融入了他本人的道德意识及价值观，正与他率真、坦诚的个性不谋而合。,31,830,0,169.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/984/25397984/s_25397984.jpg
