title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
龙族（1-4合集）,2015-12-01 00:00:00,精品小说-玄幻精品,"    累计销售量达千万册的青春幻想小说，被誉为“东方的《哈利·波特》”，作者江南本人获得2013年中国作家富豪榜榜首的荣誉。主角路明非原本只是一个普通的高中生，在申请留学的时候收到了来自屠龙学院——卡塞尔学院的来信，从此开启了他不平凡的人生，在伙伴陈墨瞳、楚子航、恺撒等人的帮助下，属于龙族的神秘世界逐渐在他们面前展开，路明非神秘莫测的身世也慢慢浮出水面。
",20,900,0,97.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/334/933334/s_933334.jpg
龙族Ⅴ：悼亡者的归来,2018-05-01 00:00:00,精品小说-玄幻精品,热血龙族，少年归来！这是地狱中的魔王们相互撕咬。铁剑和利爪撕裂空气，留下霜冻和火焰的痕迹，血液刚刚飞溅出来，就被高温化作血红色的蒸汽，冲击波在长长的走廊上来来去去，早已没有任何完整的玻璃，连这座建筑物都摇摇欲坠。,10,763,0,-1,https://wfqqreader-1252317822.image.myqcloud.com/cover/335/933335/s_933335.jpg
剑来（1-28册）出版精校版,2021-05-01 00:00:00,精品小说-玄幻精品,烽火戏诸侯继《雪中悍刀行》后又一巅峰之作！玄幻武侠不得不看的经典作品！“胸中一点浩然气，天地千里快哉风！”大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！我叫陈平安，平平安安的平安，我是一名剑客。,54,817,0,328.33,https://wfqqreader-1252317822.image.myqcloud.com/cover/759/31131759/s_31131759.jpg
缥缈（合集）,2019-03-18 00:00:00,精品小说-玄幻精品,盛唐，长安，百鬼夜行，千妖伏聚。西市坊间，阴阳交界处，有一座神秘虚无的缥缈阁。缥缈阁中，贩卖奇珍异宝，七情六欲。人，妖，鬼，神往来其间。缥缈阁在哪里？无缘者，擦肩难见；有缘者，千里来寻。世间为什么要有缥缈阁？众生有了欲望，世间便有了缥缈阁。,5,896,0,51.64,https://wfqqreader-1252317822.image.myqcloud.com/cover/495/25071495/s_25071495.jpg
《镜》系列（套装共6册）,2016-05-01 00:00:00,精品小说-玄幻精品,"“地之所载，六合之间，四海之内，有仙洲名云荒。照之以日月，经之以星辰，纪之以四时，要之以太岁，神灵所生，其物异形。或夭或寿，唯圣人能通其道。”
《六合书·大荒西经》中这段对“云荒”的记载，引得无数人跋涉前往这一世外仙境。
来自中州的少女那笙，为了躲避战乱，历经千辛万苦来到了云荒，却意外地发现这里也是战云压顶，时局复杂。在一步步深入云荒的途中，她遇到了傀儡师苏摩，皇太子真岚，剑圣西京，以及复国军战士炎汐……
在新大陆里的每一步都惊心动魄，奇诡百变，令人应接不暇。而随着海皇末裔的归来，一场空前的乱世风云正在异族少女面前缓缓揭开序幕……",14,906,0,249.8,https://rescdn.qqmail.com/weread/cover/427/3300007427/s_3300007427.jpg
百妖谱（同名动漫原著）,2020-07-20 00:00:00,精品小说-玄幻精品,2020年开播动漫《百妖谱》原著小说。桃都鬼医桃夭只治妖怪不治人，她带着小和尚磨牙一起云游四方，顺道给各路妖怪治病。桃夭收服了一只狐妖，为保住性命，狐妖回到了原形从头开始，也成了磨牙的跟班狐狸滚滚。两人一狐，加上她们的老邻居蛇妖柳公子，结伴而行，在这妖怪横行、惊险重重，却又让人眷念的人间大显神通，为周围的妖怪治疗各种疑难杂症，也为这些妖怪周围的人类排忧解难。桃夭、磨牙和柳公子之间的关系不显山不露水，更多稀奇古怪的问题等着我们和这个小团队一起去探索解决。冰山的一角可以窥探整个故事的磅礴精致，这是一场华丽未知的探险。故事一直都在进行中，每一段旅途都是一个新的篇章。我们在这个过程中，可以感受逐步解锁关卡的雀跃，享受问题解决后的安宁与平静，还可以同主角们一起，把一个个寓言般的小故事串联成一个精彩纷呈的大千世界……,12,935,0,15.33,https://wfqqreader-1252317822.image.myqcloud.com/cover/395/32458395/s_32458395.jpg
最后一个道士（全3册）,2013-02-01 00:00:00,精品小说-玄幻精品,"身披鱼鳞的远古氐人，复活的神秘君王，真正的扶桑神树……玉棺开启中的那个男子到底是谁？殡仪馆里接二连三的死人事件，是风水被破还是有人捣鬼？女儿受尽轮回之苦，是天罚还是事出有因？唯一的儿子也遭受苦难，他究竟是得罪了谁？
",20,806,0,32.78,https://wfqqreader-1252317822.image.myqcloud.com/cover/509/932509/s_932509.jpg
佣兵天下,2011-08-01 00:00:00,精品小说-玄幻精品,在我们所不熟知的魔法与骑士的大陆上，一群平凡的年轻佣兵被历史滚滚洪流卷入了三大势力中，史诗般的故事在红月历192年拉开了最为波澜壮阔的序幕。在这个充满魔幻的世界中，小佣兵们想奋斗，想与命运所抗衡，还曾经想远远的逃离尘世过平凡人的生活。但是，无论何时何地，他们始终没有放弃责任以及佣兵的天职。就是这样一群小佣兵，在巨大的压力下引发了魔幻世界中众神之战；在他们恒星般的王者光彩下，无数名帅、勇士、名将、智者象是银翰中的星辰般应运而生，诞生了多少在吟游诗人口中传唱的歌谣。在创始神被杀死原因即将被揭开的一瞬，所有人才发现，在这个世界中没有真正的胜者……,127,813,0,114.65,https://wfqqreader-1252317822.image.myqcloud.com/cover/481/36121481/s_36121481.jpg
猎魔人修订版全集（全七卷）（2020最新修订本）,2020-08-01 00:00:00,精品小说-玄幻精品,本套书包括：《白狼崛起》《命运之剑》《精灵之血》《轻蔑时代》《火之洗礼》《雨燕之塔》《湖中女士》共七卷。他骑马从北方来，一头白发，满面风霜；他是异乡客，也是猎魔人，以斩妖除魔为己任，行走在现实与传说的迷雾之间。,15,932,0,268.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/247/34644247/s_34644247.jpg
少年歌行（全5册）,2021-12-01 00:00:00,精品小说-玄幻精品,一个喜着红衣的热血少年，一个破败酒家的抠门老板，一个江湖豪门的首席弟子，看似毫不相关的三个人在一个雪夜相遇了。怀着各自的目的，他们一同护送着一座黄金打造的棺材去往边境之城毕罗，期间遭遇各方势力的追杀：顶级的杀手组合月姬明侯，神秘教派的护法白发仙、紫衣侯……令人精悍的杀人术，消失多年的域外魔教，三位少年的前路似乎无比凶险，可他们却对棺材中的一切一无所知……,12,867,0,150.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/464/41915464/s_41915464.jpg
