title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
人生海海,2019-04-01 00:00:00,精品小说-社会小说,一个传奇而充满人生况味的故事。一位原本风光无限的“上校”，一生赢了无数场仗，最后却败给一个不足道的秘密。故事围绕这个秘密展开，在守护欲与窥探欲的对抗中推进。离奇的故事里藏着让人叹息的人生况味，既有日常滋生的残酷，也有时间带来的仁慈。,7,859,0,33,https://wfqqreader-1252317822.image.myqcloud.com/cover/764/25131764/s_25131764.jpg
一地鸡毛（典藏版）,2016-08-01 00:00:00,精品小说-社会小说,《一地鸡毛》被称为新写实主义的代表作，获得多种文学奖，描写了主人公小林在单位在家庭的种种遭遇和心灵轨迹的演变。菜篮子、妻子、孩子、豆腐、保姆、单位中的恩恩怨怨和是是非非。从而反映了大多数中国人在八九十年代的日常生活和生存状态。它真实而生动地反映了大多数中国人生活的主旋律，深刻反映了改革开放的新形势给人们内心和外在的变化。本书以生动的细节和人物形象取胜，是一部精彩作品。  《一地鸡毛》在 出版时就引起轰动，被称为新写实主义的代表作，获得多种文学奖。其中很多篇目是琐碎人生的范本和关系学的教科书。菜篮子、妻子、孩子、保姆、单位……当中的恩恩怨怨和是是非非将官场和家庭的鸡毛蒜皮纤毫毕现，不嫌其俗，不掩其恶，人心之险展示无遗。,4,925,0,45,https://weread-1258476243.file.myqcloud.com/weread/cover/85/3300010685/s_3300010685.jpg
省委大院,2010-11-01 00:00:00,精品小说-社会小说,纳川，一个真实的人，一个自尊的人。上过大学，编过报纸，进过官场。爱好读书，崇尚自由，习惯思考。脾气臭，筋骨懒，脸皮薄，知不合于当世，遂闭门读书，神交古人。闲来码字为乐，不求青史留名，但求无愧我心。已出版长篇小说《省府大院》。,4,628,0,26.99,https://weread-1258476243.file.myqcloud.com/weread/cover/8/3300019408/s_3300019408.jpg
文城,2021-03-03 00:00:00,精品小说-社会小说,时隔8年，余华全新长篇重磅归来！人生就是自己的往事和他人的序章。时代的洪流推着每个人做出各自的选择。,11,864,0,39.5,https://weread-1258476243.file.myqcloud.com/weread/cover/25/3300020525/s_3300020525.jpg
官场反腐小说近年双佳：《荣辱》+《黄金岁月》,2021-11-01 00:00:00,精品小说-社会小说,本套书是分别由楚鱼、漠野萧成实力打造，以个中人的身份带你看懂权力场、名利场的那些事儿。《荣辱》——70后的”叶知秋“，《黄金岁月》——80后的”张新阳“，他们的沉浮挣扎，是官场、职场中人命运的一个缩影，也是社会变革的一个缩影。反映当前新形势下的政治与社会生态变化，写透职场”深水区“的权力运作以及各色人物的挣扎沉浮。聚焦政商热点、反复热点、民生热点。《荣辱》：一起网络爆料事件，将成为副省长候选人的景江市委书记陈大年、南岭市委书记崔鸿鹄都牵扯了进来。省委省府指示进行调查。叶知秋因为在调查中所展现的才干，被提拔为省政府督查处处长，但由此也陷入到了一股斗争的漩涡中。事发南岭，但事出景江。而南岭市常务副市长李新民在委托叶知秋保管一个档案袋后不久就“畏罪”自杀了，更使得案件扑朔迷离……波云诡谲，省城、景江、南岭各方人马纷纷登场。正义与邪恶展开对决。叶知秋将何去何从？这个贪腐的大局该怎么破？《黄金岁月》：农村青年张新阳大学毕业后入职某大型国企，在处置一起工伤闹访事件中挺身而出，后又凭借办事的干练和肯吃苦的干劲，逐步赢得了董事长刘成功的信任。这之后，他屡过难关，走上了集团高层，同时在个人商业领域也发展壮大，赢得了事业爱情双丰收。张新阳参与集团重大改革，逐渐窥到了刘成功等人的经济问题和几件陈年恶性案件的真相。而刘成功的背后，还有隐藏在政府内的贪腐势力的支持。张新阳在刘成功的知遇之恩和违法犯罪面前，面临艰难抉择。而对抗这样一个庞大的利益集团，更需要非凡的勇气和智慧……,29,831,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/561/41545561/s_41545561.jpg
莫言的奇奇怪怪故事集,2022-03-15 00:00:00,精品小说-社会小说,"莫言亲自参与编选的中短篇集，收录莫言笔下最奇怪的18篇故事！本书充满了瑰丽的想象，读来仿佛在听爷爷奶奶讲述民间的精怪故事和奇人奇事。比如邻居赵三大爷的鬼魂来还生前欠我们家的债；鳖精化成人形考取功名，还会往家里写信；女子不愿嫁给父母指定的对象，成亲当天张开手臂飞上了树梢……奇奇怪怪，展现了人性的复杂性。
翻开本书，莫言带你一起去人性深幽处探险。",10,727,0,59,https://weread-1258476243.file.myqcloud.com/weread/cover/43/3300015043/s_3300015043.jpg
第七天,2018-08-01 00:00:00,精品小说-社会小说,《第七天》讲述了一个普通人死后的七日见闻：叫杨飞的人死去了，但他的灵魂似乎还没走远，他接到一通电话，殡仪馆的人抱怨他火化迟到，而即将被火化的竟是杨飞自己……他在去殡仪馆的路上经历了一系列光怪陆离的事件，以及与生前亲友的爱恨离别。生活的不易、爱情的曲折、亲情的温暖……让活着的人无从找寻出口，只能在死后的世界里得到和解与救赎。余华用拙朴简白的手法写出了深沉的悲痛和感人的温情，写尽了中国人的善良与悲哀。,3,804,0,23.7,https://weread-1258476243.file.myqcloud.com/weread/cover/74/728774/s_728774.jpg
第一次,2020-10-22 00:00:00,精品小说-社会小说,Ab initio，法律拉丁文，“自始”的意思，比如void ab initio，自始无效。恰如余白与唐宁，初遇在法学院研一报到的那一天，一个不太好的开头。毕业离校，两人走上截然不同的道路。她是交易金额二十亿的外所律师。他是案值三千块的刑辩个体户。相识十年，重逢在一场婚礼上。唐宁对余白说：一起干，你愿意吗？,30,894,0,23.03,https://wfqqreader-1252317822.image.myqcloud.com/cover/378/33307378/s_33307378.jpg
领导班子,2010-02-01 00:00:00,精品小说-社会小说,"年富力强、希望有所作为的陆国杰上任清河市市委书记后，面对拉帮结派的班子成员、动辄掣肘的工作局面，显得有些忙乱。经过认真的思考，他着重从团结巩固领导班子入手，审时度势，奇正并用，谨慎却又坚决地剖开地方关系网，顶住上面和下面的压力，撤换了部分中层干部，重用能吏，迅速掌握局面，带领清河市走上健康发展的改革之路。小说既贯穿了市委书记的官场生活、爱情生活，又以高度的理性揭示了反腐败任务的艰巨性以及官场关系的复杂性。
　　班子成员介绍
　　市委书记陆国杰
　　一把手，机谋深，有高超的政治手腕，思想解放，具开拓精神。熟谙社情民意，是具有驾驭复杂工作局面能力的务实干部。
　　常务市委副书记刘永华
　　军转干部，曾任师政治部主任，具有坚定的信念，作风正派，但囿于传统观念，对改革中出现的新问题不理解。
　　市委副书记、市长郑卫东
　　秘书出身，理论水平较高，工作能力强，敢负责，有政绩，结交广泛。不满前任书记的平庸，合伙将他赶下台，不料却迎来了新书记。
　　常务副市长孙明浩
　　交友不慎，任防潮大堤总指挥时，玩忽职守，以权谋私，贪污公款，被开除党籍、公职，判刑四年。是市场经济大潮中的溺水者。
　　市委副书记高思
　　市委班子中的少壮派，一个不可多得党务工作者，主抓精神文明建设，为人通达干练，深得一把手器重。
　　副市长张兴化
　　思想非常解放，脑子里没有老框框，胆子大敢于创新，点子足有办法，善于用新思维解决新问题。后升任常务副市长，但因生活作风问题被迫辞职。
　　纪检委书记洪安和
　　平时不多说话，看似平常，却内秀于心。处事圆通而不流俗，品性方正，同流不合污。思路清晰，进退有度，是个难得的好纪委书记。
　　组织部长关浩
　　表面上一副正人君子的模样，甚至有些古板，暗地里卖官，给钱就要，来者不拒。上任书记倒台的直接幕后推手。
",6,854,0,20.86,https://weread-1258476243.file.myqcloud.com/weread/cover/94/3300008294/s_3300008294.jpg
省委班子,2010-08-01 00:00:00,精品小说-社会小说,普天成曾是市委书记，后来靠着省长的提携，担任省政府秘书长。省长升任省委书记，普天成又到省委担任秘书长。普天成小心谨慎，深谙官场潜规则。然而在他以前担任市委书记时不慎失手。惹下大麻烦，政敌为了置他于死地，揪住他过去的事不放，这一度导致他陷入四面楚歌的境地。但普天成凭借着超人的镇静和出色的官场智慧，经过多方运作，为自己，也为省委一把手化解了这场危机。在这风云变幻．凶险莫测的官场，普天成像姜太公一样，稳坐着钓鱼台。风吹来又吹去，吹走的是别人的前程与梦想，普天成牢牢地把握着自己的航向，在坎坷中逆风而行。但是好运会一直陪伴他么？,4,743,0,1,https://wfqqreader-1252317822.image.myqcloud.com/cover/731/569731/s_569731.jpg
