title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
暗恋：橘生淮南（全集）,2020-06-01 00:00:00,精品小说-青春文学,同名电影由张雪迎、辛云来主演，预计2022年上映；同名电视剧由李木戈执导，胡一天、胡冰卿主演，2021年1月20日播出。这是一个关于暗恋的故事。只是这场暗恋的时间太漫长，长到足以唤醒每个有过暗恋经历的人的记忆。故事里，女主名叫洛枳，十几年来，她在自己的世界里演着这场暗恋的独角戏，对男主盛淮南感情复杂，既因他的优秀而被吸引，又因别的一些原因而嫉恨他。因为盛淮南，洛枳一路追随，考上了最好的大学。因为各种机缘，洛枳和盛淮南终于走近。但成长的过程和现实的压力，让两人接受了很多考验，两人是否能走到一起？洛枳的日记本到底是被谁捡取？盛淮南的家庭是不是有变动？洛枳对盛淮南的爱，到底在面对现实的考验时，会不会坚持下去？在家庭和爱情的面前，这一场暗恋，会不会无疾而终。,15,857,0,81.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/779/35279779/s_35279779.jpg
最好的我们（刘昊然、谭松韵主演）,2019-05-01 00:00:00,精品小说-青春文学,六周年纪念版，特别收录十万字全新内容别册。当时的他是最好的他，后来的我是最好的我。可是最好的我们之间，隔了一整个青春。怎么奔跑也跨不过的青春，只好伸出手道别。你还记得高中时的同桌吗？那个少年有世界上最明朗的笑容，那个女生有世界上最好看的侧影。高中三年，两个人的影子和粉笔灰交织在一起，黑白分明，在记忆里面转圈。本书以怀旧的笔触讲述了女主角耿耿和男主角余淮同桌三年的故事，耿耿余淮，这么多年一路走过的成长故事极为打动人心，整个故事里有的都是在成长过程中细碎的点点滴滴，将怀旧写到了极致，将记忆也写到了极致。,19,925,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/97/35766097/s_35766097.jpg
这么多年（全3册）,2021-08-01 00:00:00,精品小说-青春文学,本书是八月长安写的不一样的成长故事。来自小城市的陈见夏，因为中考成绩优异，特招到重点中学振华高中。在这里，家庭条件优渥同时学习成绩又好的学生给她带来了极大的压力，因为家境贫穷而自卑的她，在新的校园里处处不适应。而李燃则是依靠家庭条件而进入振华，学习不好的他却有一颗温柔的心。在和李燃的相处中，陈见夏慢慢适应了新的城市和学校，重获自信。,13,617,0,69.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/799/39961799/s_39961799.jpg
偶像失格,2022-07-01 00:00:00,精品小说-青春文学,"这是一个追星女孩的故事。 
也是一个偶像“从神坛跌落地面”的故事。 
主人公明里今年高一，她有轻度注意力缺陷，学习成绩很差，经常被拿来和姐姐比较，不仅得不到家人的认可，校园生活和打工也不顺心，追逐偶像是她暗淡生活的一束光。
4岁那年，明里第一次看少年偶像的舞台剧，他扮演的彼得·潘像精灵一样从天而降。14岁那年，明里开始追逐偶像的一切。影视作品、音乐专辑、电视节目、广告代言、周边商品，她的生活被象征应援偶像的蓝色层层包裹。 
可是有一天，偶像爆出了负面新闻，他殴打了粉丝……",3,589,0,29.99,https://weread-1258476243.file.myqcloud.com/weread/cover/59/3300023559/s_3300023559.jpg
等风降临,2021-10-01 00:00:00,精品小说-青春文学,"17岁的林绛初见江为风，是在一个“落霞与孤鹜齐飞”的黄昏。
他是肆意生长的野草，而她是一株温室的花，漫长的暗恋就此展开。
她只敢用38.6℃的ID给他点歌，远远旁观，偷偷想念。
毕业来临，彼此没有一句告别，他们各自去往不同的城市。
收拾东西的时候，江为风看到手机上林绛的QQ，昵称正是38.6℃，青春至此终结。

久别重逢，江为风心机地创造各种机会，送她回家，请她吃饭，给她买花。
他把自己的网名改成J，并配字：J是绛的意思。
她回：J也是江的意思。

故事的最后，江为风和林绛又一次回到校园。
他们讲到38.6℃的含义，二人紧紧挽着手臂。
少女时代没有等来的风，现在终于降临。",4,933,0,24.99,https://weread-1258476243.file.myqcloud.com/weread/cover/26/3300010426/s_3300010426.jpg
欢迎来到实力至上主义的教室 1-10册和番外1、2（套装共12册）,2021-10-01 00:00:00,精品小说-青春文学,"衣笠彰梧×知世俊作，人气组合再次携手合作！
动画《欢迎来到实力至上主义的教室》的原作小说。 
动画的后续从第4本开始！
献给所有苦闷学生的全新校园默示录。",19,945,0,199,https://rescdn.qqmail.com/weread/cover/329/3300003329/s_3300003329.jpg
他在云之南,2020-04-01 00:00:00,精品小说-青春文学,初见时，他一身肃杀的血腥气，陷在阴影里。他问她，你是谁？从哪儿来？在这里做什么？很久之后，她才想到了真正的答案——“我是沈寻，从遥远的北方来到云之南，是为了遇见我的爱人。”他是她的墨菲斯，赐予她罂粟般妖艳迷人的爱情梦境，摄她魂魄，惑她心智，使她成瘾。她如过河的兵卒，带着一抹旖旎，为他披荆斩棘，甘愿向前。程立，你要不要回来娶我，一个易拉罐拉环就可以求婚。——沈寻。在我一生中最黑暗的时光，有一个女人这样偏执地爱着我。——程立。,5,867,0,23.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/670/31617670/s_31617670.jpg
微微一笑很倾城,2009-08-01 00:00:00,精品小说-青春文学,前脚“前夫”才“移情别恋”娶了第一美女，后脚就有第一高手来求婚？还说要给一个更盛大的婚礼？名校计算机系的系花贝微微一边囧着，一边……飞快地嫁了。如果一个被无数人仰望的传奇人物、名校顶尖牛人，第一次见面就反问你，“我们什么时候不是那种关系了”，你会怎么反应？那人出身世家，运动全能，外表风雅，气质清华，举止从容，本质……土匪……还傲慢得要死要活……,15,843,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/524/164524/s_164524.jpg
荣耀巅峰,2020-06-01 00:00:00,精品小说-青春文学,《荣耀王者》续作。为了排位上分，女主播居然……巅峰王者荣耀归来，开启属于自己的时代！,28,871,0,-1,https://wfqqreader-1252317822.image.myqcloud.com/cover/153/33823153/s_33823153.jpg
沈医生先动的心,2021-09-01 00:00:00,精品小说-青春文学,"作为广慈医院的风云人物，众医生护士对沈医生的评价如下——
帅是真的帅，冷也是真的冷，隔着五米远都能感受到他散发出来的生人勿近的气息。
医院的小姑娘们见了他也只敢偷偷看一眼。
然而，自从骨科二室收治了一个叫赵暄和的病人后，众人惊奇地发现，沈医生的高冷人设竟然开始坍塌了……
众人：要命，院草就这么被人拐走了？
赵暄和没想到还会再遇见沈长风，也没想到他会成为自己的主治医生，更没想到他们还能重新回到学校的操场，回到他们相识的地方。
沈长风看着赵暄和刷新了八百米纪录。
——“沈太太很厉害。”
——“是沈先生当年教的好。”",3,746,0,24.99,https://weread-1258476243.file.myqcloud.com/weread/cover/46/3300008646/s_3300008646.jpg
