title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
干法,2015-05-01 00:00:00,经济理财-商业,本书的内容不过是从我粗浅的人生经验和思索中所产生的质朴的“劳动观”。但同时，它又是从我70余年的切身经历中所获得的不可动摇的“信念”，也可以说它是被实践证明了的正确的“哲学”。,16,820,0,7.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/970/649970/s_649970.jpg
硅谷钢铁侠：埃隆·马斯克的冒险人生,2016-04-01 00:00:00,经济理财-商业,"    特斯拉之父——埃隆·马斯克全球唯一授权采访自传。 埃隆·马斯克是谁？他是继乔布斯之后，硅谷最受关注的创业家和实业家。他的特斯拉电动车正在翻转全球汽车工业，目前世界上能让航空器发射再返航的只有四个：美国、俄罗斯、中国和埃隆·马斯克。 《纽约时报》、《经济学人》、亚马逊年度最佳商业图书。 罗永浩、周鸿祎、王小川、张鹏、余晨、周航撰文致敬。 你准备好读到最完整最真实的马斯克了吗？
",15,794,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/728/815728/s_815728.jpg
销售就是要玩转情商：99%的人都不知道的销售软技巧,2015-09-01 00:00:00,经济理财-商业,本书从情商出发，将销售行业中常见的销售渠道、客户心理、客户维护、谈判技巧、团队管理等问题都做了详尽的阐述，并给出了行之有效的指导方法。,17,780,0,9.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/423/915423/s_915423.jpg
激荡三十年：中国企业1978—2008（十年典藏版）（全2册）,2017-12-01 00:00:00,经济理财-商业,吴晓波没有用传统的教科书或历史书的方式来写作这部著作，而是站在民间的角度，以真切而激扬的写作手法描绘了中国企业在改革开放年代走向市场、走向世界的成长、发展之路。改革开放初期汹涌的商品大潮；国营企业、民营企业、外资企业，这三种力量此消彼长、互相博弈的曲折发展；整个社会的躁动和不安……整部书稿中都体现得极为真切和实在。作者用激扬的文字再现出人们在历史创造中的激情、喜悦、呐喊、苦恼和悲愤。改革开放的这三十年是如此的辉煌，特别对于沉默了百年的中华民族，它承载了太多人的光荣与梦想，它是几乎一代人共同成长的全部记忆。,13,865,0,58,https://wfqqreader-1252317822.image.myqcloud.com/cover/636/920636/s_920636.jpg
定位：有史以来对美国营销影响最大的观念,2013-12-01 00:00:00,经济理财-商业,"美国史上百本最佳商业经典第一名, 美国CEO最怕被竞争对手读到的商界奇书,有史以来对美国营销营销最大的观念。本书是特劳特成名作，深入阐述了定位理论和操作方法，并配有丰富的实战案例解析，指导企业家成功企业定位，获取商业成功。",58,752,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/706/602706/s_602706.jpg
爆款小红书：从零到百万粉丝的玩赚策略,2022-02-01 00:00:00,经济理财-商业,怎样做好账号定位？ 什么样的笔记更吸引用户眼球? 怎么做才能精准加粉？ 遇到账号瓶颈期怎么办？ 如何引流变现？ ……   本书作者从八大维度深度剖析了小红书的运营策略，包括：爆款逻辑、账号定位、号设化、内容创作、运营方式、复盘、引流变现、团队化运作等。为验证这些方法的实操性和可复制性，作者在12周之内，亲自将全新账号“吕白聊内容”做到了3万粉丝，且成功变现40万元。希望这本书可以帮你在众多博主中脱颖而出，迅速涨粉变现，成为一个赚钱的小红书博主。,6,643,0,37.99,https://weread-1258476243.file.myqcloud.com/weread/cover/36/3300010436/s_3300010436.jpg
雪球特别版：段永平投资问答录（投资逻辑篇）,2020-12-04 00:00:00,经济理财-商业,段永平：著名企业家，小霸王品牌缔造者，步步高创始人，vivo和OPPO联合创始人，网易丁磊生命中的贵人，拼多多黄峥的人生导师。段永平同时也是著名投资人，早期投资网易获100倍以上回报，目前重仓茅台、苹果等优质公司。不管是作为管理者，还是作为投资人，段永平都是非常成功的，本期雪球专刊精选出段永平关于投资逻辑的问答录，阅读本文能领略段永平对于投资的深刻理解，希望各位通过这本书能读懂段永平的投资智慧，对各位的工作学习投资能有所帮助。,13,917,0,0.1,https://wfqqreader-1252317822.image.myqcloud.com/cover/924/35679924/s_35679924.jpg
雪球特别版：段永平投资问答录（上册·商业逻辑篇）,2020-09-21 00:00:00,经济理财-商业,段永平：著名企业家，小霸王品牌缔造者，步步高创始人，vivo和OPPO联合创始人，网易丁磊生命中的贵人，拼多多黄峥的人生导师段永平同时也是著名投资人，早期投资网易获100倍以上回报，目前重仓茅台、苹果等优质公司。不管是作为管理者，还是作为投资人，段永平都是非常成功的，本期雪球精选出段永平关于商业逻辑的问答录，阅读本文能领略段永平对于商业的深刻理解，希望各位通过这本书能读懂段永平的商业智慧，对各位的工作学习投资能有所帮助。,14,906,0,0.1,https://wfqqreader-1252317822.image.myqcloud.com/cover/817/34560817/s_34560817.jpg
运营之光：我的互联网运营方法论与自白,2016-09-01 00:00:00,经济理财-商业,在互联网行业内，“运营”这个职能发展到一定阶段后，往往更需要有成熟的知识体系和工作方法来给予行业从业者们以指引。《运营之光：我的互联网运营方法论与自白》尤其难得之处在于：它既对“什么是运营”这样的概念认知类问题进行了解读，又带有大量实际的工作技巧、工作思维和工作方法，还包含了很多对于运营的思考、宏观分析和建议，可谓内容完整而全面，同时书中加入了作者亲历的大量真实案例，让全书读起来深入浅出、耐人寻味。,13,778,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/893/850893/s_850893.jpg
增长黑客,2018-01-01 00:00:00,经济理财-商业,脸谱网如何从默默无闻到坐拥二十几亿用户？爱彼迎、优步何以在短短时间估值超过百亿美元？领英怎样跨步成为全球的职业社交平台?这些初创公司实现爆发式成长的共同奥秘就是增长黑客。增长黑客是硅谷当下热门的新商业方法论，其精髓在于通过快节奏测试和迭代，以极低甚至零成本获取并留存用户。作为早提出“增长黑客”概念的理论先驱、带领Dropbox实现500增长的实战领军人物，作者在书中分享了如何跨部门搭建增长黑客团队，以及实现用户和利润双增长的具体行动指南。该书一经出版，便被科技公司奉为运营圭臬。,10,816,0,35.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/228/922228/s_922228.jpg
从零开始做运营,2015-12-01 00:00:00,经济理财-商业,"运营是什么？怎样做运营？产品和运营是什么关系？我是否适合从事互联网运营？《从零开始做运营》涵盖了互联网运营的精髓与核心内容，从运营是什么讲起，涉及内容运营、用户运营、活动运营、数据分析等多个方面，涵盖互联网运营的全部环节，张亮结合自身经验，讨论了大量经典运营案例，以便读者更好地掌握运营的精神。
除了为互联网运营人员提供有关全面而科学的运营知识与案例，《从零开始做运营》也为那些徘徊于互联网行业大门外的年轻人指明方向，在互联网大热的今天，互联网运营成为一个越来越重要的岗位。很多年轻人带着对互联网的热情投身到这个行业，却发现自己对这个行业所知甚少，对互联网运营更加陌生，甚至有一些有志于从事互联网运营的人，因为对其缺乏了解而难以确定职业发展方向，《从零开始做运营》将为他们开启一扇从学校到社会、从入门到入行的窗。
通过《从零开始做运营》，你可以全面了解运营工作的范围、职责、核心，确立科学的运营观念和思路，掌握精妙的运营技巧与策略，并更好地规划职业发展方向。读了这本《从零开始做运营》，你将不再是一个运营新手，而是一个拥有成熟的运营逻辑体系的运营人。",14,727,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/819/812819/s_812819.jpg
腾讯传1998-2016：中国互联网公司进化论,2017-01-01 00:00:00,经济理财-商业,"★腾讯官方唯一授权的权威传记
★著名财经作家吴晓波倾力之作
★当市值最高的中国互联网公司，遇上中国财经界最冷静的一双眼睛。

读懂腾讯，读懂中国互联网！本书全景式地记录了腾讯崛起的经历，并以互联网的视角重新诠释了中国在融入全球化进程中的曲折与独特性。
从1998年开始创业到成为世界级互联网巨头，腾讯以即时通信工具起步，逐渐进入社交网络、互动娱乐、网络媒体、电子商务等领域，在超高速发展的同时亦饱受争议，在“3Q大战”的激烈冲突之后又进一步走向开放……
腾讯的发展路径，亦是中国互联网企业成长的缩影。我们可以看到，中国的互联网人在应用性迭代和对本国消费者的行为了解上，找到了自己的办法，并开始领跑全球。",15,781,0,38,https://wfqqreader-1252317822.image.myqcloud.com/cover/471/432471/s_432471.jpg
