title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
富爸爸穷爸爸（20周年修订版）,2017-09-01 00:00:00,经济理财-理财,清崎有两个爸爸：“穷爸爸”是他的亲生父亲，一个高学历的教育官员；“富爸爸”是他好朋友的父亲，一个高中没毕业却善于投资理财的企业家。清崎遵从“穷爸爸”为他设计的人生道路：上大学，服兵役，参加越战，走过了平凡的人生初期。直到1977年，清崎亲眼目睹一生辛劳的“穷爸爸”失了业，“富爸爸”则成了夏威夷的有钱人。清崎毅然追寻“富爸爸”的脚步，踏入商界，从此登上了致富快车。清崎以亲身经历的财富故事展示了“穷爸爸”和“富爸爸”截然不同的金钱观和财富观：穷人为钱工作，富人让钱为自己工作！本次20周年修订版还在内容上做了以下几项升级：1.内附作者罗伯特·清崎的来信2.“20年后的今天”贯穿全书，以今天的经济形势来印证富爸爸当初的理念3.核心思想提炼，方便回味经典、巩固记忆4.融入新型学习模式，让你对本书的理解更高效,11,831,0,24,https://wfqqreader-1252317822.image.myqcloud.com/cover/930/23601930/s_23601930.jpg
纳瓦尔宝典,2022-05-01 00:00:00,经济理财-理财,致富不是靠运气，幸福也不是从天而降的。积累财富和幸福生活是我们可以学习的技能。这本书收集整理了硅谷投资人纳瓦尔在过去十年里通过推特、播客和采访等方式分享的人生智慧，向读者分享了纳瓦尔关于财富积累和幸福人生的原则与方法。纳瓦尔不仅告诉读者怎样致富，他还告诉读者怎样看待人生，怎样获得幸福。他对财富、人生的思考将帮助你走自己独特的道路，过上更富有、更幸福的生活。,13,885,0,47.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/191/44026191/s_44026191.jpg
炒股的智慧,2010-12-01 00:00:00,经济理财-理财,《炒股的智慧》是一本教授炒股技巧的书。作者出生于中国，上海交通大学毕业后赴美留学，取得机械工程硕士学位，又在商学院国际金融专业学习，研究世界各地的金融市场和国际金融，现专职基金管理。作者在美国生活了35年，和来自全世界的不同种族和文化背景的人打过交道，体会是人性共通。因此，这本书没有什么复杂的理论和公式，大多是从人性的角度来分析股票价格的涨和跌。作者认为，人性中根深蒂固的恐惧、希望、贪婪影响着炒股者所做的每一个决定，使他们常常做不到自己知道应该做的事，要完全克服人性中的弱点是很困难的。,13,878,0,13,https://wfqqreader-1252317822.image.myqcloud.com/cover/716/33209716/s_33209716.jpg
聪明的投资者（第4版，注疏点评版）,2016-03-01 00:00:00,经济理财-财经,《聪明的投资者》（第4版注疏点评版）首先明确了“投资”与“投机”的区别，指出聪明的投资者当如何确定预期收益。《聪明的投资者》（第4版注疏点评版）着重介绍防御型投资者与积极型投资者的投资组合策略，论述了投资者如何应对市场波动。《聪明的投资者》（第4版注疏点评版）还对基金投资、投资者与投资顾问的关系、普通投资者证券分析的一般方法、防御型投资者与积极型投资者的证券选择、可转换证券及认股权证等问题进行了详细阐述，为普通人在证券投资策略的选择和执行方面提供了重要指导股神巴菲特为本书撰写的序言和评论是这个版本的又一个亮点。,12,882,0,70.4,https://weread-1258476243.file.myqcloud.com/weread/cover/16/3300014116/s_3300014116.jpg
财务自由之路Ⅰ：7年内赚到你的第一个1000万,2017-03-01 00:00:00,经济理财-理财,"全球销量超1000万册；连续110周雄居德国图书排行榜榜首！
拥有财富是每个人生来便被赋予的权利，每个人都可以通过长期计划变成有钱人！这本书将为你提供一生中的最佳投资理财策略！你是不是因为金钱问题而烦恼？每个月都是死薪水，是不是感觉致富无望？为什么自己的投资总是受挫？能不能在不丧失生活乐趣的情况下正确省钱？能不能立刻让自己的收入大幅提高？博多·舍费尔通过介绍梦想、目标、价值观和策略这四大致富支柱，指导各阶层的读者转变理财观念，运用有效的投资理财策略，在保证财务安全的前提下，实现财务自由。《财务自由之路》的投资理财理念和策略，已经让成千上万的读者解决财务问题并最终实现财务自由。捧读此书的你，已经走在通往富裕的路上。",8,753,0,18.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/738/928738/s_928738.jpg
股票作手回忆录,2015-01-01 00:00:00,经济理财-理财,股票作手回忆录--巴菲特指定股市赢利必读书全新升级；史上最牛散户从5元本金到月入1亿的、唯一一个影响了三代股神的股票大师“百年美股第一人”利弗莫尔·索罗斯、格雷厄姆、彼得林奇、王亚伟等倾情注解或盛赞。,8,900,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/283/33284283/s_33284283.jpg
价值：我对投资的思考,2020-09-01 00:00:00,经济理财-理财,全书共3个部分10个章节，介绍了张磊的个人历程、他所坚持的投资理念和方法以及他对价值投资者自我修养的思考，还介绍了他对具有伟大格局观的创业者、创业组织，以及对人才、教育、科学观的理解。书中包含大量珍贵资料，不仅有首次提出的7大高瓴公式，详细拆解的10多个投资案例，还有11张精致手绘彩插和19张珍贵照片。,14,739,0,69.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/958/33577958/s_33577958.jpg
半小时漫画股票实战法,2020-01-01 00:00:00,经济理财-理财,任何一个可以在股市稳定盈利的人，背后都有一套自己的交易系统。本书漫画主角王老师是个基层职员，他收入平平，生活普通。但他靠炒股实现了人生大翻转：个人资产超过5亿元，完全实现财务自由，每天工作4小时，不需看人脸色，在全世界多个国家拥有多套海滨度假别墅，而且夫妻恩爱……王老师说：“要不是股市，我们这种人将一事无成，日子也过得紧巴巴，更别妄想住别墅、开大奔了。”那么，王老师是怎么从血本无归摸索到自己的固定交易系统的呢？本书从指标、均线、成交量、盘口、战法、选股这6个方面，复盘了王老师的成功过程。其中既有基础知识、又有实操技巧，搞笑的漫画配上风趣的语言，读者在轻松阅读中就完成了知识积累，可谓实战扫盲利器，非常适合自学者。,15,811,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/606/30914606/s_30914606.jpg
股票大作手回忆录,2017-11-01 00:00:00,经济理财-理财,这本书记录了美国股票史上传奇人物杰西·利弗莫尔（JesseLivermore）的投机生涯。他把天赋、才华和热情倾注在金融市场上。他被人们称为“少年作手”和“华尔街巨熊”。他在14岁与人凑了5美元进场，15岁赚到一千美元，21岁赚到一万美元，24岁赚到五万美元，29岁身价百万美元，30岁身价三百万美元，52岁身价一亿美元。美国总统威尔逊曾亲自召见他，华尔街之王摩根先生也找人跟他协商。1929年，他做空股市赚走一亿美元，成为股票历史上疯狂的大空头。他一生四起四落，赢得很多的掌声，也留下很深的遗憾。他的操作经验至今仍是股市的教科书，被彼得·林奇、巴菲特、索罗斯、格雷厄姆等推崇。,8,884,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/836/22661836/s_22661836.jpg
富爸爸财务自由之路,2017-10-01 00:00:00,经济理财-理财,清崎上完大学，有了一份稳定的高薪工作，这是“穷爸爸”一直以来对他的期望；但他牢记“富爸爸”的话：“只有实现了财务自由，才能拥有真正的自由。”于是他毅然辞去工作，走上了投资和创业之路，在47岁时实现了财务自由。从此，他不需朝九晚五地被动工作，不需量入为出，他可以自由地做自己爱做的事，因为投资会为他带来源源不断的现金流。 书中归纳出了4个现金流象限：雇员、自由职业者、企业主和投资人，具备投资人和企业主的技能，才更容易致富；详细介绍了这些观念和技巧，把投资人细分为7个等级，帮你看清自己的财务状况；更列出了7个完整的步骤，指引你走上财务自由之路,9,786,0,33.75,https://wfqqreader-1252317822.image.myqcloud.com/cover/63/786063/s_786063.jpg
彼得·林奇的成功投资（典藏版）,2018-02-01 00:00:00,经济理财-理财,作者用浅显生动的语言娓娓道出了股票投资的诸多技巧，向广大的中小投资者提供了简单易学的投资分析方法。这些方法是作者多年的经验总结，具有很强的实践性，对于业余投资者来说尤为有益。作者首先告诉投资者的就是这样一条投资规则：不要相信投资专家的建议！作者认为投资者只要对股票认真做一些研究，其成绩不会比专家差。此外，作者认为业余投资者有很多先天的优势，如果他们把这些优势发挥出来，在投资时就会比专家做得还出色。,36,926,0,40,https://wfqqreader-1252317822.image.myqcloud.com/cover/610/937610/s_937610.jpg
牛奶可乐经济学（完整版）,2017-01-01 00:00:00,经济理财-理财,"《牛奶可乐经济学》是用经济学的原理和方法来解释我们在现实中司空见惯而又未注意到的现象，并通过这些事例和解释来加深人们对经济学的理解。比如，为什么牛奶的盒子是方的，可乐的瓶子是圆的；为什么酒吧中不值钱的水要收费而花生米却免费；为什么女模特的收入高于男模特。
虽说很多人以为经济学不可思议、难以理解，可它的基本原理简单又实际。根据具体事例理解这些原理，谁都能毫不费力地掌握它。本书收录的100多个事例是经济学家罗伯特·弗兰克在自己的经济学概论课上布置的书面作业，他要求学生利用经济学原理，探讨亲身观察到的事件或人们行为模式中的有趣问题，并将之写成普通人一看就懂的500字短文。仔细阅读本书，将教会您用经济学家的眼光看待生活和工作，并在不同的环境下巧妙地应用经济学原理。
如果你正在犹豫是否去商场的折扣卖场，如果你正在为买博物馆套票举棋不定，如果你正在为租婚纱还是买婚纱犯愁，如果你正在考虑换一份清闲的工作……那么这本书中千奇百怪的例子，加上妙趣横生的分析一定会对你有所帮助。",9,654,0,35.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/342/701342/s_701342.jpg
思考致富,2008-04-01 00:00:00,经济理财-理财,"    《思考致富》是作者最有代表性和最受欢迎的成功经典，成为无数人前行的灯塔和路标，整整影响了读者近70年。本21世纪修订版由著名哲学博士与演讲家亚瑟?R?培尔完成，在原版的基础上删掉了20世纪30年前后的轶闻，并增加了一些新的事例，包括比尔?盖茨、玛丽·凯、迈克尔·乔丹等。书中归纳阐述了获取财富的13大步骤。你所取得的一切成就，你所获得的一切财富，最初都源于一个想法！如果你已经为接受《思考致富》的秘诀做好了准备，那你就拥有了秘诀的一半，当别一半闪入你的脑海时，你便一眼就能识别出来。
",6,760,0,1,https://wfqqreader-1252317822.image.myqcloud.com/cover/424/629424/s_629424.jpg
巴菲特致股东的信：投资者和公司高管教程（原书第4版）,2018-03-01 00:00:00,经济理财-理财,关于沃伦·巴菲特的书很多，我也写过两本书分析他的投资方法。此外，还有两本关于巴菲特的传记，以及一些关于他的风趣和魅力的短篇。尽管已经有了这么多关于他的书，但还是无法取代一个事实。在很多时候，我多么希望有这样一本书，能让我重新阅读巴菲特在伯克希尔公司年报里呈现的那些经典段落。,22,863,0,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/768/928768/s_928768.jpg
