title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
置身事内：中国政府与经济发展,2021-01-01 00:00:00,经济理财-财经,本书是复旦大学经济学院副教授兰小欢多年教学与研究内容的凝练，将经济学原理与中国经济发展的实践有机融合，以地方政府投融资为主线，深入浅出地论述了中国经济的发展，广泛采纳各领域学者全新研究成果。全书分上下两篇。上篇解释微观机制，包括地方政府的基本事务、收支、土地融资和开发、投资和债务等；下篇解释这些微观行为与宏观现象的联系，包括城市化和工业化、房价、地区差异、债务风险、国内经济结构失衡、国际贸易冲突等。最后一章通过对中国政治经济体系的论述，作者简明地刻画了地方政府进行经济治理的基本方式，指出中国政府通过深度介入工业化和城市化的进程，在发展经济的同时逐步推动了市场机制的建立和完善。,24,964,0,35,https://wfqqreader-1252317822.image.myqcloud.com/cover/543/40055543/s_40055543.jpg
怪诞行为学（全四册）（新版）,2017-12-01 00:00:00,经济理财-财经,你会心安理得地把办公室的铅笔拿回家给孩子用吗？“因为路上堵车，所以我迟到了”这样的借口是否常挂在你的嘴边？穿戴冒牌服饰会不知不觉降低我们的道德底线吗？面对诱惑，医生、专家、的意见还有几分可信？我们一贯倡导的团队合作会让我们更诚实还是更不诚实？这一次，行为经济学家丹·艾瑞里聚焦于人们欺骗行为的动因，带领读者走进非理性背后的诚实的真相。丹·艾瑞里通过大量的实验和例证在书中探究了那些导致我们不诚实的原因，以及我们如何能在为自身利益选择不诚实的同时还能维护自身形象。同时还研究了不诚实的社会动因，以及不诚实的行为是怎样发生作用的，并找出一些有趣的方法来克制和限制这种行为。,33,796,0,108,https://wfqqreader-1252317822.image.myqcloud.com/cover/592/924592/s_924592.jpg
原则：应对变化中的世界秩序,2022-01-01 00:00:00,经济理财-财经,自然界的发展是有规律的，而任何事物都按其固有的轨迹运行。人们能够用一定的方法去认识它、体验它、并按照客观规律改造它。从《原则》《债务危机》到《原则：应对变化中的世界秩序》，桥水投资公司创始人瑞·达利欧的研究角度涉及个体、组织、社会和世界。他想揭示的是个体的生活和工作原则、组织机构的运转原则、国家和社会的兴衰原则、世界秩序的变化原则。在这本书中，瑞·达利欧探究的是社会和世界的运行规律和原则，他考察了500年财富和权力的所有重大变化背后反复出现的模式和因果关系。他认为在这些变化背后存在着永恒普适的规律。通过考察许多相互关联的历史事件，可以看到这些变化的典型模式、规律、周期和因果关系，并以此为基础推断未来。达利欧认为，历史通常也是通过相对明确的生命周期、随着一代人向下一代人的过渡而逐步演进的。目前相对财富、权力和世界秩序正在发生典型的巨变，这将对所有国家的每个人都产生深远的影响……这本书的分析和探究建立在达利欧独创的债务大周期、历史大周期的基础之上，揭示的是变化背后的永恒和普遍的力量，以此展望未来，搞清世界的运行原理，总结出永恒普适的原则，从而妥善地应对当前形势。,8,915,0,135,https://wfqqreader-1252317822.image.myqcloud.com/cover/53/42689053/s_42689053.jpg
半小时漫画经济学系列（共4册）（独家定制版）,2020-09-01 00:00:00,经济理财-财经,全网1300万粉丝的漫画式科普开创者陈磊（混子哥）及其团队继《半小时漫画中国史》《半小时漫画唐诗》系列之后推出的又一科普大作！用特别有趣的方式，讲清楚特别艰深的经济学原理！零基础搞懂九大理财方式的原理、优点及风险，理财不再盲目选！用历史上著名的金融危机事件抖包袱，一目了然地展现经济发展规律：石油危机、黑色星期一、亚洲金融风暴、次贷危机、做空……通过手绘漫画和段子，将经济学与现实生活中安身立命的问题相结合,11,814,0,99.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/836/26629836/s_26629836.jpg
贫穷的本质：我们为什么摆脱不了贫穷（修订版）,2018-09-01 00:00:00,经济理财-财经,他们曾被说成是白人的负担，是弱国劣政的牺牲者。 他们是最底层的10亿人，生活在每天0.99美元的贫困线之下。 数万亿美元的援助未能救他们于水火之中， 他们，依然深陷贫穷的陷阱，前路不明…… 5年以来，为了弄清为什么会贫穷，贫穷又会导致哪些特定问题，从而不断让穷人陷入无法逃离“贫穷陷阱”的怪圈，两位作者深入五大洲多个国家的穷人世界，调查贫困人群最集中的18个国家和地区，从穷人的日常生活、教育、健康、创业、援助、政府、NGO等生活的多个方面，探寻贫穷真正的根源。 同时，本书也对关于贫穷的一些流行观点进行了反思，比如援助越多穷人的依赖性越强，外部援助不起作用等等。他们指出，多年来的扶贫政策大都以失败而告终，原因就在于人们对于贫穷的理解不够深刻，好钢没有用在刀刃上。他们通过大量的实例，提出了一些实用性较强的建议，寻找那些经得起检验的扶贫方案，为政策制定者、慈善家、政治家及所有希望天下脱贫的人提供了重要指导。,7,674,0,34.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/985/24275985/s_24275985.jpg
资本论（超值白金版）,2010-05-01 00:00:00,经济理财-财经,这是马克思花费40年的光阴，用毕生的心血写成的一部著作，它既是政治经济学的光辉巨著，也是马克思主义的百科全书。这部巨著第一次深刻地分析了资本主义的全部发展过程，阐述了资本主义商品生产、流通和分配的基本理论，揭示了经济发展的客观规律，具有划时代的历史意义。,20,824,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/939/920939/s_920939.jpg
聪明的投资者（第4版，注疏点评版）,2016-03-01 00:00:00,经济理财-财经,《聪明的投资者》（第4版注疏点评版）首先明确了“投资”与“投机”的区别，指出聪明的投资者当如何确定预期收益。《聪明的投资者》（第4版注疏点评版）着重介绍防御型投资者与积极型投资者的投资组合策略，论述了投资者如何应对市场波动。《聪明的投资者》（第4版注疏点评版）还对基金投资、投资者与投资顾问的关系、普通投资者证券分析的一般方法、防御型投资者与积极型投资者的证券选择、可转换证券及认股权证等问题进行了详细阐述，为普通人在证券投资策略的选择和执行方面提供了重要指导股神巴菲特为本书撰写的序言和评论是这个版本的又一个亮点。,12,882,0,70.4,https://weread-1258476243.file.myqcloud.com/weread/cover/16/3300014116/s_3300014116.jpg
宏观经济通识课,2019-10-01 00:00:00,经济理财-财经,宏观经济究竟研究什么？通货膨胀到底是怎么来的？谁能为通货膨胀买单？中国经济回暖了吗？如何能让人人都能读懂经济学知识，发现经济学之美，是韩秀云教授三十五载清华讲堂上的一项艰巨任务。本书用幽默的语言、有趣的故事、独特的历史视角，帮助读者洞悉日常生活现象背后的经济思维，理解经济学基本理论与常识。没有枯燥的理论和无休止的图表，让经济学知识生动起来，让我们看清经济发展大趋势，透视复杂世界的真实逻辑。,8,903,0,40.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/804/38259804/s_38259804.jpg
国富论,2014-11-01 00:00:00,经济理财-财经,《国富论》，原名《国民财富的性质和原因的研究》，是一部经济学专著，也是学术领域内颇具影响力的一部作品。本书共分五篇，总结了近代初期各国资本主义发展的经验，批判吸收了当时的重要经济理论，对整个国民经济的运动过程作了系统的描述，为经济学确定了完整的架构，奠定了资本主义自由经济的理论基础，第一次提出了市场经济会由“看不见的手”自行调节的理论。该书的问世成为了现代政治经济学研究的起点，使经济学成为了一门独立的科学。,30,862,0,2,https://wfqqreader-1252317822.image.myqcloud.com/cover/985/650985/s_650985.jpg
一本书读懂财报（全新修订版）,2019-06-12 00:00:00,经济理财-财经,本书是一部进行财报解读、财务分析的经典著作，被读者们誉为“读过的财务入门书里最好的一部”，同时也是中国大学MOOC平台最精品课“财务分析与决策”的配套参考书、喜马拉雅FM收听超500万次音频课的进阶版图书。自2014年首次出版以来，本书长年占据当当、京东经管类畅销书榜单，影响了无数财务行业初学者、投资人和企业管理层，被众多企业指定为中层及以上管理者必读图书。此次，清华大学经济管理学院教授、会计系系主任肖星老师对原版书做了全面修订，一方面使本书内容符合新会计准则要求，另一方面还补充了全新的案例，新内容占总篇幅的五分之一。全书从解读资产负债表、利润表、现金流量表三大财务报表和它们之间的关系出发，为你搭建财务报表骨架，剖析财务数据背后的秘密。读完本书，财务行业初学者将轻松掌握财务分析的方法与技巧，投资人能轻松判断企业的价值，企业管理者能轻松看穿企业的管理效率、盈利能力、抗风险能力和未来发展前景。秒通财报，就从本书开始。清华大学会计系系主任、喜马拉雅FM头部KOL肖星倾囊相授，专门为财务零基础的初学者和非财务专业人士编写，曾被读者誉为“读过的财务入门书里最好的一部”。中国大学MOOC平台精品课“财务分析与决策”的配套参考书、喜马拉雅平台收听超500万次音频课的进阶版图书。豆瓣评分8.9分，长年占据dangdang、jingdong经管类畅销书榜单，电子书销量位列kindle会计类图书首位。经久不衰的经典之作，按新会计准则全面修订，补充加入全新案例，新内容占全书总篇幅的五分之一。接地气、易上手的财报分析技巧，秒通财报就从本书开始。一本书让你吃透财务报表，看穿隐藏在数据背后的秘密；一本书让管理者管好企业，让投资人投对标的，让股东掌握企业的真相。肖星清华大学经济管理学院教授、会计系系主任，清华大学全球私募股权研究院执行院长，曾获得北京市师德先锋称号、清华大学“良师益友”奖、清华大学年度教学优秀奖。同时在MOOC平台讲授“财务分析与决策”课程，在喜马拉雅FM讲授“肖星的财务课：人人都需要财务思维”课程。兼任全国会计专业硕士学位教育指导委员会委员、教育部会计专业教学指导委员会委员。其主要研究领域为财务分析、财务管理、公司治理和资本市场会计问题，文章发表于一系列国内和国际顶尖学术期刊，有著作《上市公司财务问题及分析》和译著《财务报表分析——估值方法》。,21,883,0,22.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/996/32440996/s_32440996.jpg
