title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
汉字书法之美,2009-11-01 00:00:00,艺术-书法,五千多年前，象征黎明曙光的第一个汉字出现了，文字在天地之间被创造出来，在动物骨骸、金属、石头、竹简、纸帛上被记录下来，在各个朝代以或沉重朴厚，或飞扬婉转，或森严宏大，或肆意狂放的书写线条，完成了每个时代美学最集中的表现。到了现代，汉字不曾消失、不肯遗忘，更将拥有悠长丰沛的活力。走出户外去上一堂书法课吧，看看大自然间处处流动的线条之美，打开我们感知世界的能力。给自己一趟感受生活的文字巡礼吧，匾额对联、招牌标志、舞蹈绘画，字不再只是文字，都有它触动人心的美丽与惊喜。蒋勋说：书法是呼吸，是养生，是身体的运动，是性情的表达，是做人处事的学习，是安定保佑的力量，是生活现实里的记忆，是还原到初写自己名字时的认真……作者以他独特的美学情怀，述说动人的汉字书法故事。文字编织成画面，我们走进了那古老却又现代的汉字时间光廊，东方书写的敬意与喜悦，就在你我的指间心中！,12,845,0,38.84,https://wfqqreader-1252317822.image.myqcloud.com/cover/329/26785329/s_26785329.jpg
书法基础教程(第二版),2019-07-01 00:00:00,艺术-书法,本书包括规范书写知识，硬笔书法常识，硬笔楷书技法，硬笔行书技法，粉笔字书写，毛笔书法常识，书法简史，毛笔楷书技法，毛笔行书技法，毛笔隶书技法，毛笔篆书技法、古代书论选读。本书系统讲解写字和书法艺术的知识和技法，语言通俗易懂，理论操作性强，是作者多年教学经验的总结和提炼。其中很多理论都是作者的原创，而且经过教研实践检验，行之有效。如楷书笔画技法中的笔法训练，方法独特，训练科学，效果显著；楷书结构的原则要言不烦，并以图解的方式进行讲解，读者一目了然。本书在规范、美观的基础上引导学生学习古代书法文化，提升学生人文素质。,19,843,0,25.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/334/26832334/s_26832334.jpg
中国书法一本通,2017-11-01 00:00:00,艺术-书法,全书图文并茂，深入浅出地介绍了中国书法艺术的源流和基本特征，并以石刻、墨迹等历代书法杰作为根据，细说中国书法的风格演变，详解历代书法大师的艺术特征和书写技法，同时通过实例生动展示执笔、运笔、点画、结构、布局等书法技巧。书法不是停留在技巧层面的艺术，它直接和人的精神境界相通。书法是表现人的精神与万物哲理的艺术，它还可以表现社会与大自然蕴含的美的规律。书法表现美，蕴含一切美学特征，正所谓“备万物之情状”，它在中国人的生活中无处不在。书法与居住文化、景观文化、教育文化、宗教文化、政治文化、钱币文化、民间礼仪习俗及绘画艺术、建筑艺术、舞蹈艺术、工艺美术等都密切相关。可以说，我们的美好生活是离不开书法艺术的，学习书法是很多热爱中国文化艺术的人的需要。,39,768,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/153/26188153/s_26188153.jpg
与书法相伴的生活,2021-12-01 00:00:00,艺术-书法,"由书画家林曦创办的暄桐教室采访了来自不同职业、年纪、际遇的书法学习者，倾听他们由书法而生的真诚故事与生活心得，并总结概括为学习写字的过程中的10个关键词：开始、收获、困难、方法、时间、通会、安心、老师、他人、传统。
    书法是写字，但远不只是写字。借由写字这一事，书中分享了一套关于生活和成事的解决方案：如何开始一门技艺的学习；如何高效利用时间；如何应对困难；如何与生活和解、安住此刻……这些由书法而生的经验与智慧，可以平移到生活的各个方面。
    从一笔、一纸、一墨、一碑帖开始，进入书法的世界，享受与自己独处、与古人应心的时光。许多的变化、进益和美好，会由此开始生长。",5,759,0,46.8,https://weread-1258476243.file.myqcloud.com/weread/cover/27/3300016727/s_3300016727.jpg
精讲细解兰亭序,2019-11-01 00:00:00,艺术-书法,本书可以使学习者打好书法的基本功，并且将兰亭序的每个字做了剖析、图解，从起笔收笔，到节字结构，都做了详细的图解分析，让学习者可以直观的了解字的写作技巧，并且可以触类旁通，真正将一种字体掌握好。并附多种行书碑帖的原文，经典再现。,6,913,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/523/34354523/s_34354523.jpg
行书唐诗三百首,2017-01-01 00:00:00,艺术-书法,《行书唐诗三百首》所选诗作，都是唐诗中脍炙人口的佳作名篇，其中包括唐诗各个时期各个流派的代表作。非常广泛，包括自然现象、政治动态、劳动、社会生活等等，比较全面地反映了唐诗了全貌。难为可贵的是，《行书唐诗三百首》选用唐诗，都是由书法大家，如王羲之、柳公权、欧阳询等人的行书字拼凑而成，可以使得读者在陶醉在唐诗意境的同时，欣赏到书法大家的行书书法，一举两得。,115,738,0,22.93,https://wfqqreader-1252317822.image.myqcloud.com/cover/32/23590032/s_23590032.jpg
中国书法史,2020-09-26 00:00:00,艺术-书法,本书对中国书法的历史渊源、书体沿革、风格嬗变等作了鸟瞰式的描述。作者吸收最新的学术研究成果，以个人对书法史的理解，阐释中国书法史上的若干现象，着力介绍了书法史上重要的书法作品、书家、时代风尚和艺术流派，总结书法艺术发展的内在脉络。本书除梳理中国书法中“碑”、“帖”的渊源外，还对历代书风形成的文化环境、历代书法著录和刻帖、历代书论等作概要描述。附录历代书论文献举要、中国书法基本书目三十种，便于读者检索，进一步深入了解中国书法艺术。全书图文并茂，多见新意，被著名学者卞孝萱教授誉为“简明书史之最新力作”。,10,875,0,25.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/118/34868118/s_34868118.jpg
图说汉字与书法,2018-05-01 00:00:00,艺术-书法,本书将汉字的演变与中国的书法相结合，共分六个单元，38个章节，每个章节又分成识字篇和写字篇两大部分。,27,833,0,32.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/423/23233423/s_23233423.jpg
散木著作集：钢笔字写法,2018-04-01 00:00:00,艺术-书法,《钢笔字写法》成书于1959年前后，在邓散木先生生前未曾付印。直至1982年3月，在邓散木之女邓国治的支持和协助下，才由上海书画出版社刊行。而此时原稿中“行书部分”中的“行书基本笔画”已经散失，出版社于是根据邓氏生前出版的《行书练习本》做了补充。嗣后此书一再重印，广受欢迎，成为人们耳熟能详的钢笔书法参考书。,5,903,0,11.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/829/39983829/s_39983829.jpg
启功给你讲书法（典藏版）,2017-12-01 00:00:00,艺术-书法,本书是《启功给你讲书法》（中华书局2005年版）一书的升级版，也是为纪念启功先生诞辰一百周年推出的特别纪念版。在原有十三个篇章之外，又增加了《启功论书散札》《漫谈学习书法》两篇文字，替换了部分图片，改单色印刷为全彩印刷，并附赠启功先生上世纪初给学生讲解演示书法的音像光盘一张。,4,884,0,28.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/624/25789624/s_25789624.jpg
