title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
舞蹈形体训练基础,2011-03-01 00:00:00,艺术-舞蹈,王诗漪编著的《舞蹈形体训练基础》主要选择和运用了中国古典舞的身韵和身法训练，是为各大院校的学前教育专业（幼师专业）提供的舞蹈课程中基本功训练部分的教材。由于学前教育专业的专业特性决定了其舞蹈课程非专业性的同时而又要求学习内容严谨规范，并可以根据幼儿教育的需要具有传统特点和可变性，因而选取了以中国古典舞为主的训练方法，通过对专业中国古典舞训练素材的分析和筛选，通过地面练习，把杆练习，中间练习以及中国古典舞身韵的基本练习循序渐进地训练身体各个关节的灵活性以及肌肉韧带的柔韧性，掌握基本的直，绷，开的要领，克服身体的自然体态，获得正确的直立感。学习有关舞蹈的基本知识，术语，常用舞姿，培养节奏感和身段的协调性。教材主要包括以下四个部分：地面素质训练、把杆素质训练、中间素质训练、古典身韵训练。,5,772,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/26/638026/s_638026.jpg
从零开始学芭蕾（全彩图解版）,2016-11-01 00:00:00,艺术-舞蹈,本书介绍了基本的芭蕾舞蹈技巧，使用丰富的教学实拍图讲解具体动作，包括基础的脚部、手臂动作和基本的芭蕾舞蹈动作练习，同时介绍了芭蕾舞的基础知识，如礼仪、服饰及芭蕾训练的益处等。您还将通过本书学习到如何为成为一名专业的舞蹈演员做准备，以及练习中如何合理摄入适当的营养和水分，并避免身体受伤。,6,605,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/439/24980439/s_24980439.jpg
少儿舞蹈身体条件开发与能力训练,2019-12-01 00:00:00,艺术-舞蹈,针对广大3-12岁儿童及青少年舞蹈普及性教育而编写的基本功训练专门教材。这部教材就现阶段的普及型舞蹈教育所面临的普遍问题进行了重点关注，并针对舞蹈教学中的难点、痛点，以专业的角度予以剖析，再将舞蹈学习者、表演者所需要的身体条件开发和能力素质进行高度总结，继而深入浅出的解构与阐释，力求给各位从事舞蹈培训的教师们一套通俗易懂且最有效、最直接的训练方法或课程解决方案。,4,0,0,17.03,https://wfqqreader-1252317822.image.myqcloud.com/cover/368/37550368/s_37550368.jpg
中国古典舞术语词典,2014-10-01 00:00:00,艺术-舞蹈,《中国古典舞术语词典》为“舞蹈普及教育丛书”系列之一，其内容有71个歌舞组合，涵盖了民间舞、古典舞、集体舞、律动、游戏等等。这些组合是根据上海市小学音乐课本（一至五年级）的歌曲编创，将舞蹈融入在音乐的教学中，让学生潜移默化地感受舞蹈的美感。这也是此书稿的一大亮点，它为音乐教师提供了一种新的舞蹈教学方法。,17,0,0,8,https://wfqqreader-1252317822.image.myqcloud.com/cover/414/30627414/s_30627414.jpg
舞蹈：妙舞历史长空,2015-01-01 00:00:00,艺术-舞蹈,西周周公旦制礼作乐，这实际上完成了我国历史上第一次乐舞大整理，形成了周代祭祀乐舞的《六代舞》，对后世舞蹈发展影响很大。由于先秦时期民间歌谣大都是载歌载舞的，歌词和舞蹈是紧密相连的，所以《诗经》中的很多诗歌都可以看做是那一时期民间乐舞的变相记录。在春秋战国时期，列国之间所进行的“女乐”歌舞互相赠送的情况一时成风，这也在一定程度上促进了列国乐舞文化的融合与发展，而中原之外的少数民族舞蹈也已经受到了人们的注意。,6,0,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/692/595692/s_595692.jpg
中国舞蹈通史（隋·唐·五代卷）,2010-12-01 00:00:00,艺术-舞蹈,中国舞蹈史学研究的意义和任务是什么呢？无非是为了“考古以证今”，“以史明鉴”。因此，研究舞蹈历史和文化发展的自然规律及法则，成为舞蹈史学的主要任务。因为，“历史”不是守旧的护身符，而是创新的启示录。由于我们现在和未来的发展不可能摆脱传统的基础和影响，那么，在历史的研究中就是要让世世代代的祖先活过来，走在我们的前面，传授他们的经验教训。,9,0,0,29.12,https://wfqqreader-1252317822.image.myqcloud.com/cover/689/43388689/s_43388689.jpg
舞蹈编创的诗情画意,2015-06-01 00:00:00,艺术-舞蹈,舞蹈是一种人体动作的艺术。但是，这个人体动作，必须是经过提炼、组织和美化了的人体动作--舞蹈化了的人体动作。《舞蹈编创的诗情画意》通过对舞蹈律动、舞蹈设计、舞蹈语言、舞蹈交响的介绍来告诉我们这个王国如何构造的，并且具体地阐述了舞蹈诗和舞剧的结构要素、结构形态，以便我们更深入地了解舞蹈艺术。,15,0,0,22.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/238/26392238/s_26392238.jpg
舞蹈与传统文化,2011-03-01 00:00:00,艺术-舞蹈,中国舞蹈源远流长.它和古老的中华文明同生共存。中华五千年的历史，每走一步，都有舞蹈的足迹。中国的文明因舞蹈而多姿多彩、熠熠生辉，舞蹈又以它独特的文化彰显着中华民族的生命与活力。在舞蹈中看文化，在文化中观舞蹈，作者以生动流畅的笔触，结合流传的历史故事和经典的舞蹈佳作，深入探析中国舞蹈与传统文化之间密切而又微妙的联系，从中我们既能获悉古代的乐舞风尚和舞人传奇，感知中国舞蹈的辉煌与美妙，又能领略华夏礼乐之邦的非凡风采和气象，感受传统文化的博大与精深。,8,0,0,16.81,https://wfqqreader-1252317822.image.myqcloud.com/cover/871/591871/s_591871.jpg
素质教育舞蹈文集,2014-11-01 00:00:00,艺术-舞蹈,《素质教育舞蹈文集》由舞蹈美育论、调研与考察、素质教育舞蹈和实验经验四个部分构成。通过对舞蹈美育理论的溯源，与相关领域专家的研讨，以及深入社会的实践与调研，较客观地将我国素质教育舞蹈的现状与研究成果集结成具有学术价值的论文集。,12,0,0,27.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/426/30627426/s_30627426.jpg
街舞术语词典,2014-01-01 00:00:00,艺术-舞蹈,作为街舞术语词典，《街舞术语词典》对街舞中的专业名字、街舞种类、世界赛事及评判标准、街舞的由来、街舞比赛的评判标准等多个方面进行归纳与解释。对于街舞初学者、爱好者具有一定参考价值。,8,839,0,6,https://wfqqreader-1252317822.image.myqcloud.com/cover/106/31634106/s_31634106.jpg
