title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
世界名画·中国名画（彩图精装）,2013-08-01 00:00:00,艺术-鉴赏,《世界名画·中国名画》中近200幅具有极高艺术价值、史学价值、文化价值、鉴赏价值和收藏价值的传世名画，代表了中外绘画的最高成就。400多幅精美插图精彩展示名画的原貌，营造出一个彩色的、立体的、极具艺术魅力的阅读空间，使读者仿佛置身于一座流动的名画博物馆，开始一段愉快的读书之旅。科学简明的体例、丰富精美的图片和艺术设计等多种视觉要素有机结合，为读者打造一场彰显文化底蕴的艺术盛宴，在轻松的阅读中丰富知识储备，提升人文修养。,59,751,0,5.96,https://wfqqreader-1252317822.image.myqcloud.com/cover/273/813273/s_813273.jpg
胆小别看画1：方块A的作弊者,2016-05-01 00:00:00,艺术-鉴赏,《胆小别看画1：方块A的作弊者》是日本艺术史畅销书作家中野京子的代表作品《胆小别看画》系列卷。作者中野京子具有深厚的艺术史学院派背景，但她却用一颗八卦的心，一支吐槽的笔，将看似高高在上的西方经典绘画进行了精彩的解读，被读者誉为逛美术馆、博物馆的指南。在卷中，作者以16世纪至20世纪西方名画中“恐怖”的一面为切入点，用精彩文字配合大量西方名画图片，带你畅游艺术史的殿堂，走进名画背后的历史秘境。全书22篇，每一篇都堪称一部精彩的短篇小说。当你伫立在这些传世名作面前时，也许会惊叹于画家高超的技巧、高雅的色调和画中人传神的表情。但你也许并不知道，画家用尽毕生功力凝固在画布上的，除了人物、光影、色彩，还有那个时代所特有的文化和漫长历史，甚至包含着画家复杂的隐喻和心机，充满了刻意隐藏的象征符号。而这些奥秘，以现代人的眼光和感性，实在是难以参透。想要充分领略名画之美，除了欣赏与感受，更重要的就是去“解读”。,5,933,0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/629/43134629/s_43134629.jpg
典藏：经典世界名画高清图集,2015-11-01 00:00:00,艺术-鉴赏,这本高清画册全面介绍了艺术史上各个流派的绘画风格，集结了艺术大师各个时期的代表画作，图片制作精美，并有画作解读，在给人带来丰富视觉享受的同时，带领读者了解艺术史上各个时期绘画风格的变化。极具启发意义和收藏价值。,5,720,0,39.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/367/22653367/s_22653367.jpg
一本书读懂翡翠,2020-07-01 00:00:00,艺术-鉴赏,翡翠深受人们喜爱，是当前国内消费量最大的珠宝品种之一。《一本书读懂翡翠》由国内知名翡翠专家编写，结合十多年的翡翠鉴定、销量、品鉴、评估的经验，详细介绍了翡翠的真伪鉴定、处理品鉴别、价值评估方法以及翡翠市场情况和收藏诀要。本书适宜翡翠爱好者参考。,8,907,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/174/34355174/s_34355174.jpg
珠宝玉石鉴定购买指南,2014-10-01 00:00:00,艺术-鉴赏,如何认知珠宝玉石？正确辨别珠宝玉石？准确评价珠宝玉石是每一位珠宝玉石爱好者以及珠宝玉石专业人士必备的基本知识。本书从珠宝玉石的基础理论入手，引领读者走进珠宝玉石的殿堂，揭开各种珠宝玉石神秘的面纱，全面领略它神奇的魅力。,9,756,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/521/22623521/s_22623521.jpg
中国人眼中的美：中国审美意识十讲,2022-07-01 00:00:00,艺术-鉴赏,"读懂了中国人眼中的美，就读懂了中国人的精神。
    全书从思、气、神、意四个关键字切入，结合各类艺术实例，爬梳大量国学典籍，探寻中国人的十大审美意识，深入中国传统文化的精神内核。如透过故宫、天坛等古典建筑，剖析古人天人合一的审美情怀；于文人山水画里，追问人生有限、宇宙无穷的深意；在中华传统装饰图案中，寄托对生活美好愿景的祈盼；从书画、建筑、音乐、舞蹈到造物，体悟中华艺术特有的大象之美……中国人眼中的美，是藏在传统文化里的审美记忆，更是中国人的精神底色。",5,0,0,50.99,https://weread-1258476243.file.myqcloud.com/weread/cover/67/3300023567/s_3300023567.jpg
古玩指南大全集（超值白金版）,2010-12-01 00:00:00,艺术-鉴赏,《古玩指南》作者赵汝珍是清末古玩收藏家，曾任清大理院少卿。由于酷爱古玩，赵汝珍拿出一万银元在琉璃厂开了家古玩铺，取名“萃珍斋”。他在经营古玩的过程中，下力潜心研究，积年而成这方面的一个专家。赵汝珍于1939年开始执笔编撰《古玩指南》。1942年9月，20余万字的《古玩指南》印出，一时间琉璃厂内外争相传阅，首印的500部不到20天就售完，于是他10月份又印了第二次。次年出版的《古玩指南续编》和《古董辨疑》，仍大受读者青睐，被认为是古玩收藏入门的必读经典。,49,714,0,8,https://wfqqreader-1252317822.image.myqcloud.com/cover/497/829497/s_829497.jpg
中国古典家具,2016-08-01 00:00:00,艺术-鉴赏,家具艺术是二十世纪八十年代各项文化艺术发展形势下兴起的新学科。是中华文化艺术发展的产物。我们今天研究、借鉴、总结前人为我们留下的宝贵遗产，目的在于继承和发扬中华民族家具艺术，总结历史经验，为发展现代新型家具服务。既是历史赋予我们的重大使命，也是我们宣传祖国历史文化知识，进行爱国主义教育的极好课题。本书以中国古典家具的发展、种类、风格、结构和装饰等为主，以明清家具的鉴别方法、收藏投资技巧等为辅进行交叉叙述，让读者清楚地了解古典家具在不同时期所具有的风格特点，并迅速找到相应的鉴定方法，以确定收藏投资的策略。,17,743,0,59.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/649/25505649/s_25505649.jpg
一幅画开启的艺术课,2019-03-01 00:00:00,艺术-鉴赏,本书书中选取的包括乔托、达·芬奇、拉斐尔、莫奈、梵高在内的10位都是西方艺术史上颇具影响力的大师，他们人生中代表性的一幅画是什么，我们又该如何欣赏这些画，这些幅画背后又有着怎样鲜为人知的故事。翻开本书，你将找到答案。,6,769,0,34.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/996/25559996/s_25559996.jpg
超级国宝（全2册）,2021-07-01 00:00:00,艺术-鉴赏,透过100件沉甸甸的中华国宝，感受6000年活生生的中华文明！50位国家一级博物馆主讲人携20年经验精讲国宝的传奇。本书由喜马拉雅艺术畅销榜前列、评分9.8分的音频节目《国宝来了》结集而成。50位中国一级博物馆的主讲人，共同为您讲述100件超级国宝的传奇故事。这些国宝分别来自故宫博物院、中国国家博物馆、陕西历史博物馆、上海博物馆、南京博物院等40多家博物馆，涵盖钟鼎、书画、金石玉器等多个收藏门类，代表着中国从远古到近代的艺术成就。本书内容重点分析国宝的规制、技艺、铸造特点和文化背景，深入揭示其历史价值、文化价值、艺术价值，细数中华文明“美的历程”，展现中华民族几千年历史的演进，进而启发人们共同守护国宝、传承文明。,16,632,0,89.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/968/39429968/s_39429968.jpg
