title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
AI未来进行式（李开复陈楸帆新书）,2022-05-01 00:00:00,计算机-人工智能,"樊登、俞敏洪、刘慈欣、杨立昆、萨蒂亚·纳德拉、瑞·达利欧、贝尼特·米勒等强势推荐！
全新预测AI时代未来趋势！解析未来20年人工智能等科技发展趋势，思考科技落地对人与人类社会的冲击。
书中 10 个引人入胜的短篇故事，展示了一系列令人大开眼界的未来场景——身临其境的沉浸式娱乐方式、自如使用人类语言的虚拟伴侣、 没有“司机”的完全自动驾驶汽车、能够以假乱真的照片和视频，以及基于量子计算、计算机视觉和其他 AI 技术的展开应用。
在这些故事给读者带来惊奇体验的同时，每一个故事之后的科技评论则让我们进行突破性的深度思考——人工智能能否帮助人类从根源上预防疫情？人们该如何应对未来的职场挑战？在人工智能主导的世界中，该如何确保文化多样性？人们如何教导下一代适应人类与人工智能共存的新社会？如何面对人工智能带来的社会问题，及其所隐含的人性拉锯战？",13,777,0,49.99,https://weread-1258476243.file.myqcloud.com/weread/cover/31/3300018231/s_3300018231.jpg
深度学习,2017-08-01 00:00:00,计算机-人工智能,《深度学习》由全球知名的三位专家IanGoodfellow、YoshuaBengio和AaronCourville撰写，是深度学习领域奠基性的经典教材。全书的内容包括3个部分：第1部分介绍基本的数学工具和机器学习的概念，它们是深度学习的预备知识；第2部分系统深入地讲解现今已成熟的深度学习方法和技术；第3部分讨论某些具有前瞻性的方向和想法，它们被公认为是深度学习未来的研究重点。《深度学习》适合各类读者阅读，包括相关专业的大学生或研究生，以及不具有机器学习或统计背景、但是想要快速补充深度学习知识，以便在实际产品或平台中应用的软件工程师。,16,856,0,107.52,https://wfqqreader-1252317822.image.myqcloud.com/cover/317/22651317/s_22651317.jpg
机器学习实战：基于Scikit-Learn、Keras和TensorFlow（原书第2版）,2020-10-10 00:00:00,计算机-人工智能,本书分为两部分。第一部分，机器学习基础，涵盖以下主题：什么是机器学习，它试图解决什么问题，以及系统的主要类别和基本概念；第二部分，神经网络和深度学习，涵盖以下主题：什么是神经网络以及它们有什么用，使用TensorFlow和Keras构建和训练神经网络的技术，以及如何使用强化学习构建可以通过反复试错，学习好的策略的代理程序。第一部分主要基于Scikit-Learn，而第二部分则使用TensorFlow和Keras。,51,889,0,74.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/393/34141393/s_34141393.jpg
AI 3.0,2021-02-01 00:00:00,计算机-人工智能,《AI 3.0》是超级畅销书《复杂》作者、复杂系统前沿科学家梅拉妮·米歇尔历经10年思考，厘清人工智能与人类智能的全新力作。本书源自米歇尔多年来对人工智能领域发展真实状态的记录，她在书中通过5个部分揭示了“现在的人工智能可以做什么，以及在未来几十年我们能从它们身上期待什么”。在描述了人工智能的发展历史之后，作者通过对视觉识别、游戏与推理、自然语言处理、常识判断这4大人工智能领域的热门应用的发展现状和局限性的探究，厘清了人工智能与人类智能的关系，书中关于人脸识别、无人驾驶、机器翻译等方面的案例分析都充满了巨大的启示！而这些，都是当下人工智能发展所面临的困境、人工智能想要取得突破性进展所必须重新思考的。看懂这本书，你将对人工智能领域有一个全景式的认知。,9,854,0,89.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/94/36213094/s_36213094.jpg
Python神经网络编程,2018-04-01 00:00:00,计算机-人工智能,本书首先从简单的思路着手，详细介绍了理解神经网络如何工作所必须的基础知识。第一部分介绍基本的思路，包括神经网络底层的数学知识，第2部分是实践，介绍了学习Python编程的流行和轻松的方法，从而逐渐使用该语言构建神经网络，以能够识别人类手写的字母，特别是让其像专家所开发的网络那样地工作。第3部分是扩展，介绍如何将神经网络的性能提升到工业应用的层级，甚至让其在RaspberryPi上工作。,14,867,0,44.16,https://wfqqreader-1252317822.image.myqcloud.com/cover/611/22655611/s_22655611.jpg
奇点临近,2011-10-01 00:00:00,计算机-人工智能,比尔·盖茨、比尔·乔伊等鼎力推荐！一部预测人工智能和科技未来的奇书！ 在《奇点临近》中，库兹韦尔通过将进化划分为六大纪元，探讨和分析了科学发展趋势。演绎并预测了科技发展的未来。他大胆预测：21世纪30年代：人类大脑信息上传成为可能。21世纪40年代：人体3.0升级版出现：通过基因、纳米、机器人技术使人体进化成非肉体的、可以随意变形的形态。人们大多数时间沉浸在虚拟现实里（像电影《黑客帝国》所描述的那样）。2045年：奇点来临，人工智能完全超越人类智能，人类历史将彻底改变。2045年之后：宇宙觉醒，为了超越计算机的局限性。人机智能将物质转化为超级计算机，*终整个宇宙变成一个超级智能，这种智能可以改变目前已知的物理定律。实现不同维度空间的穿越，并实现人类真正的永生。让我们捧读这《奇点临近》，领略作者的大胆推测和严谨论证，共同期待奇点临近。,10,733,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/370/788370/s_788370.jpg
生命3.0,2018-06-01 00:00:00,计算机-人工智能,《生命3.0》这本书将是你人工智能时代的思考利器。此书对未来生命的终极形式进行了大胆的想象：生命已经走过了1.0生物阶段和2.0文化阶段，接下来生命将进入能自我设计的3.0科技阶段。兼具思想性和易读性，人人都可读懂的未来指南。作者迈克斯·泰格马克本人博学多识，他用一种生动易懂、新鲜有趣的方式为大众讲述了这个时代最重要问题的“独家内幕”，十分吸引人。不管你是科技圈的还是创投圈的，或是泛互联网圈的，也不管你是渴望洞见未来的高端读者还是科幻发烧友，或是大众读者，《生命3.0》是你参透未来、参与这个时代最重要的对话的深度指南。,22,790,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/868/22523868/s_22523868.jpg
自然语言处理：基于预训练模型的方法,2021-07-01 00:00:00,计算机-人工智能,自然语言处理被誉为“人工智能皇冠上的明珠”。深度学习等技术的引入为自然语言处理技术带来了一场革命，尤其是近年来出现的基于预训练模型的方法，已成为研究自然语言处理的新范式。本书在介绍自然语言处理、深度学习等基本概念的基础上，重点介绍新的基于预训练模型的自然语言处理技术。本书包括基础知识、预训练词向量和预训练模型三大部分：基础知识部分介绍自然语言处理和深度学习的基础知识和基本工具；预训练词向量部分介绍静态词向量和动态词向量的预训练方法及应用；预训练模型部分介绍几种典型的预训练语言模型及应用，以及预训练模型的最新进展。除了理论知识，本书还有针对性地结合具体案例提供相应的PyTorch代码实现，不仅能让读者对理论有更深刻的理解，还能快速地实现自然语言处理模型，达到理论和实践的统一。本书既适合具有一定机器学习基础的高等院校学生、研究机构的研究者，以及希望深入研究自然语言处理算法的计算机工程师阅读，也适合对人工智能、深度学习和自然语言处理感兴趣的学生和希望进入人工智能应用领域的研究者参考。,19,1000,0,82.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/53/40795053/s_40795053.jpg
深度学习进阶：自然语言处理,2020-10-14 00:00:00,计算机-人工智能,《深度学习进阶：自然语言处理》是《深度学习入门：基于Python的理论与实现》的续作，围绕自然语言处理和时序数据处理，介绍深度学习中的重要技术，包括word2vec、RNN、LSTM、GRU、seq2seq和Attention等。本书语言平实，结合大量示意图和Python代码，按照“提出问题”“思考解决问题的新方法”“加以改善”的流程，基于深度学习解决自然语言处理相关的各种问题，使读者在此过程中更深入地理解深度学习中的重要技术。,23,986,0,51,https://wfqqreader-1252317822.image.myqcloud.com/cover/675/34336675/s_34336675.jpg
ROS机器人开发实践,2018-05-01 00:00:00,计算机-人工智能,本书以《ROS探索总结》系列博文为基础，重新整理了ROS相关基础要点，让读者能够迅速熟悉ROS的整体框架和设计原理；在此基础上，本书以实践为重心，讲解大量机器视觉、机器语音、机械臂控制、SLAM和导航、机器学习等多方面ROS应用的实现原理和方法，并且翻译了众多ROS中的图表、内容，帮助读者在实现ROS基础功能的同时深入理解基于ROS的机器人开发，将书中的内容用于实践。,40,844,0,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/565/937565/s_937565.jpg
