title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
短视频：策划+拍摄+制作+运营（全彩慕课版）,2022-01-01 00:00:00,计算机-图像视频,本书从短视频内容创作者的角度出发，以短视频的设计和制作流程为主线，系统介绍短视频设计与制作的相关知识和操作技能。全书共8章，主要内容包括认识短视频、短视频的内容策划、短视频拍摄、移动端短视频剪辑、PC端短视频剪辑、短视频的发布与推广，以及两个综合项目实战——拍摄与制作抖音短视频、拍摄与制作淘宝短视频。本书每个章节的内容讲解、项目实训和思考与练习都能有效锻炼并提高读者的设计思维和实际动手能力，帮助读者理解和掌握短视频设计与制作的关键知识。,23,528,0,44.67,https://wfqqreader-1252317822.image.myqcloud.com/cover/739/41974739/s_41974739.jpg
PS是这样玩的：轻松掌握Photoshop通关秘籍,2014-06-01 00:00:00,计算机-图像视频,"　　《PS是这样玩的——轻松掌握Photoshop通关秘籍》主要以生动活泼的闯关模式来设定内容。全书分为11关，从第一部分你可能会用到的专业技能开始讲解，包括让照片风格万变、质感艺术没有不可能、感受涂鸦的魅力、制作富有生命的创意文字四个体系，并在每个关卡设定“玩家必备技能”、“Photoshop达人玩法”以及“升级攻略：你还可以这样玩”三个体系，使读者由浅入深地对Photoshop的知识进行了解。第二部分创意合成无极限，通过极具创意的美妆艺术、梦幻光影轻松搞定、发挥想象的空间变化、你想不到的怪诞艺术等关讲解的案例来使读者更加精通Photoshop。最后，第三部分玩转Photoshop创意设计，通过轻松踏入插画领域、从不缺乏创意的平面设计、表现富有灵魂的网页设计等经典案例的制作使读者真正掌握Photoshop。
　　《PS是这样玩的——轻松掌握Photoshop通关秘籍》适合Photoshop初学者以及喜爱平面设计、照片处理的读者学习使用，随书光盘包括了全书所有案例的素材和源文件，方便读者边学习边操作，更好地掌握Photoshop的各种功能。",5,768,0,53.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/547/729547/s_729547.jpg
设计体系：数字产品设计的系统化方法,2019-11-25 00:00:00,计算机-图像视频,本书主要介绍如何帮助中小型产品团队尽快打造一套新型、实用的设计体系。本书分为两个部分。第一部分讨论设计体系的基础——模式与实践。设计模式包括功能性模式与感知性模式。实践则是创建、捕获、共享和使用这些模式的方法。第二部分侧重于阐释建立和维护设计体系的实际步骤和实用技术：规划任务，编写界面清单，建立模式库，以及创建、记录、发展和维护设计模式等。,15,748,0,29.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/996/29971996/s_29971996.jpg
Photoshop CS6从入门到精通,2013-04-01 00:00:00,计算机-图像视频,本书通过介绍photoshop cs6软件的应用对图形图像的处理进行了全面的、由浅入深的讲解。根据软件的基础知识和实际应用，将本书分成了四篇，即基础篇、核心技术篇、技巧应用篇和综合实例篇。基础篇和核心技术篇对每部分的知识点进行了科学分类，并利用“知识补充”和“技巧点拨”的方式对衍生的操作和技巧进行提炼，帮助读者快速掌握该软件的操作。针对重要的、常用的知识点进行基础操作与实际应用相结合的技术演练，让读者在软件的学习中逐步提升图形图像处理的水平，最后利用技巧应用篇和综合实例篇中的实例，有针对性地讲解photoshop在实际生活和工作中的应用，使读者快速有效地掌握该软件。,7,866,0,40,https://wfqqreader-1252317822.image.myqcloud.com/cover/715/621715/s_621715.jpg
机器视觉技术基础,2021-05-01 00:00:00,计算机-图像视频,本书在讲述机器视觉基本原理和基本概念的基础上，重点介绍了机器视觉系统的构成以及机器视觉技术在实际生产中的应用，有较强的参考价值。本书具体内容包括：数字图像基础、HALCON功能及应用、图像预处理、图像分割、特征提取、图像的形态学处理、图像模板匹配、3D视觉、综合项目案例分析等。本书可作为高等学校自动化类、机电类、电子信息类、计算机类相关专业的教学参考书，也可作为工程技术人员加深理解机器视觉及其应用技术的参考用书。,25,0,0,44.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/738/41806738/s_41806738.jpg
数字图像处理与Python实现,2020-01-01 00:00:00,计算机-图像视频,本书采用通俗易懂的语言对数字图像处理的相关概念进行阐述，同时穿插较为典型的Python小程序，使读者能够快速掌握数字图像处理的相关概念和技术。 全书共7章，大致可以分为四个版块。第1、2章为第一版块，介绍数字图像处理的基础知识及彩色图像处理，使读者了解数字图像处理最基本的概念，并能够掌握数字图像处理的基本流程。第3、4章为第二版块，介绍图像空间滤波与图像频域滤波，使读者了解数字图像处理的一般原理。第5章为第三版块，介绍图像特征提取，使读者了解数字图像处理的基础应用。第6、7章为第四版块，介绍图像压缩与图像小波变换，使读者了解数字图像处理的深入应用。附录部分展示了如何进行环境配置以及Python的一些基本语法。 本书可作为高等院校计算机科学、人工智能、信号与信息处理、通信工程等专业的教材，也可供相关技术人员学习参考。,19,731,0,30.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/243/30179243/s_30179243.jpg
规律与逻辑：用户体验设计法则,2019-04-01 00:00:00,计算机-图像视频,本书较为系统地讲解了用户体验设计师的职能及价值体现的方法，由点到面地分析了用户体验设计的方法与技巧，目的是让读者能够全方位地进行学习，使自己在互联网行业变化如此迅速的当下不被淘汰。  全书分为8章。第1章对用户体验的概念、用户体验设计师的职责与价值等内容进行了分析；第2章主要对App设计中的基础规范进行了系统全面的讲解；第3章讲解了视觉体验基础理论；第4章讲解了视觉体验的进阶内容；第5章主要让读者了解交互体验基础阶段的内容；第6章通过对交互设计中“可用性”“易用性”“好用性”3个阶段的讲解，让读者对交互设计进阶阶段的知识有所认知；第7章从情感化体验出发，教读者懂得如何给产品增加“温度”，拉近用户与产品之间的距离；第8章主要教读者如何持续地进行自我提升，并且真正具备用户体验设计师的气质。  本书适合准备从事或正在从事用户界面设计、用户体验设计及交互设计的相关人士学习和使用。,22,721,0,44.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/699/30210699/s_30210699.jpg
机器学习：使用OpenCV、Python和scikit-learn进行智能图像处理（原书第2版）,2020-11-01 00:00:00,计算机-图像视频,本书通过具体的编程实践案例，全面系统地讲述了机器学习涉及的核心内容。首先介绍新特性以及安装OpenCV 4构建计算机视觉应用程序。你将探索机器学习的基础知识，学习设计用于图像处理的各种算法。本书将逐步介绍有监督学习和无监督学习。你将获得使用Python中的scikit-learn开发各种机器学习应用程序的实践经验。后续章节将重点介绍决策树、支持向量机、贝叶斯学习等各种机器学习算法，以及如何将这些算法应用于目标检测等计算机视觉操作。然后，你将深入研究深度学习和集成学习，并探索它们在现实世界中的应用。最后，你将学习用于构建图像处理系统的的Intel OpenVINO。,33,0,0,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/629/34667629/s_34667629.jpg
计算机图形学：原理、算法及实践,2018-06-01 00:00:00,计算机-图像视频,计算机图形学是计算机科学的一个重要分支，具有较强的理论性和实践性。本书内容丰富，不仅系统介绍了计算机图形学的主要研究内容以及基本原理，也提供了大量的编程实践，在一定程度上帮助读者开发真实的图形应用程序。理论与实践相结合是本书的重要特色。该书不仅系统讲解了真实图形开发环境下的OpenGL技术，也提供了Web环境下的图形开发方法，可以使读者了解计算机图形学的应用趋势。本书编程所用数据均通过动态交互获取，而非提前设定.,17,654,0,42.25,https://wfqqreader-1252317822.image.myqcloud.com/cover/947/23400947/s_23400947.jpg
轻松玩转手机短视频：视频拍摄与剪辑必学的7堂课,2020-11-01 00:00:00,计算机-图像视频,本书总共有7大章节，包括视频拍摄的基本功、延时摄影与慢动作、转场与运镜、取景与构图、视频基础与进阶剪辑、短视频实战拍摄。书中讲解的拍摄方法可实操性非常强，哪怕是零基础读者也能直接运用。另外，书中还搭配有视频讲解二维码，更加方便看到拍摄和剪辑的重要操作。,43,0,0,31.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/626/41807626/s_41807626.jpg
