title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
OpenCV：Computer Vision Projects with Python,intro,intro,This learning path is for someone who has a working knowledge of Python and wants to try out OpenCV. This Learning Path will take you from a beginner to an expert in computer vision applications using OpenCV. OpenCV’s application are humongous and this Learning Path is the best resource to get yourself acquainted thoroughly with OpenCV.,intro,intro,intro,143.87,https://wfqqreader-1252317822.image.myqcloud.com/cover/781/36701781/s_36701781.jpg
OpenCV轻松入门：面向Python,intro,intro,本书基于面向Python的OpenCV（OpenCVforPython），介绍了图像处理的方方面面。本书以OpenCV官方文档的知识脉络为主线，并对细节进行补充和说明。书中不仅介绍了OpenCV函数的使用方法，还介绍了函数实现的算法原理。在介绍OpenCV函数的使用方法时，提供了大量的程序示例。而且在介绍函数对图像的处理前，往往先展示函数对数值、数组的处理，方便读者从数值的角度观察和理解函数的处理过程和结果。在介绍具体的算法原理时，本书尽量使用通俗易懂的语言和贴近生活的示例来说明问题，避免使用过多复杂抽象的公式。本书适合计算机视觉领域的初学者阅读，包括在校学生、教师、专业技术人员、图像处理爱好者。,intro,841,intro,69.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/910/26297910/s_26297910.jpg
OpenCV计算机视觉编程攻略（第3版）,intro,intro,本书结合C++和OpenCV全面讲解计算机视觉编程，不仅涵盖计算机视觉和图像处理的基础知识，而且通过完整示例讲解OpenCV的重要类和函数。主要内容包括OpenCV库的安装和部署、图像增强、像素操作、图形分析等各种技术，并且详细介绍了如何处理来自文件或摄像机的视频，以及如何检测和跟踪移动对象。  第3版针对OpenCV最新版本进行了修改，调整了很多函数和算法说明，还增加了立体图像深度检测、运动目标跟踪、人脸识别、人脸定位、行人检测等内容，适合计算机视觉新手、专业软件开发人员、学生，以及所有想要了解图像处理和计算机视觉技术的人员学习参考。,intro,intro,intro,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/835/26211835/s_26211835.jpg
基于GPU加速的计算机视觉编程：使用OpenCV和CUDA实时处理复杂图像数据,intro,intro,计算机视觉正在给许多行业带来革命性的变化，OpenCV是使用最广泛的计算机视觉工具之一，能够在多种编程语言中工作。目前，需要在计算机视觉中实时处理较大的图像，而单凭OpenCV是难以做到的。在这方面图形处理器（GPU）和CUDA可以提供帮助。因此，本书提供了一个将OpenCV与CUDA集成的实际应用的详细概述。本书首先解释了用CUDA对GPU编程，这对于从未使用过GPU的计算机视觉开发人员来说是必不可少的。然后通过一些实例说明了如何用GPU和CUDA对OpenCV进行加速。当要在现实生活场景中使用计算机视觉应用程序时，需要将其部署在嵌入式开发板上，本书涵盖了如何在NVIDIA Jetson TX1上部署OpenCV应用程序，这是非常流行的计算机视觉和深度学习应用程序。本书的最后一部分介绍了PyCUDA，结合Python使用OpenCV的计算机视觉开发人员会使用它。PyCUDA是一个Python库，它利用CUDA和GPU的功能来加速。本书为在C++或Python中使用OpenCV的开发人员提供了一个完整的指南，帮助他们通过亲身体验来加速计算机视觉应用程序。,intro,727,intro,40,https://wfqqreader-1252317822.image.myqcloud.com/cover/572/30842572/s_30842572.jpg
OpenCV 4计算机视觉项目实战（原书第2版）,intro,intro,本书通过实例和项目讲解OpenCV概念及其算法。首先介绍OpenCV的安装和图像处理的基础知识。然后，覆盖用户界面并深入讲解图像处理，读者将学到复杂的计算机视觉算法，并探索机器学习和人脸检测。之后，本书将介绍如何在复杂场景中创建光流视频分析和背景减除，还将讲解文本分割和识别，以及新的和改进的深度学习模块的基础知识。最后，本书介绍了OpenCV的基础知识，例如矩阵运算、滤波器和直方图，帮读者掌握常用的计算机视觉技术，从头开始构建OpenCV项目。,intro,726,intro,40,https://wfqqreader-1252317822.image.myqcloud.com/cover/914/25941914/s_25941914.jpg
OpenCV Android开发实战,intro,intro,本书共分为两大部分，第一部分为基础篇，由浅入深，从OpenCV框架的简单介绍到OpenCV与Android SDK、NDK的编程应用，并系统全面地介绍了OpenCV在移动领域的应用技术、所涉及的OpenCV中的核心模块、图像处理模块、特征提取与对象检测模块等，逐层递增学习、不断深入。读者在学习与掌握OpenCV相关API用法的前提下可以开始学习第二部的实战案例。第二部分为实战案例部分，由文字识别、人脸美肤、眼球检测与跟踪渲染三个典型案例组成，通过案例学习，我们将学会如何设计算法流程、组合算法API使用、关注应用开发的性能与内存问题，以及NDK开发技巧与其他图像处理开发相关API的使用技巧。,intro,591,intro,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/150/22515150/s_22515150.jpg
OpenCV 4计算机视觉：Python语言实现（原书第3版）,intro,intro,本书首先介绍OpenCV 4以及如何基于Python 3在各种平台上安装OpenCV 4。接下来，你将学习如何执行读取、写入、操纵，以及显示静态图像、视频和摄像机回馈等基本操作。你还将学习图像处理、视频分析、深度估计和分割，并通过构建一个简单的GUI应用程序获得实践经验。接下来，你将处理两类常见问题：人脸检测和人脸识别。你还将学习物体分类和机器学习的概念，这将使你能够创建和使用物体检测器和分类器，甚至跟踪电影或摄像机回馈中的物体。稍后，你将学习3D跟踪和增强现实。本书末尾，你将学习人工神经网络和深度神经网络，学习如何开发手写数字识别以及对人的性别和年龄分类的应用程序。,intro,intro,intro,59.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/38/40868038/s_40868038.jpg
机器学习：使用OpenCV、Python和scikit-learn进行智能图像处理（原书第2版）,intro,intro,本书通过具体的编程实践案例，全面系统地讲述了机器学习涉及的核心内容。首先介绍新特性以及安装OpenCV 4构建计算机视觉应用程序。你将探索机器学习的基础知识，学习设计用于图像处理的各种算法。本书将逐步介绍有监督学习和无监督学习。你将获得使用Python中的scikit-learn开发各种机器学习应用程序的实践经验。后续章节将重点介绍决策树、支持向量机、贝叶斯学习等各种机器学习算法，以及如何将这些算法应用于目标检测等计算机视觉操作。然后，你将深入研究深度学习和集成学习，并探索它们在现实世界中的应用。最后，你将学习用于构建图像处理系统的的Intel OpenVINO。,intro,intro,intro,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/629/34667629/s_34667629.jpg
OpenCV 3和Qt5计算机视觉应用开发,intro,intro,本书基于Qt和OpenCV搭建图像处理框架，用于计算机视觉、图像处理、模式识别和视频目标跟踪等领域。本书以常用类和函数的代码示例为主线，详细介绍了学习新版OpenCV和Qt中会遇到的各种问题及其相关解决方案。书中深入浅出地介绍了OpenCV 3和Qt5的强大功能、性能以及最新特性。根据书中提供的大量实用案例代码，读者可以快速熟悉和使用这两个开发框架。全书共分为12章，全面系统地讲述了OpenCV 3和Qt5的核心内容，包括OpenCV和Qt介绍、创建OpenCV和Qt项目、Mat和QImage、图形视图框架、OpenCV中的图像处理、特征及其描述符、多线程、视频分析、调试与测试、链接与部署、Qt Quick应用程序等。为了便于学习与实践，本书提供了示例算法的编码实现，也向读者全面详尽地介绍了基于OpenCV和Qt进行图像处理、计算机视觉等编程的技术和方法。,intro,705,intro,45,https://wfqqreader-1252317822.image.myqcloud.com/cover/147/23863147/s_23863147.jpg
智能硬件与机器视觉：基于树莓派、Python和OpenCV,intro,intro,本书围绕“低成本玩转树莓派”这个主题，讲解了如何利用树莓派、OpenCV和Python等软硬件搭建一个低成本的智能硬件平台，并在其上实现图像分析、文字识别、人脸识别与追踪、视频监控等机器视觉功能。全书一共11章。第1～4章首先讲解了机器视觉在智能硬件领域的应用场景以及智能硬件上4种常见的机器视觉技术方案；然后讲解了树莓派和OpenCV的安装、配置以及其他准备工作；最后通过一些简单的案例和代码教读者使用OpenCV。第5～11章是本书的核心内容，通过几个具体的综合案例讲解了如何使用树莓派低成本玩转如下机器视觉场景：拍摄照片和视频、处理相机的原始数据、道路和商场的人流统计、道路信息的文字识别、人脸识别与追踪、中央AI视频监控等。以上案例循序渐进，环环相扣，所有代码均可在树莓派上运行，并可轻松移植到任何ARM开发板上。,intro,intro,intro,53.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/837/34630837/s_34630837.jpg
Hands-On GPU：Accelerated Computer Vision with OpenCV and CUDA,intro,intro,"Computer vision has been revolutionizing a wide range of industries, and OpenCV is the most widely chosen tool for computer vision with its ability to work in multiple programming languages. Nowadays, in computer vision, there is a need to process large images in real time, which is difficult to handle for OpenCV on its own. This is where CUDA comes into the picture, allowing OpenCV to leverage powerful NVDIA GPUs. This book provides a detailed overview of integrating OpenCV with CUDA for practical applications. To start with, you’ll understand GPU programming with CUDA, an essential aspect for computer vision developers who have never worked with GPUs. You’ll then move on to exploring OpenCV acceleration with GPUs and CUDA by walking through some practical examples.Once you have got to grips with the core concepts, you’ll familiarize yourself with deploying OpenCV applications on NVIDIA Jetson TX1, which is popular for computer vision and deep learning applications. The last chapters of the book explain PyCUDA, a Python library that leverages the power of CUDA and GPUs for accelerations and can be used by computer vision developers who use OpenCV with Python.By the end of this book, you’ll have enhanced computer vision applications with the help of this book's hands-on approach.",intro,intro,intro,87.19,https://wfqqreader-1252317822.image.myqcloud.com/cover/427/36699427/s_36699427.jpg
Learning OpenCV 3 Computer Vision with Python（Second Edition）,intro,intro,"Intended for novices to the world of OpenCV and computer vision, as well as OpenCV veterans that want to learn about what's new in OpenCV 3, this book is useful as a reference for experts and a training manual for beginners, or for anybody who wants to familiarize themselves with the concepts of object classification and detection in simple and understandable terms. Basic knowledge about Python and programming concepts is required, although the book has an easy learning curve both from a theoretical and coding point of view.",intro,intro,intro,80.65,https://wfqqreader-1252317822.image.myqcloud.com/cover/136/36703136/s_36703136.jpg
