title,publishTime
脑机穿越：脑机接口改变人类未来,2015-03-01 00:00:00
深度学习：核心技术、工具与案例解析,2018-06-01 00:00:00
智能制造时代的研发智慧：知识工程2.0,2017-05-01 00:00:00
第二次机器革命,2016-12-01 00:00:00
AI速成课：从AI编程到构建智能软件,2020-07-01 00:00:00
人工智能程序员面试笔试宝典,2019-12-24 00:00:00
人工智能,2016-09-01 00:00:00
人工智能：智能制造,2020-12-01 00:00:00
人工智能会抢哪些工作,2018-05-01 00:00:00
OpenCV 4机器学习算法原理与编程实战,2021-04-01 00:00:00
联邦学习技术及实战,2021-03-01 00:00:00
PaddlePaddle深度学习实战,2018-05-01 00:00:00
人工智能：理论基础+商业落地+实战场景+案例分析,2021-03-01 00:00:00
人工智能算法（卷3）：深度学习和神经网络,2021-03-01 00:00:00
TensorFlow学习指南：深度学习系统构建详解,2018-05-01 00:00:00
机器新脑：我是如何学会停止担忧并爱上AI的,2021-01-21 00:00:00
人工智能算法Python案例实战,2021-01-01 00:00:00
传感器技术及应用,2013-02-01 00:00:00
人人可懂的深度学习,2021-04-01 00:00:00
